date,temperature
2023-06-10,10.8
2023-06-11,6.8
2023-06-12,25.9
2023-06-13,-7.2
2023-06-14,3.1
2023-06-15,16.6
2023-06-16,2.9
2023-06-17,24.8
2023-06-18,19.3
2023-06-19,12.0
2023-06-20,25.2
2023-06-21,15.1
2023-06-22,0.7
2023-06-23,10.8
2023-06-24,24.5
2023-06-25,-4.4
2023-06-26,-8.9
2023-06-27,20.7
2023-06-28,27.8
2023-06-29,15.1
2023-06-30,28.5
2023-07-01,9.8
2023-07-02,7.8
2023-07-03,4.9
2023-07-04,-7.4
2023-07-05,23.4
2023-07-06,27.3
2023-07-07,7.6
2023-07-08,10.4
2023-07-09,26.3
2023-07-10,-5.7
2023-07-11,29.7
2023-07-12,18.2
2023-07-13,6.0
2023-07-14,25.7
2023-07-15,-6.1
2023-07-16,23.9
2023-07-17,20.6
2023-07-18,15.1
2023-07-19,14.6
2023-07-20,-6.8
2023-07-21,-7.5
2023-07-22,-3.9
2023-07-23,5.5
2023-07-24,23.8
2023-07-25,19.6
2023-07-26,-1.7
2023-07-27,-1.7
2023-07-28,19.0
2023-07-29,0.3
2023-07-30,23.9
2023-07-31,11.0
2023-08-01,27.1
2023-08-02,17.2
2023-08-03,4.2
2023-08-04,-6.3
2023-08-05,5.7
2023-08-06,1.2
2023-08-07,8.6
2023-08-08,4.9
2023-08-09,13.0
2023-08-10,-6.5
2023-08-11,-3.8
2023-08-12,-7.5
2023-08-13,18.0
2023-08-14,18.0
2023-08-15,-5.4
2023-08-16,-8.6
2023-08-17,26.1
2023-08-18,-6.3
2023-08-19,6.2
2023-08-20,9.9
2023-08-21,-9.4
2023-08-22,10.4
2023-08-23,-4.3
2023-08-24,17.0
2023-08-25,0.4
2023-08-26,17.7
2023-08-27,3.7
2023-08-28,23.7
2023-08-29,-9.4
2023-08-30,-6.4
2023-08-31,13.9
2023-09-01,2.7
2023-09-02,13.1
2023-09-03,26.9
2023-09-04,0.3
2023-09-05,29.1
2023-09-06,13.7
2023-09-07,3.4
2023-09-08,15.9
2023-09-09,-7.6
2023-09-10,21.5
2023-09-11,-2.7
2023-09-12,5.1
2023-09-13,-1.7
2023-09-14,14.8
2023-09-15,12.1
2023-09-16,8.4
2023-09-17,7.0
2023-09-18,29.9
2023-09-19,-8.6
2023-09-20,19.9
2023-09-21,20.9
2023-09-22,24.7
2023-09-23,4.5
2023-09-24,-9.2
2023-09-25,23.9
2023-09-26,18.0
2023-09-27,26.0
2023-09-28,22.8
2023-09-29,14.4
2023-09-30,-6.7
2023-10-01,-8.9
2023-10-02,5.0
2023-10-03,28.3
2023-10-04,26.4
2023-10-05,25.8
2023-10-06,7.1
2023-10-07,24.2
2023-10-08,19.2
2023-10-09,0.3
2023-10-10,19.4
2023-10-11,7.4
2023-10-12,-8.2
2023-10-13,24.7
2023-10-14,14.2
2023-10-15,-8.2
2023-10-16,9.4
2023-10-17,-3.4
2023-10-18,10.5
2023-10-19,12.8
2023-10-20,17.8
2023-10-21,-6.3
2023-10-22,26.9
2023-10-23,3.4
2023-10-24,-9.6
2023-10-25,-8.0
2023-10-26,14.8
2023-10-27,14.6
2023-10-28,-5.1
2023-10-29,14.2
2023-10-30,18.2
2023-10-31,18.1
2023-11-01,13.3
2023-11-02,24.8
2023-11-03,9.6
2023-11-04,29.1
2023-11-05,-8.0
2023-11-06,3.9
2023-11-07,26.5
2023-11-08,4.9
2023-11-09,26.0
2023-11-10,24.2
2023-11-11,9.2
2023-11-12,-5.4
2023-11-13,14.8
2023-11-14,27.5
2023-11-15,-6.1
2023-11-16,23.2
2023-11-17,0.8
2023-11-18,2.5
2023-11-19,18.9
2023-11-20,-4.8
2023-11-21,24.3
2023-11-22,19.7
2023-11-23,20.7
2023-11-24,27.4
2023-11-25,7.7
2023-11-26,0.2
2023-11-27,7.1
2023-11-28,8.4
2023-11-29,10.1
2023-11-30,-9.1
2023-12-01,-4.3
2023-12-02,17.0
2023-12-03,5.3
2023-12-04,23.4
2023-12-05,21.4
2023-12-06,9.8
2023-12-07,-1.0
2023-12-08,10.5
2023-12-09,-7.2
