date,temperature
2023-06-10,-8.8
2023-06-11,5.1
2023-06-12,21.1
2023-06-13,4.0
2023-06-14,24.6
2023-06-15,3.7
2023-06-16,7.8
2023-06-17,-11.3
2023-06-18,1.8
2023-06-19,-12.0
2023-06-20,-4.6
2023-06-21,21.4
2023-06-22,23.1
2023-06-23,-13.3
2023-06-24,21.8
2023-06-25,7.9
2023-06-26,2.9
2023-06-27,0.1
2023-06-28,-5.1
2023-06-29,18.6
2023-06-30,11.1
2023-07-01,13.5
2023-07-02,18.4
2023-07-03,-9.5
2023-07-04,-9.1
2023-07-05,4.2
2023-07-06,22.4
2023-07-07,-3.8
2023-07-08,-10.5
2023-07-09,18.8
2023-07-10,-12.7
2023-07-11,-1.9
2023-07-12,1.3
2023-07-13,-9.7
2023-07-14,10.0
2023-07-15,11.9
2023-07-16,-9.4
2023-07-17,4.7
2023-07-18,-1.1
2023-07-19,-2.2
2023-07-20,-2.3
2023-07-21,3.3
2023-07-22,-0.2
2023-07-23,12.3
2023-07-24,13.7
2023-07-25,-12.2
2023-07-26,-9.8
2023-07-27,0.5
2023-07-28,5.1
2023-07-29,21.1
2023-07-30,12.5
2023-07-31,16.2
2023-08-01,12.9
2023-08-02,11.4
2023-08-03,-9.7
2023-08-04,21.5
2023-08-05,19.6
2023-08-06,-3.7
2023-08-07,16.4
2023-08-08,7.2
2023-08-09,0.5
2023-08-10,22.8
2023-08-11,3.2
2023-08-12,-10.3
2023-08-13,1.2
2023-08-14,7.4
2023-08-15,-10.2
2023-08-16,-2.2
2023-08-17,-1.4
2023-08-18,-3.5
2023-08-19,15.7
2023-08-20,2.8
2023-08-21,-9.1
2023-08-22,-8.3
2023-08-23,9.1
2023-08-24,22.1
2023-08-25,21.7
2023-08-26,-12.8
2023-08-27,-1.8
2023-08-28,21.2
2023-08-29,11.7
2023-08-30,-1.7
2023-08-31,-10.7
2023-09-01,-14.4
2023-09-02,5.4
2023-09-03,3.1
2023-09-04,20.4
2023-09-05,-13.2
2023-09-06,-11.6
2023-09-07,-14.0
2023-09-08,5.3
2023-09-09,15.4
2023-09-10,10.3
2023-09-11,14.2
2023-09-12,19.1
2023-09-13,-4.1
2023-09-14,-1.5
2023-09-15,-3.8
2023-09-16,15.3
2023-09-17,7.8
2023-09-18,-9.0
2023-09-19,7.4
2023-09-20,23.6
2023-09-21,24.3
2023-09-22,20.4
2023-09-23,-0.2
2023-09-24,4.1
2023-09-25,9.4
2023-09-26,3.3
2023-09-27,15.0
2023-09-28,14.1
2023-09-29,-4.6
2023-09-30,14.8
2023-10-01,1.0
2023-10-02,8.7
2023-10-03,-5.2
2023-10-04,-8.7
2023-10-05,23.1
2023-10-06,-5.7
2023-10-07,19.6
2023-10-08,18.9
2023-10-09,4.0
2023-10-10,11.1
2023-10-11,-9.8
2023-10-12,3.0
2023-10-13,19.6
2023-10-14,14.8
2023-10-15,0.7
2023-10-16,0.8
2023-10-17,-12.0
2023-10-18,0.5
2023-10-19,0.1
2023-10-20,-12.9
2023-10-21,21.2
2023-10-22,-3.0
2023-10-23,3.4
2023-10-24,3.0
2023-10-25,-11.1
2023-10-26,12.9
2023-10-27,-1.4
2023-10-28,-12.3
2023-10-29,10.5
2023-10-30,7.3
2023-10-31,-6.1
2023-11-01,-1.4
2023-11-02,10.5
2023-11-03,1.7
2023-11-04,15.2
2023-11-05,15.4
2023-11-06,-9.3
2023-11-07,6.9
2023-11-08,8.5
