date,temperature
2023-06-10,3.8
2023-06-11,-0.9
2023-06-12,4.3
2023-06-13,12.3
2023-06-14,-0.8
2023-06-15,11.5
2023-06-16,6.4
2023-06-17,17.9
2023-06-18,18.0
2023-06-19,6.9
2023-06-20,28.3
2023-06-21,29.0
2023-06-22,14.9
2023-06-23,17.7
2023-06-24,15.6
2023-06-25,23.8
2023-06-26,23.6
2023-06-27,12.5
2023-06-28,17.3
2023-06-29,14.9
2023-06-30,10.8
2023-07-01,22.7
2023-07-02,-4.9
2023-07-03,27.4
2023-07-04,-1.0
2023-07-05,19.2
2023-07-06,14.2
2023-07-07,19.3
2023-07-08,14.4
2023-07-09,23.4
2023-07-10,2.9
2023-07-11,24.9
2023-07-12,-4.7
2023-07-13,26.7
2023-07-14,10.4
2023-07-15,-1.8
2023-07-16,18.0
2023-07-17,19.7
2023-07-18,6.4
2023-07-19,8.4
2023-07-20,-2.0
2023-07-21,26.0
2023-07-22,3.3
2023-07-23,-2.0
2023-07-24,16.6
2023-07-25,16.7
2023-07-26,17.4
2023-07-27,18.7
2023-07-28,-0.6
2023-07-29,8.2
2023-07-30,3.6
2023-07-31,12.7
2023-08-01,1.7
2023-08-02,-0.1
2023-08-03,23.5
2023-08-04,-4.7
2023-08-05,5.2
2023-08-06,4.6
2023-08-07,10.8
2023-08-08,20.0
2023-08-09,10.3
2023-08-10,28.1
2023-08-11,1.0
2023-08-12,16.9
2023-08-13,27.8
2023-08-14,5.6
2023-08-15,7.3
2023-08-16,1.2
2023-08-17,-1.9
2023-08-18,27.5
2023-08-19,27.8
2023-08-20,24.7
2023-08-21,27.6
2023-08-22,13.7
2023-08-23,-2.3
2023-08-24,3.4
2023-08-25,11.0
2023-08-26,9.1
2023-08-27,19.7
2023-08-28,12.3
2023-08-29,26.5
2023-08-30,6.8
2023-08-31,16.1
2023-09-01,-2.6
2023-09-02,-3.7
2023-09-03,22.5
2023-09-04,-3.3
2023-09-05,23.3
2023-09-06,13.3
2023-09-07,26.1
2023-09-08,-2.8
2023-09-09,1.5
2023-09-10,-3.3
2023-09-11,0.0
2023-09-12,6.5
2023-09-13,2.9
2023-09-14,29.4
2023-09-15,-3.4
2023-09-16,-2.9
2023-09-17,3.6
2023-09-18,26.3
2023-09-19,27.6
2023-09-20,21.1
2023-09-21,-1.5
2023-09-22,26.0
2023-09-23,12.7
2023-09-24,19.5
2023-09-25,14.2
