date,temperature
2023-06-10,8.7
2023-06-11,8.3
2023-06-12,28.8
2023-06-13,5.2
2023-06-14,10.6
2023-06-15,8.3
2023-06-16,19.3
2023-06-17,13.9
2023-06-18,29.1
2023-06-19,19.0
2023-06-20,13.0
2023-06-21,18.6
2023-06-22,0.3
2023-06-23,4.3
2023-06-24,19.0
2023-06-25,23.7
2023-06-26,24.7
2023-06-27,20.0
2023-06-28,24.5
2023-06-29,24.0
2023-06-30,14.3
2023-07-01,26.1
2023-07-02,29.6
2023-07-03,27.8
2023-07-04,26.2
2023-07-05,12.6
2023-07-06,7.6
2023-07-07,23.5
2023-07-08,7.9
2023-07-09,19.9
2023-07-10,15.5
2023-07-11,3.7
2023-07-12,17.3
2023-07-13,11.9
2023-07-14,12.3
2023-07-15,29.7
2023-07-16,19.8
2023-07-17,4.0
2023-07-18,25.8
2023-07-19,18.0
2023-07-20,14.0
2023-07-21,14.1
2023-07-22,11.9
2023-07-23,0.6
2023-07-24,28.0
2023-07-25,26.2
2023-07-26,8.1
2023-07-27,10.7
2023-07-28,28.1
2023-07-29,22.5
2023-07-30,3.1
2023-07-31,20.6
2023-08-01,5.5
2023-08-02,2.6
2023-08-03,15.7
2023-08-04,17.5
2023-08-05,10.8
2023-08-06,12.9
2023-08-07,21.8
2023-08-08,22.3
2023-08-09,20.9
2023-08-10,11.5
2023-08-11,14.4
2023-08-12,22.2
2023-08-13,18.0
2023-08-14,18.3
2023-08-15,21.2
2023-08-16,16.1
2023-08-17,16.6
2023-08-18,14.7
2023-08-19,4.4
2023-08-20,16.1
2023-08-21,25.2
2023-08-22,11.6
2023-08-23,7.6
2023-08-24,29.3
2023-08-25,4.4
2023-08-26,28.0
2023-08-27,6.1
2023-08-28,2.0
2023-08-29,3.5
2023-08-30,17.9
2023-08-31,3.6
2023-09-01,6.6
2023-09-02,19.3
2023-09-03,19.0
2023-09-04,22.3
2023-09-05,25.8
2023-09-06,3.9
2023-09-07,7.5
2023-09-08,6.5
2023-09-09,25.4
2023-09-10,24.6
2023-09-11,15.6
2023-09-12,12.9
2023-09-13,23.6
2023-09-14,29.2
2023-09-15,11.9
2023-09-16,6.6
2023-09-17,13.7
2023-09-18,20.1
2023-09-19,1.1
2023-09-20,23.1
2023-09-21,24.6
2023-09-22,24.1
2023-09-23,21.1
2023-09-24,16.6
2023-09-25,9.4
2023-09-26,25.9
2023-09-27,25.8
2023-09-28,30.0
2023-09-29,28.4
2023-09-30,17.7
2023-10-01,10.6
2023-10-02,25.7
2023-10-03,16.4
2023-10-04,12.6
2023-10-05,27.8
2023-10-06,20.4
2023-10-07,2.7
2023-10-08,28.1
2023-10-09,23.4
2023-10-10,5.8
2023-10-11,16.8
2023-10-12,5.5
2023-10-13,12.2
2023-10-14,1.7
2023-10-15,6.1
2023-10-16,2.3
2023-10-17,0.9
2023-10-18,10.1
2023-10-19,5.0
2023-10-20,12.9
2023-10-21,26.4
2023-10-22,12.9
2023-10-23,16.6
2023-10-24,5.7
2023-10-25,16.2
2023-10-26,11.6
2023-10-27,17.9
2023-10-28,28.9
2023-10-29,16.9
2023-10-30,25.8
2023-10-31,9.1
2023-11-01,3.3
2023-11-02,1.1
2023-11-03,29.6
2023-11-04,28.3
2023-11-05,14.4
2023-11-06,8.7
2023-11-07,4.5
2023-11-08,20.9
2023-11-09,5.9
2023-11-10,17.9
2023-11-11,10.9
2023-11-12,8.9
2023-11-13,25.6
2023-11-14,12.6
2023-11-15,3.2
2023-11-16,25.9
2023-11-17,22.7
2023-11-18,11.9
2023-11-19,18.8
2023-11-20,15.9
2023-11-21,2.4
2023-11-22,29.8
2023-11-23,6.7
2023-11-24,12.3
2023-11-25,29.3
2023-11-26,2.5
2023-11-27,5.0
2023-11-28,18.6
2023-11-29,23.0
2023-11-30,7.8
2023-12-01,13.6
2023-12-02,28.5
2023-12-03,9.5
2023-12-04,17.7
2023-12-05,8.8
2023-12-06,17.5
2023-12-07,23.7
2023-12-08,8.5
2023-12-09,27.7
2023-12-10,14.5
2023-12-11,25.9
2023-12-12,9.2
2023-12-13,22.1
2023-12-14,24.6
2023-12-15,8.8
2023-12-16,3.9
2023-12-17,16.1
2023-12-18,2.0
2023-12-19,14.4
2023-12-20,11.7
2023-12-21,26.2
2023-12-22,7.6
2023-12-23,15.4
2023-12-24,19.6
2023-12-25,20.2
2023-12-26,13.7
2023-12-27,7.0
2023-12-28,8.6
2023-12-29,28.1
2023-12-30,9.1
2023-12-31,16.6
2024-01-01,3.5
2024-01-02,12.5
2024-01-03,18.0
2024-01-04,18.0
2024-01-05,10.6
2024-01-06,7.6
2024-01-07,11.9
2024-01-08,15.0
2024-01-09,17.3
2024-01-10,7.7
2024-01-11,22.9
2024-01-12,1.4
2024-01-13,26.2
2024-01-14,17.3
2024-01-15,17.0
2024-01-16,12.5
2024-01-17,20.8
2024-01-18,8.6
2024-01-19,24.8
2024-01-20,28.2
2024-01-21,3.9
2024-01-22,17.5
2024-01-23,0.7
2024-01-24,1.1
2024-01-25,28.1
2024-01-26,15.8
2024-01-27,7.9
2024-01-28,12.3
2024-01-29,13.2
2024-01-30,16.8
2024-01-31,29.1
2024-02-01,15.0
2024-02-02,19.1
2024-02-03,21.8
2024-02-04,0.3
2024-02-05,24.2
2024-02-06,12.5
2024-02-07,8.5
2024-02-08,12.9
2024-02-09,17.4
2024-02-10,0.4
2024-02-11,9.0
2024-02-12,16.1
2024-02-13,16.0
2024-02-14,15.8
2024-02-15,11.5
2024-02-16,8.0
2024-02-17,19.3
2024-02-18,16.8
2024-02-19,8.1
2024-02-20,27.9
2024-02-21,2.0
2024-02-22,6.0
2024-02-23,11.2
2024-02-24,9.4
2024-02-25,21.8
2024-02-26,5.8
2024-02-27,4.9
2024-02-28,15.1
2024-02-29,24.1
2024-03-01,14.5
2024-03-02,0.6
2024-03-03,14.6
2024-03-04,28.3
2024-03-05,1.1
2024-03-06,14.0
2024-03-07,19.2
2024-03-08,18.4
2024-03-09,20.0
2024-03-10,0.2
2024-03-11,29.8
2024-03-12,1.0
2024-03-13,25.9
2024-03-14,19.1
2024-03-15,7.1
2024-03-16,18.1
2024-03-17,18.4
2024-03-18,10.9
2024-03-19,8.8
2024-03-20,4.9
2024-03-21,1.7
2024-03-22,2.9
2024-03-23,1.5
2024-03-24,27.4
2024-03-25,2.6
2024-03-26,23.1
2024-03-27,12.7
2024-03-28,14.2
2024-03-29,7.9
2024-03-30,20.1
2024-03-31,26.5
2024-04-01,19.3
2024-04-02,2.4
2024-04-03,23.5
2024-04-04,22.6
2024-04-05,28.8
2024-04-06,16.8
2024-04-07,11.5
2024-04-08,0.2
2024-04-09,9.6
2024-04-10,22.1
2024-04-11,8.1
2024-04-12,28.6
2024-04-13,15.8
2024-04-14,21.5
2024-04-15,25.6
2024-04-16,12.7
2024-04-17,0.4
2024-04-18,18.2
2024-04-19,1.8
2024-04-20,14.5
2024-04-21,21.4
2024-04-22,7.7
2024-04-23,0.8
2024-04-24,2.3
2024-04-25,29.9
2024-04-26,25.7
2024-04-27,17.0
2024-04-28,17.3
2024-04-29,1.4
2024-04-30,19.3
2024-05-01,29.5
2024-05-02,14.9
2024-05-03,27.8
2024-05-04,6.6
2024-05-05,6.6
2024-05-06,10.8
2024-05-07,24.5
2024-05-08,9.5
2024-05-09,17.5
2024-05-10,24.8
2024-05-11,26.8
2024-05-12,26.1
2024-05-13,10.9
2024-05-14,12.9
2024-05-15,4.9
2024-05-16,16.5
2024-05-17,26.3
2024-05-18,0.7
2024-05-19,25.9
2024-05-20,28.2
2024-05-21,14.6
2024-05-22,18.2
2024-05-23,22.4
2024-05-24,13.6
2024-05-25,20.4
2024-05-26,27.1
2024-05-27,28.0
2024-05-28,29.0
2024-05-29,12.0
2024-05-30,1.0
2024-05-31,17.2
2024-06-01,15.5
2024-06-02,27.8
2024-06-03,9.4
2024-06-04,29.5
2024-06-05,29.7
2024-06-06,17.0
2024-06-07,22.9
2024-06-08,7.7
2024-06-09,13.7
2024-06-10,20.3
2024-06-11,0.1
2024-06-12,17.7
2024-06-13,19.3
2024-06-14,23.7
2024-06-15,24.6
2024-06-16,10.1
2024-06-17,29.3
2024-06-18,25.0
2024-06-19,2.2
2024-06-20,7.6
2024-06-21,16.2
2024-06-22,6.4
2024-06-23,21.3
2024-06-24,16.6
2024-06-25,2.0
2024-06-26,11.4
2024-06-27,24.5
2024-06-28,26.8
2024-06-29,13.5
2024-06-30,9.4
2024-07-01,8.0
2024-07-02,23.4
2024-07-03,4.3
2024-07-04,25.3
2024-07-05,1.7
2024-07-06,15.5
2024-07-07,23.8
2024-07-08,24.7
2024-07-09,20.1
2024-07-10,8.1
2024-07-11,10.5
2024-07-12,3.0
2024-07-13,20.6
2024-07-14,7.0
2024-07-15,18.2
2024-07-16,11.0
2024-07-17,29.4
2024-07-18,0.8
2024-07-19,12.7
2024-07-20,21.7
2024-07-21,1.0
2024-07-22,6.3
2024-07-23,29.8
2024-07-24,28.3
2024-07-25,2.5
2024-07-26,2.7
2024-07-27,7.5
2024-07-28,28.6
2024-07-29,24.4
2024-07-30,10.4
2024-07-31,13.3
2024-08-01,21.5
2024-08-02,0.3
2024-08-03,0.3
2024-08-04,23.4
2024-08-05,13.8
2024-08-06,17.5
2024-08-07,6.9
2024-08-08,8.3
2024-08-09,26.3
2024-08-10,25.3
2024-08-11,28.6
2024-08-12,16.9
2024-08-13,4.1
2024-08-14,22.3
2024-08-15,8.5
2024-08-16,7.5
2024-08-17,17.2
2024-08-18,24.3
2024-08-19,27.4
2024-08-20,3.6
2024-08-21,12.3
2024-08-22,23.2
2024-08-23,0.4
2024-08-24,3.0
2024-08-25,15.0
2024-08-26,10.2
2024-08-27,22.6
2024-08-28,6.2
2024-08-29,29.5
2024-08-30,14.7
2024-08-31,22.5
2024-09-01,22.1
2024-09-02,16.1
2024-09-03,17.2
2024-09-04,28.9
2024-09-05,26.9
2024-09-06,12.7
2024-09-07,21.0
2024-09-08,14.4
2024-09-09,22.5
2024-09-10,21.4
2024-09-11,28.0
2024-09-12,16.5
2024-09-13,13.9
2024-09-14,16.6
2024-09-15,19.9
2024-09-16,3.5
2024-09-17,5.1
2024-09-18,27.8
2024-09-19,23.8
2024-09-20,20.0
2024-09-21,18.8
2024-09-22,27.2
2024-09-23,1.6
2024-09-24,5.7
2024-09-25,7.2
2024-09-26,22.2
2024-09-27,27.3
2024-09-28,7.6
2024-09-29,25.1
2024-09-30,0.8
2024-10-01,14.9
2024-10-02,23.0
2024-10-03,10.7
2024-10-04,4.7
2024-10-05,28.9
2024-10-06,22.2
2024-10-07,18.8
2024-10-08,15.4
2024-10-09,7.6
2024-10-10,21.3
2024-10-11,5.8
2024-10-12,4.4
2024-10-13,0.9
2024-10-14,27.4
2024-10-15,6.4
2024-10-16,14.1
2024-10-17,29.9
2024-10-18,19.4
2024-10-19,1.6
2024-10-20,21.8
2024-10-21,2.8
2024-10-22,11.5
2024-10-23,6.2
2024-10-24,19.4
2024-10-25,22.4
2024-10-26,17.1
2024-10-27,27.2
2024-10-28,28.2
2024-10-29,29.8
2024-10-30,2.9
2024-10-31,9.9
2024-11-01,21.2
2024-11-02,23.8
2024-11-03,0.9
2024-11-04,9.2
2024-11-05,7.9
2024-11-06,3.7
2024-11-07,27.8
2024-11-08,20.7
2024-11-09,6.2
2024-11-10,1.9
2024-11-11,14.1
2024-11-12,25.6
2024-11-13,9.8
2024-11-14,24.0
2024-11-15,6.0
2024-11-16,17.1
2024-11-17,10.1
2024-11-18,15.2
2024-11-19,12.6
2024-11-20,22.3
2024-11-21,8.3
2024-11-22,4.3
2024-11-23,15.4
2024-11-24,17.7
2024-11-25,13.7
2024-11-26,10.6
2024-11-27,2.9
2024-11-28,25.9
2024-11-29,3.8
2024-11-30,5.6
2024-12-01,3.1
2024-12-02,18.4
2024-12-03,13.5
2024-12-04,29.7
2024-12-05,9.7
2024-12-06,11.6
2024-12-07,9.5
2024-12-08,0.2
2024-12-09,19.2
2024-12-10,23.5
2024-12-11,26.9
2024-12-12,27.4
2024-12-13,1.0
2024-12-14,15.1
2024-12-15,22.6
2024-12-16,2.3
2024-12-17,22.4
2024-12-18,29.3
2024-12-19,4.0
2024-12-20,22.0
2024-12-21,18.7
2024-12-22,0.9
2024-12-23,1.0
2024-12-24,2.9
2024-12-25,26.2
2024-12-26,22.4
2024-12-27,25.1
2024-12-28,29.3
2024-12-29,9.8
2024-12-30,21.3
2024-12-31,0.3
2025-01-01,21.9
2025-01-02,6.2
2025-01-03,9.6
2025-01-04,28.3
2025-01-05,12.0
2025-01-06,23.7
2025-01-07,10.9
2025-01-08,22.1
2025-01-09,4.1
2025-01-10,14.8
2025-01-11,14.4
2025-01-12,2.4
2025-01-13,23.9
2025-01-14,6.3
2025-01-15,14.6
2025-01-16,8.6
2025-01-17,1.4
2025-01-18,15.3
2025-01-19,28.1
2025-01-20,16.6
2025-01-21,4.9
2025-01-22,6.6
2025-01-23,7.3
2025-01-24,27.0
2025-01-25,26.1
2025-01-26,21.5
2025-01-27,23.4
2025-01-28,24.2
2025-01-29,23.2
2025-01-30,17.3
2025-01-31,7.4
2025-02-01,26.3
2025-02-02,17.7
2025-02-03,14.5
2025-02-04,11.4
2025-02-05,9.1
2025-02-06,20.7
2025-02-07,10.8
2025-02-08,20.1
2025-02-09,9.4
2025-02-10,2.0
2025-02-11,20.4
2025-02-12,1.8
2025-02-13,28.2
2025-02-14,1.7
2025-02-15,4.2
2025-02-16,2.5
2025-02-17,1.7
2025-02-18,15.3
2025-02-19,21.5
2025-02-20,6.1
2025-02-21,12.2
2025-02-22,26.7
2025-02-23,15.3
2025-02-24,18.5
2025-02-25,29.3
2025-02-26,0.3
2025-02-27,15.5
2025-02-28,14.5
2025-03-01,21.4
2025-03-02,7.3
2025-03-03,2.9
2025-03-04,7.0
2025-03-05,25.1
2025-03-06,5.3
2025-03-07,14.0
2025-03-08,25.0
2025-03-09,29.6
2025-03-10,21.9
2025-03-11,5.2
2025-03-12,10.0
2025-03-13,12.3
2025-03-14,10.6
2025-03-15,29.2
2025-03-16,7.1
2025-03-17,2.0
2025-03-18,8.8
2025-03-19,20.2
2025-03-20,29.7
2025-03-21,19.5
2025-03-22,6.2
2025-03-23,17.3
2025-03-24,3.2
2025-03-25,24.7
2025-03-26,28.0
2025-03-27,0.3
2025-03-28,25.8
2025-03-29,23.6
2025-03-30,15.3
2025-03-31,29.3
2025-04-01,17.4
2025-04-02,6.7
2025-04-03,23.9
2025-04-04,21.5
2025-04-05,19.5
2025-04-06,1.0
2025-04-07,24.7
2025-04-08,15.0
2025-04-09,5.4
2025-04-10,25.2
2025-04-11,8.2
2025-04-12,4.7
2025-04-13,0.6
2025-04-14,21.8
2025-04-15,5.3
2025-04-16,8.4
2025-04-17,11.6
2025-04-18,11.9
2025-04-19,3.1
2025-04-20,19.6
2025-04-21,21.7
2025-04-22,5.1
2025-04-23,27.7
2025-04-24,14.1
2025-04-25,24.3
2025-04-26,5.7
2025-04-27,12.4
2025-04-28,22.1
2025-04-29,12.9
2025-04-30,19.8
2025-05-01,14.7
2025-05-02,13.7
2025-05-03,13.4
2025-05-04,7.8
2025-05-05,19.7
2025-05-06,12.7
2025-05-07,21.5
2025-05-08,27.5
2025-05-09,5.6
2025-05-10,24.5
2025-05-11,4.5
2025-05-12,3.3
2025-05-13,22.7
2025-05-14,10.1
2025-05-15,3.6
2025-05-16,19.2
2025-05-17,18.6
2025-05-18,13.7
2025-05-19,9.6
2025-05-20,21.9
2025-05-21,26.9
2025-05-22,25.7
2025-05-23,16.0
2025-05-24,22.8
2025-05-25,15.4
2025-05-26,21.7
2025-05-27,24.6
2025-05-28,16.7
2025-05-29,1.1
2025-05-30,12.5
2025-05-31,1.2
2025-06-01,24.8
2025-06-02,13.1
2025-06-03,17.6
2025-06-04,17.9
2025-06-05,11.8
2025-06-06,21.9
2025-06-07,24.2
2025-06-08,24.9
