date,temperature
2023-06-10,-4.0
2023-06-11,-6.1
2023-06-12,-14.3
2023-06-13,-7.5
2023-06-14,-7.9
2023-06-15,-9.1
2023-06-16,9.6
2023-06-17,13.1
2023-06-18,-3.3
2023-06-19,-19.0
2023-06-20,3.0
2023-06-21,-15.5
2023-06-22,10.6
2023-06-23,-1.1
2023-06-24,19.1
2023-06-25,13.2
2023-06-26,-6.3
2023-06-27,12.9
2023-06-28,-3.9
2023-06-29,4.9
2023-06-30,1.4
2023-07-01,-9.7
2023-07-02,14.8
2023-07-03,-6.4
2023-07-04,7.7
2023-07-05,18.9
2023-07-06,19.0
2023-07-07,16.0
2023-07-08,-0.0
2023-07-09,12.9
2023-07-10,-3.5
2023-07-11,7.5
2023-07-12,-19.0
2023-07-13,-14.8
2023-07-14,-8.7
2023-07-15,-5.7
2023-07-16,15.9
2023-07-17,-2.8
2023-07-18,-13.8
2023-07-19,-3.9
2023-07-20,-1.7
2023-07-21,8.2
2023-07-22,14.4
2023-07-23,-1.2
2023-07-24,-11.0
2023-07-25,-6.5
2023-07-26,-15.9
2023-07-27,16.6
2023-07-28,-19.9
2023-07-29,11.3
2023-07-30,9.2
2023-07-31,11.8
2023-08-01,16.0
2023-08-02,-9.7
2023-08-03,-13.5
2023-08-04,2.1
2023-08-05,18.8
2023-08-06,-5.2
2023-08-07,-10.9
2023-08-08,6.9
2023-08-09,17.5
2023-08-10,16.9
2023-08-11,18.3
2023-08-12,11.3
2023-08-13,1.9
2023-08-14,-10.7
2023-08-15,-2.3
2023-08-16,-14.5
2023-08-17,-9.9
2023-08-18,7.8
2023-08-19,-7.4
2023-08-20,4.0
2023-08-21,-1.9
2023-08-22,-10.1
2023-08-23,-3.0
2023-08-24,-18.9
2023-08-25,13.2
2023-08-26,12.3
2023-08-27,18.3
2023-08-28,6.3
2023-08-29,-7.1
2023-08-30,13.1
2023-08-31,14.3
2023-09-01,-0.7
2023-09-02,-15.5
2023-09-03,-17.9
2023-09-04,1.6
2023-09-05,0.6
2023-09-06,2.5
2023-09-07,19.9
2023-09-08,-12.0
2023-09-09,0.4
2023-09-10,-1.2
2023-09-11,5.7
2023-09-12,18.1
2023-09-13,9.7
2023-09-14,-7.4
2023-09-15,19.3
2023-09-16,0.5
2023-09-17,-8.6
2023-09-18,-19.7
2023-09-19,5.4
2023-09-20,4.4
2023-09-21,0.4
