date,temperature
2023-06-10,22.5
2023-06-11,-3.2
2023-06-12,15.1
2023-06-13,24.7
2023-06-14,3.7
2023-06-15,8.7
2023-06-16,-1.1
2023-06-17,26.0
2023-06-18,12.2
2023-06-19,18.3
2023-06-20,14.2
2023-06-21,1.7
2023-06-22,11.6
2023-06-23,10.6
2023-06-24,28.5
2023-06-25,-1.9
2023-06-26,20.2
2023-06-27,11.8
2023-06-28,28.4
2023-06-29,-2.9
2023-06-30,28.9
2023-07-01,3.3
2023-07-02,6.2
2023-07-03,11.8
2023-07-04,17.4
2023-07-05,13.2
2023-07-06,27.3
2023-07-07,15.8
2023-07-08,3.7
2023-07-09,10.8
2023-07-10,20.9
2023-07-11,13.0
2023-07-12,28.1
2023-07-13,20.4
2023-07-14,21.9
2023-07-15,0.6
2023-07-16,1.5
2023-07-17,0.4
2023-07-18,24.9
2023-07-19,29.7
2023-07-20,29.8
2023-07-21,27.4
2023-07-22,24.7
2023-07-23,1.9
2023-07-24,2.2
2023-07-25,5.9
2023-07-26,0.3
2023-07-27,12.9
2023-07-28,6.5
2023-07-29,26.3
2023-07-30,25.7
2023-07-31,-2.5
2023-08-01,2.4
2023-08-02,10.2
2023-08-03,12.2
2023-08-04,-1.5
2023-08-05,29.1
2023-08-06,26.2
2023-08-07,-4.6
2023-08-08,20.8
2023-08-09,-1.3
2023-08-10,5.4
2023-08-11,16.2
2023-08-12,19.1
2023-08-13,7.7
2023-08-14,24.5
2023-08-15,24.6
2023-08-16,23.7
2023-08-17,11.5
2023-08-18,6.7
2023-08-19,18.7
2023-08-20,9.4
2023-08-21,20.7
2023-08-22,9.3
2023-08-23,12.6
2023-08-24,1.6
2023-08-25,21.7
2023-08-26,3.3
2023-08-27,23.0
2023-08-28,3.7
2023-08-29,26.9
2023-08-30,17.1
2023-08-31,23.7
2023-09-01,-3.2
2023-09-02,-0.8
2023-09-03,24.7
2023-09-04,3.3
2023-09-05,17.1
2023-09-06,-1.0
2023-09-07,27.8
2023-09-08,1.8
2023-09-09,14.1
2023-09-10,-3.9
2023-09-11,5.7
2023-09-12,11.5
2023-09-13,22.1
2023-09-14,5.0
2023-09-15,12.0
2023-09-16,8.0
2023-09-17,28.6
2023-09-18,16.9
2023-09-19,17.2
2023-09-20,16.0
2023-09-21,5.7
2023-09-22,26.6
2023-09-23,2.8
2023-09-24,19.4
2023-09-25,23.2
2023-09-26,13.1
2023-09-27,0.3
2023-09-28,3.2
2023-09-29,11.4
2023-09-30,18.2
2023-10-01,24.6
2023-10-02,-4.1
2023-10-03,17.8
2023-10-04,14.3
2023-10-05,23.9
2023-10-06,-3.9
2023-10-07,5.3
2023-10-08,6.7
2023-10-09,26.8
2023-10-10,9.4
2023-10-11,12.9
2023-10-12,2.5
2023-10-13,15.6
2023-10-14,12.9
2023-10-15,24.7
2023-10-16,6.4
2023-10-17,-4.8
2023-10-18,15.3
2023-10-19,11.7
2023-10-20,2.0
2023-10-21,17.9
2023-10-22,15.3
2023-10-23,1.6
2023-10-24,29.4
2023-10-25,11.1
2023-10-26,27.7
2023-10-27,6.6
2023-10-28,3.9
2023-10-29,-2.7
2023-10-30,-2.2
2023-10-31,18.3
2023-11-01,5.5
2023-11-02,7.6
2023-11-03,26.3
2023-11-04,0.4
2023-11-05,24.6
2023-11-06,3.4
2023-11-07,21.5
2023-11-08,27.4
2023-11-09,-2.9
2023-11-10,29.3
2023-11-11,5.2
2023-11-12,6.3
2023-11-13,29.5
2023-11-14,18.3
2023-11-15,19.9
2023-11-16,20.6
2023-11-17,19.1
2023-11-18,23.0
2023-11-19,6.8
2023-11-20,16.7
2023-11-21,21.6
2023-11-22,20.5
2023-11-23,2.5
2023-11-24,10.9
2023-11-25,29.7
2023-11-26,24.3
2023-11-27,5.0
2023-11-28,-2.7
2023-11-29,10.2
2023-11-30,-4.7
2023-12-01,20.0
2023-12-02,26.1
2023-12-03,5.2
2023-12-04,3.5
2023-12-05,-4.0
2023-12-06,0.2
2023-12-07,4.1
2023-12-08,5.6
2023-12-09,8.2
2023-12-10,0.3
2023-12-11,26.6
2023-12-12,1.5
2023-12-13,21.9
2023-12-14,24.5
2023-12-15,19.7
2023-12-16,28.8
2023-12-17,23.3
2023-12-18,13.9
2023-12-19,25.1
2023-12-20,2.5
2023-12-21,15.0
2023-12-22,7.9
2023-12-23,22.8
2023-12-24,27.6
2023-12-25,26.2
2023-12-26,24.3
2023-12-27,1.4
2023-12-28,10.0
2023-12-29,27.6
2023-12-30,27.4
2023-12-31,12.0
2024-01-01,-0.3
2024-01-02,27.1
2024-01-03,5.7
2024-01-04,17.7
2024-01-05,14.0
2024-01-06,26.3
2024-01-07,28.9
2024-01-08,-1.6
2024-01-09,5.0
