date,temperature
2023-06-10,14.6
2023-06-11,17.4
2023-06-12,15.8
2023-06-13,28.1
2023-06-14,16.7
2023-06-15,16.1
2023-06-16,18.9
2023-06-17,20.8
2023-06-18,15.1
2023-06-19,14.7
2023-06-20,21.4
2023-06-21,11.2
2023-06-22,16.3
2023-06-23,13.5
2023-06-24,17.7
2023-06-25,18.1
2023-06-26,22.7
2023-06-27,25.8
2023-06-28,14.7
2023-06-29,10.9
2023-06-30,25.0
2023-07-01,14.2
2023-07-02,11.6
2023-07-03,22.6
2023-07-04,22.4
2023-07-05,18.9
2023-07-06,28.8
2023-07-07,17.1
2023-07-08,27.8
2023-07-09,21.3
2023-07-10,10.8
2023-07-11,16.0
2023-07-12,10.9
2023-07-13,15.7
2023-07-14,19.9
2023-07-15,23.0
2023-07-16,17.8
2023-07-17,21.5
2023-07-18,25.5
2023-07-19,19.5
2023-07-20,15.8
2023-07-21,29.7
2023-07-22,29.1
2023-07-23,26.0
2023-07-24,12.7
2023-07-25,25.2
2023-07-26,27.2
2023-07-27,12.5
2023-07-28,29.2
2023-07-29,15.9
2023-07-30,23.7
2023-07-31,11.5
2023-08-01,13.5
2023-08-02,29.9
2023-08-03,24.0
2023-08-04,22.0
2023-08-05,26.5
2023-08-06,17.6
2023-08-07,18.7
2023-08-08,16.9
2023-08-09,26.7
2023-08-10,28.6
2023-08-11,13.2
2023-08-12,12.4
2023-08-13,17.7
2023-08-14,27.9
2023-08-15,11.5
2023-08-16,20.8
2023-08-17,21.5
2023-08-18,13.0
2023-08-19,26.8
2023-08-20,20.6
2023-08-21,20.9
2023-08-22,28.4
2023-08-23,18.5
2023-08-24,10.7
2023-08-25,11.2
2023-08-26,13.8
2023-08-27,29.9
2023-08-28,19.9
2023-08-29,21.2
2023-08-30,15.7
2023-08-31,15.6
2023-09-01,25.0
2023-09-02,26.6
2023-09-03,20.4
2023-09-04,10.3
2023-09-05,26.9
2023-09-06,13.3
2023-09-07,20.0
2023-09-08,26.2
2023-09-09,23.2
2023-09-10,11.8
2023-09-11,21.7
2023-09-12,28.3
2023-09-13,27.7
2023-09-14,23.6
2023-09-15,11.7
2023-09-16,20.6
2023-09-17,21.6
2023-09-18,17.6
2023-09-19,25.4
2023-09-20,10.0
2023-09-21,16.8
2023-09-22,26.0
2023-09-23,13.8
2023-09-24,15.8
2023-09-25,21.1
2023-09-26,18.0
2023-09-27,26.8
2023-09-28,10.1
2023-09-29,13.8
