date,temperature
2023-06-10,25.6
2023-06-11,25.5
2023-06-12,5.4
2023-06-13,21.7
2023-06-14,5.9
2023-06-15,3.3
2023-06-16,24.1
2023-06-17,9.4
2023-06-18,11.7
2023-06-19,2.2
2023-06-20,1.2
2023-06-21,17.9
2023-06-22,26.8
2023-06-23,18.9
2023-06-24,2.8
2023-06-25,17.1
2023-06-26,25.0
2023-06-27,17.7
2023-06-28,13.7
2023-06-29,11.0
2023-06-30,17.6
2023-07-01,7.6
2023-07-02,5.6
2023-07-03,8.9
2023-07-04,23.6
2023-07-05,17.8
2023-07-06,11.0
2023-07-07,23.6
2023-07-08,17.2
2023-07-09,27.3
2023-07-10,29.9
2023-07-11,4.2
2023-07-12,22.7
2023-07-13,1.9
2023-07-14,20.1
2023-07-15,27.2
2023-07-16,2.9
2023-07-17,11.9
2023-07-18,12.3
2023-07-19,20.9
2023-07-20,29.6
2023-07-21,17.5
2023-07-22,17.0
2023-07-23,6.9
2023-07-24,29.3
2023-07-25,18.8
2023-07-26,19.9
2023-07-27,15.4
2023-07-28,5.7
2023-07-29,16.5
2023-07-30,17.5
2023-07-31,29.8
2023-08-01,3.0
2023-08-02,5.2
2023-08-03,4.1
2023-08-04,24.6
2023-08-05,0.8
2023-08-06,18.2
2023-08-07,25.7
2023-08-08,13.2
2023-08-09,18.9
2023-08-10,4.0
2023-08-11,2.2
2023-08-12,26.8
2023-08-13,3.1
2023-08-14,24.4
2023-08-15,16.3
2023-08-16,23.2
2023-08-17,1.9
2023-08-18,1.2
2023-08-19,5.1
2023-08-20,19.7
2023-08-21,6.8
2023-08-22,2.3
2023-08-23,7.4
2023-08-24,10.0
2023-08-25,5.7
2023-08-26,8.9
2023-08-27,10.2
2023-08-28,22.6
2023-08-29,2.6
2023-08-30,14.0
2023-08-31,17.7
2023-09-01,15.1
2023-09-02,27.4
2023-09-03,8.1
2023-09-04,12.5
2023-09-05,15.6
2023-09-06,7.7
2023-09-07,15.6
2023-09-08,6.6
2023-09-09,21.5
2023-09-10,26.6
2023-09-11,4.3
2023-09-12,13.6
2023-09-13,21.0
2023-09-14,8.7
2023-09-15,0.7
2023-09-16,24.8
2023-09-17,29.1
2023-09-18,29.8
2023-09-19,0.9
2023-09-20,12.9
2023-09-21,11.2
2023-09-22,2.4
2023-09-23,23.9
2023-09-24,8.0
2023-09-25,24.1
2023-09-26,28.4
2023-09-27,20.6
2023-09-28,28.9
2023-09-29,25.4
2023-09-30,14.5
2023-10-01,13.2
2023-10-02,19.6
2023-10-03,8.6
2023-10-04,2.8
2023-10-05,16.0
2023-10-06,29.3
2023-10-07,9.9
2023-10-08,11.2
2023-10-09,2.9
2023-10-10,27.1
2023-10-11,6.4
2023-10-12,27.6
2023-10-13,13.4
2023-10-14,10.5
2023-10-15,15.6
2023-10-16,9.5
2023-10-17,0.6
2023-10-18,20.5
2023-10-19,4.5
2023-10-20,4.2
2023-10-21,19.5
2023-10-22,14.2
2023-10-23,7.7
2023-10-24,0.9
2023-10-25,16.8
2023-10-26,13.8
2023-10-27,0.7
2023-10-28,12.4
2023-10-29,25.7
2023-10-30,0.7
2023-10-31,24.5
2023-11-01,11.1
2023-11-02,0.4
2023-11-03,27.2
2023-11-04,18.2
2023-11-05,22.8
2023-11-06,29.5
2023-11-07,17.9
2023-11-08,17.0
2023-11-09,6.3
2023-11-10,8.6
2023-11-11,13.9
2023-11-12,10.5
2023-11-13,20.1
2023-11-14,15.3
2023-11-15,5.4
2023-11-16,5.7
2023-11-17,0.1
2023-11-18,17.4
2023-11-19,28.7
2023-11-20,11.5
2023-11-21,11.1
2023-11-22,29.7
2023-11-23,6.1
2023-11-24,19.4
2023-11-25,6.7
2023-11-26,10.7
2023-11-27,29.4
2023-11-28,4.6
2023-11-29,9.8
2023-11-30,23.2
2023-12-01,23.1
2023-12-02,11.2
2023-12-03,14.2
2023-12-04,12.7
2023-12-05,6.1
2023-12-06,16.2
2023-12-07,8.7
2023-12-08,20.0
2023-12-09,14.0
2023-12-10,19.5
2023-12-11,24.3
2023-12-12,29.0
2023-12-13,20.5
2023-12-14,11.3
2023-12-15,21.8
2023-12-16,26.1
2023-12-17,25.3
2023-12-18,11.5
2023-12-19,19.8
2023-12-20,4.0
2023-12-21,9.0
2023-12-22,11.6
2023-12-23,4.6
2023-12-24,6.9
2023-12-25,8.2
2023-12-26,11.3
2023-12-27,4.9
2023-12-28,20.1
2023-12-29,4.1
2023-12-30,12.5
2023-12-31,7.4
2024-01-01,15.6
2024-01-02,20.5
2024-01-03,6.2
2024-01-04,9.0
2024-01-05,8.0
2024-01-06,0.0
2024-01-07,13.1
2024-01-08,11.6
2024-01-09,28.5
2024-01-10,3.4
2024-01-11,27.5
2024-01-12,9.0
2024-01-13,15.1
2024-01-14,26.1
2024-01-15,11.2
2024-01-16,20.4
2024-01-17,3.8
2024-01-18,23.5
2024-01-19,1.8
2024-01-20,7.3
2024-01-21,7.5
2024-01-22,14.9
2024-01-23,9.9
2024-01-24,9.8
2024-01-25,25.5
2024-01-26,13.3
2024-01-27,3.4
2024-01-28,28.6
2024-01-29,1.3
2024-01-30,28.5
2024-01-31,17.2
2024-02-01,5.6
2024-02-02,26.1
2024-02-03,6.2
2024-02-04,20.4
2024-02-05,24.2
2024-02-06,7.4
2024-02-07,27.2
2024-02-08,17.9
2024-02-09,1.4
2024-02-10,9.3
2024-02-11,15.1
2024-02-12,23.6
2024-02-13,1.0
2024-02-14,14.0
