date,temperature
2023-06-10,-9.0
2023-06-11,-3.1
2023-06-12,11.3
2023-06-13,-0.7
2023-06-14,-7.7
2023-06-15,29.0
2023-06-16,-7.9
2023-06-17,21.0
2023-06-18,-1.4
2023-06-19,4.0
2023-06-20,-2.5
2023-06-21,19.5
2023-06-22,-9.4
2023-06-23,28.9
2023-06-24,18.2
2023-06-25,26.2
2023-06-26,-5.3
2023-06-27,25.0
2023-06-28,-7.9
2023-06-29,16.2
2023-06-30,3.0
2023-07-01,26.5
2023-07-02,5.4
2023-07-03,8.0
2023-07-04,-7.1
2023-07-05,-1.2
2023-07-06,17.8
2023-07-07,18.6
2023-07-08,14.2
2023-07-09,16.3
2023-07-10,25.7
2023-07-11,27.2
2023-07-12,-3.6
2023-07-13,16.6
2023-07-14,29.4
2023-07-15,-7.4
2023-07-16,-5.6
2023-07-17,21.6
2023-07-18,3.8
2023-07-19,29.2
2023-07-20,11.7
2023-07-21,14.7
2023-07-22,10.0
2023-07-23,29.2
2023-07-24,13.1
2023-07-25,2.1
2023-07-26,-4.3
2023-07-27,17.0
2023-07-28,-4.4
2023-07-29,5.1
2023-07-30,15.0
2023-07-31,11.4
2023-08-01,9.1
2023-08-02,27.7
2023-08-03,-4.8
2023-08-04,24.9
2023-08-05,9.2
2023-08-06,-0.1
2023-08-07,18.3
2023-08-08,9.0
2023-08-09,29.4
2023-08-10,18.9
2023-08-11,24.2
2023-08-12,10.1
2023-08-13,5.7
2023-08-14,17.0
2023-08-15,-3.7
2023-08-16,-1.5
2023-08-17,18.8
2023-08-18,25.6
2023-08-19,24.3
2023-08-20,21.7
2023-08-21,8.1
2023-08-22,14.5
2023-08-23,-6.1
2023-08-24,1.6
2023-08-25,15.2
2023-08-26,12.1
2023-08-27,3.3
2023-08-28,17.0
2023-08-29,7.7
2023-08-30,-1.5
2023-08-31,17.0
2023-09-01,11.4
2023-09-02,1.6
2023-09-03,-4.3
2023-09-04,18.1
2023-09-05,14.8
2023-09-06,18.3
2023-09-07,-2.4
2023-09-08,18.3
2023-09-09,29.6
2023-09-10,-7.6
2023-09-11,-8.7
2023-09-12,9.8
2023-09-13,2.0
2023-09-14,-5.0
2023-09-15,19.3
2023-09-16,29.9
2023-09-17,29.4
2023-09-18,22.9
2023-09-19,6.9
2023-09-20,6.3
2023-09-21,18.3
2023-09-22,0.1
2023-09-23,25.5
2023-09-24,0.9
2023-09-25,10.4
2023-09-26,5.8
2023-09-27,12.9
2023-09-28,16.5
2023-09-29,29.4
2023-09-30,-2.1
2023-10-01,-5.4
2023-10-02,27.9
2023-10-03,27.2
2023-10-04,27.2
2023-10-05,24.2
2023-10-06,22.1
2023-10-07,15.9
2023-10-08,-1.2
2023-10-09,11.2
2023-10-10,12.0
2023-10-11,-0.5
2023-10-12,-7.0
2023-10-13,-5.9
2023-10-14,11.2
2023-10-15,10.9
2023-10-16,30.0
2023-10-17,-9.5
2023-10-18,11.0
2023-10-19,24.0
2023-10-20,15.5
2023-10-21,25.2
2023-10-22,11.7
2023-10-23,16.2
2023-10-24,-1.0
2023-10-25,26.3
2023-10-26,19.3
2023-10-27,14.0
2023-10-28,6.9
2023-10-29,12.3
2023-10-30,-0.6
2023-10-31,18.6
2023-11-01,8.3
2023-11-02,1.0
2023-11-03,5.5
2023-11-04,15.5
2023-11-05,18.6
2023-11-06,19.2
2023-11-07,19.6
2023-11-08,2.6
2023-11-09,6.1
2023-11-10,-8.2
2023-11-11,-6.5
2023-11-12,10.4
2023-11-13,26.2
2023-11-14,17.1
2023-11-15,6.4
2023-11-16,15.5
2023-11-17,15.8
2023-11-18,20.1
2023-11-19,5.6
2023-11-20,-9.8
2023-11-21,9.2
2023-11-22,14.5
2023-11-23,-7.4
2023-11-24,5.5
2023-11-25,-5.3
2023-11-26,12.8
2023-11-27,-9.8
2023-11-28,23.1
2023-11-29,-0.1
2023-11-30,6.9
2023-12-01,8.6
2023-12-02,20.9
2023-12-03,18.1
2023-12-04,25.0
