date,temperature
2023-06-10,-4.7
2023-06-11,23.6
2023-06-12,29.4
2023-06-13,13.8
2023-06-14,7.9
2023-06-15,-3.8
2023-06-16,0.8
2023-06-17,18.7
2023-06-18,3.7
2023-06-19,-2.8
2023-06-20,11.9
2023-06-21,19.6
2023-06-22,5.5
2023-06-23,28.1
2023-06-24,28.2
2023-06-25,-1.4
2023-06-26,29.4
2023-06-27,-3.8
2023-06-28,28.5
2023-06-29,10.9
2023-06-30,13.9
2023-07-01,24.9
2023-07-02,11.8
2023-07-03,9.5
2023-07-04,10.1
2023-07-05,13.1
2023-07-06,-2.7
2023-07-07,8.6
2023-07-08,19.3
2023-07-09,13.1
2023-07-10,19.5
2023-07-11,20.8
2023-07-12,28.9
2023-07-13,19.3
2023-07-14,0.4
2023-07-15,15.5
2023-07-16,13.2
2023-07-17,23.8
2023-07-18,27.3
2023-07-19,7.2
2023-07-20,-2.5
2023-07-21,10.5
2023-07-22,9.6
2023-07-23,-1.6
2023-07-24,7.6
2023-07-25,10.4
2023-07-26,9.1
2023-07-27,13.4
2023-07-28,-0.8
2023-07-29,26.1
2023-07-30,2.4
2023-07-31,-3.6
2023-08-01,18.3
2023-08-02,19.5
2023-08-03,24.7
2023-08-04,18.7
2023-08-05,7.9
2023-08-06,1.3
2023-08-07,5.9
2023-08-08,-2.2
2023-08-09,5.6
2023-08-10,-4.2
2023-08-11,28.9
2023-08-12,15.6
2023-08-13,29.7
2023-08-14,6.1
2023-08-15,22.7
2023-08-16,23.5
2023-08-17,5.7
2023-08-18,21.5
2023-08-19,13.3
2023-08-20,-3.2
2023-08-21,0.6
2023-08-22,17.8
2023-08-23,22.4
2023-08-24,3.2
2023-08-25,9.2
2023-08-26,1.2
2023-08-27,18.6
2023-08-28,0.6
2023-08-29,18.3
2023-08-30,1.7
2023-08-31,11.2
2023-09-01,12.3
2023-09-02,-2.4
2023-09-03,-4.6
2023-09-04,12.6
2023-09-05,26.6
2023-09-06,23.8
2023-09-07,7.8
2023-09-08,24.0
2023-09-09,11.4
2023-09-10,22.1
2023-09-11,11.3
2023-09-12,14.1
2023-09-13,-1.4
2023-09-14,22.2
2023-09-15,29.9
2023-09-16,22.5
2023-09-17,-0.2
2023-09-18,3.3
2023-09-19,3.7
2023-09-20,16.4
2023-09-21,28.1
2023-09-22,-0.8
2023-09-23,26.8
2023-09-24,15.5
2023-09-25,23.8
2023-09-26,3.4
2023-09-27,16.2
2023-09-28,29.9
2023-09-29,13.1
2023-09-30,12.9
2023-10-01,-4.5
2023-10-02,23.4
2023-10-03,3.1
2023-10-04,4.8
2023-10-05,14.6
2023-10-06,6.4
2023-10-07,15.5
2023-10-08,-1.7
2023-10-09,20.3
2023-10-10,7.9
2023-10-11,-1.9
2023-10-12,24.5
2023-10-13,22.1
2023-10-14,16.6
2023-10-15,3.0
2023-10-16,2.2
2023-10-17,22.0
2023-10-18,28.8
2023-10-19,13.3
2023-10-20,15.2
2023-10-21,21.3
2023-10-22,19.9
2023-10-23,7.0
2023-10-24,14.6
2023-10-25,1.0
2023-10-26,10.6
2023-10-27,5.1
2023-10-28,4.1
2023-10-29,17.2
2023-10-30,24.2
2023-10-31,19.3
2023-11-01,12.6
2023-11-02,4.6
2023-11-03,-4.9
2023-11-04,11.2
2023-11-05,29.1
2023-11-06,0.3
2023-11-07,24.8
2023-11-08,6.5
2023-11-09,21.5
2023-11-10,22.5
2023-11-11,23.5
2023-11-12,12.9
2023-11-13,-3.4
2023-11-14,3.8
2023-11-15,0.3
2023-11-16,23.7
2023-11-17,7.8
2023-11-18,21.3
2023-11-19,17.8
2023-11-20,21.4
2023-11-21,0.4
2023-11-22,6.9
2023-11-23,11.6
2023-11-24,16.6
2023-11-25,22.9
2023-11-26,22.0
2023-11-27,23.8
2023-11-28,17.6
2023-11-29,19.3
2023-11-30,19.4
2023-12-01,21.5
2023-12-02,2.9
2023-12-03,29.8
2023-12-04,11.7
2023-12-05,7.8
2023-12-06,14.5
2023-12-07,23.8
2023-12-08,24.9
2023-12-09,12.0
2023-12-10,11.9
2023-12-11,25.4
2023-12-12,0.2
2023-12-13,-1.3
2023-12-14,19.6
2023-12-15,27.2
2023-12-16,-3.0
2023-12-17,19.1
2023-12-18,5.4
2023-12-19,6.6
2023-12-20,7.7
2023-12-21,28.7
2023-12-22,5.7
2023-12-23,2.2
