date,temperature
2023-06-10,24.0
2023-06-11,11.3
2023-06-12,19.4
2023-06-13,12.7
2023-06-14,15.7
2023-06-15,15.9
2023-06-16,12.0
2023-06-17,22.4
2023-06-18,18.7
2023-06-19,18.7
2023-06-20,27.2
2023-06-21,20.3
2023-06-22,17.9
2023-06-23,10.4
2023-06-24,10.1
2023-06-25,12.6
2023-06-26,22.9
2023-06-27,27.4
2023-06-28,26.8
2023-06-29,15.5
2023-06-30,15.3
2023-07-01,24.2
2023-07-02,22.4
2023-07-03,17.7
2023-07-04,18.4
2023-07-05,18.2
2023-07-06,20.2
2023-07-07,24.6
2023-07-08,13.8
2023-07-09,26.2
2023-07-10,13.6
2023-07-11,21.2
2023-07-12,18.0
2023-07-13,14.4
2023-07-14,12.0
2023-07-15,27.9
2023-07-16,12.9
2023-07-17,14.7
2023-07-18,22.4
2023-07-19,17.9
2023-07-20,17.4
2023-07-21,14.9
2023-07-22,27.8
2023-07-23,13.3
2023-07-24,28.8
2023-07-25,15.8
2023-07-26,23.3
2023-07-27,13.3
2023-07-28,12.8
2023-07-29,11.5
2023-07-30,18.0
2023-07-31,15.7
2023-08-01,20.5
2023-08-02,14.6
2023-08-03,17.4
2023-08-04,15.1
2023-08-05,25.1
2023-08-06,26.5
2023-08-07,10.6
2023-08-08,16.4
2023-08-09,27.0
2023-08-10,22.2
2023-08-11,28.0
2023-08-12,25.8
2023-08-13,24.6
2023-08-14,12.3
2023-08-15,28.1
2023-08-16,20.9
2023-08-17,15.9
2023-08-18,14.7
2023-08-19,28.7
2023-08-20,27.6
2023-08-21,13.1
2023-08-22,25.1
2023-08-23,19.6
2023-08-24,16.5
2023-08-25,15.5
2023-08-26,11.9
2023-08-27,27.0
2023-08-28,18.8
2023-08-29,27.0
2023-08-30,23.7
2023-08-31,26.1
2023-09-01,18.5
2023-09-02,24.1
2023-09-03,13.0
2023-09-04,18.5
2023-09-05,18.9
2023-09-06,23.4
2023-09-07,15.5
2023-09-08,18.6
2023-09-09,22.4
2023-09-10,20.0
2023-09-11,28.9
2023-09-12,20.6
2023-09-13,26.5
2023-09-14,10.3
2023-09-15,27.1
2023-09-16,13.4
2023-09-17,12.7
2023-09-18,11.3
2023-09-19,14.5
2023-09-20,17.0
2023-09-21,17.0
2023-09-22,12.1
2023-09-23,25.5
2023-09-24,16.2
2023-09-25,13.0
2023-09-26,29.7
2023-09-27,16.0
2023-09-28,28.7
2023-09-29,27.7
2023-09-30,28.7
2023-10-01,17.5
2023-10-02,17.6
2023-10-03,21.2
2023-10-04,22.0
2023-10-05,15.1
2023-10-06,17.0
2023-10-07,13.3
2023-10-08,12.2
2023-10-09,17.3
2023-10-10,29.0
2023-10-11,29.4
2023-10-12,20.7
2023-10-13,28.2
2023-10-14,10.9
2023-10-15,14.3
2023-10-16,15.2
2023-10-17,20.8
2023-10-18,28.0
2023-10-19,14.5
2023-10-20,15.5
2023-10-21,29.6
2023-10-22,22.2
2023-10-23,12.5
2023-10-24,14.5
2023-10-25,16.0
2023-10-26,19.1
2023-10-27,11.0
2023-10-28,27.1
2023-10-29,17.9
2023-10-30,27.9
2023-10-31,13.6
2023-11-01,27.1
2023-11-02,16.6
2023-11-03,18.1
2023-11-04,16.9
2023-11-05,27.4
2023-11-06,29.0
2023-11-07,18.5
2023-11-08,25.7
2023-11-09,29.2
2023-11-10,11.4
2023-11-11,27.4
2023-11-12,21.6
2023-11-13,29.2
2023-11-14,29.6
2023-11-15,26.2
2023-11-16,19.2
2023-11-17,29.1
2023-11-18,21.2
2023-11-19,23.3
2023-11-20,28.5
2023-11-21,16.1
2023-11-22,13.3
2023-11-23,29.9
2023-11-24,16.6
2023-11-25,12.5
2023-11-26,19.7
2023-11-27,14.5
2023-11-28,18.1
2023-11-29,14.7
2023-11-30,11.0
2023-12-01,26.6
2023-12-02,29.9
2023-12-03,23.2
2023-12-04,23.8
2023-12-05,29.0
2023-12-06,20.8
2023-12-07,18.3
2023-12-08,29.1
2023-12-09,13.7
2023-12-10,11.7
2023-12-11,29.0
2023-12-12,20.3
2023-12-13,16.4
2023-12-14,11.4
2023-12-15,16.2
2023-12-16,14.3
2023-12-17,27.1
2023-12-18,29.4
2023-12-19,12.3
2023-12-20,22.3
2023-12-21,23.4
2023-12-22,18.3
2023-12-23,21.5
2023-12-24,18.0
2023-12-25,17.6
2023-12-26,12.0
2023-12-27,27.6
2023-12-28,28.1
2023-12-29,24.0
2023-12-30,26.1
2023-12-31,25.4
2024-01-01,13.6
2024-01-02,12.8
2024-01-03,17.5
2024-01-04,12.6
2024-01-05,14.5
2024-01-06,15.2
2024-01-07,24.3
2024-01-08,12.0
2024-01-09,12.0
2024-01-10,15.9
2024-01-11,24.2
2024-01-12,28.8
2024-01-13,19.4
2024-01-14,25.3
2024-01-15,11.5
2024-01-16,28.8
2024-01-17,16.1
2024-01-18,11.3
2024-01-19,17.3
2024-01-20,19.6
2024-01-21,21.2
2024-01-22,20.6
2024-01-23,23.9
2024-01-24,28.0
2024-01-25,29.0
2024-01-26,28.9
2024-01-27,26.6
2024-01-28,16.9
2024-01-29,14.5
2024-01-30,17.2
2024-01-31,26.9
2024-02-01,28.7
2024-02-02,12.5
2024-02-03,23.9
2024-02-04,21.9
2024-02-05,17.6
2024-02-06,25.8
2024-02-07,27.1
2024-02-08,10.7
2024-02-09,10.8
2024-02-10,16.0
2024-02-11,18.2
2024-02-12,28.2
2024-02-13,12.2
2024-02-14,29.1
2024-02-15,24.0
2024-02-16,13.1
2024-02-17,21.7
2024-02-18,14.8
2024-02-19,12.4
2024-02-20,26.4
2024-02-21,11.7
2024-02-22,26.7
2024-02-23,15.7
2024-02-24,22.7
2024-02-25,20.8
2024-02-26,26.0
2024-02-27,14.6
2024-02-28,17.5
2024-02-29,12.4
2024-03-01,16.2
2024-03-02,13.8
2024-03-03,16.7
2024-03-04,10.4
2024-03-05,16.7
2024-03-06,24.7
2024-03-07,23.2
2024-03-08,26.7
2024-03-09,11.3
2024-03-10,19.2
2024-03-11,20.1
