date,temperature
2023-06-10,27.4
2023-06-11,30.9
2023-06-12,18.7
2023-06-13,27.5
2023-06-14,25.9
2023-06-15,28.7
2023-06-16,29.0
2023-06-17,20.4
2023-06-18,19.1
2023-06-19,22.9
2023-06-20,19.8
2023-06-21,22.9
2023-06-22,18.4
2023-06-23,20.6
2023-06-24,31.1
2023-06-25,23.4
2023-06-26,29.2
2023-06-27,34.8
2023-06-28,33.8
2023-06-29,31.8
2023-06-30,33.4
2023-07-01,30.6
2023-07-02,18.7
2023-07-03,16.5
2023-07-04,20.0
2023-07-05,30.9
2023-07-06,23.8
2023-07-07,17.6
2023-07-08,28.4
2023-07-09,16.7
2023-07-10,19.5
2023-07-11,26.4
2023-07-12,19.4
2023-07-13,24.8
2023-07-14,30.8
2023-07-15,18.5
2023-07-16,34.4
2023-07-17,29.3
2023-07-18,16.0
2023-07-19,31.1
2023-07-20,21.4
2023-07-21,30.7
2023-07-22,16.4
2023-07-23,30.0
2023-07-24,31.8
2023-07-25,31.6
2023-07-26,18.5
2023-07-27,30.0
2023-07-28,23.6
2023-07-29,21.5
2023-07-30,29.5
2023-07-31,20.7
2023-08-01,33.6
2023-08-02,21.9
2023-08-03,34.4
2023-08-04,25.7
2023-08-05,31.5
2023-08-06,29.9
2023-08-07,15.5
2023-08-08,17.3
2023-08-09,22.2
2023-08-10,21.2
2023-08-11,20.6
2023-08-12,30.4
2023-08-13,30.4
2023-08-14,26.9
2023-08-15,29.2
2023-08-16,15.9
2023-08-17,19.3
2023-08-18,34.6
2023-08-19,27.2
2023-08-20,27.1
2023-08-21,33.7
2023-08-22,19.1
2023-08-23,30.4
2023-08-24,18.6
2023-08-25,20.2
2023-08-26,15.0
2023-08-27,16.3
2023-08-28,22.9
2023-08-29,27.6
2023-08-30,20.9
2023-08-31,27.1
2023-09-01,21.1
2023-09-02,22.4
2023-09-03,23.5
2023-09-04,17.0
2023-09-05,22.3
2023-09-06,20.6
2023-09-07,29.3
2023-09-08,17.5
2023-09-09,24.4
2023-09-10,25.8
2023-09-11,31.8
2023-09-12,27.7
2023-09-13,19.7
2023-09-14,26.0
2023-09-15,25.4
2023-09-16,33.9
2023-09-17,18.4
2023-09-18,27.5
2023-09-19,30.7
2023-09-20,29.4
2023-09-21,19.6
2023-09-22,27.3
2023-09-23,33.1
2023-09-24,28.5
2023-09-25,22.8
2023-09-26,22.8
2023-09-27,33.8
2023-09-28,16.5
2023-09-29,23.2
2023-09-30,20.1
2023-10-01,20.8
2023-10-02,18.9
2023-10-03,32.5
2023-10-04,33.3
2023-10-05,26.8
2023-10-06,18.0
2023-10-07,33.1
2023-10-08,21.5
2023-10-09,29.4
2023-10-10,29.2
2023-10-11,27.4
2023-10-12,32.6
2023-10-13,32.5
2023-10-14,29.1
2023-10-15,19.7
2023-10-16,33.4
2023-10-17,33.5
2023-10-18,29.1
2023-10-19,34.5
2023-10-20,31.9
2023-10-21,15.9
2023-10-22,28.9
2023-10-23,21.4
2023-10-24,20.3
2023-10-25,17.2
2023-10-26,25.5
2023-10-27,27.0
2023-10-28,16.1
2023-10-29,23.6
2023-10-30,16.2
2023-10-31,18.8
2023-11-01,15.9
2023-11-02,17.9
2023-11-03,20.4
2023-11-04,23.1
2023-11-05,24.8
2023-11-06,34.0
2023-11-07,31.7
2023-11-08,24.0
2023-11-09,27.6
2023-11-10,21.4
2023-11-11,19.6
2023-11-12,18.2
2023-11-13,32.7
2023-11-14,26.9
2023-11-15,26.4
2023-11-16,27.0
2023-11-17,22.8
2023-11-18,23.0
2023-11-19,22.9
2023-11-20,23.2
2023-11-21,16.2
2023-11-22,29.3
2023-11-23,20.0
2023-11-24,31.9
2023-11-25,20.9
2023-11-26,21.5
2023-11-27,15.8
2023-11-28,15.2
2023-11-29,29.2
2023-11-30,28.7
2023-12-01,26.9
2023-12-02,27.2
2023-12-03,16.3
2023-12-04,22.7
2023-12-05,30.6
2023-12-06,15.6
2023-12-07,32.3
2023-12-08,22.0
2023-12-09,24.3
2023-12-10,26.9
2023-12-11,33.1
2023-12-12,22.4
2023-12-13,15.7
2023-12-14,32.4
2023-12-15,24.5
2023-12-16,27.4
2023-12-17,23.2
2023-12-18,22.0
2023-12-19,30.7
2023-12-20,33.4
2023-12-21,25.3
2023-12-22,19.7
2023-12-23,30.3
2023-12-24,29.5
2023-12-25,19.6
2023-12-26,29.1
2023-12-27,17.9
2023-12-28,27.5
2023-12-29,20.8
2023-12-30,24.9
2023-12-31,33.1
2024-01-01,28.5
2024-01-02,19.4
2024-01-03,22.0
2024-01-04,33.6
2024-01-05,32.0
2024-01-06,22.1
2024-01-07,20.7
2024-01-08,26.8
2024-01-09,28.7
2024-01-10,22.3
2024-01-11,18.6
2024-01-12,17.9
2024-01-13,27.5
2024-01-14,32.2
2024-01-15,18.1
2024-01-16,22.6
2024-01-17,30.2
2024-01-18,34.3
2024-01-19,31.2
2024-01-20,33.7
2024-01-21,27.1
2024-01-22,22.9
2024-01-23,25.3
2024-01-24,27.1
2024-01-25,19.7
