date,temperature
2023-06-10,32.6
2023-06-11,26.4
2023-06-12,27.2
2023-06-13,16.3
2023-06-14,28.5
2023-06-15,17.3
2023-06-16,25.6
2023-06-17,34.9
2023-06-18,12.1
2023-06-19,31.2
2023-06-20,16.8
2023-06-21,37.2
2023-06-22,25.9
2023-06-23,23.8
2023-06-24,13.7
2023-06-25,19.0
2023-06-26,21.1
2023-06-27,17.6
2023-06-28,25.1
2023-06-29,17.0
2023-06-30,28.3
2023-07-01,22.3
2023-07-02,20.9
2023-07-03,36.1
2023-07-04,15.7
2023-07-05,24.6
2023-07-06,20.3
2023-07-07,26.5
2023-07-08,25.7
2023-07-09,30.1
2023-07-10,28.9
2023-07-11,38.0
2023-07-12,36.8
2023-07-13,21.0
2023-07-14,25.7
2023-07-15,17.4
2023-07-16,15.0
2023-07-17,28.4
2023-07-18,34.1
2023-07-19,31.6
2023-07-20,31.5
2023-07-21,15.7
2023-07-22,13.9
2023-07-23,14.3
2023-07-24,20.2
2023-07-25,30.9
2023-07-26,27.5
2023-07-27,14.5
2023-07-28,18.6
2023-07-29,31.9
2023-07-30,11.2
2023-07-31,39.7
2023-08-01,24.4
2023-08-02,10.8
2023-08-03,23.9
2023-08-04,13.3
2023-08-05,19.5
2023-08-06,19.5
2023-08-07,34.6
2023-08-08,29.9
2023-08-09,24.6
2023-08-10,10.1
2023-08-11,22.0
2023-08-12,19.3
2023-08-13,13.5
2023-08-14,35.5
2023-08-15,12.5
2023-08-16,26.1
2023-08-17,33.8
2023-08-18,20.9
2023-08-19,32.9
2023-08-20,27.7
2023-08-21,20.2
2023-08-22,19.7
2023-08-23,14.9
2023-08-24,33.8
2023-08-25,21.5
2023-08-26,31.7
2023-08-27,18.6
2023-08-28,14.7
2023-08-29,36.4
2023-08-30,27.6
2023-08-31,15.2
2023-09-01,30.1
2023-09-02,33.2
2023-09-03,31.0
2023-09-04,10.1
2023-09-05,30.5
2023-09-06,38.1
2023-09-07,28.2
2023-09-08,38.2
2023-09-09,33.5
2023-09-10,19.9
2023-09-11,19.6
2023-09-12,11.7
2023-09-13,14.2
2023-09-14,28.0
2023-09-15,24.2
2023-09-16,32.2
2023-09-17,25.6
2023-09-18,11.2
2023-09-19,16.3
2023-09-20,10.7
2023-09-21,18.2
2023-09-22,34.1
2023-09-23,22.1
2023-09-24,39.6
2023-09-25,35.5
2023-09-26,35.1
2023-09-27,11.1
2023-09-28,32.5
2023-09-29,21.6
2023-09-30,29.8
2023-10-01,18.1
2023-10-02,26.1
2023-10-03,25.0
2023-10-04,26.2
2023-10-05,15.9
2023-10-06,26.3
2023-10-07,36.2
2023-10-08,20.4
2023-10-09,19.5
2023-10-10,21.7
2023-10-11,24.7
2023-10-12,33.0
2023-10-13,22.2
2023-10-14,33.9
2023-10-15,16.9
2023-10-16,32.1
2023-10-17,23.7
2023-10-18,14.5
2023-10-19,34.7
2023-10-20,25.2
2023-10-21,28.4
2023-10-22,13.4
2023-10-23,11.5
2023-10-24,38.7
2023-10-25,33.7
2023-10-26,23.9
2023-10-27,37.1
2023-10-28,26.4
2023-10-29,11.8
2023-10-30,28.5
2023-10-31,32.2
2023-11-01,18.2
2023-11-02,21.8
2023-11-03,28.3
2023-11-04,23.9
2023-11-05,18.4
2023-11-06,30.5
2023-11-07,24.9
2023-11-08,26.2
2023-11-09,17.0
2023-11-10,27.1
2023-11-11,29.8
2023-11-12,21.4
