date,temperature
2023-06-10,32.7
2023-06-11,34.4
2023-06-12,34.4
2023-06-13,22.9
2023-06-14,32.3
2023-06-15,27.8
2023-06-16,25.8
2023-06-17,15.6
2023-06-18,32.1
2023-06-19,33.1
2023-06-20,18.9
2023-06-21,26.6
2023-06-22,22.4
2023-06-23,32.0
2023-06-24,20.4
2023-06-25,26.1
2023-06-26,27.1
2023-06-27,16.9
2023-06-28,34.1
2023-06-29,18.4
2023-06-30,23.8
2023-07-01,29.3
2023-07-02,19.1
2023-07-03,31.0
2023-07-04,25.0
2023-07-05,16.7
2023-07-06,20.3
2023-07-07,19.6
2023-07-08,20.2
2023-07-09,24.8
2023-07-10,32.4
2023-07-11,33.6
2023-07-12,20.0
2023-07-13,19.0
2023-07-14,17.6
2023-07-15,30.0
2023-07-16,32.9
2023-07-17,34.2
2023-07-18,17.9
2023-07-19,30.7
2023-07-20,23.3
2023-07-21,23.3
2023-07-22,21.2
2023-07-23,16.7
2023-07-24,33.0
2023-07-25,22.3
2023-07-26,19.9
2023-07-27,26.5
2023-07-28,17.3
2023-07-29,33.8
2023-07-30,27.9
2023-07-31,30.2
2023-08-01,23.3
2023-08-02,27.3
2023-08-03,27.7
2023-08-04,28.2
2023-08-05,18.0
2023-08-06,23.2
2023-08-07,29.2
2023-08-08,22.1
2023-08-09,27.9
2023-08-10,32.8
2023-08-11,16.4
2023-08-12,18.3
2023-08-13,25.4
2023-08-14,30.8
2023-08-15,15.4
2023-08-16,20.8
2023-08-17,16.1
2023-08-18,20.2
2023-08-19,20.7
2023-08-20,33.8
2023-08-21,28.7
2023-08-22,16.2
2023-08-23,17.9
2023-08-24,33.7
2023-08-25,31.0
2023-08-26,15.2
2023-08-27,29.0
2023-08-28,32.8
2023-08-29,26.0
2023-08-30,26.2
2023-08-31,16.2
2023-09-01,30.4
2023-09-02,21.4
2023-09-03,27.4
2023-09-04,28.6
2023-09-05,34.8
2023-09-06,30.8
2023-09-07,17.6
2023-09-08,18.9
2023-09-09,16.6
2023-09-10,28.4
2023-09-11,34.0
2023-09-12,25.0
2023-09-13,31.6
2023-09-14,33.9
2023-09-15,23.3
2023-09-16,27.6
2023-09-17,29.6
2023-09-18,34.3
2023-09-19,29.2
2023-09-20,32.2
2023-09-21,33.6
2023-09-22,15.6
2023-09-23,31.2
2023-09-24,21.8
2023-09-25,28.1
2023-09-26,21.0
2023-09-27,16.5
2023-09-28,31.8
2023-09-29,25.9
2023-09-30,34.5
2023-10-01,23.1
2023-10-02,30.7
2023-10-03,29.0
2023-10-04,27.8
2023-10-05,33.7
2023-10-06,34.8
2023-10-07,16.2
2023-10-08,34.3
2023-10-09,27.1
2023-10-10,27.8
2023-10-11,31.5
2023-10-12,25.2
2023-10-13,27.4
2023-10-14,33.9
2023-10-15,27.6
2023-10-16,32.7
2023-10-17,19.9
2023-10-18,16.1
2023-10-19,29.0
2023-10-20,31.0
2023-10-21,33.3
2023-10-22,27.8
2023-10-23,28.6
2023-10-24,28.3
2023-10-25,19.4
2023-10-26,16.0
2023-10-27,18.0
2023-10-28,20.8
2023-10-29,27.3
2023-10-30,15.9
2023-10-31,34.5
2023-11-01,34.3
2023-11-02,29.4
2023-11-03,22.5
2023-11-04,22.6
2023-11-05,32.6
2023-11-06,25.8
2023-11-07,23.6
2023-11-08,32.2
2023-11-09,21.5
2023-11-10,17.7
2023-11-11,23.8
2023-11-12,27.7
2023-11-13,20.0
2023-11-14,22.9
