date,temperature
2023-06-10,-9.0
2023-06-11,-1.9
2023-06-12,13.3
2023-06-13,-14.2
2023-06-14,-12.6
2023-06-15,-1.3
2023-06-16,13.6
2023-06-17,17.7
2023-06-18,-9.1
2023-06-19,-14.4
2023-06-20,-5.0
2023-06-21,9.0
2023-06-22,-3.9
2023-06-23,2.2
2023-06-24,18.1
2023-06-25,-4.4
2023-06-26,-7.0
2023-06-27,-6.1
2023-06-28,23.7
2023-06-29,24.2
2023-06-30,23.5
2023-07-01,11.4
2023-07-02,2.9
2023-07-03,22.5
2023-07-04,9.7
2023-07-05,-14.3
2023-07-06,-2.4
2023-07-07,-12.7
2023-07-08,6.1
2023-07-09,-13.2
2023-07-10,-1.3
2023-07-11,-0.9
2023-07-12,-12.3
2023-07-13,-10.5
2023-07-14,6.3
2023-07-15,8.4
2023-07-16,7.1
2023-07-17,-0.6
2023-07-18,-2.2
2023-07-19,-0.1
2023-07-20,19.6
2023-07-21,-2.7
2023-07-22,12.9
2023-07-23,16.7
2023-07-24,11.7
2023-07-25,17.4
2023-07-26,-10.2
2023-07-27,-5.4
2023-07-28,-7.9
2023-07-29,13.2
2023-07-30,22.5
2023-07-31,-0.5
2023-08-01,9.0
2023-08-02,24.2
2023-08-03,13.7
2023-08-04,-3.8
2023-08-05,6.5
2023-08-06,4.1
2023-08-07,-3.1
2023-08-08,12.4
2023-08-09,14.7
2023-08-10,12.5
2023-08-11,-10.2
2023-08-12,12.9
2023-08-13,24.6
2023-08-14,22.5
2023-08-15,-7.7
2023-08-16,-13.6
2023-08-17,24.1
2023-08-18,15.3
2023-08-19,9.5
2023-08-20,18.4
2023-08-21,1.9
2023-08-22,8.1
2023-08-23,15.3
2023-08-24,-11.1
2023-08-25,-1.1
2023-08-26,13.1
2023-08-27,-5.3
2023-08-28,-11.1
2023-08-29,15.5
2023-08-30,14.6
2023-08-31,22.1
2023-09-01,19.5
2023-09-02,18.5
2023-09-03,-10.7
2023-09-04,-0.5
2023-09-05,15.5
2023-09-06,-1.8
2023-09-07,-14.3
2023-09-08,7.7
2023-09-09,11.2
2023-09-10,22.2
2023-09-11,-0.9
2023-09-12,16.9
2023-09-13,10.9
2023-09-14,8.0
2023-09-15,5.8
2023-09-16,24.4
2023-09-17,10.8
2023-09-18,-2.5
2023-09-19,15.3
2023-09-20,23.0
2023-09-21,9.8
2023-09-22,18.5
2023-09-23,1.2
2023-09-24,5.6
2023-09-25,-13.1
2023-09-26,20.4
2023-09-27,-4.6
2023-09-28,2.3
2023-09-29,-5.3
2023-09-30,15.0
2023-10-01,-1.7
2023-10-02,13.2
2023-10-03,-3.2
2023-10-04,18.6
2023-10-05,17.0
2023-10-06,22.7
2023-10-07,6.8
2023-10-08,-4.4
2023-10-09,-14.7
2023-10-10,9.8
2023-10-11,6.7
2023-10-12,12.9
2023-10-13,13.3
2023-10-14,-3.9
2023-10-15,6.2
2023-10-16,-6.3
2023-10-17,-13.6
2023-10-18,18.8
2023-10-19,-9.1
2023-10-20,2.3
2023-10-21,24.6
2023-10-22,12.7
2023-10-23,-4.5
2023-10-24,-7.3
2023-10-25,22.5
2023-10-26,15.4
2023-10-27,7.5
2023-10-28,20.4
2023-10-29,11.1
2023-10-30,12.9
2023-10-31,1.9
2023-11-01,-11.7
2023-11-02,-3.0
2023-11-03,8.8
2023-11-04,18.2
2023-11-05,23.6
2023-11-06,8.8
2023-11-07,-3.7
2023-11-08,21.4
2023-11-09,-7.8
2023-11-10,11.7
2023-11-11,15.0
2023-11-12,7.0
2023-11-13,-2.9
2023-11-14,-9.6
2023-11-15,13.8
2023-11-16,1.3
2023-11-17,3.6
2023-11-18,-2.9
2023-11-19,8.7
2023-11-20,4.9
2023-11-21,-5.0
2023-11-22,-4.7
2023-11-23,1.1
2023-11-24,-7.9
2023-11-25,13.6
2023-11-26,15.6
2023-11-27,9.0
2023-11-28,16.8
2023-11-29,0.5
2023-11-30,-5.5
2023-12-01,-3.1
2023-12-02,-13.8
2023-12-03,22.5
2023-12-04,-15.0
2023-12-05,4.1
2023-12-06,-0.4
2023-12-07,-7.2
2023-12-08,6.1
2023-12-09,23.0
2023-12-10,6.4
2023-12-11,18.9
2023-12-12,-5.1
2023-12-13,-3.4
2023-12-14,-5.6
2023-12-15,15.5
2023-12-16,15.0
2023-12-17,-2.1
2023-12-18,10.7
2023-12-19,-5.4
2023-12-20,17.0
2023-12-21,-11.7
2023-12-22,15.4
2023-12-23,17.7
2023-12-24,-12.3
2023-12-25,-10.6
2023-12-26,-0.0
2023-12-27,-5.8
2023-12-28,4.2
2023-12-29,-3.6
2023-12-30,2.9
2023-12-31,4.8
2024-01-01,0.9
2024-01-02,1.8
2024-01-03,-4.2
2024-01-04,22.4
2024-01-05,23.9
2024-01-06,-2.7
2024-01-07,7.5
2024-01-08,20.3
2024-01-09,21.8
2024-01-10,-0.9
2024-01-11,11.9
2024-01-12,15.6
2024-01-13,-5.0
2024-01-14,-10.6
2024-01-15,-9.6
2024-01-16,-3.9
2024-01-17,-11.3
2024-01-18,-7.3
2024-01-19,4.5
2024-01-20,4.2
2024-01-21,20.3
2024-01-22,-9.5
2024-01-23,-0.5
2024-01-24,12.8
2024-01-25,19.4
2024-01-26,2.7
2024-01-27,-5.1
2024-01-28,17.6
2024-01-29,17.1
2024-01-30,-11.6
2024-01-31,-6.1
2024-02-01,15.3
2024-02-02,7.7
2024-02-03,6.5
2024-02-04,15.2
