date,temperature
2023-06-10,24.1
2023-06-11,24.9
2023-06-12,26.7
2023-06-13,21.7
2023-06-14,2.5
2023-06-15,7.0
2023-06-16,7.8
2023-06-17,25.1
2023-06-18,2.6
2023-06-19,10.8
2023-06-20,22.2
2023-06-21,5.9
2023-06-22,10.0
2023-06-23,13.2
2023-06-24,28.5
2023-06-25,23.3
2023-06-26,2.2
2023-06-27,21.1
2023-06-28,5.4
2023-06-29,0.9
2023-06-30,8.7
2023-07-01,-2.7
2023-07-02,20.7
2023-07-03,4.4
2023-07-04,23.2
2023-07-05,19.7
2023-07-06,10.5
2023-07-07,25.6
2023-07-08,17.0
2023-07-09,4.0
2023-07-10,8.6
2023-07-11,-0.9
2023-07-12,19.7
2023-07-13,12.9
2023-07-14,24.4
2023-07-15,2.9
2023-07-16,0.7
2023-07-17,17.0
2023-07-18,19.5
2023-07-19,10.1
2023-07-20,17.5
2023-07-21,2.9
2023-07-22,4.2
2023-07-23,16.2
2023-07-24,17.3
2023-07-25,24.9
2023-07-26,18.6
2023-07-27,6.9
2023-07-28,-3.3
2023-07-29,7.3
2023-07-30,14.4
2023-07-31,18.7
2023-08-01,-4.8
2023-08-02,20.2
2023-08-03,20.3
2023-08-04,28.5
2023-08-05,-1.4
2023-08-06,24.5
2023-08-07,-0.7
2023-08-08,23.5
2023-08-09,25.9
2023-08-10,10.0
2023-08-11,23.2
2023-08-12,-3.3
2023-08-13,-1.2
2023-08-14,29.7
2023-08-15,24.4
2023-08-16,7.8
2023-08-17,3.9
2023-08-18,22.3
2023-08-19,18.4
2023-08-20,-1.6
2023-08-21,2.8
2023-08-22,-1.6
2023-08-23,1.5
2023-08-24,10.5
2023-08-25,-0.2
2023-08-26,28.8
2023-08-27,-0.0
2023-08-28,19.9
2023-08-29,11.9
2023-08-30,13.3
2023-08-31,15.4
2023-09-01,14.5
2023-09-02,16.3
2023-09-03,11.0
2023-09-04,8.5
2023-09-05,7.4
2023-09-06,18.5
2023-09-07,11.2
2023-09-08,28.3
2023-09-09,19.8
2023-09-10,27.5
2023-09-11,1.6
2023-09-12,20.4
2023-09-13,3.3
2023-09-14,26.9
2023-09-15,10.5
2023-09-16,29.8
2023-09-17,21.9
2023-09-18,-1.3
2023-09-19,7.9
2023-09-20,3.3
2023-09-21,-3.7
2023-09-22,-4.2
2023-09-23,2.5
2023-09-24,21.6
2023-09-25,20.2
2023-09-26,19.6
2023-09-27,3.8
2023-09-28,13.3
2023-09-29,17.9
2023-09-30,9.8
2023-10-01,-3.4
2023-10-02,23.1
2023-10-03,-2.6
2023-10-04,-1.3
2023-10-05,23.3
2023-10-06,25.5
2023-10-07,24.5
2023-10-08,20.1
2023-10-09,8.0
2023-10-10,7.9
2023-10-11,11.2
2023-10-12,22.0
2023-10-13,28.5
2023-10-14,15.5
2023-10-15,24.6
2023-10-16,10.4
2023-10-17,20.3
2023-10-18,27.2
2023-10-19,8.3
2023-10-20,5.8
2023-10-21,19.7
2023-10-22,0.8
2023-10-23,16.7
2023-10-24,23.3
2023-10-25,24.0
2023-10-26,15.1
2023-10-27,17.9
2023-10-28,26.7
2023-10-29,23.3
2023-10-30,-4.6
2023-10-31,18.1
2023-11-01,15.0
2023-11-02,-2.6
2023-11-03,23.4
2023-11-04,14.9
2023-11-05,15.5
2023-11-06,12.8
2023-11-07,23.3
2023-11-08,5.2
2023-11-09,20.3
2023-11-10,8.7
2023-11-11,26.6
2023-11-12,27.5
2023-11-13,-3.7
2023-11-14,13.6
2023-11-15,28.3
2023-11-16,16.3
2023-11-17,-1.2
2023-11-18,-4.6
2023-11-19,3.6
2023-11-20,-1.5
2023-11-21,3.8
2023-11-22,25.0
2023-11-23,6.5
2023-11-24,-3.9
2023-11-25,-2.1
2023-11-26,8.9
2023-11-27,7.1
2023-11-28,15.7
2023-11-29,3.7
2023-11-30,3.1
2023-12-01,5.4
2023-12-02,19.7
2023-12-03,-2.2
2023-12-04,-3.8
2023-12-05,10.4
2023-12-06,17.3
2023-12-07,-2.7
2023-12-08,4.5
2023-12-09,23.6
2023-12-10,19.2
2023-12-11,5.7
2023-12-12,14.8
2023-12-13,-3.8
2023-12-14,4.9
2023-12-15,7.2
2023-12-16,19.6
2023-12-17,16.9
2023-12-18,29.8
2023-12-19,20.8
2023-12-20,-0.8
2023-12-21,16.7
2023-12-22,10.3
2023-12-23,5.2
2023-12-24,-3.4
2023-12-25,-1.2
2023-12-26,10.3
2023-12-27,28.5
2023-12-28,11.4
2023-12-29,13.5
2023-12-30,23.2
2023-12-31,14.2
2024-01-01,18.4
2024-01-02,24.2
2024-01-03,16.7
2024-01-04,13.6
2024-01-05,-1.7
2024-01-06,-0.3
2024-01-07,19.1
2024-01-08,18.0
2024-01-09,29.1
2024-01-10,15.0
2024-01-11,10.8
2024-01-12,6.1
2024-01-13,10.5
2024-01-14,-3.4
2024-01-15,13.8
2024-01-16,15.4
2024-01-17,12.3
2024-01-18,9.8
2024-01-19,-2.6
2024-01-20,0.3
2024-01-21,-4.5
2024-01-22,-2.3
2024-01-23,-0.2
2024-01-24,22.3
2024-01-25,29.3
2024-01-26,2.5
2024-01-27,11.3
2024-01-28,4.6
2024-01-29,15.3
2024-01-30,-2.1
2024-01-31,0.7
2024-02-01,18.7
2024-02-02,1.2
2024-02-03,14.1
2024-02-04,10.0
2024-02-05,0.5
2024-02-06,6.5
2024-02-07,4.9
2024-02-08,-3.5
2024-02-09,16.6
2024-02-10,4.6
2024-02-11,27.3
2024-02-12,16.5
2024-02-13,17.7
2024-02-14,-1.6
2024-02-15,28.4
2024-02-16,14.9
2024-02-17,16.7
2024-02-18,13.6
2024-02-19,3.5
2024-02-20,22.1
2024-02-21,14.4
2024-02-22,-3.3
2024-02-23,5.1
2024-02-24,-1.7
2024-02-25,-0.5
2024-02-26,1.8
2024-02-27,2.3
2024-02-28,22.8
2024-02-29,27.9
2024-03-01,1.3
2024-03-02,19.9
2024-03-03,28.2
2024-03-04,6.7
2024-03-05,18.4
2024-03-06,29.1
2024-03-07,21.2
2024-03-08,28.7
2024-03-09,8.6
2024-03-10,23.6
2024-03-11,17.3
2024-03-12,6.3
2024-03-13,-1.5
2024-03-14,14.8
2024-03-15,3.6
2024-03-16,6.8
2024-03-17,-4.9
2024-03-18,27.6
2024-03-19,2.2
2024-03-20,8.4
2024-03-21,26.8
2024-03-22,28.7
2024-03-23,-3.4
2024-03-24,24.5
2024-03-25,15.4
2024-03-26,14.6
2024-03-27,5.4
2024-03-28,24.7
2024-03-29,23.5
2024-03-30,11.1
2024-03-31,25.4
2024-04-01,-1.7
2024-04-02,4.3
2024-04-03,23.8
2024-04-04,0.1
2024-04-05,10.1
2024-04-06,3.8
2024-04-07,7.9
2024-04-08,14.9
2024-04-09,22.1
2024-04-10,12.7
2024-04-11,20.5
2024-04-12,5.4
2024-04-13,-0.7
2024-04-14,21.2
2024-04-15,-1.4
2024-04-16,25.5
2024-04-17,-3.1
2024-04-18,23.0
2024-04-19,9.9
2024-04-20,-4.1
2024-04-21,19.8
2024-04-22,-4.7
2024-04-23,26.5
2024-04-24,26.4
2024-04-25,8.8
2024-04-26,-1.3
2024-04-27,17.8
2024-04-28,14.6
2024-04-29,28.6
2024-04-30,8.3
2024-05-01,5.8
2024-05-02,-2.7
2024-05-03,15.0
2024-05-04,28.9
2024-05-05,-0.0
2024-05-06,13.1
2024-05-07,2.0
2024-05-08,-4.4
