date,temperature
2023-06-10,29.5
2023-06-11,20.2
2023-06-12,18.7
2023-06-13,13.7
2023-06-14,20.4
2023-06-15,16.9
2023-06-16,28.5
2023-06-17,27.8
2023-06-18,17.0
2023-06-19,26.3
2023-06-20,11.2
2023-06-21,28.1
2023-06-22,18.4
2023-06-23,23.8
2023-06-24,18.8
2023-06-25,15.6
2023-06-26,29.0
2023-06-27,29.3
2023-06-28,19.3
2023-06-29,11.6
2023-06-30,19.7
2023-07-01,25.2
2023-07-02,28.8
2023-07-03,17.8
2023-07-04,29.6
2023-07-05,25.6
2023-07-06,28.1
2023-07-07,26.5
2023-07-08,26.5
2023-07-09,11.1
2023-07-10,14.5
2023-07-11,25.0
2023-07-12,13.4
2023-07-13,21.6
2023-07-14,17.5
2023-07-15,19.2
2023-07-16,14.0
2023-07-17,17.9
2023-07-18,24.6
2023-07-19,15.9
2023-07-20,11.8
2023-07-21,20.3
2023-07-22,21.0
2023-07-23,15.4
2023-07-24,18.6
2023-07-25,19.1
2023-07-26,11.8
2023-07-27,18.4
2023-07-28,23.0
2023-07-29,26.8
2023-07-30,11.8
2023-07-31,29.1
2023-08-01,23.1
2023-08-02,29.4
2023-08-03,16.6
2023-08-04,23.1
2023-08-05,13.7
2023-08-06,14.7
2023-08-07,20.0
2023-08-08,15.2
2023-08-09,15.9
2023-08-10,24.3
2023-08-11,17.7
2023-08-12,15.7
2023-08-13,25.2
2023-08-14,23.6
2023-08-15,22.5
2023-08-16,19.8
2023-08-17,20.2
2023-08-18,12.2
2023-08-19,21.7
2023-08-20,23.7
2023-08-21,27.1
2023-08-22,20.1
2023-08-23,26.6
2023-08-24,27.7
2023-08-25,19.9
2023-08-26,27.2
2023-08-27,18.3
2023-08-28,19.4
2023-08-29,18.7
2023-08-30,21.6
2023-08-31,22.3
2023-09-01,22.1
2023-09-02,23.2
2023-09-03,17.7
2023-09-04,13.3
2023-09-05,11.5
2023-09-06,22.6
2023-09-07,17.4
2023-09-08,29.4
2023-09-09,24.2
2023-09-10,11.6
2023-09-11,27.0
2023-09-12,14.7
2023-09-13,15.5
2023-09-14,27.6
2023-09-15,24.4
2023-09-16,24.9
2023-09-17,18.4
2023-09-18,17.1
2023-09-19,12.2
2023-09-20,13.9
2023-09-21,24.4
2023-09-22,14.3
2023-09-23,20.7
2023-09-24,24.1
2023-09-25,15.8
2023-09-26,13.8
2023-09-27,15.3
2023-09-28,13.4
2023-09-29,27.4
2023-09-30,26.3
2023-10-01,25.9
2023-10-02,23.4
2023-10-03,27.2
2023-10-04,28.6
2023-10-05,24.9
2023-10-06,19.5
2023-10-07,23.7
2023-10-08,16.3
2023-10-09,23.8
2023-10-10,13.9
2023-10-11,10.9
2023-10-12,10.9
2023-10-13,17.9
2023-10-14,12.0
2023-10-15,10.2
2023-10-16,17.8
2023-10-17,14.3
2023-10-18,18.6
2023-10-19,28.5
2023-10-20,13.4
2023-10-21,23.7
2023-10-22,22.5
2023-10-23,16.3
2023-10-24,10.6
2023-10-25,24.7
2023-10-26,25.7
2023-10-27,23.5
2023-10-28,27.7
2023-10-29,20.3
2023-10-30,16.6
2023-10-31,22.7
2023-11-01,19.5
2023-11-02,20.5
2023-11-03,20.1
2023-11-04,20.1
2023-11-05,28.5
2023-11-06,14.1
2023-11-07,28.5
2023-11-08,12.4
2023-11-09,26.9
2023-11-10,19.3
2023-11-11,11.5
2023-11-12,16.7
2023-11-13,15.6
2023-11-14,13.6
2023-11-15,12.4
2023-11-16,14.7
2023-11-17,28.0
2023-11-18,19.8
2023-11-19,16.6
2023-11-20,12.4
2023-11-21,13.1
2023-11-22,29.5
2023-11-23,29.1
2023-11-24,13.6
2023-11-25,26.6
2023-11-26,17.4
2023-11-27,24.2
2023-11-28,24.5
2023-11-29,10.2
2023-11-30,25.2
2023-12-01,23.7
2023-12-02,29.7
2023-12-03,13.5
2023-12-04,28.3
2023-12-05,28.9
2023-12-06,24.7
2023-12-07,28.6
2023-12-08,24.7
2023-12-09,10.8
2023-12-10,21.4
2023-12-11,11.3
2023-12-12,28.8
2023-12-13,23.7
2023-12-14,26.1
2023-12-15,29.6
2023-12-16,11.4
2023-12-17,28.8
2023-12-18,25.3
2023-12-19,21.8
2023-12-20,19.9
2023-12-21,14.9
2023-12-22,28.8
2023-12-23,15.6
2023-12-24,15.7
2023-12-25,12.0
2023-12-26,23.8
2023-12-27,26.1
2023-12-28,26.7
2023-12-29,15.4
2023-12-30,29.2
2023-12-31,18.9
2024-01-01,11.0
2024-01-02,18.3
2024-01-03,13.2
2024-01-04,15.6
2024-01-05,13.3
2024-01-06,29.8
2024-01-07,28.4
2024-01-08,21.3
2024-01-09,12.1
2024-01-10,14.0
2024-01-11,11.1
2024-01-12,26.2
2024-01-13,27.9
2024-01-14,12.2
2024-01-15,23.0
2024-01-16,14.9
2024-01-17,23.5
2024-01-18,16.4
2024-01-19,16.0
2024-01-20,15.5
2024-01-21,19.8
2024-01-22,19.0
2024-01-23,15.3
2024-01-24,20.7
2024-01-25,14.7
2024-01-26,27.8
2024-01-27,11.5
2024-01-28,13.4
2024-01-29,23.8
2024-01-30,25.9
2024-01-31,13.2
2024-02-01,14.7
2024-02-02,20.9
2024-02-03,18.0
2024-02-04,23.3
2024-02-05,26.2
2024-02-06,10.4
2024-02-07,28.7
2024-02-08,19.2
2024-02-09,16.8
2024-02-10,23.0
2024-02-11,10.6
2024-02-12,28.8
2024-02-13,19.7
2024-02-14,26.7
2024-02-15,12.2
2024-02-16,12.3
2024-02-17,17.1
2024-02-18,27.0
2024-02-19,27.0
2024-02-20,16.8
2024-02-21,19.5
2024-02-22,25.4
2024-02-23,11.9
2024-02-24,24.9
2024-02-25,14.0
2024-02-26,24.1
2024-02-27,12.8
2024-02-28,17.3
2024-02-29,14.1
2024-03-01,12.0
2024-03-02,14.7
2024-03-03,29.8
2024-03-04,21.0
2024-03-05,23.3
2024-03-06,10.7
2024-03-07,15.6
2024-03-08,19.1
2024-03-09,14.6
2024-03-10,20.4
2024-03-11,14.1
2024-03-12,24.4
2024-03-13,27.6
2024-03-14,29.6
2024-03-15,12.1
2024-03-16,13.2
2024-03-17,25.8
2024-03-18,13.4
2024-03-19,29.8
2024-03-20,19.5
2024-03-21,15.4
2024-03-22,23.0
2024-03-23,18.6
2024-03-24,19.1
2024-03-25,26.6
2024-03-26,22.7
2024-03-27,28.6
2024-03-28,25.0
2024-03-29,24.5
2024-03-30,12.5
2024-03-31,17.4
2024-04-01,20.1
2024-04-02,19.6
2024-04-03,14.1
2024-04-04,27.7
2024-04-05,22.5
2024-04-06,10.9
2024-04-07,29.3
2024-04-08,27.2
2024-04-09,27.4
2024-04-10,22.1
2024-04-11,15.8
2024-04-12,19.4
2024-04-13,21.2
2024-04-14,25.4
2024-04-15,16.8
2024-04-16,19.4
2024-04-17,27.3
2024-04-18,10.1
2024-04-19,13.2
2024-04-20,19.5
2024-04-21,12.1
2024-04-22,22.1
2024-04-23,30.0
2024-04-24,25.5
2024-04-25,28.0
2024-04-26,23.0
2024-04-27,27.1
2024-04-28,26.2
2024-04-29,11.7
2024-04-30,25.7
2024-05-01,29.4
2024-05-02,12.3
2024-05-03,19.6
2024-05-04,19.0
2024-05-05,15.0
2024-05-06,17.0
2024-05-07,24.3
2024-05-08,14.5
2024-05-09,16.9
2024-05-10,20.8
2024-05-11,21.9
2024-05-12,19.3
2024-05-13,27.7
2024-05-14,18.0
2024-05-15,16.0
2024-05-16,25.2
2024-05-17,20.0
2024-05-18,13.5
2024-05-19,10.5
2024-05-20,15.5
2024-05-21,16.3
2024-05-22,28.0
2024-05-23,24.6
2024-05-24,11.0
2024-05-25,23.2
2024-05-26,29.8
2024-05-27,29.0
2024-05-28,28.7
2024-05-29,12.9
2024-05-30,10.6
2024-05-31,16.2
2024-06-01,14.9
2024-06-02,18.6
2024-06-03,18.7
2024-06-04,16.6
2024-06-05,25.7
2024-06-06,18.0
2024-06-07,19.7
2024-06-08,21.2
2024-06-09,16.3
2024-06-10,16.9
2024-06-11,14.5
2024-06-12,28.9
2024-06-13,21.3
2024-06-14,14.2
2024-06-15,26.6
2024-06-16,13.1
2024-06-17,14.6
2024-06-18,17.0
2024-06-19,27.3
2024-06-20,13.1
2024-06-21,15.5
2024-06-22,27.8
2024-06-23,20.6
2024-06-24,11.0
2024-06-25,21.1
2024-06-26,21.5
2024-06-27,25.1
2024-06-28,15.2
2024-06-29,20.4
2024-06-30,13.0
2024-07-01,16.4
2024-07-02,27.2
2024-07-03,24.4
2024-07-04,13.5
2024-07-05,27.0
2024-07-06,14.6
2024-07-07,25.9
2024-07-08,11.1
2024-07-09,18.6
2024-07-10,22.7
2024-07-11,20.1
2024-07-12,24.9
2024-07-13,12.0
2024-07-14,13.5
2024-07-15,19.4
2024-07-16,14.5
2024-07-17,21.2
2024-07-18,20.6
2024-07-19,17.7
2024-07-20,11.6
2024-07-21,27.0
2024-07-22,15.9
2024-07-23,10.8
2024-07-24,11.4
2024-07-25,14.7
2024-07-26,19.1
2024-07-27,13.8
2024-07-28,25.5
2024-07-29,27.3
2024-07-30,16.8
2024-07-31,29.6
2024-08-01,14.9
2024-08-02,13.0
2024-08-03,20.0
2024-08-04,19.2
2024-08-05,23.3
2024-08-06,19.7
2024-08-07,17.7
2024-08-08,17.8
2024-08-09,21.9
2024-08-10,10.1
2024-08-11,10.3
2024-08-12,15.7
2024-08-13,23.9
2024-08-14,23.0
2024-08-15,16.6
2024-08-16,25.8
2024-08-17,18.4
2024-08-18,28.4
2024-08-19,15.9
2024-08-20,19.6
2024-08-21,10.9
2024-08-22,24.3
2024-08-23,15.9
2024-08-24,26.9
2024-08-25,17.2
2024-08-26,30.0
2024-08-27,23.1
2024-08-28,24.0
2024-08-29,22.1
2024-08-30,12.5
2024-08-31,22.0
2024-09-01,12.3
2024-09-02,15.2
2024-09-03,13.8
2024-09-04,18.7
2024-09-05,13.8
2024-09-06,20.6
2024-09-07,11.6
2024-09-08,28.7
2024-09-09,28.9
2024-09-10,17.8
2024-09-11,23.7
2024-09-12,25.6
2024-09-13,13.4
2024-09-14,28.6
2024-09-15,23.8
2024-09-16,18.6
2024-09-17,26.2
2024-09-18,29.4
2024-09-19,20.2
2024-09-20,24.5
2024-09-21,17.7
2024-09-22,11.3
2024-09-23,16.7
2024-09-24,28.7
2024-09-25,10.5
2024-09-26,28.9
2024-09-27,22.4
2024-09-28,12.8
2024-09-29,16.4
2024-09-30,13.8
2024-10-01,24.7
2024-10-02,26.6
2024-10-03,27.0
2024-10-04,19.2
2024-10-05,12.8
2024-10-06,16.9
2024-10-07,10.3
2024-10-08,12.5
2024-10-09,24.2
2024-10-10,25.5
2024-10-11,18.1
2024-10-12,12.4
2024-10-13,19.0
2024-10-14,22.6
2024-10-15,21.2
2024-10-16,20.0
2024-10-17,16.3
2024-10-18,12.4
2024-10-19,28.7
2024-10-20,21.8
2024-10-21,19.5
2024-10-22,20.4
2024-10-23,23.0
2024-10-24,18.7
2024-10-25,28.2
2024-10-26,28.5
2024-10-27,14.6
2024-10-28,14.3
2024-10-29,24.3
2024-10-30,29.6
2024-10-31,10.4
2024-11-01,10.3
2024-11-02,26.9
2024-11-03,12.3
2024-11-04,17.4
2024-11-05,24.6
2024-11-06,14.3
2024-11-07,18.1
2024-11-08,28.8
2024-11-09,16.1
2024-11-10,18.7
2024-11-11,26.5
2024-11-12,20.9
2024-11-13,16.2
2024-11-14,25.3
2024-11-15,14.1
2024-11-16,21.2
2024-11-17,24.0
2024-11-18,20.8
2024-11-19,12.6
2024-11-20,11.5
2024-11-21,29.0
2024-11-22,27.7
2024-11-23,25.4
2024-11-24,14.4
2024-11-25,14.1
2024-11-26,25.1
2024-11-27,12.7
2024-11-28,23.2
2024-11-29,15.3
2024-11-30,29.6
2024-12-01,17.0
2024-12-02,26.4
2024-12-03,22.1
2024-12-04,25.8
2024-12-05,15.0
2024-12-06,13.5
2024-12-07,23.7
2024-12-08,10.4
2024-12-09,14.7
2024-12-10,12.5
2024-12-11,28.6
2024-12-12,18.9
2024-12-13,25.3
2024-12-14,29.2
2024-12-15,18.5
2024-12-16,23.5
2024-12-17,22.5
2024-12-18,28.9
2024-12-19,12.8
2024-12-20,13.8
2024-12-21,15.7
2024-12-22,17.8
2024-12-23,11.9
2024-12-24,19.3
2024-12-25,16.0
2024-12-26,27.3
2024-12-27,20.1
2024-12-28,11.8
2024-12-29,19.7
2024-12-30,18.7
2024-12-31,14.4
2025-01-01,23.3
2025-01-02,17.2
2025-01-03,27.4
2025-01-04,22.3
2025-01-05,25.0
2025-01-06,23.9
2025-01-07,25.8
2025-01-08,29.0
2025-01-09,19.3
2025-01-10,25.9
2025-01-11,17.0
2025-01-12,28.5
2025-01-13,27.5
2025-01-14,12.4
2025-01-15,17.4
2025-01-16,27.0
2025-01-17,19.6
2025-01-18,16.7
2025-01-19,11.8
2025-01-20,29.5
2025-01-21,19.5
2025-01-22,20.9
2025-01-23,24.9
2025-01-24,16.3
2025-01-25,25.7
2025-01-26,24.5
2025-01-27,15.3
2025-01-28,19.5
2025-01-29,23.9
2025-01-30,28.5
2025-01-31,18.2
2025-02-01,14.3
2025-02-02,25.9
2025-02-03,26.4
2025-02-04,25.7
2025-02-05,26.9
2025-02-06,16.4
2025-02-07,27.1
2025-02-08,28.6
2025-02-09,10.6
2025-02-10,24.8
2025-02-11,29.9
2025-02-12,28.0
2025-02-13,27.3
2025-02-14,28.4
2025-02-15,21.9
2025-02-16,26.0
2025-02-17,10.0
2025-02-18,13.0
2025-02-19,19.6
2025-02-20,10.2
2025-02-21,18.8
2025-02-22,19.4
2025-02-23,16.9
2025-02-24,24.7
2025-02-25,23.3
2025-02-26,21.4
2025-02-27,11.4
2025-02-28,24.6
2025-03-01,27.9
2025-03-02,16.0
2025-03-03,12.1
2025-03-04,22.7
2025-03-05,26.4
2025-03-06,10.5
2025-03-07,28.0
2025-03-08,28.6
2025-03-09,25.2
2025-03-10,25.8
2025-03-11,11.8
2025-03-12,15.6
2025-03-13,20.1
2025-03-14,11.9
2025-03-15,10.2
2025-03-16,18.7
2025-03-17,27.8
2025-03-18,10.7
2025-03-19,26.0
2025-03-20,24.5
2025-03-21,26.1
2025-03-22,16.3
2025-03-23,26.0
2025-03-24,28.3
2025-03-25,12.4
2025-03-26,10.3
2025-03-27,11.8
2025-03-28,11.3
2025-03-29,23.2
2025-03-30,15.8
2025-03-31,29.3
2025-04-01,29.2
2025-04-02,29.5
2025-04-03,28.6
2025-04-04,14.3
2025-04-05,12.1
2025-04-06,29.5
2025-04-07,10.5
2025-04-08,19.4
2025-04-09,19.5
2025-04-10,25.3
2025-04-11,19.3
2025-04-12,18.0
2025-04-13,14.6
2025-04-14,18.1
2025-04-15,11.0
2025-04-16,19.9
2025-04-17,29.9
2025-04-18,19.8
2025-04-19,13.3
2025-04-20,26.0
2025-04-21,12.1
2025-04-22,14.7
2025-04-23,22.3
2025-04-24,22.6
2025-04-25,19.0
2025-04-26,17.5
2025-04-27,12.2
2025-04-28,23.0
2025-04-29,16.2
2025-04-30,20.6
2025-05-01,12.5
2025-05-02,27.7
