date,temperature
2023-06-10,21.4
2023-06-11,15.1
2023-06-12,20.8
2023-06-13,28.9
2023-06-14,8.2
2023-06-15,8.1
2023-06-16,2.3
2023-06-17,-9.3
2023-06-18,24.2
2023-06-19,-2.3
2023-06-20,0.2
2023-06-21,16.4
2023-06-22,3.0
2023-06-23,5.8
2023-06-24,-6.0
2023-06-25,-7.6
2023-06-26,25.0
2023-06-27,-4.2
2023-06-28,7.0
2023-06-29,21.1
2023-06-30,25.2
2023-07-01,-5.1
2023-07-02,-8.7
2023-07-03,3.9
2023-07-04,2.9
2023-07-05,7.4
2023-07-06,5.0
2023-07-07,9.6
2023-07-08,17.9
2023-07-09,-4.9
2023-07-10,14.4
2023-07-11,22.2
2023-07-12,14.1
2023-07-13,23.3
2023-07-14,5.7
2023-07-15,13.0
2023-07-16,1.5
2023-07-17,0.0
2023-07-18,-3.1
2023-07-19,4.1
2023-07-20,24.0
2023-07-21,1.6
2023-07-22,20.1
2023-07-23,4.0
2023-07-24,-8.5
2023-07-25,25.3
2023-07-26,8.8
2023-07-27,23.2
2023-07-28,-2.6
2023-07-29,20.3
2023-07-30,5.3
2023-07-31,-9.4
2023-08-01,9.3
2023-08-02,6.1
2023-08-03,4.4
2023-08-04,-3.0
2023-08-05,3.1
2023-08-06,-5.7
2023-08-07,-9.3
2023-08-08,-0.1
2023-08-09,20.6
2023-08-10,6.2
2023-08-11,16.5
2023-08-12,-4.1
2023-08-13,2.3
2023-08-14,19.5
2023-08-15,23.2
2023-08-16,1.5
2023-08-17,20.5
2023-08-18,17.9
2023-08-19,-7.8
2023-08-20,-0.6
2023-08-21,28.0
2023-08-22,10.5
2023-08-23,2.0
2023-08-24,8.8
2023-08-25,-3.4
2023-08-26,-8.2
2023-08-27,17.3
2023-08-28,-0.2
2023-08-29,9.2
2023-08-30,-0.8
2023-08-31,-8.4
2023-09-01,24.8
2023-09-02,-3.6
2023-09-03,-7.8
2023-09-04,-7.8
2023-09-05,2.7
2023-09-06,0.1
2023-09-07,27.6
2023-09-08,12.0
2023-09-09,5.8
2023-09-10,-6.7
2023-09-11,22.8
2023-09-12,21.0
2023-09-13,18.7
2023-09-14,9.9
2023-09-15,25.8
2023-09-16,13.4
2023-09-17,10.6
2023-09-18,10.2
2023-09-19,25.4
2023-09-20,3.2
2023-09-21,-2.8
2023-09-22,17.2
2023-09-23,9.9
2023-09-24,20.7
2023-09-25,6.5
2023-09-26,4.7
2023-09-27,7.7
2023-09-28,-2.8
2023-09-29,-3.7
2023-09-30,17.5
2023-10-01,25.5
2023-10-02,2.8
2023-10-03,21.8
2023-10-04,23.4
2023-10-05,24.7
2023-10-06,8.8
2023-10-07,10.1
2023-10-08,-9.8
2023-10-09,11.4
2023-10-10,11.0
2023-10-11,21.8
2023-10-12,15.3
2023-10-13,21.8
2023-10-14,-4.3
2023-10-15,19.6
2023-10-16,-4.5
2023-10-17,-5.8
2023-10-18,-9.8
2023-10-19,0.9
2023-10-20,4.2
2023-10-21,2.0
2023-10-22,-9.4
2023-10-23,1.4
2023-10-24,26.4
2023-10-25,10.3
2023-10-26,11.8
2023-10-27,6.6
2023-10-28,17.7
2023-10-29,-1.9
2023-10-30,-8.9
2023-10-31,25.6
2023-11-01,28.8
2023-11-02,-1.6
2023-11-03,25.8
2023-11-04,10.0
2023-11-05,-7.7
2023-11-06,28.4
2023-11-07,2.3
2023-11-08,-9.4
2023-11-09,1.1
2023-11-10,16.1
2023-11-11,-5.4
2023-11-12,9.3
2023-11-13,9.8
2023-11-14,-8.2
2023-11-15,-9.7
2023-11-16,-5.3
2023-11-17,-1.4
2023-11-18,2.0
2023-11-19,-4.4
2023-11-20,16.1
2023-11-21,9.3
2023-11-22,18.1
2023-11-23,25.8
2023-11-24,24.9
2023-11-25,9.9
2023-11-26,11.8
2023-11-27,6.6
2023-11-28,-5.5
2023-11-29,9.9
2023-11-30,28.9
2023-12-01,24.0
2023-12-02,20.9
2023-12-03,1.8
2023-12-04,26.2
2023-12-05,24.6
2023-12-06,7.3
2023-12-07,29.3
2023-12-08,2.5
2023-12-09,-4.8
2023-12-10,25.7
2023-12-11,-0.4
2023-12-12,26.7
2023-12-13,-7.3
2023-12-14,-4.9
2023-12-15,1.9
2023-12-16,5.6
2023-12-17,27.2
2023-12-18,4.9
2023-12-19,14.8
2023-12-20,7.1
2023-12-21,-3.1
2023-12-22,29.9
2023-12-23,27.5
2023-12-24,11.8
2023-12-25,13.5
2023-12-26,12.6
2023-12-27,15.8
2023-12-28,16.3
2023-12-29,3.6
2023-12-30,10.3
2023-12-31,-3.5
2024-01-01,4.4
2024-01-02,7.6
2024-01-03,20.3
2024-01-04,6.3
2024-01-05,27.8
2024-01-06,20.3
2024-01-07,11.0
2024-01-08,17.7
2024-01-09,-8.1
2024-01-10,29.1
2024-01-11,0.5
2024-01-12,15.8
2024-01-13,1.4
2024-01-14,22.8
2024-01-15,0.8
2024-01-16,11.9
2024-01-17,25.0
2024-01-18,4.6
2024-01-19,25.1
2024-01-20,-5.2
2024-01-21,12.4
2024-01-22,-6.8
2024-01-23,27.4
2024-01-24,26.9
2024-01-25,5.3
2024-01-26,-7.8
2024-01-27,-9.2
2024-01-28,18.4
2024-01-29,4.8
2024-01-30,17.9
2024-01-31,5.7
2024-02-01,2.9
2024-02-02,3.5
2024-02-03,-8.1
2024-02-04,-6.4
2024-02-05,8.6
2024-02-06,21.7
2024-02-07,17.4
2024-02-08,-9.5
2024-02-09,8.7
2024-02-10,0.7
2024-02-11,18.5
2024-02-12,25.1
2024-02-13,27.1
2024-02-14,23.3
2024-02-15,2.9
2024-02-16,2.7
2024-02-17,5.5
2024-02-18,25.7
2024-02-19,13.6
2024-02-20,24.6
2024-02-21,22.1
2024-02-22,27.0
2024-02-23,-2.2
2024-02-24,-1.6
2024-02-25,12.0
2024-02-26,13.6
2024-02-27,27.1
2024-02-28,7.4
2024-02-29,8.9
2024-03-01,25.5
2024-03-02,-2.3
2024-03-03,2.8
2024-03-04,9.2
2024-03-05,0.5
2024-03-06,14.7
2024-03-07,19.2
2024-03-08,21.0
2024-03-09,5.4
2024-03-10,24.7
2024-03-11,2.4
2024-03-12,-5.3
2024-03-13,16.5
2024-03-14,16.8
2024-03-15,27.2
2024-03-16,24.4
2024-03-17,-3.6
2024-03-18,12.8
2024-03-19,16.4
2024-03-20,12.3
2024-03-21,-2.3
2024-03-22,15.9
2024-03-23,-2.0
2024-03-24,28.6
2024-03-25,12.0
2024-03-26,0.7
2024-03-27,13.3
2024-03-28,26.1
2024-03-29,22.7
2024-03-30,14.5
2024-03-31,5.5
2024-04-01,-7.6
2024-04-02,2.7
2024-04-03,25.4
2024-04-04,11.5
2024-04-05,17.0
2024-04-06,-0.9
2024-04-07,10.2
