date,temperature
2023-06-10,3.9
2023-06-11,5.1
2023-06-12,-9.0
2023-06-13,12.6
2023-06-14,-9.5
2023-06-15,16.4
2023-06-16,29.3
2023-06-17,29.2
2023-06-18,18.1
2023-06-19,25.4
2023-06-20,17.6
2023-06-21,16.7
2023-06-22,-0.9
2023-06-23,24.8
2023-06-24,-9.8
2023-06-25,8.4
2023-06-26,25.5
2023-06-27,12.9
2023-06-28,10.1
2023-06-29,2.4
2023-06-30,18.8
2023-07-01,24.1
2023-07-02,28.9
2023-07-03,-7.3
2023-07-04,-1.9
2023-07-05,-6.1
2023-07-06,-4.1
2023-07-07,-8.9
2023-07-08,8.2
2023-07-09,23.6
2023-07-10,-2.2
2023-07-11,21.1
2023-07-12,-9.8
2023-07-13,23.3
2023-07-14,0.3
2023-07-15,26.4
2023-07-16,-2.1
2023-07-17,5.0
2023-07-18,22.2
2023-07-19,-9.2
2023-07-20,20.1
2023-07-21,-1.7
2023-07-22,20.3
2023-07-23,19.7
2023-07-24,-9.9
2023-07-25,-7.2
2023-07-26,26.4
2023-07-27,-2.3
2023-07-28,21.2
2023-07-29,21.2
2023-07-30,1.5
2023-07-31,6.2
2023-08-01,26.7
2023-08-02,26.3
2023-08-03,1.7
2023-08-04,28.4
2023-08-05,21.7
2023-08-06,-9.0
2023-08-07,-7.4
2023-08-08,29.9
2023-08-09,16.5
2023-08-10,17.3
2023-08-11,27.2
2023-08-12,-0.8
2023-08-13,21.0
2023-08-14,3.8
2023-08-15,-2.5
2023-08-16,13.3
2023-08-17,-3.9
2023-08-18,28.7
2023-08-19,2.3
2023-08-20,11.5
2023-08-21,-5.8
2023-08-22,16.0
2023-08-23,25.2
2023-08-24,-1.2
2023-08-25,1.2
2023-08-26,2.6
2023-08-27,9.3
2023-08-28,23.6
2023-08-29,-6.5
2023-08-30,12.6
2023-08-31,4.3
2023-09-01,13.6
2023-09-02,-6.5
2023-09-03,27.6
2023-09-04,29.7
2023-09-05,11.0
2023-09-06,4.6
2023-09-07,2.4
2023-09-08,5.6
2023-09-09,-8.9
2023-09-10,24.3
2023-09-11,29.9
2023-09-12,-5.8
2023-09-13,8.5
2023-09-14,-9.1
2023-09-15,14.5
2023-09-16,-2.1
2023-09-17,14.5
2023-09-18,21.2
2023-09-19,4.1
2023-09-20,18.9
2023-09-21,0.1
2023-09-22,17.9
2023-09-23,26.3
2023-09-24,-2.7
2023-09-25,18.2
2023-09-26,-9.0
2023-09-27,-8.5
2023-09-28,5.5
2023-09-29,28.1
2023-09-30,13.3
2023-10-01,3.4
2023-10-02,29.2
2023-10-03,-2.4
2023-10-04,11.9
2023-10-05,6.0
2023-10-06,4.8
2023-10-07,1.2
2023-10-08,20.8
2023-10-09,16.4
2023-10-10,-4.4
2023-10-11,15.4
2023-10-12,7.1
2023-10-13,14.9
2023-10-14,28.3
2023-10-15,-3.2
2023-10-16,-2.4
2023-10-17,26.0
2023-10-18,4.4
2023-10-19,11.4
2023-10-20,22.0
2023-10-21,-0.1
2023-10-22,7.3
2023-10-23,-8.9
2023-10-24,25.8
2023-10-25,11.3
2023-10-26,11.7
2023-10-27,15.3
2023-10-28,-8.9
2023-10-29,20.9
2023-10-30,-2.0
2023-10-31,9.3
2023-11-01,15.0
2023-11-02,23.8
2023-11-03,19.2
2023-11-04,2.3
2023-11-05,12.1
2023-11-06,2.2
2023-11-07,-4.4
2023-11-08,5.3
2023-11-09,7.3
2023-11-10,15.0
2023-11-11,-1.3
2023-11-12,18.5
2023-11-13,13.5
2023-11-14,22.3
2023-11-15,25.6
2023-11-16,19.5
2023-11-17,9.8
2023-11-18,-4.1
2023-11-19,22.2
2023-11-20,-5.0
2023-11-21,11.6
2023-11-22,20.8
2023-11-23,-3.8
2023-11-24,-0.6
2023-11-25,21.3
2023-11-26,-7.3
2023-11-27,17.0
2023-11-28,14.1
2023-11-29,17.2
2023-11-30,1.2
2023-12-01,13.1
2023-12-02,-5.1
2023-12-03,27.0
2023-12-04,11.4
2023-12-05,19.1
2023-12-06,29.8
2023-12-07,8.0
2023-12-08,-2.3
2023-12-09,-4.7
2023-12-10,26.8
2023-12-11,26.2
2023-12-12,14.8
2023-12-13,10.4
2023-12-14,6.0
2023-12-15,-1.7
2023-12-16,16.3
2023-12-17,11.3
2023-12-18,7.1
2023-12-19,29.5
2023-12-20,-1.1
2023-12-21,3.2
2023-12-22,-8.0
2023-12-23,25.6
2023-12-24,27.3
2023-12-25,22.9
2023-12-26,6.7
2023-12-27,15.8
2023-12-28,14.5
2023-12-29,2.0
2023-12-30,7.8
2023-12-31,1.8
2024-01-01,19.5
2024-01-02,29.3
2024-01-03,10.9
2024-01-04,5.7
2024-01-05,-6.4
2024-01-06,-0.3
2024-01-07,-7.7
2024-01-08,-4.5
2024-01-09,24.2
2024-01-10,13.5
2024-01-11,29.0
2024-01-12,-5.0
2024-01-13,27.9
2024-01-14,9.3
2024-01-15,14.6
2024-01-16,1.2
2024-01-17,4.3
2024-01-18,22.1
2024-01-19,19.9
2024-01-20,-2.3
2024-01-21,-2.3
2024-01-22,1.0
2024-01-23,-0.5
2024-01-24,24.9
2024-01-25,-5.4
2024-01-26,0.6
2024-01-27,2.8
2024-01-28,7.2
2024-01-29,-0.7
2024-01-30,-8.5
2024-01-31,5.7
2024-02-01,29.9
2024-02-02,25.8
2024-02-03,7.2
2024-02-04,21.5
2024-02-05,11.7
2024-02-06,4.2
2024-02-07,19.3
2024-02-08,24.8
2024-02-09,16.2
2024-02-10,1.1
2024-02-11,24.6
2024-02-12,-3.6
2024-02-13,20.5
2024-02-14,6.5
2024-02-15,-9.2
2024-02-16,-3.9
2024-02-17,28.4
2024-02-18,-9.0
2024-02-19,12.3
2024-02-20,14.3
2024-02-21,-7.6
2024-02-22,16.7
2024-02-23,4.7
2024-02-24,18.4
2024-02-25,-0.6
2024-02-26,28.6
2024-02-27,12.7
2024-02-28,21.7
2024-02-29,12.2
2024-03-01,-9.5
2024-03-02,3.3
2024-03-03,14.4
2024-03-04,-0.5
2024-03-05,-8.9
2024-03-06,6.2
2024-03-07,5.0
2024-03-08,1.5
2024-03-09,19.2
2024-03-10,1.0
