date,temperature
2023-06-10,25.0
2023-06-11,10.6
2023-06-12,19.5
2023-06-13,9.7
2023-06-14,32.8
2023-06-15,28.6
2023-06-16,23.2
2023-06-17,13.3
2023-06-18,32.4
2023-06-19,29.6
2023-06-20,5.4
2023-06-21,32.9
2023-06-22,10.8
2023-06-23,27.1
2023-06-24,21.7
2023-06-25,10.0
2023-06-26,34.8
2023-06-27,11.9
2023-06-28,10.8
2023-06-29,27.4
2023-06-30,26.5
2023-07-01,18.7
2023-07-02,10.6
2023-07-03,20.7
2023-07-04,15.3
2023-07-05,27.6
2023-07-06,16.6
2023-07-07,24.1
2023-07-08,11.1
2023-07-09,33.9
2023-07-10,26.9
2023-07-11,34.6
2023-07-12,32.0
2023-07-13,17.7
2023-07-14,14.4
2023-07-15,8.4
2023-07-16,20.1
2023-07-17,14.7
2023-07-18,26.7
2023-07-19,34.8
2023-07-20,20.7
2023-07-21,11.2
2023-07-22,33.9
2023-07-23,34.9
2023-07-24,30.6
2023-07-25,22.1
2023-07-26,18.7
2023-07-27,10.6
2023-07-28,10.8
2023-07-29,28.8
2023-07-30,23.3
2023-07-31,15.2
2023-08-01,19.5
2023-08-02,18.4
2023-08-03,14.1
2023-08-04,7.3
2023-08-05,15.4
2023-08-06,20.6
2023-08-07,16.8
2023-08-08,14.5
2023-08-09,13.6
2023-08-10,34.0
2023-08-11,31.2
2023-08-12,17.3
2023-08-13,12.1
2023-08-14,30.3
2023-08-15,34.9
2023-08-16,20.1
2023-08-17,15.1
2023-08-18,28.4
2023-08-19,27.1
2023-08-20,7.2
2023-08-21,19.3
2023-08-22,32.7
2023-08-23,5.6
2023-08-24,19.3
2023-08-25,32.9
2023-08-26,29.8
2023-08-27,28.4
2023-08-28,22.8
2023-08-29,34.5
2023-08-30,15.6
2023-08-31,28.2
2023-09-01,34.3
2023-09-02,8.4
2023-09-03,19.5
2023-09-04,11.8
2023-09-05,17.0
2023-09-06,28.3
2023-09-07,18.0
2023-09-08,6.6
2023-09-09,18.0
2023-09-10,11.6
2023-09-11,26.2
2023-09-12,11.9
2023-09-13,10.2
2023-09-14,32.3
2023-09-15,13.1
2023-09-16,31.1
2023-09-17,6.4
2023-09-18,18.7
2023-09-19,30.6
2023-09-20,23.4
2023-09-21,21.7
2023-09-22,8.2
2023-09-23,23.2
2023-09-24,34.4
2023-09-25,25.3
2023-09-26,16.1
2023-09-27,30.0
2023-09-28,31.2
2023-09-29,24.7
2023-09-30,22.5
2023-10-01,10.9
2023-10-02,26.4
2023-10-03,29.4
2023-10-04,23.5
2023-10-05,10.3
2023-10-06,8.6
2023-10-07,23.2
2023-10-08,6.3
2023-10-09,26.6
2023-10-10,17.8
2023-10-11,30.2
2023-10-12,16.7
2023-10-13,24.2
2023-10-14,34.7
2023-10-15,10.3
2023-10-16,14.9
2023-10-17,26.0
2023-10-18,25.1
2023-10-19,28.1
2023-10-20,12.3
2023-10-21,16.0
2023-10-22,19.6
2023-10-23,33.1
2023-10-24,33.3
2023-10-25,13.1
2023-10-26,5.5
2023-10-27,34.1
2023-10-28,32.6
2023-10-29,30.8
2023-10-30,15.9
2023-10-31,8.9
2023-11-01,6.0
2023-11-02,22.8
2023-11-03,7.3
2023-11-04,5.7
2023-11-05,7.9
2023-11-06,33.3
2023-11-07,12.7
2023-11-08,15.2
2023-11-09,25.6
2023-11-10,30.4
2023-11-11,26.9
2023-11-12,20.9
2023-11-13,24.7
2023-11-14,19.4
2023-11-15,24.2
2023-11-16,9.7
2023-11-17,31.4
2023-11-18,24.7
