date,temperature
2023-06-10,24.0
2023-06-11,16.3
2023-06-12,26.8
2023-06-13,17.3
2023-06-14,15.3
2023-06-15,30.5
2023-06-16,25.3
2023-06-17,30.5
2023-06-18,33.5
2023-06-19,17.2
2023-06-20,23.3
2023-06-21,27.2
2023-06-22,25.9
2023-06-23,25.0
2023-06-24,28.0
2023-06-25,22.8
2023-06-26,29.7
2023-06-27,17.5
2023-06-28,21.5
2023-06-29,33.8
2023-06-30,20.0
2023-07-01,24.8
2023-07-02,24.5
2023-07-03,24.0
2023-07-04,24.3
2023-07-05,20.7
2023-07-06,26.7
2023-07-07,32.4
2023-07-08,34.6
2023-07-09,29.4
2023-07-10,17.9
2023-07-11,31.0
2023-07-12,21.1
2023-07-13,15.5
2023-07-14,30.0
2023-07-15,22.4
2023-07-16,32.0
2023-07-17,29.3
2023-07-18,25.6
2023-07-19,26.1
2023-07-20,27.1
2023-07-21,32.2
2023-07-22,15.4
2023-07-23,19.5
2023-07-24,21.3
2023-07-25,19.3
2023-07-26,34.4
2023-07-27,28.2
2023-07-28,26.0
2023-07-29,22.0
2023-07-30,20.1
2023-07-31,32.7
2023-08-01,35.0
2023-08-02,18.3
2023-08-03,18.0
2023-08-04,32.6
2023-08-05,18.5
2023-08-06,18.8
2023-08-07,22.3
2023-08-08,33.9
2023-08-09,22.3
2023-08-10,21.8
2023-08-11,32.4
2023-08-12,34.7
2023-08-13,27.6
2023-08-14,32.2
2023-08-15,34.4
2023-08-16,19.5
2023-08-17,26.3
2023-08-18,30.3
2023-08-19,27.8
2023-08-20,28.9
2023-08-21,21.9
2023-08-22,26.2
2023-08-23,24.9
2023-08-24,20.8
2023-08-25,23.8
2023-08-26,27.3
2023-08-27,18.9
2023-08-28,23.7
2023-08-29,16.0
2023-08-30,21.9
2023-08-31,28.7
2023-09-01,16.4
2023-09-02,21.5
2023-09-03,16.6
2023-09-04,20.1
2023-09-05,16.1
2023-09-06,15.6
2023-09-07,33.6
2023-09-08,19.8
2023-09-09,17.2
2023-09-10,18.2
2023-09-11,19.2
2023-09-12,27.6
2023-09-13,19.6
2023-09-14,33.1
2023-09-15,24.1
2023-09-16,30.6
2023-09-17,32.7
2023-09-18,30.7
2023-09-19,33.4
2023-09-20,29.5
2023-09-21,27.4
2023-09-22,28.3
2023-09-23,33.1
2023-09-24,32.4
2023-09-25,19.4
2023-09-26,30.5
2023-09-27,28.8
2023-09-28,20.1
2023-09-29,15.3
2023-09-30,18.6
2023-10-01,16.0
2023-10-02,34.5
2023-10-03,33.5
2023-10-04,32.3
2023-10-05,32.6
2023-10-06,19.5
2023-10-07,24.9
2023-10-08,29.0
2023-10-09,21.0
2023-10-10,33.7
2023-10-11,18.5
2023-10-12,19.2
2023-10-13,18.0
2023-10-14,24.1
2023-10-15,34.9
2023-10-16,32.5
2023-10-17,15.9
2023-10-18,24.7
2023-10-19,18.9
2023-10-20,28.6
2023-10-21,33.3
2023-10-22,34.9
2023-10-23,20.4
2023-10-24,30.1
2023-10-25,24.7
2023-10-26,32.8
2023-10-27,26.9
2023-10-28,21.8
2023-10-29,23.7
2023-10-30,23.5
2023-10-31,20.6
2023-11-01,17.6
2023-11-02,29.3
2023-11-03,28.4
2023-11-04,18.3
2023-11-05,18.1
2023-11-06,24.0
2023-11-07,21.2
2023-11-08,19.2
2023-11-09,18.4
2023-11-10,22.8
2023-11-11,28.2
2023-11-12,24.1
2023-11-13,25.7
2023-11-14,23.1
2023-11-15,31.5
2023-11-16,22.7
2023-11-17,32.3
2023-11-18,21.3
2023-11-19,27.4
2023-11-20,31.9
2023-11-21,21.8
2023-11-22,19.5
2023-11-23,17.7
2023-11-24,24.1
2023-11-25,30.7
2023-11-26,22.0
2023-11-27,33.7
2023-11-28,25.0
2023-11-29,24.3
2023-11-30,32.7
2023-12-01,17.4
2023-12-02,29.2
2023-12-03,29.9
2023-12-04,25.0
2023-12-05,29.9
2023-12-06,28.6
2023-12-07,24.1
2023-12-08,32.8
2023-12-09,20.7
2023-12-10,19.9
2023-12-11,17.6
2023-12-12,32.5
2023-12-13,22.0
2023-12-14,15.1
2023-12-15,26.8
2023-12-16,33.3
2023-12-17,32.9
2023-12-18,29.2
2023-12-19,15.5
2023-12-20,28.8
2023-12-21,30.7
2023-12-22,23.3
2023-12-23,31.7
2023-12-24,32.3
2023-12-25,21.4
2023-12-26,29.1
2023-12-27,20.3
2023-12-28,28.0
2023-12-29,20.9
2023-12-30,17.1
2023-12-31,21.9
2024-01-01,22.2
2024-01-02,20.4
2024-01-03,17.4
2024-01-04,33.5
2024-01-05,24.8
2024-01-06,24.4
2024-01-07,33.2
2024-01-08,16.3
2024-01-09,27.7
2024-01-10,34.2
2024-01-11,27.3
2024-01-12,25.2
2024-01-13,32.4
2024-01-14,34.9
2024-01-15,21.7
2024-01-16,34.1
2024-01-17,15.3
2024-01-18,21.1
2024-01-19,27.1
2024-01-20,15.0
2024-01-21,24.1
2024-01-22,30.4
2024-01-23,33.1
2024-01-24,19.9
2024-01-25,21.0
2024-01-26,26.8
2024-01-27,32.7
2024-01-28,16.0
2024-01-29,27.2
2024-01-30,19.5
2024-01-31,24.7
2024-02-01,19.1
2024-02-02,34.2
2024-02-03,15.5
2024-02-04,16.3
2024-02-05,28.0
2024-02-06,16.2
2024-02-07,33.9
2024-02-08,19.8
2024-02-09,21.7
2024-02-10,30.4
2024-02-11,30.8
2024-02-12,32.3
2024-02-13,18.1
2024-02-14,19.4
2024-02-15,24.2
2024-02-16,23.1
2024-02-17,22.6
2024-02-18,29.8
2024-02-19,15.3
2024-02-20,16.2
2024-02-21,16.2
2024-02-22,20.6
2024-02-23,15.8
2024-02-24,15.1
2024-02-25,20.9
2024-02-26,28.7
2024-02-27,33.6
2024-02-28,19.9
2024-02-29,33.2
2024-03-01,29.5
2024-03-02,33.0
2024-03-03,24.6
2024-03-04,28.9
2024-03-05,20.1
2024-03-06,27.3
2024-03-07,27.6
2024-03-08,23.5
2024-03-09,20.7
2024-03-10,16.8
2024-03-11,31.4
2024-03-12,16.1
2024-03-13,30.8
2024-03-14,29.0
2024-03-15,19.0
2024-03-16,22.5
2024-03-17,22.3
2024-03-18,17.0
2024-03-19,24.5
2024-03-20,28.5
2024-03-21,29.1
2024-03-22,29.4
2024-03-23,17.8
2024-03-24,29.7
2024-03-25,25.9
2024-03-26,27.4
2024-03-27,17.9
2024-03-28,25.9
2024-03-29,33.0
2024-03-30,21.6
2024-03-31,21.4
2024-04-01,34.0
2024-04-02,33.7
2024-04-03,32.7
2024-04-04,27.1
2024-04-05,17.6
2024-04-06,27.7
2024-04-07,33.2
2024-04-08,24.5
2024-04-09,16.8
2024-04-10,22.0
2024-04-11,28.9
2024-04-12,34.2
2024-04-13,30.4
2024-04-14,27.3
2024-04-15,16.9
2024-04-16,27.0
2024-04-17,18.8
2024-04-18,16.1
2024-04-19,31.2
2024-04-20,18.9
2024-04-21,25.0
2024-04-22,23.9
2024-04-23,17.0
2024-04-24,29.7
2024-04-25,29.1
2024-04-26,19.5
2024-04-27,21.1
2024-04-28,26.0
2024-04-29,33.3
2024-04-30,29.8
2024-05-01,26.9
2024-05-02,33.2
2024-05-03,32.0
2024-05-04,27.0
2024-05-05,34.9
2024-05-06,32.0
2024-05-07,21.4
2024-05-08,19.2
2024-05-09,20.4
2024-05-10,22.9
2024-05-11,19.3
2024-05-12,20.7
2024-05-13,21.4
2024-05-14,24.1
2024-05-15,19.4
2024-05-16,17.7
2024-05-17,27.1
2024-05-18,19.3
2024-05-19,22.2
2024-05-20,29.9
2024-05-21,18.1
2024-05-22,24.9
2024-05-23,22.8
2024-05-24,33.8
2024-05-25,31.0
2024-05-26,19.1
2024-05-27,19.6
2024-05-28,34.2
2024-05-29,28.1
2024-05-30,32.2
2024-05-31,25.3
2024-06-01,20.7
2024-06-02,19.2
2024-06-03,17.2
2024-06-04,18.1
2024-06-05,28.3
2024-06-06,23.0
2024-06-07,30.0
2024-06-08,28.7
2024-06-09,27.2
2024-06-10,32.0
2024-06-11,22.8
2024-06-12,30.6
2024-06-13,23.4
2024-06-14,26.7
2024-06-15,22.0
2024-06-16,22.0
2024-06-17,15.6
2024-06-18,31.4
2024-06-19,20.9
2024-06-20,27.5
2024-06-21,16.2
2024-06-22,18.4
2024-06-23,19.3
2024-06-24,20.1
2024-06-25,15.9
2024-06-26,31.3
2024-06-27,28.3
