date,temperature
2023-06-10,3.3
2023-06-11,12.3
2023-06-12,-10.2
2023-06-13,-9.1
2023-06-14,-0.2
2023-06-15,-3.8
2023-06-16,3.9
2023-06-17,-0.0
2023-06-18,9.5
2023-06-19,7.2
2023-06-20,-5.0
2023-06-21,13.3
2023-06-22,0.1
2023-06-23,7.3
2023-06-24,1.5
2023-06-25,-18.3
2023-06-26,-9.3
2023-06-27,0.7
2023-06-28,9.8
2023-06-29,-13.8
2023-06-30,6.4
2023-07-01,-6.1
2023-07-02,-7.5
2023-07-03,1.2
2023-07-04,-3.2
2023-07-05,5.1
2023-07-06,-8.2
2023-07-07,-14.8
2023-07-08,-10.8
2023-07-09,-2.3
2023-07-10,12.8
2023-07-11,1.3
2023-07-12,-11.7
2023-07-13,-3.3
2023-07-14,-19.1
2023-07-15,9.6
2023-07-16,-5.1
2023-07-17,-10.8
2023-07-18,0.3
2023-07-19,-9.3
2023-07-20,8.5
2023-07-21,18.3
2023-07-22,-9.3
2023-07-23,-14.2
2023-07-24,-2.6
2023-07-25,17.6
2023-07-26,7.6
2023-07-27,5.3
2023-07-28,14.3
2023-07-29,-17.2
2023-07-30,11.9
2023-07-31,12.2
2023-08-01,2.2
2023-08-02,8.1
2023-08-03,-0.5
2023-08-04,-7.0
2023-08-05,-17.5
2023-08-06,16.4
2023-08-07,11.5
2023-08-08,-3.6
2023-08-09,3.3
2023-08-10,15.0
2023-08-11,-9.9
2023-08-12,10.5
2023-08-13,10.7
2023-08-14,9.2
2023-08-15,-3.3
2023-08-16,-16.7
2023-08-17,1.0
2023-08-18,14.4
2023-08-19,14.0
2023-08-20,-4.1
2023-08-21,7.8
2023-08-22,13.2
2023-08-23,18.7
2023-08-24,8.0
2023-08-25,-0.8
2023-08-26,6.7
2023-08-27,9.2
2023-08-28,9.7
2023-08-29,7.9
2023-08-30,-1.9
2023-08-31,14.3
2023-09-01,-17.5
2023-09-02,19.1
2023-09-03,-11.9
2023-09-04,17.5
2023-09-05,8.6
2023-09-06,-15.7
2023-09-07,-12.7
2023-09-08,-11.0
2023-09-09,8.1
2023-09-10,2.9
2023-09-11,-16.7
2023-09-12,19.8
2023-09-13,16.4
2023-09-14,-13.4
2023-09-15,-14.9
2023-09-16,-19.5
2023-09-17,2.2
2023-09-18,-18.8
2023-09-19,-4.4
2023-09-20,8.8
2023-09-21,17.1
2023-09-22,0.1
2023-09-23,14.8
2023-09-24,13.7
2023-09-25,1.6
2023-09-26,-3.0
2023-09-27,17.6
2023-09-28,9.3
2023-09-29,-1.6
2023-09-30,18.3
2023-10-01,-9.0
2023-10-02,-20.0
2023-10-03,-11.0
2023-10-04,-0.8
2023-10-05,14.9
2023-10-06,-12.4
2023-10-07,12.7
2023-10-08,-17.8
2023-10-09,13.2
2023-10-10,-9.6
2023-10-11,-17.0
2023-10-12,19.1
2023-10-13,-13.7
2023-10-14,-13.2
2023-10-15,-12.9
2023-10-16,-2.5
2023-10-17,7.1
2023-10-18,-14.6
2023-10-19,-7.5
2023-10-20,0.9
2023-10-21,-16.1
2023-10-22,-19.5
2023-10-23,-3.2
2023-10-24,-9.5
2023-10-25,0.5
2023-10-26,-16.0
2023-10-27,-10.4
2023-10-28,-10.7
2023-10-29,-5.4
2023-10-30,16.5
2023-10-31,-17.7
2023-11-01,-1.6
2023-11-02,-19.9
2023-11-03,-5.6
2023-11-04,-12.8
2023-11-05,10.4
2023-11-06,-13.0
2023-11-07,-7.5
2023-11-08,-12.4
2023-11-09,8.7
2023-11-10,11.4
2023-11-11,-5.4
