date,temperature
2023-06-10,15.2
2023-06-11,26.4
2023-06-12,-2.4
2023-06-13,12.4
2023-06-14,-0.6
2023-06-15,23.9
2023-06-16,-0.8
2023-06-17,11.0
2023-06-18,8.3
2023-06-19,3.5
2023-06-20,-8.0
2023-06-21,22.5
2023-06-22,-4.9
2023-06-23,23.0
2023-06-24,7.1
2023-06-25,-3.7
2023-06-26,24.1
2023-06-27,28.9
2023-06-28,-4.0
2023-06-29,0.9
2023-06-30,4.6
2023-07-01,23.8
2023-07-02,21.3
2023-07-03,-1.8
2023-07-04,4.4
2023-07-05,18.4
2023-07-06,-3.8
2023-07-07,14.5
2023-07-08,27.0
2023-07-09,-5.1
2023-07-10,24.3
2023-07-11,0.3
2023-07-12,17.1
2023-07-13,29.6
2023-07-14,15.2
2023-07-15,-6.4
2023-07-16,26.5
2023-07-17,22.8
2023-07-18,29.6
2023-07-19,6.4
2023-07-20,19.3
2023-07-21,2.7
2023-07-22,-9.8
2023-07-23,-8.5
2023-07-24,14.0
2023-07-25,20.3
2023-07-26,0.0
2023-07-27,3.7
2023-07-28,11.3
2023-07-29,-4.8
2023-07-30,15.1
2023-07-31,16.5
2023-08-01,29.5
2023-08-02,-3.0
2023-08-03,3.4
2023-08-04,15.2
2023-08-05,25.7
2023-08-06,-7.8
2023-08-07,9.8
2023-08-08,-0.1
2023-08-09,-2.0
2023-08-10,-3.4
2023-08-11,24.7
2023-08-12,14.8
2023-08-13,17.0
2023-08-14,1.5
2023-08-15,0.2
2023-08-16,-9.6
2023-08-17,-5.3
2023-08-18,2.9
2023-08-19,11.2
2023-08-20,-9.1
2023-08-21,13.6
2023-08-22,16.6
2023-08-23,6.6
2023-08-24,6.3
2023-08-25,23.2
2023-08-26,22.6
2023-08-27,19.1
2023-08-28,26.6
2023-08-29,9.1
2023-08-30,8.6
2023-08-31,10.5
2023-09-01,-0.5
2023-09-02,20.7
2023-09-03,-1.2
2023-09-04,10.3
2023-09-05,23.9
2023-09-06,28.2
2023-09-07,16.7
2023-09-08,-1.4
2023-09-09,9.5
2023-09-10,15.7
2023-09-11,16.4
2023-09-12,17.0
2023-09-13,4.0
2023-09-14,-1.1
2023-09-15,-2.7
2023-09-16,-5.3
2023-09-17,0.6
2023-09-18,-4.8
2023-09-19,26.3
2023-09-20,22.7
2023-09-21,-8.0
2023-09-22,-6.1
2023-09-23,0.6
2023-09-24,22.7
2023-09-25,-4.8
2023-09-26,-8.5
2023-09-27,10.6
2023-09-28,2.3
2023-09-29,-9.1
2023-09-30,-8.4
2023-10-01,28.0
2023-10-02,-0.6
2023-10-03,13.7
2023-10-04,1.2
2023-10-05,19.2
2023-10-06,-5.9
2023-10-07,12.7
2023-10-08,24.4
2023-10-09,-6.0
2023-10-10,23.9
2023-10-11,13.6
2023-10-12,10.5
2023-10-13,-1.6
2023-10-14,24.2
2023-10-15,-4.8
2023-10-16,8.1
2023-10-17,21.5
2023-10-18,9.7
2023-10-19,8.1
2023-10-20,-5.2
2023-10-21,11.9
2023-10-22,-5.5
2023-10-23,28.2
2023-10-24,23.3
2023-10-25,-8.9
2023-10-26,6.6
2023-10-27,-5.6
2023-10-28,21.7
2023-10-29,3.5
2023-10-30,24.7
2023-10-31,9.3
2023-11-01,25.5
2023-11-02,19.6
2023-11-03,-5.4
2023-11-04,5.7
2023-11-05,13.0
2023-11-06,-9.9
2023-11-07,22.9
2023-11-08,27.2
2023-11-09,16.4
2023-11-10,17.8
2023-11-11,27.4
2023-11-12,11.8
2023-11-13,29.9
2023-11-14,11.5
2023-11-15,15.3
2023-11-16,13.1
2023-11-17,29.9
2023-11-18,15.5
2023-11-19,-0.5
2023-11-20,24.4
2023-11-21,20.6
2023-11-22,28.0
2023-11-23,-2.3
2023-11-24,29.2
2023-11-25,28.9
2023-11-26,-1.6
2023-11-27,3.1
2023-11-28,1.0
2023-11-29,27.1
2023-11-30,-0.4
2023-12-01,13.9
2023-12-02,13.2
2023-12-03,13.7
2023-12-04,4.6
2023-12-05,-0.9
2023-12-06,29.6
2023-12-07,19.7
2023-12-08,15.1
2023-12-09,2.3
2023-12-10,10.0
2023-12-11,27.1
2023-12-12,11.2
2023-12-13,-2.2
2023-12-14,21.8
2023-12-15,14.5
2023-12-16,18.1
2023-12-17,-4.6
2023-12-18,16.2
2023-12-19,8.3
2023-12-20,26.6
2023-12-21,4.1
2023-12-22,22.5
2023-12-23,4.1
2023-12-24,4.6
2023-12-25,21.6
2023-12-26,-8.4
2023-12-27,-2.3
2023-12-28,11.8
2023-12-29,-10.0
2023-12-30,19.1
2023-12-31,-3.8
2024-01-01,13.4
2024-01-02,8.1
2024-01-03,-5.6
2024-01-04,29.9
2024-01-05,9.7
2024-01-06,28.1
2024-01-07,0.4
2024-01-08,9.4
2024-01-09,5.4
2024-01-10,21.5
2024-01-11,25.2
2024-01-12,20.3
2024-01-13,-7.4
2024-01-14,1.1
2024-01-15,-4.0
2024-01-16,-7.1
2024-01-17,5.6
2024-01-18,-3.4
2024-01-19,11.3
2024-01-20,6.9
2024-01-21,-9.8
2024-01-22,25.7
2024-01-23,-1.4
2024-01-24,21.4
2024-01-25,-6.9
2024-01-26,22.7
2024-01-27,28.5
2024-01-28,28.8
2024-01-29,0.4
2024-01-30,15.5
2024-01-31,8.3
2024-02-01,28.3
2024-02-02,1.6
2024-02-03,25.0
2024-02-04,-6.6
2024-02-05,-6.1
2024-02-06,17.5
2024-02-07,-4.3
2024-02-08,11.4
2024-02-09,-2.7
2024-02-10,19.3
2024-02-11,26.2
