date,temperature
2023-06-10,-3.5
2023-06-11,-7.7
2023-06-12,-1.2
2023-06-13,22.6
2023-06-14,11.0
2023-06-15,6.2
2023-06-16,18.9
2023-06-17,-14.8
2023-06-18,-13.9
2023-06-19,8.7
2023-06-20,-10.1
2023-06-21,7.9
2023-06-22,-9.1
2023-06-23,1.2
2023-06-24,-12.6
2023-06-25,21.4
2023-06-26,-0.3
2023-06-27,16.5
2023-06-28,9.4
2023-06-29,19.0
2023-06-30,1.9
2023-07-01,20.9
2023-07-02,5.1
2023-07-03,20.2
2023-07-04,-9.9
2023-07-05,-7.6
2023-07-06,-11.6
2023-07-07,-5.5
2023-07-08,5.1
2023-07-09,4.7
2023-07-10,24.5
2023-07-11,21.8
2023-07-12,7.4
2023-07-13,14.8
2023-07-14,1.9
2023-07-15,-12.7
2023-07-16,5.4
2023-07-17,2.0
2023-07-18,-1.4
2023-07-19,-8.6
2023-07-20,-11.9
2023-07-21,-12.4
2023-07-22,-4.3
2023-07-23,13.2
2023-07-24,-14.0
2023-07-25,22.6
2023-07-26,-8.4
2023-07-27,22.9
2023-07-28,-0.9
2023-07-29,6.0
2023-07-30,-11.9
2023-07-31,18.3
2023-08-01,9.1
2023-08-02,7.0
2023-08-03,11.7
2023-08-04,2.7
2023-08-05,8.6
2023-08-06,-6.6
2023-08-07,-8.8
2023-08-08,-14.2
2023-08-09,19.5
2023-08-10,12.7
2023-08-11,-3.2
2023-08-12,23.8
2023-08-13,-6.9
2023-08-14,17.1
2023-08-15,8.6
2023-08-16,4.8
2023-08-17,-2.1
2023-08-18,-12.4
2023-08-19,-10.7
2023-08-20,20.5
2023-08-21,-11.3
2023-08-22,0.5
2023-08-23,8.8
2023-08-24,14.1
2023-08-25,-2.7
2023-08-26,13.5
2023-08-27,-13.1
2023-08-28,-2.5
2023-08-29,16.1
2023-08-30,3.8
2023-08-31,15.5
2023-09-01,-4.0
2023-09-02,11.7
2023-09-03,9.6
2023-09-04,-4.3
2023-09-05,18.0
2023-09-06,-8.0
2023-09-07,-9.4
2023-09-08,13.2
2023-09-09,-5.8
2023-09-10,22.6
2023-09-11,2.7
2023-09-12,-3.0
2023-09-13,2.0
2023-09-14,-11.3
2023-09-15,-14.7
2023-09-16,3.9
2023-09-17,15.9
2023-09-18,22.4
2023-09-19,24.6
2023-09-20,2.1
2023-09-21,23.6
2023-09-22,-11.6
2023-09-23,13.4
2023-09-24,5.0
2023-09-25,1.6
2023-09-26,3.8
2023-09-27,-3.9
2023-09-28,12.6
2023-09-29,19.8
2023-09-30,-9.7
2023-10-01,22.5
2023-10-02,7.4
2023-10-03,23.6
2023-10-04,-13.1
2023-10-05,2.8
2023-10-06,7.6
2023-10-07,19.4
2023-10-08,-11.4
2023-10-09,18.2
2023-10-10,19.5
2023-10-11,11.1
2023-10-12,-3.7
2023-10-13,-6.4
2023-10-14,12.9
2023-10-15,-8.3
2023-10-16,11.8
2023-10-17,23.0
2023-10-18,14.5
2023-10-19,22.6
2023-10-20,17.5
2023-10-21,7.0
2023-10-22,-12.7
2023-10-23,-13.0
2023-10-24,11.5
2023-10-25,-2.0
2023-10-26,8.3
