date,temperature
2023-06-10,16.7
2023-06-11,20.6
2023-06-12,22.5
2023-06-13,15.1
2023-06-14,21.5
2023-06-15,28.0
2023-06-16,20.1
2023-06-17,23.2
2023-06-18,20.5
2023-06-19,12.5
2023-06-20,26.7
2023-06-21,21.5
2023-06-22,16.2
2023-06-23,15.6
2023-06-24,25.2
2023-06-25,10.9
2023-06-26,14.9
2023-06-27,10.9
2023-06-28,12.9
2023-06-29,15.4
2023-06-30,25.1
2023-07-01,28.6
2023-07-02,13.7
2023-07-03,27.8
2023-07-04,23.9
2023-07-05,13.5
2023-07-06,29.7
2023-07-07,15.6
2023-07-08,14.0
2023-07-09,21.2
2023-07-10,16.5
2023-07-11,25.2
2023-07-12,19.3
2023-07-13,15.1
2023-07-14,27.7
2023-07-15,22.9
2023-07-16,17.1
2023-07-17,10.8
2023-07-18,18.9
2023-07-19,29.1
2023-07-20,29.9
2023-07-21,13.5
2023-07-22,27.3
2023-07-23,22.9
2023-07-24,29.2
2023-07-25,21.4
2023-07-26,19.7
2023-07-27,17.8
2023-07-28,25.2
2023-07-29,15.6
2023-07-30,15.3
2023-07-31,18.4
2023-08-01,11.4
2023-08-02,17.9
2023-08-03,29.0
2023-08-04,17.2
2023-08-05,20.6
2023-08-06,23.0
2023-08-07,17.2
2023-08-08,19.9
2023-08-09,20.4
2023-08-10,18.0
2023-08-11,16.6
2023-08-12,26.0
2023-08-13,26.0
2023-08-14,16.4
2023-08-15,21.2
2023-08-16,10.9
2023-08-17,17.1
2023-08-18,22.4
2023-08-19,10.6
2023-08-20,27.5
2023-08-21,17.9
2023-08-22,29.4
2023-08-23,22.1
2023-08-24,13.5
2023-08-25,23.2
2023-08-26,28.6
2023-08-27,15.4
2023-08-28,20.2
2023-08-29,10.4
2023-08-30,19.7
2023-08-31,25.6
2023-09-01,29.9
2023-09-02,24.3
2023-09-03,13.7
2023-09-04,16.2
2023-09-05,16.7
2023-09-06,29.2
2023-09-07,25.7
2023-09-08,24.1
2023-09-09,17.2
2023-09-10,14.3
2023-09-11,29.2
2023-09-12,22.4
2023-09-13,18.1
2023-09-14,14.2
2023-09-15,22.1
2023-09-16,29.5
2023-09-17,19.1
2023-09-18,25.9
2023-09-19,27.3
2023-09-20,25.8
2023-09-21,14.6
2023-09-22,26.0
2023-09-23,21.6
2023-09-24,26.7
2023-09-25,23.6
2023-09-26,13.7
2023-09-27,12.8
2023-09-28,17.3
2023-09-29,21.8
2023-09-30,12.7
2023-10-01,16.6
2023-10-02,24.5
2023-10-03,13.8
2023-10-04,28.0
2023-10-05,14.4
2023-10-06,11.0
2023-10-07,21.9
2023-10-08,25.4
2023-10-09,21.2
2023-10-10,12.6
2023-10-11,11.3
2023-10-12,23.0
2023-10-13,29.3
2023-10-14,13.6
2023-10-15,27.7
2023-10-16,16.1
2023-10-17,20.0
2023-10-18,21.2
2023-10-19,24.0
2023-10-20,20.3
2023-10-21,20.1
2023-10-22,11.1
2023-10-23,28.9
2023-10-24,16.0
2023-10-25,11.5
2023-10-26,19.8
2023-10-27,17.3
2023-10-28,16.2
2023-10-29,20.4
2023-10-30,19.7
2023-10-31,17.2
2023-11-01,22.8
2023-11-02,26.7
2023-11-03,24.2
2023-11-04,24.1
2023-11-05,10.3
2023-11-06,14.9
2023-11-07,24.3
2023-11-08,10.5
2023-11-09,13.9
2023-11-10,16.2
2023-11-11,17.9
