date,temperature
2023-06-10,-7.7
2023-06-11,2.0
2023-06-12,17.2
2023-06-13,-0.2
2023-06-14,-7.9
2023-06-15,-14.7
2023-06-16,6.9
2023-06-17,-14.6
2023-06-18,-4.3
2023-06-19,-17.0
2023-06-20,-16.9
2023-06-21,-6.8
2023-06-22,-11.5
2023-06-23,-9.7
2023-06-24,13.9
2023-06-25,10.8
2023-06-26,1.5
2023-06-27,-13.0
2023-06-28,19.2
2023-06-29,16.1
2023-06-30,6.7
2023-07-01,8.0
2023-07-02,16.5
2023-07-03,-0.4
2023-07-04,-10.6
2023-07-05,8.6
2023-07-06,13.1
2023-07-07,16.2
2023-07-08,-4.7
2023-07-09,11.8
2023-07-10,-9.7
2023-07-11,-14.3
2023-07-12,-7.6
2023-07-13,-7.5
2023-07-14,8.7
2023-07-15,-14.4
2023-07-16,-10.8
2023-07-17,-9.3
2023-07-18,-5.8
2023-07-19,3.0
2023-07-20,-8.0
2023-07-21,1.5
2023-07-22,5.2
2023-07-23,-1.9
2023-07-24,1.0
2023-07-25,11.9
2023-07-26,-9.9
2023-07-27,-8.4
2023-07-28,-7.5
2023-07-29,-7.7
2023-07-30,-13.2
2023-07-31,-16.8
2023-08-01,16.0
2023-08-02,10.0
2023-08-03,-7.2
2023-08-04,18.1
2023-08-05,-10.5
2023-08-06,16.3
2023-08-07,8.3
2023-08-08,-12.1
2023-08-09,-14.7
2023-08-10,3.7
2023-08-11,5.6
2023-08-12,-11.5
2023-08-13,-2.9
2023-08-14,14.8
2023-08-15,-18.2
2023-08-16,-1.0
2023-08-17,15.8
2023-08-18,-1.1
2023-08-19,19.4
2023-08-20,-8.1
2023-08-21,4.3
2023-08-22,8.3
2023-08-23,-3.4
2023-08-24,-19.2
2023-08-25,12.6
2023-08-26,2.1
2023-08-27,2.8
2023-08-28,-14.2
2023-08-29,12.4
2023-08-30,1.4
2023-08-31,13.8
2023-09-01,18.3
2023-09-02,1.0
2023-09-03,-18.7
2023-09-04,-15.0
2023-09-05,5.5
2023-09-06,1.9
2023-09-07,-17.6
2023-09-08,12.9
2023-09-09,7.3
2023-09-10,8.8
2023-09-11,-10.3
2023-09-12,-4.8
2023-09-13,-6.5
2023-09-14,14.9
2023-09-15,-8.1
2023-09-16,-0.8
2023-09-17,0.6
2023-09-18,-17.1
2023-09-19,5.0
2023-09-20,-10.4
2023-09-21,-3.2
2023-09-22,8.0
2023-09-23,15.1
2023-09-24,-8.4
2023-09-25,-19.1
2023-09-26,-14.5
2023-09-27,8.8
2023-09-28,7.8
2023-09-29,16.7
2023-09-30,9.8
2023-10-01,-6.7
2023-10-02,-18.1
2023-10-03,17.3
2023-10-04,-5.5
2023-10-05,4.9
2023-10-06,-1.1
2023-10-07,-8.3
2023-10-08,4.1
2023-10-09,-4.7
2023-10-10,-4.5
2023-10-11,15.0
2023-10-12,-13.3
2023-10-13,-9.4
2023-10-14,-13.3
2023-10-15,7.9
