date,temperature
2023-06-10,32.3
2023-06-11,28.7
2023-06-12,6.4
2023-06-13,22.7
2023-06-14,29.6
2023-06-15,14.5
2023-06-16,23.7
2023-06-17,21.5
2023-06-18,8.2
2023-06-19,23.0
2023-06-20,9.5
2023-06-21,16.6
2023-06-22,7.7
2023-06-23,24.9
2023-06-24,31.5
2023-06-25,34.6
2023-06-26,18.5
2023-06-27,25.9
2023-06-28,18.9
2023-06-29,29.4
2023-06-30,18.2
2023-07-01,13.7
2023-07-02,29.7
2023-07-03,28.4
2023-07-04,29.9
2023-07-05,12.7
2023-07-06,7.0
2023-07-07,31.6
2023-07-08,6.8
2023-07-09,21.9
2023-07-10,23.1
2023-07-11,13.4
2023-07-12,5.3
2023-07-13,33.3
2023-07-14,7.1
2023-07-15,16.3
2023-07-16,12.6
2023-07-17,7.1
2023-07-18,23.0
2023-07-19,33.7
2023-07-20,9.3
2023-07-21,13.4
2023-07-22,5.2
2023-07-23,19.2
2023-07-24,16.3
2023-07-25,16.9
2023-07-26,16.9
2023-07-27,14.3
2023-07-28,16.5
2023-07-29,10.9
2023-07-30,28.6
2023-07-31,7.3
2023-08-01,20.6
2023-08-02,18.4
2023-08-03,22.6
2023-08-04,17.3
2023-08-05,34.5
2023-08-06,16.3
2023-08-07,15.1
2023-08-08,8.4
2023-08-09,14.4
2023-08-10,24.7
2023-08-11,10.8
2023-08-12,25.0
2023-08-13,10.0
2023-08-14,28.9
2023-08-15,10.4
2023-08-16,20.1
2023-08-17,31.5
2023-08-18,13.8
2023-08-19,28.4
2023-08-20,24.2
2023-08-21,6.3
2023-08-22,19.9
2023-08-23,21.0
2023-08-24,25.9
2023-08-25,18.6
2023-08-26,12.3
2023-08-27,31.2
2023-08-28,31.0
2023-08-29,6.6
2023-08-30,15.4
2023-08-31,26.0
2023-09-01,18.6
2023-09-02,33.8
2023-09-03,9.8
2023-09-04,34.9
2023-09-05,29.8
2023-09-06,9.8
2023-09-07,17.8
2023-09-08,24.2
2023-09-09,26.5
2023-09-10,31.0
2023-09-11,5.7
2023-09-12,13.9
2023-09-13,12.1
2023-09-14,14.2
2023-09-15,28.3
2023-09-16,5.6
2023-09-17,34.3
2023-09-18,34.9
2023-09-19,8.8
2023-09-20,15.3
2023-09-21,29.1
2023-09-22,27.6
2023-09-23,27.2
2023-09-24,7.9
2023-09-25,18.2
2023-09-26,16.2
2023-09-27,27.3
2023-09-28,15.9
2023-09-29,18.9
2023-09-30,13.4
2023-10-01,15.4
2023-10-02,21.8
2023-10-03,31.1
2023-10-04,21.2
2023-10-05,21.3
2023-10-06,16.4
2023-10-07,8.2
2023-10-08,6.5
2023-10-09,30.6
2023-10-10,11.8
2023-10-11,31.8
2023-10-12,32.3
2023-10-13,21.0
2023-10-14,26.3
2023-10-15,31.5
2023-10-16,20.0
2023-10-17,7.0
2023-10-18,9.5
2023-10-19,27.8
2023-10-20,30.2
2023-10-21,33.1
2023-10-22,12.7
2023-10-23,30.1
2023-10-24,25.6
2023-10-25,12.0
2023-10-26,22.4
2023-10-27,24.3
2023-10-28,29.6
2023-10-29,16.2
2023-10-30,15.7
2023-10-31,10.7
2023-11-01,7.0
2023-11-02,8.1
2023-11-03,18.7
2023-11-04,17.3
2023-11-05,13.9
2023-11-06,8.6
2023-11-07,21.1
2023-11-08,30.7
2023-11-09,7.7
2023-11-10,7.5
2023-11-11,34.7
2023-11-12,27.6
2023-11-13,30.6
2023-11-14,21.1
2023-11-15,33.3
2023-11-16,26.0
2023-11-17,27.1
2023-11-18,32.4
2023-11-19,23.9
2023-11-20,18.9
2023-11-21,6.0
2023-11-22,12.6
2023-11-23,21.0
2023-11-24,34.2
2023-11-25,29.2
2023-11-26,9.2
2023-11-27,21.7
2023-11-28,34.5
2023-11-29,16.7
2023-11-30,31.9
2023-12-01,21.2
2023-12-02,12.8
2023-12-03,24.0
2023-12-04,13.0
2023-12-05,28.9
2023-12-06,8.9
2023-12-07,21.5
2023-12-08,18.6
2023-12-09,17.4
2023-12-10,21.1
2023-12-11,11.7
2023-12-12,13.2
2023-12-13,20.3
2023-12-14,34.8
2023-12-15,16.4
2023-12-16,21.7
2023-12-17,19.9
2023-12-18,21.7
2023-12-19,9.8
2023-12-20,14.4
2023-12-21,17.2
2023-12-22,7.8
2023-12-23,18.3
2023-12-24,17.9
2023-12-25,23.7
2023-12-26,17.2
2023-12-27,17.2
2023-12-28,26.2
2023-12-29,18.6
