date,temperature
2023-06-10,20.9
2023-06-11,26.1
2023-06-12,17.1
2023-06-13,16.9
2023-06-14,19.3
2023-06-15,31.4
2023-06-16,33.2
2023-06-17,25.5
2023-06-18,28.4
2023-06-19,34.3
2023-06-20,15.7
2023-06-21,22.7
2023-06-22,33.8
2023-06-23,23.3
2023-06-24,25.2
2023-06-25,34.8
2023-06-26,17.0
2023-06-27,19.4
2023-06-28,34.8
2023-06-29,32.4
2023-06-30,33.7
2023-07-01,15.6
2023-07-02,28.4
2023-07-03,15.5
2023-07-04,31.9
2023-07-05,25.6
2023-07-06,25.3
2023-07-07,27.8
2023-07-08,32.8
2023-07-09,28.1
2023-07-10,33.3
2023-07-11,20.8
2023-07-12,28.6
2023-07-13,18.6
2023-07-14,28.1
2023-07-15,19.9
2023-07-16,32.9
2023-07-17,22.2
2023-07-18,26.4
2023-07-19,30.5
2023-07-20,28.5
2023-07-21,22.3
2023-07-22,25.7
2023-07-23,31.3
2023-07-24,24.5
2023-07-25,16.0
2023-07-26,25.3
2023-07-27,28.1
2023-07-28,31.4
2023-07-29,20.4
2023-07-30,22.2
2023-07-31,17.3
2023-08-01,17.5
2023-08-02,34.9
2023-08-03,20.9
2023-08-04,20.1
2023-08-05,32.2
2023-08-06,26.1
2023-08-07,21.3
2023-08-08,23.8
2023-08-09,22.4
2023-08-10,26.3
2023-08-11,32.2
2023-08-12,29.7
2023-08-13,20.7
2023-08-14,20.7
2023-08-15,22.7
2023-08-16,21.5
2023-08-17,30.9
2023-08-18,20.0
2023-08-19,19.4
2023-08-20,26.7
2023-08-21,25.8
2023-08-22,25.9
2023-08-23,22.8
2023-08-24,29.4
2023-08-25,29.8
2023-08-26,24.9
2023-08-27,26.9
2023-08-28,19.5
2023-08-29,24.0
2023-08-30,23.1
2023-08-31,15.6
2023-09-01,26.5
2023-09-02,23.7
2023-09-03,20.0
2023-09-04,15.4
2023-09-05,31.5
2023-09-06,29.4
2023-09-07,17.0
2023-09-08,33.2
2023-09-09,15.4
2023-09-10,31.2
2023-09-11,29.9
2023-09-12,29.6
2023-09-13,33.0
2023-09-14,34.9
2023-09-15,28.1
2023-09-16,21.2
2023-09-17,21.1
2023-09-18,17.2
2023-09-19,24.8
2023-09-20,24.6
2023-09-21,19.4
2023-09-22,28.9
2023-09-23,29.4
2023-09-24,26.5
2023-09-25,16.2
2023-09-26,29.6
2023-09-27,22.4
2023-09-28,31.4
2023-09-29,23.1
2023-09-30,31.7
2023-10-01,21.4
2023-10-02,32.7
2023-10-03,34.4
2023-10-04,31.8
2023-10-05,16.1
2023-10-06,29.9
2023-10-07,27.0
2023-10-08,28.1
2023-10-09,32.6
2023-10-10,16.1
2023-10-11,25.6
2023-10-12,21.4
2023-10-13,16.8
2023-10-14,27.2
2023-10-15,22.9
2023-10-16,16.3
2023-10-17,21.2
2023-10-18,24.6
2023-10-19,30.1
2023-10-20,17.8
2023-10-21,18.2
2023-10-22,28.3
2023-10-23,29.1
2023-10-24,27.4
2023-10-25,25.3
2023-10-26,16.7
2023-10-27,21.4
2023-10-28,17.0
2023-10-29,28.6
2023-10-30,22.0
2023-10-31,23.9
2023-11-01,30.7
2023-11-02,18.5
2023-11-03,27.8
2023-11-04,29.5
2023-11-05,20.2
2023-11-06,25.5
2023-11-07,20.0
2023-11-08,16.9
2023-11-09,16.0
2023-11-10,22.9
2023-11-11,30.0
2023-11-12,26.9
2023-11-13,19.8
2023-11-14,19.7
2023-11-15,17.9
2023-11-16,28.1
2023-11-17,17.9
2023-11-18,24.4
2023-11-19,15.4
2023-11-20,33.1
2023-11-21,34.4
2023-11-22,25.1
2023-11-23,34.3
2023-11-24,25.8
2023-11-25,21.7
2023-11-26,24.7
2023-11-27,21.6
2023-11-28,15.4
2023-11-29,34.0
2023-11-30,16.5
2023-12-01,32.2
2023-12-02,30.5
2023-12-03,20.1
2023-12-04,21.8
2023-12-05,29.2
2023-12-06,22.7
2023-12-07,34.3
2023-12-08,17.2
2023-12-09,19.4
2023-12-10,24.8
2023-12-11,31.0
2023-12-12,16.6
2023-12-13,25.2
2023-12-14,30.7
2023-12-15,31.7
2023-12-16,19.7
2023-12-17,33.6
2023-12-18,26.6
2023-12-19,27.6
2023-12-20,33.9
2023-12-21,29.5
2023-12-22,24.1
2023-12-23,18.4
2023-12-24,22.1
2023-12-25,15.4
2023-12-26,21.4
2023-12-27,28.0
2023-12-28,18.9
2023-12-29,22.4
2023-12-30,20.0
2023-12-31,19.3
2024-01-01,31.7
2024-01-02,30.9
2024-01-03,23.2
2024-01-04,22.1
2024-01-05,33.1
2024-01-06,15.9
2024-01-07,28.9
2024-01-08,27.0
2024-01-09,33.0
2024-01-10,23.9
2024-01-11,21.8
2024-01-12,29.3
2024-01-13,25.6
2024-01-14,22.7
2024-01-15,22.9
2024-01-16,30.0
2024-01-17,20.4
2024-01-18,25.5
2024-01-19,24.8
2024-01-20,25.5
2024-01-21,22.5
2024-01-22,24.8
2024-01-23,24.2
2024-01-24,18.9
2024-01-25,31.7
2024-01-26,22.4
2024-01-27,16.1
2024-01-28,23.5
2024-01-29,16.3
2024-01-30,23.7
2024-01-31,31.3
2024-02-01,17.6
2024-02-02,24.9
2024-02-03,15.4
2024-02-04,16.3
2024-02-05,23.5
2024-02-06,32.7
2024-02-07,19.4
2024-02-08,15.7
2024-02-09,32.9
2024-02-10,26.5
2024-02-11,24.4
2024-02-12,23.8
2024-02-13,26.4
2024-02-14,19.6
2024-02-15,16.7
2024-02-16,23.1
2024-02-17,31.7
2024-02-18,20.0
2024-02-19,19.3
2024-02-20,29.0
2024-02-21,25.8
2024-02-22,18.8
2024-02-23,22.4
2024-02-24,29.1
2024-02-25,17.3
2024-02-26,26.7
2024-02-27,29.0
2024-02-28,33.7
2024-02-29,19.6
2024-03-01,32.9
2024-03-02,21.3
2024-03-03,17.5
2024-03-04,18.8
2024-03-05,23.0
2024-03-06,18.4
2024-03-07,22.2
2024-03-08,18.8
2024-03-09,21.7
2024-03-10,20.7
2024-03-11,15.5
2024-03-12,30.1
2024-03-13,32.3
2024-03-14,24.8
2024-03-15,18.8
2024-03-16,29.0
2024-03-17,21.3
2024-03-18,23.8
2024-03-19,34.0
2024-03-20,30.2
2024-03-21,25.6
2024-03-22,19.6
2024-03-23,28.2
2024-03-24,16.9
2024-03-25,23.9
2024-03-26,30.7
2024-03-27,17.0
2024-03-28,29.8
2024-03-29,30.0
2024-03-30,16.6
2024-03-31,21.8
2024-04-01,27.3
2024-04-02,28.7
2024-04-03,31.4
2024-04-04,18.4
2024-04-05,19.0
2024-04-06,25.6
2024-04-07,34.2
2024-04-08,19.3
2024-04-09,29.4
2024-04-10,31.1
2024-04-11,26.5
2024-04-12,15.9
2024-04-13,15.0
2024-04-14,25.8
2024-04-15,30.9
2024-04-16,19.8
2024-04-17,19.6
2024-04-18,30.1
2024-04-19,34.8
2024-04-20,20.4
2024-04-21,30.0
2024-04-22,28.2
2024-04-23,29.6
2024-04-24,21.6
2024-04-25,30.2
2024-04-26,23.0
2024-04-27,25.4
2024-04-28,22.5
2024-04-29,27.7
2024-04-30,27.3
2024-05-01,34.2
2024-05-02,17.7
2024-05-03,24.0
2024-05-04,15.9
2024-05-05,19.6
2024-05-06,17.0
2024-05-07,31.2
2024-05-08,29.3
2024-05-09,25.7
2024-05-10,22.6
2024-05-11,31.6
2024-05-12,25.3
2024-05-13,15.2
2024-05-14,22.4
2024-05-15,21.9
2024-05-16,16.6
2024-05-17,26.0
2024-05-18,26.8
2024-05-19,17.7
2024-05-20,15.7
2024-05-21,21.0
2024-05-22,30.3
2024-05-23,27.3
2024-05-24,23.9
2024-05-25,32.4
2024-05-26,25.8
2024-05-27,15.6
2024-05-28,25.1
2024-05-29,20.9
2024-05-30,28.4
2024-05-31,26.4
2024-06-01,24.6
2024-06-02,19.3
2024-06-03,30.3
2024-06-04,26.6
2024-06-05,15.5
2024-06-06,33.8
2024-06-07,21.2
2024-06-08,21.4
2024-06-09,26.9
2024-06-10,26.2
2024-06-11,17.9
2024-06-12,32.7
2024-06-13,28.5
2024-06-14,33.7
2024-06-15,33.3
2024-06-16,33.0
2024-06-17,18.4
2024-06-18,28.9
2024-06-19,16.7
2024-06-20,29.3
2024-06-21,28.5
2024-06-22,15.5
2024-06-23,28.4
