date,temperature
2023-06-10,16.2
2023-06-11,13.1
2023-06-12,11.9
2023-06-13,15.7
2023-06-14,13.2
2023-06-15,8.1
2023-06-16,26.4
2023-06-17,4.5
2023-06-18,14.8
2023-06-19,18.9
2023-06-20,17.3
2023-06-21,21.5
2023-06-22,16.0
2023-06-23,23.3
2023-06-24,25.2
2023-06-25,3.4
2023-06-26,13.1
2023-06-27,22.6
2023-06-28,13.1
2023-06-29,17.5
2023-06-30,5.4
2023-07-01,18.8
2023-07-02,25.4
2023-07-03,4.5
2023-07-04,17.9
2023-07-05,14.3
2023-07-06,9.6
2023-07-07,7.8
2023-07-08,2.4
2023-07-09,26.9
2023-07-10,11.9
2023-07-11,24.0
2023-07-12,12.3
2023-07-13,1.7
2023-07-14,21.5
2023-07-15,28.8
2023-07-16,9.4
2023-07-17,13.5
2023-07-18,22.8
2023-07-19,9.7
2023-07-20,10.9
2023-07-21,3.4
2023-07-22,9.3
2023-07-23,18.1
2023-07-24,15.9
2023-07-25,3.6
2023-07-26,28.3
2023-07-27,28.4
2023-07-28,28.9
2023-07-29,25.3
2023-07-30,4.8
2023-07-31,14.5
2023-08-01,15.0
2023-08-02,0.3
2023-08-03,8.0
2023-08-04,27.9
2023-08-05,18.0
2023-08-06,25.7
2023-08-07,13.2
2023-08-08,3.2
2023-08-09,18.6
2023-08-10,20.3
2023-08-11,25.5
2023-08-12,18.2
2023-08-13,0.1
2023-08-14,12.3
2023-08-15,12.1
2023-08-16,12.1
2023-08-17,14.5
2023-08-18,11.0
2023-08-19,24.7
2023-08-20,12.9
2023-08-21,0.0
2023-08-22,29.5
2023-08-23,0.1
2023-08-24,0.7
2023-08-25,4.6
2023-08-26,27.1
2023-08-27,2.4
2023-08-28,18.3
2023-08-29,9.6
2023-08-30,20.5
2023-08-31,29.5
2023-09-01,24.9
2023-09-02,3.9
2023-09-03,6.2
2023-09-04,9.0
2023-09-05,5.3
2023-09-06,10.0
2023-09-07,22.6
2023-09-08,17.2
2023-09-09,1.6
2023-09-10,4.0
2023-09-11,0.3
2023-09-12,10.6
2023-09-13,22.3
2023-09-14,16.3
2023-09-15,25.0
2023-09-16,29.3
2023-09-17,11.8
2023-09-18,7.4
2023-09-19,26.3
2023-09-20,2.3
2023-09-21,17.2
2023-09-22,11.0
2023-09-23,16.7
2023-09-24,14.5
2023-09-25,16.1
2023-09-26,29.8
2023-09-27,3.5
2023-09-28,5.5
2023-09-29,8.1
2023-09-30,29.1
2023-10-01,12.5
2023-10-02,16.9
2023-10-03,5.6
2023-10-04,9.1
2023-10-05,23.5
2023-10-06,15.1
2023-10-07,5.8
2023-10-08,21.9
2023-10-09,16.0
2023-10-10,22.5
2023-10-11,19.4
2023-10-12,25.2
2023-10-13,24.1
2023-10-14,11.3
2023-10-15,5.5
2023-10-16,8.1
2023-10-17,11.6
2023-10-18,17.7
2023-10-19,0.9
2023-10-20,13.4
2023-10-21,28.8
2023-10-22,9.1
2023-10-23,12.0
2023-10-24,14.7
2023-10-25,20.9
2023-10-26,5.4
2023-10-27,4.7
2023-10-28,24.8
2023-10-29,18.8
2023-10-30,23.5
2023-10-31,24.5
2023-11-01,1.9
2023-11-02,11.0
2023-11-03,1.7
2023-11-04,9.0
2023-11-05,16.3
2023-11-06,25.4
2023-11-07,1.7
2023-11-08,17.8
2023-11-09,18.8
2023-11-10,3.5
2023-11-11,23.9
2023-11-12,26.0
2023-11-13,3.0
2023-11-14,7.2
2023-11-15,20.4
2023-11-16,0.1
2023-11-17,25.4
2023-11-18,24.0
2023-11-19,12.3
2023-11-20,5.6
2023-11-21,24.2
2023-11-22,25.4
2023-11-23,13.6
2023-11-24,21.6
2023-11-25,9.1
2023-11-26,22.7
2023-11-27,14.4
2023-11-28,8.4
2023-11-29,0.7
2023-11-30,4.8
2023-12-01,1.6
2023-12-02,14.3
2023-12-03,17.5
2023-12-04,28.4
2023-12-05,13.5
2023-12-06,0.1
2023-12-07,8.7
2023-12-08,17.5
2023-12-09,24.8
2023-12-10,6.6
2023-12-11,21.9
2023-12-12,1.9
2023-12-13,7.4
2023-12-14,3.3
2023-12-15,16.5
2023-12-16,16.0
