date,temperature
2023-06-10,5.0
2023-06-11,9.7
2023-06-12,16.0
2023-06-13,26.9
2023-06-14,18.4
2023-06-15,20.7
2023-06-16,10.5
2023-06-17,7.5
2023-06-18,3.9
2023-06-19,14.1
2023-06-20,8.1
2023-06-21,17.0
2023-06-22,8.1
2023-06-23,29.6
2023-06-24,29.1
2023-06-25,0.2
2023-06-26,4.4
2023-06-27,2.7
2023-06-28,15.7
2023-06-29,27.1
2023-06-30,0.8
2023-07-01,19.7
2023-07-02,7.7
2023-07-03,13.1
2023-07-04,11.2
2023-07-05,13.8
2023-07-06,24.5
2023-07-07,24.4
2023-07-08,29.7
2023-07-09,23.1
2023-07-10,7.7
2023-07-11,4.5
2023-07-12,26.3
2023-07-13,11.5
2023-07-14,10.2
2023-07-15,25.7
2023-07-16,28.2
2023-07-17,26.0
2023-07-18,6.7
2023-07-19,18.3
2023-07-20,15.8
2023-07-21,29.5
2023-07-22,19.4
2023-07-23,17.5
2023-07-24,10.4
2023-07-25,5.9
2023-07-26,0.9
2023-07-27,23.3
2023-07-28,19.1
2023-07-29,26.5
2023-07-30,0.1
2023-07-31,26.7
2023-08-01,14.3
2023-08-02,15.0
2023-08-03,1.9
2023-08-04,4.3
2023-08-05,21.9
2023-08-06,27.7
2023-08-07,3.7
2023-08-08,23.6
2023-08-09,5.0
2023-08-10,24.4
2023-08-11,3.1
2023-08-12,5.5
2023-08-13,19.7
2023-08-14,27.1
2023-08-15,26.9
2023-08-16,19.8
2023-08-17,17.4
2023-08-18,9.2
2023-08-19,4.4
2023-08-20,26.5
2023-08-21,15.7
2023-08-22,19.4
2023-08-23,1.6
2023-08-24,4.6
2023-08-25,23.7
2023-08-26,27.6
2023-08-27,12.6
2023-08-28,18.1
2023-08-29,19.8
2023-08-30,8.8
2023-08-31,9.9
2023-09-01,4.9
2023-09-02,7.2
2023-09-03,10.6
2023-09-04,10.4
2023-09-05,8.1
2023-09-06,9.0
2023-09-07,25.1
2023-09-08,6.1
2023-09-09,8.2
2023-09-10,9.1
2023-09-11,2.2
2023-09-12,16.1
2023-09-13,27.8
2023-09-14,29.6
2023-09-15,7.0
2023-09-16,24.2
2023-09-17,27.0
2023-09-18,11.3
2023-09-19,7.2
2023-09-20,1.4
2023-09-21,2.8
2023-09-22,26.7
2023-09-23,14.8
2023-09-24,13.5
2023-09-25,27.1
2023-09-26,8.5
2023-09-27,23.9
2023-09-28,22.1
2023-09-29,15.9
2023-09-30,0.9
2023-10-01,4.3
2023-10-02,13.2
2023-10-03,20.3
2023-10-04,17.2
2023-10-05,23.8
2023-10-06,5.7
2023-10-07,27.0
2023-10-08,28.6
2023-10-09,18.5
2023-10-10,2.3
2023-10-11,3.9
2023-10-12,15.4
2023-10-13,25.7
2023-10-14,28.0
2023-10-15,10.0
2023-10-16,19.5
2023-10-17,7.1
2023-10-18,3.6
2023-10-19,0.2
2023-10-20,14.9
2023-10-21,7.5
2023-10-22,6.7
2023-10-23,7.2
2023-10-24,11.6
2023-10-25,16.0
2023-10-26,4.7
2023-10-27,8.6
2023-10-28,25.3
2023-10-29,23.1
2023-10-30,14.0
2023-10-31,23.9
2023-11-01,14.6
2023-11-02,19.0
2023-11-03,26.8
2023-11-04,5.1
2023-11-05,8.1
2023-11-06,8.7
2023-11-07,25.9
2023-11-08,28.6
2023-11-09,4.8
2023-11-10,2.8
2023-11-11,26.5
2023-11-12,17.8
2023-11-13,24.3
2023-11-14,3.3
2023-11-15,10.9
2023-11-16,7.9
2023-11-17,4.5
2023-11-18,7.3
2023-11-19,25.9
2023-11-20,23.7
2023-11-21,22.2
2023-11-22,21.2
2023-11-23,0.0
2023-11-24,17.0
2023-11-25,29.2
2023-11-26,23.4
2023-11-27,1.5
2023-11-28,0.5
2023-11-29,24.5
2023-11-30,1.8
2023-12-01,18.7
2023-12-02,18.8
2023-12-03,12.5
2023-12-04,9.6
2023-12-05,13.7
2023-12-06,19.3
2023-12-07,28.5
2023-12-08,29.4
2023-12-09,10.4
2023-12-10,28.4
2023-12-11,20.9
2023-12-12,3.1
2023-12-13,26.2
2023-12-14,21.6
2023-12-15,7.7
2023-12-16,23.5
2023-12-17,1.6
2023-12-18,20.8
2023-12-19,1.8
2023-12-20,8.5
2023-12-21,14.4
2023-12-22,29.0
2023-12-23,20.8
2023-12-24,15.4
2023-12-25,12.8
2023-12-26,23.0
2023-12-27,25.0
2023-12-28,10.2
2023-12-29,29.7
2023-12-30,11.8
2023-12-31,18.6
2024-01-01,14.9
2024-01-02,12.9
2024-01-03,9.7
2024-01-04,3.5
2024-01-05,14.4
2024-01-06,13.4
2024-01-07,2.3
2024-01-08,19.7
2024-01-09,25.2
2024-01-10,0.7
2024-01-11,3.1
2024-01-12,7.7
2024-01-13,16.6
2024-01-14,26.6
2024-01-15,18.7
2024-01-16,13.8
2024-01-17,19.3
2024-01-18,26.9
2024-01-19,19.9
2024-01-20,4.2
2024-01-21,11.1
2024-01-22,2.6
2024-01-23,16.6
2024-01-24,12.5
2024-01-25,15.4
2024-01-26,26.1
2024-01-27,3.2
2024-01-28,28.0
2024-01-29,6.9
2024-01-30,13.5
2024-01-31,2.2
2024-02-01,30.0
2024-02-02,2.2
2024-02-03,7.8
2024-02-04,29.2
2024-02-05,19.2
2024-02-06,3.2
2024-02-07,27.6
2024-02-08,26.0
2024-02-09,21.1
2024-02-10,13.5
2024-02-11,23.9
2024-02-12,28.1
2024-02-13,20.2
2024-02-14,28.6
2024-02-15,8.2
2024-02-16,2.8
2024-02-17,14.2
2024-02-18,21.2
2024-02-19,19.7
2024-02-20,28.1
2024-02-21,14.6
2024-02-22,21.9
2024-02-23,20.9
2024-02-24,7.3
2024-02-25,19.0
2024-02-26,2.3
2024-02-27,2.5
2024-02-28,13.8
2024-02-29,16.1
2024-03-01,16.0
2024-03-02,6.6
2024-03-03,4.7
2024-03-04,11.9
2024-03-05,17.2
2024-03-06,10.1
2024-03-07,24.4
2024-03-08,19.1
2024-03-09,27.0
2024-03-10,26.7
2024-03-11,1.9
2024-03-12,14.9
2024-03-13,19.2
2024-03-14,22.1
2024-03-15,20.8
2024-03-16,3.9
2024-03-17,27.7
2024-03-18,26.2
2024-03-19,6.7
2024-03-20,22.5
2024-03-21,30.0
2024-03-22,7.2
2024-03-23,11.3
2024-03-24,1.5
2024-03-25,10.6
2024-03-26,8.3
2024-03-27,25.1
2024-03-28,0.7
2024-03-29,3.7
2024-03-30,13.2
2024-03-31,3.4
2024-04-01,3.9
2024-04-02,21.0
2024-04-03,25.8
2024-04-04,4.5
2024-04-05,4.4
2024-04-06,20.3
2024-04-07,3.3
2024-04-08,21.7
2024-04-09,5.5
2024-04-10,24.5
2024-04-11,24.1
2024-04-12,22.8
2024-04-13,3.4
2024-04-14,26.8
2024-04-15,22.8
2024-04-16,6.2
2024-04-17,22.6
2024-04-18,26.6
2024-04-19,26.0
2024-04-20,0.5
2024-04-21,9.2
2024-04-22,24.5
2024-04-23,15.5
2024-04-24,25.8
2024-04-25,17.8
2024-04-26,29.9
2024-04-27,7.1
2024-04-28,24.9
