date,temperature
2023-06-10,15.8
2023-06-11,19.4
2023-06-12,12.3
2023-06-13,12.3
2023-06-14,20.5
2023-06-15,29.4
2023-06-16,29.2
2023-06-17,26.5
2023-06-18,11.5
2023-06-19,20.9
2023-06-20,14.0
2023-06-21,19.9
2023-06-22,18.0
2023-06-23,15.0
2023-06-24,18.5
2023-06-25,11.8
2023-06-26,29.3
2023-06-27,13.8
2023-06-28,17.5
2023-06-29,19.9
2023-06-30,13.9
2023-07-01,25.2
2023-07-02,11.6
2023-07-03,22.9
2023-07-04,26.0
2023-07-05,21.2
2023-07-06,13.3
2023-07-07,27.8
2023-07-08,29.2
2023-07-09,18.2
2023-07-10,13.5
2023-07-11,19.4
2023-07-12,27.5
2023-07-13,19.1
2023-07-14,21.4
2023-07-15,12.8
2023-07-16,23.2
2023-07-17,28.4
2023-07-18,15.6
2023-07-19,11.4
2023-07-20,29.3
2023-07-21,11.3
2023-07-22,29.6
2023-07-23,29.6
2023-07-24,11.6
2023-07-25,13.5
2023-07-26,14.5
2023-07-27,10.9
2023-07-28,20.8
2023-07-29,15.9
2023-07-30,23.4
2023-07-31,21.0
2023-08-01,10.8
2023-08-02,27.2
2023-08-03,10.5
2023-08-04,10.6
2023-08-05,15.8
2023-08-06,22.6
2023-08-07,19.4
2023-08-08,19.7
2023-08-09,13.4
2023-08-10,21.9
2023-08-11,13.5
2023-08-12,22.8
2023-08-13,19.9
2023-08-14,22.7
2023-08-15,18.3
2023-08-16,13.3
2023-08-17,28.1
2023-08-18,23.1
2023-08-19,23.1
2023-08-20,10.8
2023-08-21,27.4
2023-08-22,20.8
2023-08-23,29.7
2023-08-24,27.0
2023-08-25,11.2
2023-08-26,26.0
2023-08-27,16.1
2023-08-28,15.9
2023-08-29,10.6
2023-08-30,12.9
2023-08-31,26.1
2023-09-01,17.0
2023-09-02,10.6
2023-09-03,25.5
2023-09-04,29.4
2023-09-05,22.5
2023-09-06,25.0
2023-09-07,12.0
2023-09-08,23.3
2023-09-09,11.3
2023-09-10,25.5
2023-09-11,20.5
2023-09-12,11.3
2023-09-13,19.3
2023-09-14,18.2
2023-09-15,25.0
2023-09-16,26.3
2023-09-17,10.7
2023-09-18,19.7
2023-09-19,11.7
2023-09-20,10.3
2023-09-21,10.6
2023-09-22,19.7
2023-09-23,22.8
2023-09-24,15.8
2023-09-25,28.1
2023-09-26,16.4
2023-09-27,25.8
2023-09-28,24.0
2023-09-29,12.2
2023-09-30,27.9
2023-10-01,14.8
2023-10-02,14.2
2023-10-03,28.2
2023-10-04,14.1
2023-10-05,12.5
2023-10-06,17.5
2023-10-07,23.2
2023-10-08,15.8
2023-10-09,25.0
2023-10-10,10.7
2023-10-11,12.4
2023-10-12,19.3
2023-10-13,25.5
2023-10-14,19.4
2023-10-15,26.8
2023-10-16,13.7
2023-10-17,23.0
2023-10-18,16.6
2023-10-19,22.4
2023-10-20,27.8
2023-10-21,11.0
2023-10-22,24.7
2023-10-23,14.4
2023-10-24,26.1
2023-10-25,16.8
2023-10-26,17.7
2023-10-27,22.0
2023-10-28,14.4
2023-10-29,26.0
2023-10-30,13.9
2023-10-31,23.5
2023-11-01,23.6
2023-11-02,15.1
2023-11-03,24.6
2023-11-04,25.3
2023-11-05,15.0
2023-11-06,14.0
2023-11-07,13.0
2023-11-08,18.9
2023-11-09,24.7
2023-11-10,25.6
2023-11-11,26.3
2023-11-12,23.7
2023-11-13,20.7
2023-11-14,22.5
2023-11-15,15.8
2023-11-16,25.1
2023-11-17,10.9
2023-11-18,16.0
2023-11-19,19.8
2023-11-20,13.9
2023-11-21,13.9
2023-11-22,13.2
2023-11-23,28.0
2023-11-24,28.4
2023-11-25,22.0
2023-11-26,12.7
2023-11-27,21.4
2023-11-28,10.5
2023-11-29,22.0
2023-11-30,29.9
2023-12-01,16.8
2023-12-02,25.2
2023-12-03,25.7
2023-12-04,28.9
2023-12-05,12.3
2023-12-06,29.3
2023-12-07,25.9
2023-12-08,17.8
2023-12-09,16.3
2023-12-10,16.4
2023-12-11,15.6
2023-12-12,10.9
2023-12-13,12.8
2023-12-14,23.1
2023-12-15,24.5
2023-12-16,15.8
2023-12-17,28.5
2023-12-18,13.3
2023-12-19,23.5
2023-12-20,27.6
2023-12-21,16.8
2023-12-22,12.2
2023-12-23,12.3
2023-12-24,24.6
2023-12-25,22.9
2023-12-26,29.6
2023-12-27,26.9
2023-12-28,27.2
2023-12-29,19.3
2023-12-30,19.1
2023-12-31,17.2
2024-01-01,23.9
2024-01-02,12.6
2024-01-03,17.3
2024-01-04,21.6
2024-01-05,27.7
2024-01-06,29.9
2024-01-07,10.9
2024-01-08,25.5
2024-01-09,15.8
2024-01-10,19.7
2024-01-11,19.1
2024-01-12,14.2
2024-01-13,12.5
2024-01-14,13.9
2024-01-15,16.6
2024-01-16,26.9
2024-01-17,20.4
2024-01-18,13.2
2024-01-19,28.1
2024-01-20,14.5
2024-01-21,15.8
2024-01-22,26.1
2024-01-23,15.3
2024-01-24,17.7
2024-01-25,14.5
2024-01-26,10.7
2024-01-27,28.5
2024-01-28,17.9
2024-01-29,21.5
2024-01-30,26.5
2024-01-31,20.3
2024-02-01,17.3
2024-02-02,15.3
2024-02-03,17.7
2024-02-04,21.3
2024-02-05,17.1
2024-02-06,27.0
2024-02-07,29.7
2024-02-08,26.2
2024-02-09,11.2
2024-02-10,19.4
2024-02-11,21.6
2024-02-12,17.3
2024-02-13,18.0
2024-02-14,18.4
2024-02-15,29.7
2024-02-16,12.1
2024-02-17,18.1
2024-02-18,14.5
2024-02-19,15.8
2024-02-20,24.0
2024-02-21,14.3
2024-02-22,17.9
2024-02-23,16.0
2024-02-24,16.0
2024-02-25,26.1
2024-02-26,20.7
2024-02-27,14.4
2024-02-28,14.6
2024-02-29,28.8
2024-03-01,20.7
2024-03-02,12.5
2024-03-03,16.7
2024-03-04,15.0
2024-03-05,23.2
2024-03-06,24.5
2024-03-07,17.3
2024-03-08,12.6
2024-03-09,15.3
2024-03-10,17.6
2024-03-11,20.6
2024-03-12,27.1
2024-03-13,19.4
2024-03-14,28.0
2024-03-15,24.9
2024-03-16,29.6
2024-03-17,16.4
2024-03-18,15.0
2024-03-19,28.8
2024-03-20,15.9
2024-03-21,15.5
2024-03-22,24.2
2024-03-23,15.8
2024-03-24,13.2
2024-03-25,19.8
2024-03-26,18.8
2024-03-27,13.8
2024-03-28,18.6
2024-03-29,27.5
2024-03-30,25.4
2024-03-31,16.3
2024-04-01,11.0
2024-04-02,24.4
2024-04-03,14.5
2024-04-04,13.4
2024-04-05,29.0
2024-04-06,16.1
2024-04-07,28.1
2024-04-08,22.8
2024-04-09,27.7
2024-04-10,20.0
2024-04-11,28.8
2024-04-12,27.6
2024-04-13,13.5
2024-04-14,23.5
2024-04-15,13.0
2024-04-16,12.6
2024-04-17,15.7
2024-04-18,27.8
2024-04-19,17.0
2024-04-20,25.7
2024-04-21,21.5
2024-04-22,18.6
2024-04-23,11.8
2024-04-24,24.2
2024-04-25,24.7
2024-04-26,29.6
2024-04-27,24.4
2024-04-28,27.6
2024-04-29,17.9
2024-04-30,18.1
2024-05-01,19.5
2024-05-02,24.2
2024-05-03,21.9
2024-05-04,13.8
2024-05-05,23.8
2024-05-06,20.8
2024-05-07,10.1
2024-05-08,12.2
2024-05-09,18.2
2024-05-10,13.1
2024-05-11,12.1
2024-05-12,23.2
2024-05-13,24.5
2024-05-14,25.5
2024-05-15,10.5
2024-05-16,15.4
2024-05-17,27.7
2024-05-18,21.0
2024-05-19,19.7
2024-05-20,15.0
2024-05-21,24.3
2024-05-22,29.9
2024-05-23,12.5
2024-05-24,25.8
2024-05-25,24.1
2024-05-26,22.9
2024-05-27,11.7
2024-05-28,11.0
2024-05-29,16.1
2024-05-30,28.4
2024-05-31,20.7
2024-06-01,12.2
2024-06-02,28.1
2024-06-03,16.8
2024-06-04,18.6
2024-06-05,25.2
2024-06-06,11.0
2024-06-07,27.4
2024-06-08,21.8
2024-06-09,28.9
2024-06-10,10.5
2024-06-11,23.4
2024-06-12,29.5
2024-06-13,12.2
2024-06-14,11.7
2024-06-15,22.2
2024-06-16,20.1
2024-06-17,14.6
2024-06-18,15.3
2024-06-19,23.6
2024-06-20,17.3
2024-06-21,11.4
2024-06-22,15.6
2024-06-23,20.5
2024-06-24,26.3
2024-06-25,18.3
2024-06-26,16.3
2024-06-27,19.6
2024-06-28,14.1
2024-06-29,12.2
2024-06-30,18.8
2024-07-01,17.3
2024-07-02,23.8
2024-07-03,10.7
2024-07-04,14.4
2024-07-05,21.8
2024-07-06,25.6
2024-07-07,26.0
2024-07-08,23.5
2024-07-09,24.4
2024-07-10,20.0
2024-07-11,20.0
2024-07-12,26.1
2024-07-13,26.0
2024-07-14,22.1
2024-07-15,12.4
2024-07-16,26.1
2024-07-17,21.2
2024-07-18,12.4
2024-07-19,26.0
2024-07-20,19.3
2024-07-21,25.4
2024-07-22,14.7
2024-07-23,15.7
2024-07-24,11.8
2024-07-25,27.1
2024-07-26,29.1
2024-07-27,25.3
2024-07-28,18.4
2024-07-29,22.1
2024-07-30,12.7
2024-07-31,28.6
2024-08-01,29.0
2024-08-02,25.4
2024-08-03,10.7
2024-08-04,23.0
2024-08-05,23.0
2024-08-06,22.9
2024-08-07,24.0
2024-08-08,22.8
2024-08-09,28.7
2024-08-10,16.7
2024-08-11,26.0
2024-08-12,20.1
2024-08-13,13.5
2024-08-14,22.8
2024-08-15,27.8
2024-08-16,12.8
2024-08-17,29.7
2024-08-18,13.8
2024-08-19,11.0
2024-08-20,23.1
2024-08-21,15.0
2024-08-22,13.2
2024-08-23,19.4
2024-08-24,22.1
2024-08-25,27.7
2024-08-26,15.3
2024-08-27,22.7
2024-08-28,28.2
2024-08-29,23.9
2024-08-30,27.5
2024-08-31,24.7
2024-09-01,14.7
2024-09-02,14.6
2024-09-03,25.9
2024-09-04,24.6
2024-09-05,21.6
2024-09-06,27.7
2024-09-07,12.4
2024-09-08,17.8
2024-09-09,28.9
2024-09-10,21.7
2024-09-11,19.8
2024-09-12,12.2
2024-09-13,15.7
2024-09-14,28.2
2024-09-15,13.3
2024-09-16,20.3
2024-09-17,20.8
2024-09-18,15.8
2024-09-19,24.0
2024-09-20,15.0
2024-09-21,22.0
2024-09-22,17.3
2024-09-23,26.6
2024-09-24,28.8
2024-09-25,18.9
2024-09-26,19.3
2024-09-27,16.4
2024-09-28,16.2
2024-09-29,28.9
2024-09-30,26.1
2024-10-01,18.5
2024-10-02,21.7
2024-10-03,11.5
2024-10-04,10.3
2024-10-05,20.4
2024-10-06,18.4
