date,temperature
2023-06-10,22.7
2023-06-11,-2.7
2023-06-12,3.7
2023-06-13,24.9
2023-06-14,-1.8
2023-06-15,18.4
2023-06-16,18.2
2023-06-17,24.5
2023-06-18,-4.3
2023-06-19,17.1
2023-06-20,9.1
2023-06-21,-4.9
2023-06-22,22.7
2023-06-23,18.3
2023-06-24,13.6
2023-06-25,26.4
2023-06-26,9.1
2023-06-27,21.0
2023-06-28,23.8
2023-06-29,4.9
2023-06-30,6.5
2023-07-01,13.7
2023-07-02,4.0
2023-07-03,1.6
2023-07-04,28.1
2023-07-05,26.9
2023-07-06,25.5
2023-07-07,18.0
2023-07-08,2.8
2023-07-09,15.7
2023-07-10,1.5
2023-07-11,5.5
2023-07-12,29.5
2023-07-13,26.4
2023-07-14,4.9
2023-07-15,14.3
2023-07-16,-1.1
2023-07-17,17.8
2023-07-18,29.6
2023-07-19,0.5
2023-07-20,11.3
2023-07-21,24.8
2023-07-22,27.0
2023-07-23,1.3
2023-07-24,15.2
2023-07-25,29.5
2023-07-26,2.6
2023-07-27,20.6
2023-07-28,24.1
2023-07-29,3.9
2023-07-30,1.0
2023-07-31,-2.9
2023-08-01,21.5
2023-08-02,21.3
2023-08-03,16.4
2023-08-04,-0.9
2023-08-05,-4.3
2023-08-06,16.3
2023-08-07,15.3
2023-08-08,3.1
2023-08-09,17.4
2023-08-10,21.6
2023-08-11,14.2
2023-08-12,14.4
2023-08-13,17.2
2023-08-14,15.2
2023-08-15,23.4
2023-08-16,3.5
2023-08-17,-4.0
2023-08-18,23.6
2023-08-19,10.5
2023-08-20,7.6
2023-08-21,-2.2
2023-08-22,9.2
2023-08-23,8.7
2023-08-24,-1.4
2023-08-25,20.1
2023-08-26,0.8
2023-08-27,4.7
2023-08-28,27.4
2023-08-29,21.6
2023-08-30,19.2
2023-08-31,-1.4
2023-09-01,2.8
2023-09-02,18.2
2023-09-03,23.1
2023-09-04,-2.8
2023-09-05,14.8
2023-09-06,22.1
2023-09-07,3.0
2023-09-08,25.6
2023-09-09,0.1
2023-09-10,11.6
