date,temperature
2023-06-10,9.8
2023-06-11,21.4
2023-06-12,14.9
2023-06-13,12.8
2023-06-14,27.5
2023-06-15,17.1
2023-06-16,6.4
2023-06-17,32.2
2023-06-18,26.5
2023-06-19,12.7
2023-06-20,19.2
2023-06-21,9.1
2023-06-22,26.6
2023-06-23,6.7
2023-06-24,7.8
2023-06-25,32.5
2023-06-26,6.8
2023-06-27,18.7
2023-06-28,22.9
2023-06-29,18.7
2023-06-30,20.0
2023-07-01,23.8
2023-07-02,5.1
2023-07-03,23.9
2023-07-04,9.0
2023-07-05,30.9
2023-07-06,6.1
2023-07-07,25.0
2023-07-08,14.9
2023-07-09,25.3
2023-07-10,17.5
2023-07-11,29.0
2023-07-12,12.1
2023-07-13,28.1
2023-07-14,15.2
2023-07-15,20.4
2023-07-16,7.4
2023-07-17,31.1
2023-07-18,30.6
2023-07-19,7.1
2023-07-20,33.3
2023-07-21,17.7
2023-07-22,24.6
2023-07-23,32.6
2023-07-24,21.9
2023-07-25,12.0
2023-07-26,19.4
2023-07-27,14.0
2023-07-28,5.7
2023-07-29,27.8
2023-07-30,31.1
2023-07-31,26.2
2023-08-01,6.8
2023-08-02,14.1
2023-08-03,32.4
2023-08-04,33.0
2023-08-05,20.9
2023-08-06,23.4
2023-08-07,22.2
2023-08-08,10.9
2023-08-09,30.4
2023-08-10,20.3
2023-08-11,20.1
2023-08-12,23.9
2023-08-13,6.7
2023-08-14,18.0
2023-08-15,9.1
2023-08-16,28.4
2023-08-17,27.6
2023-08-18,6.0
2023-08-19,12.5
2023-08-20,13.0
2023-08-21,7.8
2023-08-22,16.7
2023-08-23,26.2
2023-08-24,25.0
2023-08-25,32.6
2023-08-26,24.7
2023-08-27,28.2
2023-08-28,19.1
2023-08-29,23.8
2023-08-30,26.6
2023-08-31,11.5
2023-09-01,27.0
2023-09-02,17.4
2023-09-03,11.3
2023-09-04,13.5
2023-09-05,13.2
2023-09-06,11.8
2023-09-07,16.9
2023-09-08,27.1
2023-09-09,29.3
2023-09-10,5.6
2023-09-11,28.0
2023-09-12,10.9
2023-09-13,30.1
2023-09-14,29.2
2023-09-15,15.7
2023-09-16,17.8
2023-09-17,14.2
2023-09-18,10.3
2023-09-19,17.0
2023-09-20,9.5
2023-09-21,6.7
2023-09-22,5.3
2023-09-23,30.6
2023-09-24,23.8
2023-09-25,6.1
2023-09-26,30.9
2023-09-27,29.0
2023-09-28,9.6
2023-09-29,27.8
2023-09-30,29.3
2023-10-01,14.1
2023-10-02,31.9
2023-10-03,27.0
2023-10-04,29.1
2023-10-05,29.0
2023-10-06,18.6
2023-10-07,33.1
2023-10-08,7.8
2023-10-09,20.5
2023-10-10,23.2
2023-10-11,15.6
2023-10-12,15.6
2023-10-13,7.6
2023-10-14,9.8
2023-10-15,11.3
2023-10-16,21.4
2023-10-17,23.1
2023-10-18,29.2
2023-10-19,23.8
2023-10-20,32.0
2023-10-21,27.5
2023-10-22,26.0
2023-10-23,24.9
2023-10-24,33.6
2023-10-25,22.2
2023-10-26,14.2
2023-10-27,20.5
2023-10-28,28.6
2023-10-29,28.3
2023-10-30,9.3
2023-10-31,26.3
2023-11-01,26.4
2023-11-02,24.2
2023-11-03,18.3
2023-11-04,7.3
2023-11-05,7.2
2023-11-06,9.4
2023-11-07,14.4
2023-11-08,20.4
2023-11-09,30.3
2023-11-10,34.9
2023-11-11,16.1
2023-11-12,33.0
2023-11-13,22.2
2023-11-14,17.7
2023-11-15,17.1
2023-11-16,12.6
2023-11-17,34.2
2023-11-18,14.1
2023-11-19,17.4
2023-11-20,12.1
2023-11-21,20.9
2023-11-22,25.0
2023-11-23,9.6
2023-11-24,20.9
2023-11-25,30.8
2023-11-26,14.9
