date,temperature
2023-06-10,10.5
2023-06-11,-12.5
2023-06-12,1.6
2023-06-13,5.9
2023-06-14,2.2
2023-06-15,-5.9
2023-06-16,12.6
2023-06-17,19.7
2023-06-18,15.5
2023-06-19,21.4
2023-06-20,24.4
2023-06-21,19.7
2023-06-22,21.0
2023-06-23,2.1
2023-06-24,3.4
2023-06-25,-12.0
2023-06-26,0.5
2023-06-27,17.4
2023-06-28,-14.7
2023-06-29,-2.3
2023-06-30,22.3
2023-07-01,24.8
2023-07-02,-9.5
2023-07-03,15.9
2023-07-04,-7.5
2023-07-05,15.5
2023-07-06,19.5
2023-07-07,20.9
2023-07-08,-1.2
2023-07-09,11.0
2023-07-10,-3.6
2023-07-11,-4.9
2023-07-12,18.6
2023-07-13,0.4
2023-07-14,9.3
2023-07-15,9.2
2023-07-16,-0.5
2023-07-17,9.8
2023-07-18,11.7
2023-07-19,23.0
2023-07-20,9.3
2023-07-21,4.9
2023-07-22,-7.2
2023-07-23,19.5
2023-07-24,20.1
2023-07-25,0.7
2023-07-26,3.2
2023-07-27,20.3
2023-07-28,9.5
2023-07-29,6.4
2023-07-30,4.6
2023-07-31,-3.0
2023-08-01,9.5
2023-08-02,-8.6
2023-08-03,-13.0
2023-08-04,-2.0
2023-08-05,-7.9
2023-08-06,7.1
2023-08-07,-4.3
2023-08-08,-6.9
2023-08-09,24.9
2023-08-10,9.0
2023-08-11,-1.9
2023-08-12,-13.0
2023-08-13,-12.1
2023-08-14,7.0
2023-08-15,20.8
2023-08-16,0.3
2023-08-17,3.9
2023-08-18,0.6
2023-08-19,-9.2
2023-08-20,-7.8
2023-08-21,5.3
2023-08-22,-2.0
2023-08-23,-12.0
2023-08-24,3.2
2023-08-25,14.6
2023-08-26,2.2
2023-08-27,10.6
2023-08-28,-2.1
2023-08-29,12.7
2023-08-30,1.4
2023-08-31,11.5
2023-09-01,-6.3
2023-09-02,19.1
2023-09-03,-4.7
2023-09-04,19.6
2023-09-05,9.0
2023-09-06,-2.5
