date,temperature
2023-06-10,11.6
2023-06-11,19.6
2023-06-12,12.0
2023-06-13,30.4
2023-06-14,25.3
2023-06-15,15.8
2023-06-16,28.9
2023-06-17,33.0
2023-06-18,23.4
2023-06-19,31.8
2023-06-20,10.1
2023-06-21,30.4
2023-06-22,30.3
2023-06-23,5.6
2023-06-24,28.6
2023-06-25,18.3
2023-06-26,24.1
2023-06-27,9.1
2023-06-28,25.6
2023-06-29,13.8
2023-06-30,23.6
2023-07-01,29.1
2023-07-02,7.3
2023-07-03,25.6
2023-07-04,28.7
2023-07-05,17.4
2023-07-06,12.6
2023-07-07,19.9
2023-07-08,32.8
2023-07-09,12.0
2023-07-10,30.5
2023-07-11,26.2
2023-07-12,22.1
2023-07-13,25.8
2023-07-14,30.9
2023-07-15,29.8
2023-07-16,28.2
2023-07-17,6.4
2023-07-18,30.9
2023-07-19,33.1
2023-07-20,13.7
2023-07-21,34.3
2023-07-22,27.1
2023-07-23,26.0
2023-07-24,13.7
2023-07-25,12.3
2023-07-26,12.6
2023-07-27,6.1
2023-07-28,7.5
2023-07-29,23.0
2023-07-30,7.4
2023-07-31,6.6
2023-08-01,7.1
2023-08-02,9.5
2023-08-03,13.1
2023-08-04,33.8
2023-08-05,17.1
2023-08-06,33.3
2023-08-07,7.0
2023-08-08,22.8
2023-08-09,17.1
2023-08-10,10.0
2023-08-11,34.0
2023-08-12,6.1
2023-08-13,5.6
2023-08-14,34.4
2023-08-15,34.7
2023-08-16,18.2
2023-08-17,27.9
2023-08-18,34.5
2023-08-19,24.6
2023-08-20,5.2
2023-08-21,11.1
2023-08-22,28.4
2023-08-23,24.8
2023-08-24,24.3
2023-08-25,12.7
2023-08-26,30.5
2023-08-27,11.9
2023-08-28,18.4
2023-08-29,12.8
2023-08-30,22.0
2023-08-31,30.2
2023-09-01,31.0
2023-09-02,11.9
2023-09-03,30.3
2023-09-04,24.9
2023-09-05,7.0
2023-09-06,20.0
2023-09-07,12.4
2023-09-08,20.1
2023-09-09,20.3
2023-09-10,34.1
2023-09-11,22.5
2023-09-12,19.6
2023-09-13,7.6
2023-09-14,13.3
2023-09-15,24.4
2023-09-16,18.5
2023-09-17,32.5
2023-09-18,5.6
2023-09-19,7.3
2023-09-20,10.7
2023-09-21,14.9
2023-09-22,31.1
2023-09-23,32.4
2023-09-24,23.9
2023-09-25,10.7
2023-09-26,21.5
2023-09-27,10.7
2023-09-28,7.0
2023-09-29,21.8
2023-09-30,32.4
2023-10-01,25.7
2023-10-02,12.9
2023-10-03,23.0
2023-10-04,24.9
2023-10-05,26.3
2023-10-06,5.2
2023-10-07,32.0
2023-10-08,8.1
2023-10-09,32.6
2023-10-10,20.6
2023-10-11,24.2
2023-10-12,9.1
2023-10-13,32.1
2023-10-14,5.9
2023-10-15,18.3
2023-10-16,6.9
2023-10-17,21.1
2023-10-18,26.6
2023-10-19,21.8
2023-10-20,20.2
2023-10-21,5.3
2023-10-22,31.8
2023-10-23,9.9
2023-10-24,16.7
2023-10-25,6.0
2023-10-26,28.1
2023-10-27,19.4
2023-10-28,19.8
2023-10-29,27.4
2023-10-30,33.2
2023-10-31,23.8
2023-11-01,6.5
2023-11-02,25.8
2023-11-03,30.2
2023-11-04,30.7
2023-11-05,5.6
2023-11-06,25.6
2023-11-07,18.3
2023-11-08,16.7
2023-11-09,12.2
2023-11-10,31.2
2023-11-11,11.0
2023-11-12,25.4
2023-11-13,10.4
2023-11-14,15.6
2023-11-15,22.2
2023-11-16,17.0
2023-11-17,9.2
2023-11-18,26.0
2023-11-19,20.0
2023-11-20,29.2
2023-11-21,32.5
2023-11-22,9.1
2023-11-23,15.5
2023-11-24,26.9
2023-11-25,33.6
2023-11-26,23.4
2023-11-27,34.1
2023-11-28,31.9
2023-11-29,22.8
2023-11-30,16.7
2023-12-01,25.9
2023-12-02,7.7
2023-12-03,5.1
2023-12-04,34.3
2023-12-05,17.7
2023-12-06,33.1
2023-12-07,27.8
2023-12-08,24.2
2023-12-09,28.8
2023-12-10,30.5
2023-12-11,30.4
2023-12-12,34.9
2023-12-13,13.7
2023-12-14,29.7
2023-12-15,22.4
2023-12-16,28.2
2023-12-17,21.2
2023-12-18,32.9
2023-12-19,22.9
2023-12-20,13.8
2023-12-21,23.1
2023-12-22,30.2
2023-12-23,27.1
2023-12-24,17.0
2023-12-25,14.2
2023-12-26,25.3
2023-12-27,24.7
2023-12-28,11.0
2023-12-29,10.4
2023-12-30,25.2
2023-12-31,11.0
2024-01-01,19.7
2024-01-02,31.2
2024-01-03,5.2
2024-01-04,30.0
2024-01-05,11.1
2024-01-06,34.3
2024-01-07,26.1
2024-01-08,33.1
2024-01-09,17.0
2024-01-10,20.5
2024-01-11,19.6
2024-01-12,28.3
2024-01-13,24.3
2024-01-14,27.6
2024-01-15,6.2
2024-01-16,29.8
2024-01-17,25.5
2024-01-18,20.1
2024-01-19,11.2
2024-01-20,31.8
2024-01-21,18.1
2024-01-22,20.6
2024-01-23,16.1
2024-01-24,28.5
2024-01-25,17.7
2024-01-26,30.6
2024-01-27,13.9
2024-01-28,29.2
2024-01-29,14.3
2024-01-30,14.3
2024-01-31,7.9
2024-02-01,13.2
2024-02-02,22.9
2024-02-03,9.5
2024-02-04,7.8
2024-02-05,26.4
2024-02-06,23.8
2024-02-07,31.8
2024-02-08,32.1
2024-02-09,34.9
2024-02-10,15.9
2024-02-11,17.4
2024-02-12,34.3
2024-02-13,9.4
2024-02-14,15.5
2024-02-15,15.0
2024-02-16,24.4
2024-02-17,28.4
2024-02-18,31.6
2024-02-19,29.3
2024-02-20,19.1
2024-02-21,17.8
2024-02-22,34.3
2024-02-23,32.5
2024-02-24,32.9
2024-02-25,25.9
2024-02-26,17.6
2024-02-27,25.3
2024-02-28,21.5
2024-02-29,33.7
2024-03-01,22.0
2024-03-02,6.2
2024-03-03,10.3
2024-03-04,33.6
2024-03-05,28.2
2024-03-06,19.1
2024-03-07,32.1
2024-03-08,15.4
2024-03-09,28.8
2024-03-10,34.5
2024-03-11,27.9
2024-03-12,17.7
2024-03-13,8.0
2024-03-14,15.9
2024-03-15,25.0
2024-03-16,31.2
2024-03-17,23.5
2024-03-18,10.9
2024-03-19,13.3
2024-03-20,28.2
2024-03-21,7.7
2024-03-22,27.0
2024-03-23,31.9
2024-03-24,14.3
2024-03-25,22.3
2024-03-26,24.3
2024-03-27,28.1
2024-03-28,20.4
2024-03-29,5.1
2024-03-30,8.8
2024-03-31,14.7
2024-04-01,17.2
2024-04-02,31.1
2024-04-03,15.9
2024-04-04,8.8
2024-04-05,28.5
2024-04-06,26.6
2024-04-07,17.6
2024-04-08,9.6
2024-04-09,11.5
2024-04-10,18.8
