date,temperature
2023-06-10,11.5
2023-06-11,21.2
2023-06-12,27.5
2023-06-13,20.9
2023-06-14,10.0
2023-06-15,17.7
2023-06-16,24.1
2023-06-17,18.9
2023-06-18,23.4
2023-06-19,27.3
2023-06-20,28.7
2023-06-21,26.7
2023-06-22,20.7
2023-06-23,24.9
2023-06-24,24.2
2023-06-25,25.0
2023-06-26,27.1
2023-06-27,22.6
2023-06-28,14.1
2023-06-29,23.8
2023-06-30,26.9
2023-07-01,10.9
2023-07-02,18.5
2023-07-03,23.0
2023-07-04,18.4
2023-07-05,19.6
2023-07-06,26.7
2023-07-07,25.0
2023-07-08,14.3
2023-07-09,25.5
2023-07-10,14.2
2023-07-11,14.8
2023-07-12,12.2
2023-07-13,13.4
2023-07-14,25.4
2023-07-15,15.2
2023-07-16,23.9
2023-07-17,18.4
2023-07-18,10.2
2023-07-19,21.1
2023-07-20,19.8
2023-07-21,12.5
2023-07-22,26.9
2023-07-23,18.4
2023-07-24,20.6
2023-07-25,25.2
2023-07-26,25.0
2023-07-27,15.0
2023-07-28,22.7
2023-07-29,11.7
2023-07-30,16.7
2023-07-31,13.2
2023-08-01,17.4
2023-08-02,20.9
2023-08-03,17.4
2023-08-04,20.2
2023-08-05,11.9
2023-08-06,28.0
2023-08-07,17.8
2023-08-08,28.8
2023-08-09,20.8
2023-08-10,26.5
2023-08-11,19.1
2023-08-12,15.7
2023-08-13,28.1
2023-08-14,15.8
2023-08-15,27.6
2023-08-16,15.6
2023-08-17,23.3
2023-08-18,15.1
2023-08-19,25.9
2023-08-20,23.1
2023-08-21,17.8
2023-08-22,25.9
2023-08-23,26.8
2023-08-24,12.0
2023-08-25,22.0
2023-08-26,17.6
2023-08-27,16.8
2023-08-28,17.9
2023-08-29,22.5
2023-08-30,18.6
2023-08-31,26.7
2023-09-01,28.9
2023-09-02,26.6
2023-09-03,27.1
2023-09-04,17.9
2023-09-05,18.2
2023-09-06,14.7
2023-09-07,25.1
2023-09-08,25.7
2023-09-09,23.9
2023-09-10,17.0
2023-09-11,21.8
2023-09-12,27.7
2023-09-13,18.1
2023-09-14,29.9
2023-09-15,26.8
2023-09-16,13.6
2023-09-17,17.1
2023-09-18,19.9
2023-09-19,16.3
2023-09-20,25.7
2023-09-21,22.3
2023-09-22,27.7
2023-09-23,21.3
2023-09-24,29.0
2023-09-25,23.9
2023-09-26,13.9
2023-09-27,27.5
2023-09-28,11.3
2023-09-29,12.5
2023-09-30,26.5
2023-10-01,10.4
2023-10-02,27.2
2023-10-03,11.5
2023-10-04,27.2
2023-10-05,29.6
2023-10-06,26.7
2023-10-07,19.1
2023-10-08,11.9
2023-10-09,22.9
2023-10-10,21.1
2023-10-11,26.7
2023-10-12,16.8
2023-10-13,17.8
2023-10-14,19.2
2023-10-15,28.3
2023-10-16,21.9
2023-10-17,27.8
2023-10-18,23.6
2023-10-19,26.6
2023-10-20,24.8
2023-10-21,23.4
2023-10-22,11.7
2023-10-23,26.8
2023-10-24,15.7
2023-10-25,15.9
2023-10-26,22.5
2023-10-27,21.8
2023-10-28,15.4
2023-10-29,17.1
2023-10-30,12.7
2023-10-31,23.6
2023-11-01,22.8
2023-11-02,22.7
2023-11-03,26.9
2023-11-04,25.3
2023-11-05,16.0
2023-11-06,11.0
2023-11-07,15.1
2023-11-08,10.9
2023-11-09,12.1
2023-11-10,11.8
2023-11-11,20.9
2023-11-12,28.5
2023-11-13,11.0
2023-11-14,21.6
2023-11-15,10.6
2023-11-16,28.8
2023-11-17,20.0
2023-11-18,20.0
2023-11-19,24.8
2023-11-20,17.8
2023-11-21,25.6
2023-11-22,29.5
2023-11-23,11.0
2023-11-24,28.6
2023-11-25,20.7
2023-11-26,17.8
2023-11-27,19.9
2023-11-28,14.9
2023-11-29,29.4
2023-11-30,27.6
2023-12-01,10.7
2023-12-02,27.7
2023-12-03,19.2
2023-12-04,26.6
2023-12-05,12.2
2023-12-06,23.8
2023-12-07,24.5
2023-12-08,27.5
2023-12-09,18.0
2023-12-10,23.8
2023-12-11,28.4
2023-12-12,17.9
2023-12-13,27.4
2023-12-14,12.0
2023-12-15,11.8
2023-12-16,12.9
2023-12-17,28.5
2023-12-18,17.7
2023-12-19,20.8
2023-12-20,27.0
2023-12-21,16.1
2023-12-22,17.4
2023-12-23,28.8
2023-12-24,15.4
2023-12-25,21.1
2023-12-26,20.8
2023-12-27,29.7
2023-12-28,16.7
2023-12-29,24.1
2023-12-30,21.1
2023-12-31,24.1
2024-01-01,29.3
2024-01-02,20.4
2024-01-03,14.5
2024-01-04,18.0
2024-01-05,16.6
2024-01-06,22.6
2024-01-07,26.8
2024-01-08,10.4
2024-01-09,27.4
2024-01-10,20.9
2024-01-11,14.3
2024-01-12,28.8
2024-01-13,26.2
2024-01-14,24.7
2024-01-15,11.2
2024-01-16,26.3
2024-01-17,20.1
2024-01-18,26.6
2024-01-19,17.2
2024-01-20,24.7
2024-01-21,12.6
2024-01-22,23.9
2024-01-23,26.5
2024-01-24,28.5
2024-01-25,21.2
2024-01-26,17.5
2024-01-27,28.4
2024-01-28,22.1
2024-01-29,18.5
2024-01-30,11.1
2024-01-31,19.9
2024-02-01,21.0
2024-02-02,24.2
2024-02-03,15.4
2024-02-04,17.3
2024-02-05,26.6
2024-02-06,27.4
2024-02-07,22.8
2024-02-08,18.3
2024-02-09,15.6
2024-02-10,13.7
2024-02-11,10.5
2024-02-12,22.1
2024-02-13,18.7
2024-02-14,24.0
2024-02-15,27.0
2024-02-16,28.3
2024-02-17,26.5
2024-02-18,25.1
2024-02-19,15.0
2024-02-20,29.5
2024-02-21,26.2
2024-02-22,13.3
2024-02-23,19.9
2024-02-24,11.9
2024-02-25,24.4
2024-02-26,17.8
2024-02-27,25.6
2024-02-28,28.3
2024-02-29,18.8
2024-03-01,25.9
2024-03-02,27.2
2024-03-03,21.8
2024-03-04,25.8
2024-03-05,11.4
2024-03-06,20.6
2024-03-07,23.5
2024-03-08,16.6
2024-03-09,25.3
2024-03-10,15.1
2024-03-11,28.0
2024-03-12,13.4
2024-03-13,24.8
2024-03-14,10.9
2024-03-15,24.8
2024-03-16,20.2
2024-03-17,15.8
2024-03-18,16.1
2024-03-19,17.4
2024-03-20,27.3
2024-03-21,16.0
2024-03-22,17.6
2024-03-23,19.1
2024-03-24,16.0
2024-03-25,15.8
2024-03-26,22.3
2024-03-27,17.2
2024-03-28,26.6
2024-03-29,14.4
2024-03-30,14.7
2024-03-31,15.6
2024-04-01,23.6
2024-04-02,26.5
2024-04-03,24.0
2024-04-04,16.4
2024-04-05,16.8
2024-04-06,15.3
2024-04-07,17.0
2024-04-08,26.2
2024-04-09,12.9
2024-04-10,23.0
2024-04-11,14.1
2024-04-12,28.0
2024-04-13,17.4
2024-04-14,29.6
2024-04-15,11.0
2024-04-16,20.9
2024-04-17,13.1
2024-04-18,20.0
2024-04-19,23.2
2024-04-20,29.0
2024-04-21,23.9
2024-04-22,24.7
2024-04-23,25.7
2024-04-24,12.0
2024-04-25,15.4
2024-04-26,23.0
2024-04-27,26.2
2024-04-28,28.0
2024-04-29,19.2
2024-04-30,21.3
2024-05-01,18.9
2024-05-02,17.1
2024-05-03,10.9
2024-05-04,14.1
2024-05-05,17.6
2024-05-06,29.3
2024-05-07,23.8
2024-05-08,11.8
2024-05-09,15.6
2024-05-10,12.8
2024-05-11,13.9
2024-05-12,20.8
2024-05-13,20.6
2024-05-14,26.7
2024-05-15,28.2
2024-05-16,20.2
2024-05-17,27.8
2024-05-18,25.7
2024-05-19,10.0
2024-05-20,20.5
2024-05-21,25.4
2024-05-22,29.2
2024-05-23,15.4
2024-05-24,25.9
2024-05-25,27.0
2024-05-26,28.3
2024-05-27,21.5
2024-05-28,28.2
2024-05-29,12.7
2024-05-30,27.0
2024-05-31,27.2
2024-06-01,19.4
2024-06-02,14.1
2024-06-03,26.7
2024-06-04,18.5
2024-06-05,15.2
2024-06-06,25.7
2024-06-07,12.6
2024-06-08,28.9
2024-06-09,14.3
2024-06-10,19.0
2024-06-11,15.0
2024-06-12,11.7
2024-06-13,14.7
2024-06-14,20.0
2024-06-15,28.1
2024-06-16,25.7
2024-06-17,20.3
2024-06-18,12.1
2024-06-19,17.8
2024-06-20,15.1
2024-06-21,28.0
2024-06-22,27.9
2024-06-23,16.2
2024-06-24,11.8
2024-06-25,29.9
2024-06-26,16.2
2024-06-27,14.9
2024-06-28,24.7
2024-06-29,10.9
2024-06-30,27.6
2024-07-01,11.7
2024-07-02,17.9
2024-07-03,22.0
2024-07-04,28.5
2024-07-05,24.1
2024-07-06,12.2
2024-07-07,28.2
2024-07-08,16.4
2024-07-09,29.8
2024-07-10,18.3
2024-07-11,23.6
2024-07-12,19.6
2024-07-13,28.7
2024-07-14,23.5
2024-07-15,28.5
2024-07-16,22.4
2024-07-17,16.5
2024-07-18,26.5
2024-07-19,15.2
2024-07-20,15.3
2024-07-21,23.3
2024-07-22,26.0
2024-07-23,19.0
2024-07-24,16.6
2024-07-25,15.1
2024-07-26,12.3
2024-07-27,26.9
2024-07-28,10.8
2024-07-29,22.9
2024-07-30,26.3
2024-07-31,24.9
2024-08-01,28.3
2024-08-02,19.9
2024-08-03,22.6
2024-08-04,29.7
2024-08-05,15.3
2024-08-06,26.0
2024-08-07,19.7
2024-08-08,17.5
2024-08-09,22.0
2024-08-10,24.0
2024-08-11,17.3
2024-08-12,25.1
2024-08-13,17.2
2024-08-14,20.3
2024-08-15,16.2
2024-08-16,17.4
