date,temperature
2023-06-10,34.4
2023-06-11,25.0
2023-06-12,27.6
2023-06-13,32.5
2023-06-14,17.4
2023-06-15,24.3
2023-06-16,16.8
2023-06-17,31.5
2023-06-18,23.0
2023-06-19,22.0
2023-06-20,33.5
2023-06-21,33.9
2023-06-22,26.1
2023-06-23,28.8
2023-06-24,20.5
2023-06-25,18.0
2023-06-26,26.6
2023-06-27,22.2
2023-06-28,29.9
2023-06-29,34.8
2023-06-30,33.2
2023-07-01,23.0
2023-07-02,18.2
2023-07-03,30.9
2023-07-04,34.7
2023-07-05,24.4
2023-07-06,29.5
2023-07-07,21.9
2023-07-08,15.5
2023-07-09,17.3
2023-07-10,20.5
2023-07-11,31.7
2023-07-12,26.8
2023-07-13,26.9
2023-07-14,18.3
2023-07-15,16.2
2023-07-16,19.1
2023-07-17,28.0
2023-07-18,19.0
2023-07-19,15.8
2023-07-20,28.0
2023-07-21,24.1
2023-07-22,26.9
2023-07-23,18.2
2023-07-24,17.1
2023-07-25,18.1
2023-07-26,32.2
2023-07-27,22.9
2023-07-28,20.5
2023-07-29,19.8
2023-07-30,24.9
2023-07-31,25.9
2023-08-01,26.2
2023-08-02,30.4
2023-08-03,31.5
2023-08-04,29.2
2023-08-05,23.4
2023-08-06,20.4
2023-08-07,23.0
2023-08-08,21.3
2023-08-09,34.7
2023-08-10,32.6
2023-08-11,25.8
2023-08-12,19.1
2023-08-13,32.5
2023-08-14,27.3
2023-08-15,25.8
2023-08-16,19.2
2023-08-17,30.7
2023-08-18,24.4
2023-08-19,26.8
2023-08-20,20.9
2023-08-21,24.8
2023-08-22,20.1
2023-08-23,26.0
2023-08-24,24.1
2023-08-25,27.2
2023-08-26,28.9
2023-08-27,21.1
2023-08-28,32.8
2023-08-29,32.4
2023-08-30,18.3
2023-08-31,23.4
2023-09-01,16.2
2023-09-02,30.7
2023-09-03,20.6
2023-09-04,16.6
2023-09-05,33.3
2023-09-06,27.3
2023-09-07,23.1
2023-09-08,29.7
2023-09-09,33.9
2023-09-10,30.7
2023-09-11,26.5
2023-09-12,24.1
2023-09-13,22.6
2023-09-14,21.6
2023-09-15,15.8
2023-09-16,30.2
2023-09-17,26.8
2023-09-18,19.5
2023-09-19,20.5
2023-09-20,31.2
2023-09-21,28.5
2023-09-22,29.9
2023-09-23,28.0
2023-09-24,26.2
2023-09-25,21.8
2023-09-26,19.9
2023-09-27,27.9
2023-09-28,20.2
2023-09-29,33.1
2023-09-30,19.0
2023-10-01,21.6
2023-10-02,28.8
2023-10-03,18.6
2023-10-04,22.4
2023-10-05,25.5
2023-10-06,29.6
2023-10-07,34.0
2023-10-08,33.9
2023-10-09,16.9
2023-10-10,21.4
2023-10-11,29.4
2023-10-12,15.1
2023-10-13,24.9
2023-10-14,21.0
2023-10-15,27.6
2023-10-16,32.0
2023-10-17,15.7
2023-10-18,17.1
2023-10-19,19.5
2023-10-20,20.8
2023-10-21,28.9
2023-10-22,19.6
2023-10-23,18.5
2023-10-24,21.2
2023-10-25,27.4
2023-10-26,27.4
2023-10-27,21.2
2023-10-28,26.4
2023-10-29,22.4
2023-10-30,17.0
2023-10-31,21.8
2023-11-01,28.2
2023-11-02,24.7
2023-11-03,18.1
2023-11-04,21.6
2023-11-05,21.3
2023-11-06,31.5
2023-11-07,17.2
2023-11-08,23.9
2023-11-09,31.3
2023-11-10,34.1
2023-11-11,17.4
2023-11-12,22.7
2023-11-13,25.9
2023-11-14,21.6
2023-11-15,31.5
2023-11-16,22.9
2023-11-17,33.8
2023-11-18,27.2
2023-11-19,32.7
2023-11-20,23.4
2023-11-21,28.0
2023-11-22,15.5
2023-11-23,29.4
2023-11-24,27.6
2023-11-25,28.3
2023-11-26,24.5
2023-11-27,32.5
2023-11-28,33.7
2023-11-29,15.6
2023-11-30,31.0
2023-12-01,21.0
2023-12-02,19.5
2023-12-03,32.6
2023-12-04,18.5
2023-12-05,15.6
2023-12-06,34.8
2023-12-07,18.8
2023-12-08,15.7
2023-12-09,16.2
2023-12-10,30.3
2023-12-11,23.9
2023-12-12,17.3
2023-12-13,16.0
2023-12-14,24.9
2023-12-15,19.6
2023-12-16,34.2
2023-12-17,19.5
2023-12-18,15.6
2023-12-19,33.8
2023-12-20,31.1
2023-12-21,28.8
2023-12-22,30.1
2023-12-23,24.9
2023-12-24,19.8
2023-12-25,33.3
2023-12-26,21.4
2023-12-27,25.9
2023-12-28,15.3
2023-12-29,29.4
2023-12-30,29.5
2023-12-31,16.6
2024-01-01,18.5
2024-01-02,34.8
2024-01-03,18.5
2024-01-04,18.2
2024-01-05,19.1
2024-01-06,32.9
2024-01-07,23.0
2024-01-08,26.6
2024-01-09,17.2
2024-01-10,21.7
2024-01-11,21.8
2024-01-12,29.7
2024-01-13,16.9
2024-01-14,25.3
2024-01-15,27.5
2024-01-16,26.7
2024-01-17,19.2
2024-01-18,32.4
2024-01-19,30.9
2024-01-20,30.8
2024-01-21,28.5
2024-01-22,23.3
2024-01-23,23.2
2024-01-24,29.2
2024-01-25,21.3
2024-01-26,28.0
2024-01-27,32.9
2024-01-28,29.9
2024-01-29,24.2
2024-01-30,21.0
2024-01-31,18.6
2024-02-01,18.4
2024-02-02,27.5
2024-02-03,24.3
2024-02-04,31.3
2024-02-05,20.7
2024-02-06,26.8
2024-02-07,31.6
2024-02-08,26.5
2024-02-09,33.3
2024-02-10,32.6
2024-02-11,28.6
2024-02-12,28.6
2024-02-13,31.9
2024-02-14,23.0
2024-02-15,32.8
2024-02-16,23.0
2024-02-17,31.5
2024-02-18,15.4
2024-02-19,24.8
2024-02-20,29.6
2024-02-21,26.3
2024-02-22,31.9
2024-02-23,18.9
2024-02-24,26.2
2024-02-25,29.6
2024-02-26,29.9
2024-02-27,21.8
2024-02-28,19.9
2024-02-29,29.5
2024-03-01,17.4
2024-03-02,27.2
2024-03-03,23.4
2024-03-04,34.9
2024-03-05,33.7
2024-03-06,18.7
2024-03-07,34.3
2024-03-08,22.2
2024-03-09,25.3
2024-03-10,20.3
2024-03-11,30.4
2024-03-12,30.2
2024-03-13,33.7
2024-03-14,23.0
2024-03-15,24.8
2024-03-16,31.4
2024-03-17,34.7
2024-03-18,17.5
2024-03-19,31.5
2024-03-20,17.4
2024-03-21,28.8
2024-03-22,21.1
2024-03-23,18.2
2024-03-24,29.7
2024-03-25,27.9
2024-03-26,21.9
2024-03-27,20.9
2024-03-28,32.0
2024-03-29,17.7
2024-03-30,15.5
2024-03-31,17.9
2024-04-01,34.2
2024-04-02,16.2
2024-04-03,28.7
2024-04-04,24.5
2024-04-05,26.3
2024-04-06,31.2
2024-04-07,16.1
2024-04-08,26.9
2024-04-09,28.5
2024-04-10,20.1
2024-04-11,19.2
2024-04-12,29.8
2024-04-13,23.0
2024-04-14,23.7
2024-04-15,25.8
2024-04-16,33.2
2024-04-17,29.3
2024-04-18,23.9
2024-04-19,20.7
2024-04-20,29.5
2024-04-21,20.4
2024-04-22,25.6
2024-04-23,19.5
2024-04-24,20.7
2024-04-25,23.7
2024-04-26,28.3
2024-04-27,27.6
2024-04-28,34.1
2024-04-29,15.0
2024-04-30,17.9
2024-05-01,28.2
2024-05-02,34.8
2024-05-03,34.5
2024-05-04,21.7
2024-05-05,26.6
2024-05-06,19.1
2024-05-07,17.6
2024-05-08,28.3
2024-05-09,17.6
2024-05-10,29.8
2024-05-11,19.8
2024-05-12,23.3
2024-05-13,18.3
2024-05-14,20.5
2024-05-15,25.4
2024-05-16,26.3
2024-05-17,26.9
2024-05-18,34.6
2024-05-19,24.2
2024-05-20,34.5
2024-05-21,15.4
2024-05-22,21.1
2024-05-23,23.7
2024-05-24,24.0
2024-05-25,27.6
2024-05-26,20.4
2024-05-27,28.2
2024-05-28,27.9
2024-05-29,20.8
2024-05-30,22.8
2024-05-31,24.5
2024-06-01,27.9
2024-06-02,15.3
2024-06-03,19.8
2024-06-04,25.4
2024-06-05,26.0
2024-06-06,23.9
2024-06-07,18.3
2024-06-08,26.4
2024-06-09,29.9
2024-06-10,21.3
2024-06-11,25.4
2024-06-12,22.6
2024-06-13,30.3
2024-06-14,30.3
2024-06-15,20.5
2024-06-16,15.9
2024-06-17,32.4
2024-06-18,26.2
2024-06-19,18.8
2024-06-20,21.8
2024-06-21,32.0
2024-06-22,22.5
2024-06-23,26.9
2024-06-24,31.2
2024-06-25,23.9
2024-06-26,33.7
2024-06-27,34.2
2024-06-28,32.5
2024-06-29,30.3
2024-06-30,18.6
2024-07-01,29.4
2024-07-02,30.3
2024-07-03,21.5
2024-07-04,28.1
2024-07-05,21.4
2024-07-06,31.1
2024-07-07,32.1
2024-07-08,32.1
2024-07-09,28.5
2024-07-10,19.6
2024-07-11,34.3
2024-07-12,25.0
2024-07-13,15.4
2024-07-14,33.4
2024-07-15,33.1
2024-07-16,31.2
2024-07-17,27.3
2024-07-18,32.4
2024-07-19,31.0
2024-07-20,17.3
2024-07-21,31.9
2024-07-22,34.1
2024-07-23,21.5
2024-07-24,16.7
2024-07-25,24.6
2024-07-26,34.3
2024-07-27,28.6
2024-07-28,34.1
2024-07-29,25.9
2024-07-30,24.0
2024-07-31,32.6
2024-08-01,31.7
2024-08-02,33.3
2024-08-03,30.9
2024-08-04,20.1
2024-08-05,25.4
2024-08-06,18.2
2024-08-07,34.5
2024-08-08,19.6
2024-08-09,31.6
2024-08-10,18.1
2024-08-11,17.5
2024-08-12,21.5
2024-08-13,29.1
2024-08-14,31.7
2024-08-15,34.8
2024-08-16,16.5
2024-08-17,16.8
2024-08-18,30.2
2024-08-19,34.1
2024-08-20,31.7
2024-08-21,27.7
2024-08-22,33.6
2024-08-23,32.8
2024-08-24,20.8
2024-08-25,33.7
2024-08-26,29.8
2024-08-27,32.5
2024-08-28,15.9
2024-08-29,29.1
2024-08-30,23.4
2024-08-31,19.1
2024-09-01,20.9
2024-09-02,32.6
2024-09-03,31.2
2024-09-04,19.9
2024-09-05,28.6
2024-09-06,20.9
2024-09-07,19.8
2024-09-08,29.0
2024-09-09,23.6
2024-09-10,16.6
2024-09-11,32.1
2024-09-12,17.0
2024-09-13,28.1
2024-09-14,31.8
2024-09-15,19.6
2024-09-16,23.3
2024-09-17,33.0
2024-09-18,29.7
2024-09-19,21.6
2024-09-20,28.7
2024-09-21,15.1
2024-09-22,27.8
2024-09-23,24.5
2024-09-24,30.5
2024-09-25,31.9
2024-09-26,19.3
2024-09-27,16.4
2024-09-28,33.7
2024-09-29,20.6
2024-09-30,19.4
2024-10-01,26.2
2024-10-02,23.0
2024-10-03,21.0
2024-10-04,19.0
2024-10-05,24.8
2024-10-06,16.2
2024-10-07,29.6
2024-10-08,26.5
2024-10-09,27.9
2024-10-10,16.9
2024-10-11,31.0
2024-10-12,23.0
2024-10-13,18.5
2024-10-14,17.3
2024-10-15,26.7
2024-10-16,18.8
2024-10-17,19.1
2024-10-18,22.3
2024-10-19,21.2
2024-10-20,29.3
2024-10-21,34.5
2024-10-22,25.6
2024-10-23,16.3
2024-10-24,24.0
2024-10-25,30.2
2024-10-26,15.6
2024-10-27,25.3
2024-10-28,18.1
2024-10-29,22.2
2024-10-30,17.2
2024-10-31,31.3
2024-11-01,23.3
2024-11-02,19.1
2024-11-03,18.0
2024-11-04,28.9
2024-11-05,25.3
2024-11-06,21.6
2024-11-07,16.0
2024-11-08,28.8
2024-11-09,20.7
2024-11-10,20.8
2024-11-11,29.9
2024-11-12,30.8
2024-11-13,17.0
2024-11-14,27.3
2024-11-15,24.2
2024-11-16,23.7
2024-11-17,24.8
2024-11-18,18.1
2024-11-19,21.6
2024-11-20,19.0
2024-11-21,20.3
2024-11-22,24.1
2024-11-23,24.1
2024-11-24,31.1
2024-11-25,29.6
