date,temperature
2023-06-10,8.0
2023-06-11,21.8
2023-06-12,16.0
2023-06-13,9.2
2023-06-14,27.7
2023-06-15,16.5
2023-06-16,13.8
2023-06-17,24.6
2023-06-18,10.6
2023-06-19,27.7
2023-06-20,1.7
2023-06-21,4.2
2023-06-22,18.5
2023-06-23,8.8
2023-06-24,28.4
2023-06-25,27.0
2023-06-26,15.2
2023-06-27,-4.9
2023-06-28,-3.1
2023-06-29,7.5
2023-06-30,15.7
2023-07-01,4.9
2023-07-02,16.7
2023-07-03,-1.9
2023-07-04,13.9
2023-07-05,2.0
2023-07-06,11.6
2023-07-07,4.9
2023-07-08,-3.2
2023-07-09,25.7
2023-07-10,23.0
2023-07-11,16.3
2023-07-12,14.4
2023-07-13,22.6
2023-07-14,15.1
2023-07-15,25.0
2023-07-16,22.8
2023-07-17,5.3
2023-07-18,24.0
2023-07-19,15.8
2023-07-20,0.1
2023-07-21,16.7
2023-07-22,0.3
2023-07-23,17.9
2023-07-24,21.6
2023-07-25,19.4
2023-07-26,-0.2
2023-07-27,23.1
2023-07-28,29.7
2023-07-29,0.8
2023-07-30,15.3
2023-07-31,22.2
2023-08-01,14.8
2023-08-02,26.2
2023-08-03,28.4
2023-08-04,22.6
2023-08-05,11.2
2023-08-06,9.9
2023-08-07,8.2
2023-08-08,19.6
2023-08-09,1.3
2023-08-10,26.3
2023-08-11,22.6
2023-08-12,21.2
2023-08-13,16.9
2023-08-14,2.6
2023-08-15,6.0
2023-08-16,17.1
2023-08-17,28.1
2023-08-18,4.3
2023-08-19,7.8
2023-08-20,-4.6
2023-08-21,28.1
2023-08-22,4.3
2023-08-23,1.0
2023-08-24,6.6
2023-08-25,4.7
2023-08-26,8.2
2023-08-27,12.8
2023-08-28,11.1
2023-08-29,23.1
2023-08-30,5.5
2023-08-31,26.4
2023-09-01,29.6
2023-09-02,21.0
2023-09-03,29.2
2023-09-04,1.3
2023-09-05,28.6
2023-09-06,9.8
2023-09-07,12.7
2023-09-08,2.3
2023-09-09,20.5
2023-09-10,-1.7
2023-09-11,24.9
2023-09-12,-3.8
2023-09-13,11.7
2023-09-14,-3.6
2023-09-15,25.5
2023-09-16,14.4
2023-09-17,5.4
2023-09-18,-3.2
2023-09-19,25.7
2023-09-20,-0.3
2023-09-21,-2.3
2023-09-22,27.4
2023-09-23,15.4
2023-09-24,24.2
2023-09-25,5.3
2023-09-26,22.5
2023-09-27,7.6
2023-09-28,7.0
2023-09-29,22.5
2023-09-30,24.1
2023-10-01,13.9
2023-10-02,20.9
2023-10-03,8.4
2023-10-04,8.4
2023-10-05,22.9
2023-10-06,-2.5
2023-10-07,14.1
2023-10-08,25.2
2023-10-09,9.0
2023-10-10,-4.2
2023-10-11,-2.5
2023-10-12,15.4
2023-10-13,8.0
2023-10-14,-0.2
2023-10-15,21.6
2023-10-16,5.0
2023-10-17,-3.4
2023-10-18,0.7
2023-10-19,-1.6
2023-10-20,9.9
2023-10-21,11.3
2023-10-22,7.5
2023-10-23,19.2
2023-10-24,-1.3
2023-10-25,24.2
2023-10-26,12.1
2023-10-27,5.7
2023-10-28,19.7
2023-10-29,1.2
2023-10-30,17.4
2023-10-31,23.8
2023-11-01,26.2
2023-11-02,27.5
2023-11-03,18.6
2023-11-04,12.4
2023-11-05,5.6
2023-11-06,-3.1
2023-11-07,18.0
2023-11-08,12.0
2023-11-09,22.5
2023-11-10,20.2
2023-11-11,25.6
2023-11-12,4.0
2023-11-13,28.0
2023-11-14,5.1
2023-11-15,28.7
2023-11-16,2.3
2023-11-17,15.2
2023-11-18,14.5
2023-11-19,21.8
2023-11-20,-4.7
2023-11-21,3.5
2023-11-22,6.6
2023-11-23,-1.1
2023-11-24,12.2
2023-11-25,1.2
2023-11-26,24.5
2023-11-27,5.6
2023-11-28,29.6
2023-11-29,21.7
2023-11-30,10.1
2023-12-01,27.1
2023-12-02,13.1
2023-12-03,6.1
2023-12-04,-1.2
2023-12-05,16.6
2023-12-06,-0.7
2023-12-07,19.8
2023-12-08,12.4
2023-12-09,11.1
2023-12-10,19.5
2023-12-11,7.8
2023-12-12,28.7
2023-12-13,9.5
2023-12-14,21.3
2023-12-15,23.3
2023-12-16,-2.9
2023-12-17,19.9
2023-12-18,10.4
2023-12-19,12.3
