date,temperature
2023-06-10,21.8
2023-06-11,13.2
2023-06-12,24.5
2023-06-13,29.4
2023-06-14,19.4
2023-06-15,26.6
2023-06-16,10.3
2023-06-17,27.7
2023-06-18,16.2
2023-06-19,27.7
2023-06-20,25.9
2023-06-21,28.5
2023-06-22,27.0
2023-06-23,20.3
2023-06-24,23.9
2023-06-25,17.0
2023-06-26,25.1
2023-06-27,28.7
2023-06-28,14.2
2023-06-29,12.5
2023-06-30,16.3
2023-07-01,20.4
2023-07-02,24.9
2023-07-03,17.7
2023-07-04,29.2
2023-07-05,25.0
2023-07-06,22.1
2023-07-07,24.9
2023-07-08,18.1
2023-07-09,22.2
2023-07-10,21.0
2023-07-11,16.9
2023-07-12,12.4
2023-07-13,24.5
2023-07-14,26.8
2023-07-15,29.2
2023-07-16,27.9
2023-07-17,14.4
2023-07-18,11.9
2023-07-19,20.5
2023-07-20,23.5
2023-07-21,29.3
2023-07-22,12.3
2023-07-23,21.6
2023-07-24,24.3
2023-07-25,13.0
2023-07-26,28.1
2023-07-27,11.5
2023-07-28,14.3
2023-07-29,29.6
2023-07-30,22.7
2023-07-31,10.2
2023-08-01,16.6
2023-08-02,11.7
2023-08-03,12.3
2023-08-04,24.5
2023-08-05,21.1
2023-08-06,25.5
2023-08-07,29.0
2023-08-08,17.4
2023-08-09,15.1
2023-08-10,28.1
2023-08-11,26.3
2023-08-12,22.8
2023-08-13,24.7
2023-08-14,25.8
2023-08-15,25.2
2023-08-16,17.6
2023-08-17,22.1
2023-08-18,29.5
2023-08-19,27.6
2023-08-20,28.8
2023-08-21,29.5
2023-08-22,20.5
2023-08-23,28.7
2023-08-24,20.1
2023-08-25,27.3
2023-08-26,14.6
2023-08-27,23.0
2023-08-28,23.9
2023-08-29,22.9
2023-08-30,14.8
2023-08-31,26.9
2023-09-01,26.2
2023-09-02,13.9
2023-09-03,12.0
2023-09-04,18.8
2023-09-05,16.8
2023-09-06,27.6
2023-09-07,17.4
2023-09-08,27.3
2023-09-09,19.9
2023-09-10,22.7
2023-09-11,23.0
2023-09-12,19.5
2023-09-13,29.6
2023-09-14,29.4
2023-09-15,11.9
2023-09-16,16.2
2023-09-17,25.3
2023-09-18,23.1
2023-09-19,23.9
2023-09-20,16.3
2023-09-21,22.4
2023-09-22,29.8
2023-09-23,26.0
2023-09-24,23.7
2023-09-25,15.9
2023-09-26,24.7
2023-09-27,25.0
2023-09-28,21.2
2023-09-29,11.9
2023-09-30,17.8
2023-10-01,27.4
2023-10-02,18.1
2023-10-03,20.3
2023-10-04,20.0
2023-10-05,10.2
2023-10-06,11.7
2023-10-07,28.7
2023-10-08,24.7
2023-10-09,25.0
2023-10-10,14.2
2023-10-11,12.9
2023-10-12,27.9
2023-10-13,21.9
2023-10-14,12.3
2023-10-15,21.5
2023-10-16,25.4
2023-10-17,10.9
2023-10-18,27.2
2023-10-19,27.3
2023-10-20,15.0
2023-10-21,10.3
2023-10-22,28.8
2023-10-23,21.9
2023-10-24,22.8
2023-10-25,27.8
2023-10-26,12.0
2023-10-27,27.5
2023-10-28,27.3
2023-10-29,19.2
2023-10-30,29.3
2023-10-31,17.9
2023-11-01,25.9
2023-11-02,23.3
2023-11-03,15.8
2023-11-04,19.8
2023-11-05,26.3
2023-11-06,24.9
2023-11-07,24.8
2023-11-08,19.7
2023-11-09,12.4
2023-11-10,11.0
2023-11-11,19.3
2023-11-12,29.4
2023-11-13,23.1
2023-11-14,24.6
2023-11-15,15.4
2023-11-16,10.1
2023-11-17,24.5
2023-11-18,23.5
2023-11-19,16.7
2023-11-20,22.7
2023-11-21,23.5
2023-11-22,29.3
2023-11-23,29.1
2023-11-24,11.3
2023-11-25,23.3
2023-11-26,20.1
2023-11-27,25.7
2023-11-28,27.6
2023-11-29,16.6
2023-11-30,17.5
2023-12-01,17.3
2023-12-02,10.9
2023-12-03,23.8
2023-12-04,25.7
2023-12-05,20.0
2023-12-06,15.6
2023-12-07,12.0
2023-12-08,21.2
2023-12-09,24.4
2023-12-10,14.0
2023-12-11,18.0
2023-12-12,10.2
2023-12-13,21.3
2023-12-14,23.9
2023-12-15,23.1
2023-12-16,27.3
2023-12-17,26.3
2023-12-18,28.6
2023-12-19,17.9
2023-12-20,19.7
2023-12-21,16.4
2023-12-22,17.3
2023-12-23,10.7
2023-12-24,11.5
2023-12-25,26.6
2023-12-26,15.9
2023-12-27,29.0
2023-12-28,12.4
2023-12-29,18.4
2023-12-30,15.6
2023-12-31,12.0
2024-01-01,25.8
2024-01-02,18.5
2024-01-03,10.4
2024-01-04,16.6
2024-01-05,19.3
2024-01-06,27.5
2024-01-07,22.6
2024-01-08,17.9
2024-01-09,27.5
2024-01-10,12.2
2024-01-11,18.5
2024-01-12,18.7
2024-01-13,26.4
2024-01-14,12.3
2024-01-15,20.0
2024-01-16,17.1
2024-01-17,25.0
2024-01-18,21.1
2024-01-19,22.9
2024-01-20,11.0
2024-01-21,22.0
2024-01-22,11.5
2024-01-23,27.7
2024-01-24,22.7
2024-01-25,23.0
2024-01-26,12.1
2024-01-27,24.6
2024-01-28,16.8
2024-01-29,12.7
2024-01-30,11.7
2024-01-31,13.2
2024-02-01,20.5
2024-02-02,21.3
2024-02-03,21.8
2024-02-04,18.3
2024-02-05,12.4
2024-02-06,22.5
2024-02-07,24.9
2024-02-08,15.3
2024-02-09,25.3
2024-02-10,26.9
2024-02-11,12.0
2024-02-12,20.0
2024-02-13,13.8
2024-02-14,21.3
2024-02-15,10.8
2024-02-16,16.5
2024-02-17,24.2
2024-02-18,14.3
2024-02-19,26.0
2024-02-20,15.2
2024-02-21,29.5
2024-02-22,26.0
2024-02-23,14.0
2024-02-24,22.2
2024-02-25,10.7
2024-02-26,25.9
2024-02-27,27.7
2024-02-28,12.5
2024-02-29,24.3
2024-03-01,20.9
2024-03-02,22.3
2024-03-03,22.9
2024-03-04,15.7
2024-03-05,28.0
2024-03-06,20.3
2024-03-07,10.2
2024-03-08,28.9
2024-03-09,17.0
2024-03-10,13.6
2024-03-11,17.6
2024-03-12,16.9
2024-03-13,24.9
2024-03-14,18.2
2024-03-15,28.0
2024-03-16,21.9
2024-03-17,27.6
2024-03-18,15.3
2024-03-19,16.5
2024-03-20,13.2
2024-03-21,14.0
2024-03-22,26.9
2024-03-23,29.7
2024-03-24,26.0
2024-03-25,15.5
2024-03-26,17.2
2024-03-27,23.1
2024-03-28,12.5
2024-03-29,25.7
2024-03-30,28.8
2024-03-31,18.7
2024-04-01,13.8
2024-04-02,21.6
2024-04-03,19.1
2024-04-04,15.7
2024-04-05,21.6
2024-04-06,17.9
2024-04-07,20.4
2024-04-08,14.8
2024-04-09,10.5
2024-04-10,16.5
2024-04-11,14.1
2024-04-12,19.1
2024-04-13,24.4
2024-04-14,19.0
2024-04-15,16.2
2024-04-16,21.5
2024-04-17,22.1
2024-04-18,23.0
2024-04-19,20.4
2024-04-20,29.9
2024-04-21,21.1
2024-04-22,25.0
2024-04-23,24.3
2024-04-24,16.4
2024-04-25,16.8
2024-04-26,21.9
2024-04-27,23.9
2024-04-28,13.5
2024-04-29,13.8
2024-04-30,11.8
2024-05-01,10.1
2024-05-02,25.6
2024-05-03,29.4
2024-05-04,11.8
2024-05-05,19.6
2024-05-06,27.6
2024-05-07,16.4
2024-05-08,17.0
2024-05-09,18.4
2024-05-10,10.2
2024-05-11,20.2
2024-05-12,22.6
2024-05-13,14.6
2024-05-14,26.3
2024-05-15,10.9
2024-05-16,23.5
2024-05-17,13.5
2024-05-18,23.4
2024-05-19,10.3
2024-05-20,26.5
2024-05-21,12.5
2024-05-22,19.8
2024-05-23,28.0
2024-05-24,22.8
2024-05-25,26.0
2024-05-26,10.6
2024-05-27,15.9
2024-05-28,17.6
2024-05-29,24.7
2024-05-30,10.4
2024-05-31,19.9
2024-06-01,28.0
2024-06-02,27.9
2024-06-03,19.9
2024-06-04,24.6
2024-06-05,26.7
2024-06-06,23.8
2024-06-07,18.1
2024-06-08,14.1
2024-06-09,12.6
2024-06-10,25.4
2024-06-11,29.8
2024-06-12,26.6
2024-06-13,13.9
2024-06-14,12.7
2024-06-15,11.4
2024-06-16,20.2
2024-06-17,21.5
2024-06-18,25.6
2024-06-19,26.2
2024-06-20,16.5
2024-06-21,12.1
2024-06-22,19.2
2024-06-23,24.2
2024-06-24,14.9
2024-06-25,11.8
2024-06-26,19.0
2024-06-27,17.0
2024-06-28,23.0
2024-06-29,15.0
2024-06-30,27.2
2024-07-01,27.7
2024-07-02,16.5
2024-07-03,14.8
2024-07-04,17.4
2024-07-05,28.7
2024-07-06,24.9
2024-07-07,15.8
2024-07-08,13.3
2024-07-09,29.4
2024-07-10,25.0
2024-07-11,20.5
2024-07-12,19.2
2024-07-13,29.9
2024-07-14,26.1
2024-07-15,10.5
2024-07-16,29.1
2024-07-17,10.1
2024-07-18,13.3
2024-07-19,21.9
2024-07-20,24.2
2024-07-21,17.3
2024-07-22,14.5
2024-07-23,21.6
2024-07-24,26.2
2024-07-25,25.4
2024-07-26,23.3
2024-07-27,15.3
2024-07-28,16.2
2024-07-29,18.8
2024-07-30,16.8
2024-07-31,24.2
2024-08-01,21.3
2024-08-02,16.7
2024-08-03,22.1
2024-08-04,20.3
2024-08-05,12.2
2024-08-06,16.5
2024-08-07,13.9
2024-08-08,18.6
2024-08-09,26.7
2024-08-10,19.5
2024-08-11,23.3
2024-08-12,28.6
2024-08-13,26.7
2024-08-14,24.7
2024-08-15,23.7
2024-08-16,19.4
2024-08-17,20.5
2024-08-18,19.0
2024-08-19,14.7
2024-08-20,20.8
2024-08-21,18.0
2024-08-22,15.5
2024-08-23,17.6
2024-08-24,20.2
2024-08-25,12.1
2024-08-26,19.0
2024-08-27,19.4
2024-08-28,21.1
2024-08-29,15.0
2024-08-30,16.4
2024-08-31,22.4
2024-09-01,22.8
2024-09-02,16.5
2024-09-03,13.0
2024-09-04,17.1
2024-09-05,26.0
2024-09-06,25.5
2024-09-07,15.1
2024-09-08,22.7
2024-09-09,26.7
2024-09-10,23.5
2024-09-11,10.3
2024-09-12,17.0
2024-09-13,18.8
2024-09-14,11.5
2024-09-15,25.5
2024-09-16,17.2
2024-09-17,28.4
2024-09-18,21.7
2024-09-19,21.3
2024-09-20,15.0
2024-09-21,29.1
2024-09-22,12.1
2024-09-23,13.9
2024-09-24,17.2
2024-09-25,24.2
2024-09-26,14.7
2024-09-27,15.2
2024-09-28,18.6
2024-09-29,15.7
2024-09-30,13.3
2024-10-01,28.7
2024-10-02,18.9
2024-10-03,16.6
2024-10-04,21.3
2024-10-05,22.2
2024-10-06,25.7
2024-10-07,23.7
2024-10-08,29.2
2024-10-09,29.0
2024-10-10,29.3
2024-10-11,25.4
2024-10-12,16.2
2024-10-13,13.0
2024-10-14,16.3
2024-10-15,19.3
2024-10-16,15.6
2024-10-17,22.0
2024-10-18,17.2
2024-10-19,21.2
2024-10-20,14.2
2024-10-21,16.0
2024-10-22,25.9
2024-10-23,14.3
2024-10-24,19.3
2024-10-25,10.5
2024-10-26,17.0
2024-10-27,29.9
2024-10-28,11.9
2024-10-29,26.3
2024-10-30,12.4
2024-10-31,18.7
2024-11-01,19.6
2024-11-02,16.3
2024-11-03,25.1
2024-11-04,13.3
2024-11-05,26.8
2024-11-06,17.5
2024-11-07,29.9
2024-11-08,15.0
2024-11-09,12.8
2024-11-10,18.8
2024-11-11,19.9
2024-11-12,29.8
2024-11-13,23.7
2024-11-14,12.9
2024-11-15,18.5
2024-11-16,22.2
2024-11-17,19.3
2024-11-18,30.0
2024-11-19,28.5
2024-11-20,23.2
2024-11-21,19.8
2024-11-22,28.0
2024-11-23,24.0
2024-11-24,23.5
2024-11-25,14.9
2024-11-26,29.5
2024-11-27,24.6
2024-11-28,14.2
2024-11-29,25.5
2024-11-30,16.9
2024-12-01,23.1
2024-12-02,29.4
2024-12-03,26.5
2024-12-04,19.3
2024-12-05,15.8
2024-12-06,17.3
2024-12-07,14.7
2024-12-08,18.9
2024-12-09,12.1
2024-12-10,19.9
2024-12-11,14.2
2024-12-12,25.1
2024-12-13,19.8
2024-12-14,20.3
2024-12-15,23.9
2024-12-16,18.2
2024-12-17,16.2
2024-12-18,24.4
2024-12-19,24.8
2024-12-20,19.4
2024-12-21,16.5
2024-12-22,20.5
2024-12-23,16.2
2024-12-24,16.8
2024-12-25,22.1
