date,temperature
2023-06-10,21.0
2023-06-11,15.8
2023-06-12,21.7
2023-06-13,23.6
2023-06-14,33.0
2023-06-15,9.0
2023-06-16,7.8
2023-06-17,32.6
2023-06-18,14.8
2023-06-19,10.5
2023-06-20,11.0
2023-06-21,12.0
2023-06-22,13.2
2023-06-23,16.4
2023-06-24,33.1
2023-06-25,6.5
2023-06-26,18.4
2023-06-27,11.2
2023-06-28,33.5
2023-06-29,32.0
2023-06-30,14.7
2023-07-01,12.9
2023-07-02,9.8
2023-07-03,29.1
2023-07-04,21.0
2023-07-05,12.1
2023-07-06,24.8
2023-07-07,14.7
2023-07-08,20.8
2023-07-09,20.9
2023-07-10,5.9
2023-07-11,17.5
2023-07-12,30.4
2023-07-13,15.4
2023-07-14,27.0
2023-07-15,30.7
2023-07-16,31.5
2023-07-17,7.2
2023-07-18,23.3
2023-07-19,20.4
2023-07-20,32.2
2023-07-21,20.5
2023-07-22,26.2
2023-07-23,12.7
2023-07-24,29.8
2023-07-25,8.0
2023-07-26,18.9
2023-07-27,32.9
2023-07-28,10.9
2023-07-29,25.1
2023-07-30,14.6
2023-07-31,18.2
2023-08-01,25.7
2023-08-02,14.0
2023-08-03,11.6
2023-08-04,10.6
2023-08-05,18.7
2023-08-06,26.0
2023-08-07,33.0
2023-08-08,9.6
2023-08-09,27.7
2023-08-10,21.9
2023-08-11,26.1
2023-08-12,27.2
2023-08-13,7.1
2023-08-14,32.1
2023-08-15,23.6
2023-08-16,16.9
2023-08-17,25.9
2023-08-18,31.5
2023-08-19,31.0
2023-08-20,13.3
2023-08-21,26.6
2023-08-22,12.1
2023-08-23,32.4
2023-08-24,21.8
2023-08-25,33.1
2023-08-26,15.3
2023-08-27,5.9
2023-08-28,10.0
2023-08-29,11.7
2023-08-30,26.2
2023-08-31,9.7
2023-09-01,14.2
2023-09-02,12.5
2023-09-03,16.9
2023-09-04,8.7
2023-09-05,7.2
2023-09-06,28.1
2023-09-07,5.6
2023-09-08,15.5
2023-09-09,29.7
2023-09-10,6.0
2023-09-11,27.0
2023-09-12,23.0
2023-09-13,30.9
2023-09-14,16.9
2023-09-15,33.3
2023-09-16,26.8
2023-09-17,23.0
2023-09-18,17.3
2023-09-19,32.7
2023-09-20,31.3
2023-09-21,35.0
2023-09-22,31.6
2023-09-23,34.2
2023-09-24,21.5
2023-09-25,28.0
2023-09-26,30.5
2023-09-27,15.3
2023-09-28,15.5
2023-09-29,20.9
2023-09-30,21.8
2023-10-01,20.9
2023-10-02,30.4
2023-10-03,6.1
2023-10-04,8.9
2023-10-05,15.8
2023-10-06,18.2
2023-10-07,14.9
2023-10-08,8.6
2023-10-09,17.4
2023-10-10,22.1
2023-10-11,32.8
2023-10-12,19.9
2023-10-13,17.1
2023-10-14,5.6
2023-10-15,34.2
2023-10-16,11.7
2023-10-17,21.1
2023-10-18,25.4
2023-10-19,19.8
2023-10-20,9.6
2023-10-21,34.2
2023-10-22,29.9
2023-10-23,11.3
2023-10-24,21.8
2023-10-25,30.7
