date,temperature
2023-06-10,-1.4
2023-06-11,9.5
2023-06-12,2.7
2023-06-13,23.0
2023-06-14,-12.4
2023-06-15,2.3
2023-06-16,5.5
2023-06-17,-5.4
2023-06-18,22.7
2023-06-19,15.9
2023-06-20,1.0
2023-06-21,-2.9
2023-06-22,7.3
2023-06-23,7.0
2023-06-24,9.8
2023-06-25,5.9
2023-06-26,11.1
2023-06-27,22.1
2023-06-28,12.0
2023-06-29,-2.8
2023-06-30,3.8
2023-07-01,20.6
2023-07-02,-5.9
2023-07-03,6.6
2023-07-04,-2.9
2023-07-05,-13.5
2023-07-06,-6.3
2023-07-07,20.4
2023-07-08,17.8
2023-07-09,18.5
2023-07-10,8.2
2023-07-11,15.0
2023-07-12,-3.3
2023-07-13,-7.6
2023-07-14,23.4
2023-07-15,-5.2
2023-07-16,-0.1
2023-07-17,11.8
2023-07-18,-12.1
2023-07-19,-3.2
2023-07-20,-6.9
2023-07-21,-7.4
2023-07-22,11.3
2023-07-23,6.3
2023-07-24,-9.2
2023-07-25,4.4
2023-07-26,7.9
2023-07-27,14.9
2023-07-28,4.0
2023-07-29,-6.3
2023-07-30,-5.0
2023-07-31,-13.4
2023-08-01,21.4
2023-08-02,-9.6
2023-08-03,-9.2
2023-08-04,11.7
2023-08-05,14.1
2023-08-06,24.0
2023-08-07,12.0
2023-08-08,10.8
2023-08-09,14.3
2023-08-10,-14.8
2023-08-11,-14.2
2023-08-12,14.1
2023-08-13,3.1
2023-08-14,7.9
2023-08-15,-9.4
2023-08-16,20.6
2023-08-17,-7.1
2023-08-18,-11.7
2023-08-19,6.0
2023-08-20,19.8
2023-08-21,-3.2
2023-08-22,-0.3
2023-08-23,-4.0
2023-08-24,-5.5
2023-08-25,-10.0
2023-08-26,20.6
2023-08-27,-9.4
2023-08-28,3.4
2023-08-29,24.2
2023-08-30,0.5
2023-08-31,12.1
2023-09-01,9.7
2023-09-02,0.5
2023-09-03,3.1
2023-09-04,22.4
2023-09-05,14.8
2023-09-06,6.6
2023-09-07,20.9
2023-09-08,-9.9
2023-09-09,5.7
2023-09-10,20.7
2023-09-11,-9.8
2023-09-12,-1.7
2023-09-13,-6.3
2023-09-14,-6.5
2023-09-15,14.3
2023-09-16,1.1
2023-09-17,-5.7
2023-09-18,24.0
2023-09-19,2.4
2023-09-20,9.6
2023-09-21,-9.6
2023-09-22,13.1
2023-09-23,-10.6
2023-09-24,-5.2
2023-09-25,15.8
2023-09-26,8.2
2023-09-27,17.3
2023-09-28,11.6
2023-09-29,24.9
2023-09-30,-6.6
2023-10-01,-12.6
2023-10-02,-12.0
2023-10-03,-2.0
2023-10-04,6.3
2023-10-05,10.3
2023-10-06,19.1
2023-10-07,-6.5
2023-10-08,-8.6
2023-10-09,-6.9
2023-10-10,-14.0
2023-10-11,-7.4
2023-10-12,20.4
2023-10-13,-3.3
2023-10-14,14.1
2023-10-15,9.3
2023-10-16,20.6
2023-10-17,-8.3
2023-10-18,23.4
2023-10-19,20.7
2023-10-20,17.3
2023-10-21,-1.4
2023-10-22,-5.7
2023-10-23,0.6
2023-10-24,8.3
2023-10-25,0.6
2023-10-26,2.4
2023-10-27,1.9
2023-10-28,8.8
2023-10-29,0.7
2023-10-30,-8.6
2023-10-31,-6.5
2023-11-01,7.5
2023-11-02,-9.7
2023-11-03,22.0
2023-11-04,1.4
2023-11-05,21.6
2023-11-06,-6.8
2023-11-07,-14.1
2023-11-08,-13.3
2023-11-09,10.0
2023-11-10,17.8
2023-11-11,12.0
2023-11-12,-10.1
2023-11-13,23.9
2023-11-14,23.8
2023-11-15,18.8
2023-11-16,5.1
2023-11-17,24.7
2023-11-18,19.8
2023-11-19,12.5
2023-11-20,-14.6
2023-11-21,5.1
2023-11-22,-8.7
2023-11-23,-1.4
2023-11-24,10.5
2023-11-25,-11.3
2023-11-26,9.5
2023-11-27,13.1
2023-11-28,13.0
2023-11-29,-12.4
2023-11-30,19.9
2023-12-01,20.1
2023-12-02,-5.5
2023-12-03,-13.3
2023-12-04,-8.7
2023-12-05,16.0
2023-12-06,-9.8
2023-12-07,3.1
2023-12-08,5.0
2023-12-09,14.8
2023-12-10,10.6
2023-12-11,14.4
2023-12-12,18.1
2023-12-13,0.8
2023-12-14,17.7
2023-12-15,10.4
2023-12-16,14.0
2023-12-17,10.7
2023-12-18,-10.1
2023-12-19,6.8
2023-12-20,14.5
2023-12-21,11.2
2023-12-22,20.9
2023-12-23,-3.5
2023-12-24,13.6
2023-12-25,-4.3
2023-12-26,13.6
2023-12-27,6.6
2023-12-28,15.4
2023-12-29,23.3
2023-12-30,-10.6
2023-12-31,0.5
2024-01-01,-3.9
2024-01-02,1.4
2024-01-03,23.8
2024-01-04,23.9
2024-01-05,-9.8
2024-01-06,-5.0
2024-01-07,14.3
2024-01-08,-5.4
2024-01-09,16.9
2024-01-10,-9.2
2024-01-11,-4.3
2024-01-12,-1.4
2024-01-13,-10.7
2024-01-14,0.2
2024-01-15,-7.2
2024-01-16,9.5
2024-01-17,18.0
2024-01-18,16.2
2024-01-19,-4.1
2024-01-20,-8.4
2024-01-21,3.6
2024-01-22,18.0
2024-01-23,21.3
2024-01-24,4.5
2024-01-25,-1.1
2024-01-26,9.2
2024-01-27,-10.5
2024-01-28,16.7
2024-01-29,1.4
2024-01-30,2.0
2024-01-31,11.8
2024-02-01,-6.4
2024-02-02,23.8
2024-02-03,-5.8
2024-02-04,13.9
2024-02-05,24.0
2024-02-06,13.2
2024-02-07,13.4
2024-02-08,-2.7
2024-02-09,-0.0
2024-02-10,-1.1
2024-02-11,16.9
2024-02-12,23.8
2024-02-13,-11.6
2024-02-14,18.4
2024-02-15,-2.2
2024-02-16,8.7
2024-02-17,-3.4
2024-02-18,20.6
2024-02-19,17.3
2024-02-20,10.6
2024-02-21,17.6
2024-02-22,14.6
2024-02-23,15.7
2024-02-24,-11.5
2024-02-25,-5.6
2024-02-26,-9.4
2024-02-27,1.9
2024-02-28,14.7
2024-02-29,16.5
2024-03-01,-0.9
2024-03-02,-3.4
2024-03-03,-10.2
2024-03-04,23.7
2024-03-05,-2.4
2024-03-06,6.3
2024-03-07,15.0
2024-03-08,15.1
2024-03-09,18.8
2024-03-10,3.6
2024-03-11,18.2
2024-03-12,19.5
2024-03-13,-14.4
2024-03-14,18.4
2024-03-15,1.4
2024-03-16,-3.3
2024-03-17,18.3
2024-03-18,21.3
2024-03-19,22.8
2024-03-20,19.8
2024-03-21,18.7
2024-03-22,13.9
2024-03-23,12.4
2024-03-24,5.7
2024-03-25,-7.2
2024-03-26,18.0
2024-03-27,14.7
2024-03-28,1.6
2024-03-29,0.4
2024-03-30,25.0
2024-03-31,18.9
2024-04-01,5.1
2024-04-02,-5.6
2024-04-03,-12.1
2024-04-04,-6.4
2024-04-05,-13.1
2024-04-06,3.3
2024-04-07,0.1
2024-04-08,3.3
2024-04-09,13.1
2024-04-10,-8.5
2024-04-11,0.7
2024-04-12,-7.8
2024-04-13,18.1
2024-04-14,21.1
2024-04-15,17.8
2024-04-16,20.3
2024-04-17,19.5
2024-04-18,4.0
2024-04-19,10.5
2024-04-20,18.0
2024-04-21,15.7
2024-04-22,-10.7
2024-04-23,5.5
2024-04-24,19.9
2024-04-25,18.7
2024-04-26,7.4
2024-04-27,-2.4
2024-04-28,-2.2
2024-04-29,8.8
2024-04-30,18.3
2024-05-01,-14.9
2024-05-02,-2.7
2024-05-03,16.0
2024-05-04,-7.5
2024-05-05,-3.7
2024-05-06,10.0
2024-05-07,13.4
2024-05-08,-3.2
2024-05-09,-14.4
2024-05-10,0.3
2024-05-11,16.6
2024-05-12,20.8
2024-05-13,-2.7
2024-05-14,11.9
2024-05-15,-0.1
2024-05-16,-1.8
2024-05-17,-12.1
2024-05-18,-7.3
2024-05-19,-2.8
2024-05-20,2.7
2024-05-21,22.0
2024-05-22,15.3
2024-05-23,1.7
2024-05-24,6.3
2024-05-25,3.1
2024-05-26,22.4
2024-05-27,-6.7
2024-05-28,17.0
2024-05-29,1.5
2024-05-30,8.8
2024-05-31,2.6
2024-06-01,13.8
2024-06-02,2.1
2024-06-03,14.0
2024-06-04,1.0
2024-06-05,6.2
2024-06-06,7.9
2024-06-07,18.2
2024-06-08,18.5
2024-06-09,22.3
2024-06-10,9.6
2024-06-11,-9.7
2024-06-12,1.9
2024-06-13,-9.4
2024-06-14,21.2
2024-06-15,14.7
2024-06-16,7.1
2024-06-17,13.2
2024-06-18,-3.6
2024-06-19,5.2
2024-06-20,20.8
2024-06-21,23.2
2024-06-22,10.2
2024-06-23,-6.4
2024-06-24,21.6
2024-06-25,21.2
2024-06-26,12.6
2024-06-27,11.8
2024-06-28,18.8
2024-06-29,-4.7
2024-06-30,19.1
2024-07-01,-4.8
2024-07-02,19.8
2024-07-03,8.5
2024-07-04,16.5
2024-07-05,19.9
2024-07-06,10.5
2024-07-07,16.0
2024-07-08,7.0
2024-07-09,-14.6
2024-07-10,8.1
2024-07-11,-1.1
2024-07-12,1.1
2024-07-13,14.8
2024-07-14,-9.2
2024-07-15,9.1
2024-07-16,-0.6
2024-07-17,9.7
2024-07-18,0.9
2024-07-19,11.4
2024-07-20,12.2
2024-07-21,6.1
2024-07-22,18.3
2024-07-23,13.0
2024-07-24,20.6
2024-07-25,9.7
2024-07-26,-14.9
2024-07-27,-1.1
2024-07-28,-8.3
2024-07-29,7.4
2024-07-30,1.3
2024-07-31,-9.4
2024-08-01,-7.2
2024-08-02,20.4
2024-08-03,-1.7
2024-08-04,-0.1
2024-08-05,-8.3
2024-08-06,3.3
2024-08-07,22.1
2024-08-08,-5.5
2024-08-09,20.9
2024-08-10,11.0
2024-08-11,7.9
2024-08-12,10.1
2024-08-13,8.8
2024-08-14,-0.8
2024-08-15,-7.4
2024-08-16,24.1
2024-08-17,-11.8
2024-08-18,-13.4
2024-08-19,23.8
2024-08-20,-5.7
2024-08-21,9.7
2024-08-22,15.6
2024-08-23,-1.5
2024-08-24,-1.3
2024-08-25,18.7
2024-08-26,-6.6
2024-08-27,-7.0
2024-08-28,9.3
2024-08-29,-6.3
2024-08-30,-11.7
2024-08-31,-10.6
2024-09-01,2.6
2024-09-02,4.2
2024-09-03,-2.7
2024-09-04,11.6
2024-09-05,16.9
2024-09-06,-5.9
2024-09-07,0.6
2024-09-08,-7.9
2024-09-09,-8.7
2024-09-10,8.9
2024-09-11,3.7
2024-09-12,-9.0
2024-09-13,-1.4
2024-09-14,5.7
2024-09-15,11.1
2024-09-16,16.7
2024-09-17,-13.0
2024-09-18,19.9
2024-09-19,20.8
2024-09-20,-4.2
2024-09-21,-15.0
2024-09-22,-4.7
2024-09-23,-5.8
2024-09-24,20.2
2024-09-25,-6.6
2024-09-26,-8.7
2024-09-27,-11.8
2024-09-28,-7.8
2024-09-29,6.7
2024-09-30,11.0
2024-10-01,7.5
2024-10-02,-4.2
2024-10-03,18.1
2024-10-04,15.3
2024-10-05,-4.0
2024-10-06,24.9
2024-10-07,-9.4
2024-10-08,24.6
2024-10-09,16.1
2024-10-10,5.4
2024-10-11,9.8
2024-10-12,-5.4
2024-10-13,17.2
2024-10-14,-12.2
2024-10-15,-3.5
2024-10-16,-4.3
2024-10-17,-10.6
2024-10-18,16.3
2024-10-19,0.6
2024-10-20,-5.2
2024-10-21,-6.3
2024-10-22,-11.0
2024-10-23,6.3
2024-10-24,-11.7
2024-10-25,21.1
2024-10-26,14.0
2024-10-27,7.2
2024-10-28,21.6
2024-10-29,-1.7
2024-10-30,4.0
2024-10-31,-2.4
2024-11-01,-2.0
2024-11-02,14.0
2024-11-03,12.8
2024-11-04,-10.5
2024-11-05,21.0
2024-11-06,13.8
2024-11-07,-2.8
2024-11-08,10.7
2024-11-09,20.2
2024-11-10,-9.3
2024-11-11,-11.6
2024-11-12,11.7
2024-11-13,18.2
2024-11-14,16.1
2024-11-15,3.4
2024-11-16,-1.0
2024-11-17,-5.4
2024-11-18,0.1
2024-11-19,19.3
2024-11-20,19.1
2024-11-21,21.5
2024-11-22,15.8
2024-11-23,8.2
2024-11-24,20.9
2024-11-25,-5.6
2024-11-26,-6.2
2024-11-27,-14.1
2024-11-28,-6.9
2024-11-29,-7.5
2024-11-30,5.9
2024-12-01,-14.0
2024-12-02,6.9
2024-12-03,3.6
2024-12-04,10.7
2024-12-05,10.0
2024-12-06,19.0
2024-12-07,-4.9
2024-12-08,-8.5
2024-12-09,-5.7
2024-12-10,21.4
