date,temperature
2023-06-10,-14.1
2023-06-11,-13.8
2023-06-12,17.8
2023-06-13,10.1
2023-06-14,18.8
2023-06-15,-3.6
2023-06-16,-7.6
2023-06-17,-6.9
2023-06-18,17.7
2023-06-19,17.8
2023-06-20,-19.7
2023-06-21,1.9
2023-06-22,18.1
2023-06-23,12.1
2023-06-24,17.3
2023-06-25,-11.3
2023-06-26,17.5
2023-06-27,9.9
2023-06-28,15.8
2023-06-29,14.3
2023-06-30,17.9
2023-07-01,-2.6
2023-07-02,-14.4
2023-07-03,-17.4
2023-07-04,8.5
2023-07-05,17.7
2023-07-06,-0.2
2023-07-07,-10.9
2023-07-08,11.0
2023-07-09,16.6
2023-07-10,-1.0
2023-07-11,15.6
2023-07-12,-19.4
2023-07-13,15.6
2023-07-14,-11.5
2023-07-15,-18.2
2023-07-16,-4.0
2023-07-17,16.4
2023-07-18,2.0
2023-07-19,-2.8
2023-07-20,7.3
2023-07-21,12.8
2023-07-22,-12.4
2023-07-23,-4.5
2023-07-24,-9.9
2023-07-25,-4.4
2023-07-26,6.7
2023-07-27,-18.5
2023-07-28,-7.4
2023-07-29,-4.3
2023-07-30,9.7
2023-07-31,7.2
2023-08-01,8.6
2023-08-02,-2.3
2023-08-03,-12.9
2023-08-04,3.2
2023-08-05,-0.3
2023-08-06,-2.9
2023-08-07,11.1
2023-08-08,20.0
2023-08-09,-14.4
2023-08-10,2.6
2023-08-11,6.8
2023-08-12,-18.6
2023-08-13,13.2
2023-08-14,14.7
2023-08-15,-14.6
2023-08-16,-6.4
2023-08-17,5.6
2023-08-18,-15.2
2023-08-19,2.6
2023-08-20,-16.1
2023-08-21,5.1
2023-08-22,6.0
2023-08-23,-19.2
2023-08-24,16.7
2023-08-25,3.8
2023-08-26,-3.8
2023-08-27,19.8
2023-08-28,-10.3
2023-08-29,11.3
2023-08-30,1.6
2023-08-31,10.6
2023-09-01,18.1
2023-09-02,-18.5
2023-09-03,16.1
2023-09-04,-7.2
2023-09-05,1.3
2023-09-06,-7.4
2023-09-07,-0.0
2023-09-08,18.6
2023-09-09,12.2
2023-09-10,9.7
2023-09-11,14.9
2023-09-12,-13.0
2023-09-13,4.0
2023-09-14,10.1
2023-09-15,0.0
2023-09-16,1.8
2023-09-17,3.3
2023-09-18,-10.6
2023-09-19,-17.1
2023-09-20,-9.2
2023-09-21,-10.0
2023-09-22,-12.1
2023-09-23,-13.6
2023-09-24,0.4
2023-09-25,19.6
2023-09-26,18.7
2023-09-27,14.4
2023-09-28,-11.8
2023-09-29,16.8
2023-09-30,-7.5
2023-10-01,-13.0
2023-10-02,-9.8
2023-10-03,18.7
2023-10-04,16.7
2023-10-05,0.5
2023-10-06,-18.3
2023-10-07,-0.7
2023-10-08,-15.5
2023-10-09,15.5
2023-10-10,13.8
2023-10-11,-19.6
2023-10-12,-11.6
2023-10-13,8.1
2023-10-14,-2.2
2023-10-15,-11.7
2023-10-16,-1.6
2023-10-17,17.6
2023-10-18,-17.8
2023-10-19,11.8
2023-10-20,-3.0
2023-10-21,-16.0
2023-10-22,-12.6
2023-10-23,19.1
2023-10-24,-8.2
2023-10-25,-0.2
2023-10-26,17.0
2023-10-27,-18.2
2023-10-28,10.7
2023-10-29,-9.5
2023-10-30,2.0
2023-10-31,6.8
2023-11-01,9.9
2023-11-02,15.8
2023-11-03,-15.3
2023-11-04,5.4
2023-11-05,-18.2
2023-11-06,-13.2
2023-11-07,-12.4
2023-11-08,6.3
2023-11-09,-8.3
2023-11-10,14.1
2023-11-11,-6.8
2023-11-12,13.0
2023-11-13,-1.4
2023-11-14,19.3
2023-11-15,12.4
