date,temperature
2023-06-10,2.1
2023-06-11,13.9
2023-06-12,12.9
2023-06-13,10.4
2023-06-14,0.5
2023-06-15,5.2
2023-06-16,16.6
2023-06-17,0.9
2023-06-18,5.5
2023-06-19,26.5
2023-06-20,2.9
2023-06-21,27.2
2023-06-22,14.4
2023-06-23,14.4
2023-06-24,5.4
2023-06-25,27.4
2023-06-26,26.1
2023-06-27,26.7
2023-06-28,28.9
2023-06-29,5.3
2023-06-30,8.7
2023-07-01,17.8
2023-07-02,15.0
2023-07-03,7.5
2023-07-04,28.5
2023-07-05,14.7
2023-07-06,26.7
2023-07-07,16.2
2023-07-08,11.2
2023-07-09,9.3
2023-07-10,27.7
2023-07-11,0.0
2023-07-12,25.2
2023-07-13,19.2
2023-07-14,26.4
2023-07-15,25.1
2023-07-16,23.0
2023-07-17,15.8
2023-07-18,6.7
2023-07-19,12.2
2023-07-20,15.6
2023-07-21,23.4
2023-07-22,3.9
2023-07-23,3.3
2023-07-24,7.9
2023-07-25,2.4
2023-07-26,0.4
2023-07-27,5.4
2023-07-28,13.6
2023-07-29,8.4
2023-07-30,6.6
2023-07-31,3.1
2023-08-01,25.3
2023-08-02,23.1
2023-08-03,28.9
2023-08-04,6.0
2023-08-05,4.0
2023-08-06,12.1
2023-08-07,10.5
2023-08-08,7.1
2023-08-09,7.9
2023-08-10,29.6
2023-08-11,6.4
2023-08-12,20.5
2023-08-13,22.7
2023-08-14,28.5
2023-08-15,29.6
2023-08-16,25.9
2023-08-17,10.2
2023-08-18,11.9
2023-08-19,4.7
2023-08-20,6.2
2023-08-21,12.3
2023-08-22,14.0
2023-08-23,17.8
2023-08-24,27.8
2023-08-25,1.7
2023-08-26,17.3
2023-08-27,14.0
2023-08-28,1.3
2023-08-29,3.1
2023-08-30,21.8
2023-08-31,24.0
2023-09-01,24.5
2023-09-02,17.1
2023-09-03,26.0
2023-09-04,23.1
2023-09-05,21.7
2023-09-06,1.4
2023-09-07,2.8
2023-09-08,12.9
2023-09-09,13.7
2023-09-10,12.4
2023-09-11,22.3
2023-09-12,1.5
2023-09-13,19.3
2023-09-14,9.8
2023-09-15,29.8
2023-09-16,12.7
2023-09-17,8.8
2023-09-18,9.9
2023-09-19,26.9
2023-09-20,16.7
2023-09-21,4.0
2023-09-22,1.2
2023-09-23,29.8
2023-09-24,2.2
2023-09-25,28.4
2023-09-26,10.6
2023-09-27,21.7
2023-09-28,11.0
2023-09-29,22.8
2023-09-30,9.4
2023-10-01,26.6
2023-10-02,29.8
2023-10-03,0.6
2023-10-04,13.0
2023-10-05,23.8
2023-10-06,25.3
2023-10-07,15.2
2023-10-08,28.0
2023-10-09,26.3
2023-10-10,24.1
2023-10-11,9.0
2023-10-12,27.1
2023-10-13,22.9
2023-10-14,8.6
2023-10-15,24.4
2023-10-16,18.9
2023-10-17,21.9
2023-10-18,6.6
2023-10-19,24.6
2023-10-20,3.4
2023-10-21,17.8
2023-10-22,4.2
2023-10-23,29.0
2023-10-24,26.2
2023-10-25,23.1
2023-10-26,26.3
2023-10-27,23.5
2023-10-28,6.6
2023-10-29,2.3
2023-10-30,17.1
2023-10-31,29.5
2023-11-01,16.3
2023-11-02,5.9
2023-11-03,26.3
2023-11-04,11.7
2023-11-05,10.2
2023-11-06,6.9
2023-11-07,29.5
2023-11-08,3.6
2023-11-09,20.3
2023-11-10,13.0
2023-11-11,16.6
2023-11-12,27.9
