date,temperature
2023-06-10,1.6
2023-06-11,8.9
2023-06-12,12.6
2023-06-13,15.0
2023-06-14,8.3
2023-06-15,18.5
2023-06-16,12.3
2023-06-17,18.9
2023-06-18,3.1
2023-06-19,12.8
2023-06-20,10.4
2023-06-21,4.8
2023-06-22,24.1
2023-06-23,7.8
2023-06-24,17.1
2023-06-25,11.6
2023-06-26,4.7
2023-06-27,14.8
2023-06-28,18.8
2023-06-29,10.1
2023-06-30,22.2
2023-07-01,0.2
2023-07-02,5.5
2023-07-03,23.1
2023-07-04,4.3
2023-07-05,2.6
2023-07-06,22.4
2023-07-07,15.8
2023-07-08,17.8
2023-07-09,9.5
2023-07-10,8.1
2023-07-11,17.1
2023-07-12,20.3
2023-07-13,20.4
2023-07-14,0.3
2023-07-15,14.2
2023-07-16,9.4
2023-07-17,22.6
2023-07-18,15.5
2023-07-19,7.3
2023-07-20,17.5
2023-07-21,12.5
2023-07-22,12.3
2023-07-23,15.2
2023-07-24,22.6
2023-07-25,8.4
2023-07-26,9.0
2023-07-27,3.7
2023-07-28,22.4
2023-07-29,4.8
2023-07-30,5.1
2023-07-31,14.6
2023-08-01,13.7
2023-08-02,20.5
2023-08-03,19.9
2023-08-04,23.1
2023-08-05,2.7
2023-08-06,0.6
2023-08-07,16.2
2023-08-08,14.5
2023-08-09,23.8
2023-08-10,24.9
2023-08-11,16.9
2023-08-12,4.5
2023-08-13,6.9
2023-08-14,5.2
2023-08-15,23.7
2023-08-16,14.8
2023-08-17,6.1
2023-08-18,4.3
2023-08-19,5.7
2023-08-20,0.7
2023-08-21,4.0
2023-08-22,10.9
2023-08-23,16.0
2023-08-24,9.3
2023-08-25,5.2
2023-08-26,15.7
2023-08-27,15.9
2023-08-28,11.5
2023-08-29,14.1
2023-08-30,11.0
2023-08-31,2.5
2023-09-01,9.2
2023-09-02,7.5
2023-09-03,11.0
2023-09-04,0.7
2023-09-05,16.1
2023-09-06,20.7
2023-09-07,21.6
2023-09-08,11.4
2023-09-09,20.1
2023-09-10,10.3
2023-09-11,2.5
2023-09-12,3.5
2023-09-13,14.9
2023-09-14,8.6
2023-09-15,2.5
2023-09-16,9.9
2023-09-17,2.1
2023-09-18,14.4
2023-09-19,7.2
2023-09-20,13.3
2023-09-21,16.7
2023-09-22,19.3
2023-09-23,12.5
2023-09-24,24.6
2023-09-25,0.9
2023-09-26,22.2
2023-09-27,7.9
2023-09-28,18.2
2023-09-29,10.0
2023-09-30,18.7
2023-10-01,13.3
2023-10-02,14.3
2023-10-03,19.7
2023-10-04,6.8
2023-10-05,13.7
2023-10-06,15.8
2023-10-07,9.8
2023-10-08,5.2
2023-10-09,14.4
2023-10-10,6.3
2023-10-11,15.6
2023-10-12,22.9
2023-10-13,19.5
2023-10-14,5.0
2023-10-15,3.5
2023-10-16,21.3
2023-10-17,20.4
2023-10-18,5.3
2023-10-19,3.7
2023-10-20,25.0
2023-10-21,21.9
2023-10-22,11.3
2023-10-23,2.3
2023-10-24,2.4
2023-10-25,13.2
2023-10-26,15.7
2023-10-27,17.1
2023-10-28,15.4
2023-10-29,9.1
2023-10-30,23.0
2023-10-31,2.6
2023-11-01,2.0
2023-11-02,18.7
2023-11-03,18.0
2023-11-04,12.9
2023-11-05,22.8
2023-11-06,8.7
2023-11-07,4.0
2023-11-08,21.2
2023-11-09,16.9
2023-11-10,12.0
2023-11-11,0.6
2023-11-12,9.1
2023-11-13,12.2
2023-11-14,5.2
2023-11-15,7.8
2023-11-16,11.9
2023-11-17,9.5
2023-11-18,4.6
2023-11-19,9.2
2023-11-20,23.3
2023-11-21,3.5
2023-11-22,9.9
2023-11-23,4.1
2023-11-24,6.8
2023-11-25,12.7
2023-11-26,2.9
2023-11-27,8.4
2023-11-28,12.7
2023-11-29,23.2
2023-11-30,16.3
2023-12-01,7.4
2023-12-02,22.1
2023-12-03,13.2
2023-12-04,14.1
2023-12-05,24.1
2023-12-06,24.5
2023-12-07,18.6
2023-12-08,6.0
2023-12-09,22.0
2023-12-10,25.0
2023-12-11,12.1
2023-12-12,4.2
2023-12-13,11.9
2023-12-14,21.7
2023-12-15,17.6
2023-12-16,11.7
2023-12-17,12.2
2023-12-18,8.0
2023-12-19,5.1
2023-12-20,21.4
2023-12-21,7.2
2023-12-22,15.3
2023-12-23,14.7
2023-12-24,8.1
2023-12-25,6.6
2023-12-26,22.4
2023-12-27,6.5
2023-12-28,3.0
2023-12-29,21.0
2023-12-30,4.5
2023-12-31,17.5
2024-01-01,2.8
2024-01-02,10.6
2024-01-03,0.8
2024-01-04,22.1
2024-01-05,21.2
2024-01-06,20.6
2024-01-07,24.3
2024-01-08,20.5
2024-01-09,19.6
2024-01-10,15.9
2024-01-11,12.6
2024-01-12,15.4
2024-01-13,15.1
2024-01-14,0.9
2024-01-15,14.3
2024-01-16,8.5
2024-01-17,8.8
2024-01-18,18.1
2024-01-19,14.3
2024-01-20,8.4
2024-01-21,5.3
2024-01-22,15.1
2024-01-23,3.4
2024-01-24,18.1
2024-01-25,23.8
2024-01-26,5.0
2024-01-27,21.3
2024-01-28,24.9
2024-01-29,22.1
2024-01-30,19.0
2024-01-31,13.2
2024-02-01,18.5
2024-02-02,7.1
2024-02-03,1.7
2024-02-04,1.6
2024-02-05,6.4
2024-02-06,14.3
2024-02-07,3.1
2024-02-08,23.6
2024-02-09,14.6
2024-02-10,23.7
2024-02-11,8.4
2024-02-12,6.6
2024-02-13,6.3
2024-02-14,5.3
2024-02-15,0.7
2024-02-16,16.9
