date,temperature
2023-06-10,27.1
2023-06-11,16.5
2023-06-12,26.4
2023-06-13,19.8
2023-06-14,27.6
2023-06-15,18.7
2023-06-16,29.3
2023-06-17,27.4
2023-06-18,18.1
2023-06-19,24.0
2023-06-20,10.4
2023-06-21,21.0
2023-06-22,25.7
2023-06-23,25.0
2023-06-24,10.5
2023-06-25,25.5
2023-06-26,16.7
2023-06-27,10.8
2023-06-28,10.3
2023-06-29,21.5
2023-06-30,24.1
2023-07-01,23.1
2023-07-02,16.0
2023-07-03,27.0
2023-07-04,26.4
2023-07-05,15.2
2023-07-06,16.4
2023-07-07,18.5
2023-07-08,23.4
2023-07-09,29.6
2023-07-10,15.1
2023-07-11,18.1
2023-07-12,22.2
2023-07-13,20.9
2023-07-14,12.2
2023-07-15,16.5
2023-07-16,26.3
2023-07-17,19.9
2023-07-18,23.5
2023-07-19,15.5
2023-07-20,29.4
2023-07-21,10.7
2023-07-22,17.9
2023-07-23,21.5
2023-07-24,29.8
2023-07-25,19.7
2023-07-26,20.8
2023-07-27,13.0
2023-07-28,18.2
2023-07-29,22.4
2023-07-30,26.1
2023-07-31,21.3
2023-08-01,19.9
2023-08-02,16.5
2023-08-03,17.0
2023-08-04,12.8
2023-08-05,12.8
2023-08-06,19.6
2023-08-07,13.1
2023-08-08,12.6
2023-08-09,28.2
2023-08-10,19.5
2023-08-11,17.5
2023-08-12,12.6
2023-08-13,12.2
2023-08-14,26.1
2023-08-15,16.6
2023-08-16,18.1
2023-08-17,29.5
2023-08-18,24.1
2023-08-19,21.3
2023-08-20,20.0
2023-08-21,24.4
2023-08-22,17.0
2023-08-23,22.1
2023-08-24,22.1
2023-08-25,14.1
2023-08-26,27.6
2023-08-27,25.0
2023-08-28,12.1
2023-08-29,26.5
2023-08-30,22.8
2023-08-31,10.7
2023-09-01,24.7
2023-09-02,24.4
2023-09-03,20.6
2023-09-04,24.7
2023-09-05,20.4
2023-09-06,23.2
2023-09-07,23.5
2023-09-08,23.8
2023-09-09,29.1
2023-09-10,11.5
2023-09-11,24.8
2023-09-12,21.2
2023-09-13,26.7
2023-09-14,12.8
2023-09-15,14.1
2023-09-16,29.3
2023-09-17,10.2
2023-09-18,15.0
2023-09-19,21.8
2023-09-20,18.3
2023-09-21,10.9
2023-09-22,11.9
2023-09-23,22.8
2023-09-24,17.8
2023-09-25,22.2
2023-09-26,23.2
2023-09-27,28.9
2023-09-28,21.1
2023-09-29,28.2
2023-09-30,10.5
2023-10-01,24.8
2023-10-02,18.3
2023-10-03,11.9
2023-10-04,18.4
2023-10-05,21.9
2023-10-06,24.9
2023-10-07,14.1
2023-10-08,17.3
2023-10-09,22.7
2023-10-10,11.2
2023-10-11,26.8
2023-10-12,14.1
2023-10-13,24.9
2023-10-14,12.1
2023-10-15,11.7
2023-10-16,23.7
2023-10-17,15.0
2023-10-18,28.4
2023-10-19,19.3
2023-10-20,18.6
2023-10-21,23.7
2023-10-22,22.2
2023-10-23,10.5
2023-10-24,17.3
2023-10-25,14.7
2023-10-26,28.4
2023-10-27,10.6
2023-10-28,27.7
2023-10-29,27.8
2023-10-30,21.1
2023-10-31,10.0
2023-11-01,14.1
2023-11-02,26.7
2023-11-03,19.0
2023-11-04,26.5
2023-11-05,16.4
2023-11-06,14.8
2023-11-07,25.1
2023-11-08,21.8
2023-11-09,17.8
2023-11-10,15.6
2023-11-11,27.0
2023-11-12,14.5
2023-11-13,17.9
2023-11-14,11.0
2023-11-15,13.9
2023-11-16,26.1
2023-11-17,10.0
2023-11-18,16.9
2023-11-19,25.0
2023-11-20,11.6
2023-11-21,24.2
2023-11-22,23.0
2023-11-23,18.3
2023-11-24,22.1
2023-11-25,24.9
2023-11-26,24.1
2023-11-27,18.0
2023-11-28,17.1
2023-11-29,21.3
2023-11-30,21.0
2023-12-01,14.7
2023-12-02,22.8
2023-12-03,13.9
2023-12-04,27.2
2023-12-05,26.2
2023-12-06,21.9
2023-12-07,13.6
2023-12-08,22.0
2023-12-09,22.5
2023-12-10,25.2
2023-12-11,17.0
2023-12-12,21.6
2023-12-13,12.4
2023-12-14,26.9
2023-12-15,28.2
2023-12-16,29.9
2023-12-17,25.9
2023-12-18,25.3
2023-12-19,24.6
2023-12-20,26.2
2023-12-21,19.2
2023-12-22,16.7
2023-12-23,22.0
2023-12-24,14.9
2023-12-25,26.0
2023-12-26,29.5
2023-12-27,20.0
2023-12-28,10.2
2023-12-29,11.3
2023-12-30,10.1
2023-12-31,14.5
2024-01-01,28.1
2024-01-02,26.4
2024-01-03,16.5
2024-01-04,23.1
2024-01-05,12.4
2024-01-06,25.9
2024-01-07,27.3
2024-01-08,27.3
2024-01-09,11.7
2024-01-10,13.3
2024-01-11,27.9
2024-01-12,16.2
2024-01-13,16.3
2024-01-14,14.2
2024-01-15,28.3
2024-01-16,15.4
2024-01-17,18.5
2024-01-18,24.2
2024-01-19,26.8
2024-01-20,11.7
2024-01-21,25.1
2024-01-22,16.4
2024-01-23,24.9
2024-01-24,10.0
2024-01-25,23.6
2024-01-26,11.4
2024-01-27,12.9
2024-01-28,29.4
2024-01-29,29.3
2024-01-30,12.9
2024-01-31,25.4
2024-02-01,25.9
2024-02-02,12.0
2024-02-03,10.1
2024-02-04,20.3
2024-02-05,17.4
2024-02-06,13.2
2024-02-07,29.5
2024-02-08,17.6
2024-02-09,20.9
2024-02-10,20.3
2024-02-11,13.9
2024-02-12,25.2
2024-02-13,25.0
2024-02-14,22.5
2024-02-15,24.1
2024-02-16,22.4
2024-02-17,10.7
2024-02-18,28.6
2024-02-19,26.0
2024-02-20,11.4
2024-02-21,27.5
2024-02-22,20.4
2024-02-23,16.9
2024-02-24,13.9
2024-02-25,27.4
2024-02-26,28.9
2024-02-27,22.2
2024-02-28,10.5
2024-02-29,11.4
2024-03-01,17.0
2024-03-02,20.2
2024-03-03,19.5
2024-03-04,26.8
2024-03-05,12.9
2024-03-06,21.1
2024-03-07,27.2
2024-03-08,28.4
2024-03-09,20.9
2024-03-10,12.7
2024-03-11,13.5
2024-03-12,12.7
2024-03-13,23.5
2024-03-14,20.3
2024-03-15,28.0
2024-03-16,11.8
2024-03-17,20.5
2024-03-18,27.4
2024-03-19,13.4
2024-03-20,17.8
2024-03-21,17.3
2024-03-22,22.7
2024-03-23,25.0
2024-03-24,22.0
2024-03-25,21.9
2024-03-26,27.9
2024-03-27,11.0
2024-03-28,19.4
2024-03-29,17.1
2024-03-30,27.6
2024-03-31,10.4
2024-04-01,13.1
2024-04-02,13.9
2024-04-03,18.1
2024-04-04,26.9
2024-04-05,11.2
2024-04-06,23.9
2024-04-07,26.9
2024-04-08,13.2
2024-04-09,26.1
2024-04-10,20.0
2024-04-11,13.7
2024-04-12,23.7
2024-04-13,12.6
2024-04-14,25.8
2024-04-15,26.0
2024-04-16,17.0
2024-04-17,28.1
2024-04-18,25.3
2024-04-19,10.9
2024-04-20,18.9
2024-04-21,23.8
2024-04-22,20.3
2024-04-23,28.0
2024-04-24,16.1
2024-04-25,26.8
2024-04-26,11.7
2024-04-27,17.4
2024-04-28,14.2
2024-04-29,12.4
2024-04-30,27.0
2024-05-01,23.3
2024-05-02,24.5
2024-05-03,11.3
2024-05-04,23.2
2024-05-05,22.6
2024-05-06,19.2
2024-05-07,29.3
2024-05-08,12.5
2024-05-09,29.6
2024-05-10,19.2
2024-05-11,23.2
2024-05-12,28.4
2024-05-13,20.6
2024-05-14,19.5
2024-05-15,24.3
2024-05-16,12.5
2024-05-17,22.4
2024-05-18,16.7
2024-05-19,28.0
2024-05-20,22.9
2024-05-21,11.0
2024-05-22,20.5
2024-05-23,17.7
2024-05-24,11.8
2024-05-25,22.0
2024-05-26,21.6
2024-05-27,18.7
2024-05-28,14.7
2024-05-29,29.4
2024-05-30,28.7
2024-05-31,28.0
2024-06-01,22.1
2024-06-02,12.4
2024-06-03,12.5
2024-06-04,28.1
2024-06-05,11.2
2024-06-06,20.2
2024-06-07,17.0
2024-06-08,15.3
2024-06-09,26.5
2024-06-10,17.5
2024-06-11,28.4
2024-06-12,26.2
2024-06-13,27.0
2024-06-14,25.6
2024-06-15,12.0
2024-06-16,25.6
2024-06-17,13.0
2024-06-18,14.1
2024-06-19,22.4
2024-06-20,12.8
2024-06-21,26.5
2024-06-22,23.4
2024-06-23,26.4
2024-06-24,17.5
2024-06-25,13.7
2024-06-26,18.8
2024-06-27,22.0
2024-06-28,24.6
2024-06-29,24.2
2024-06-30,29.5
2024-07-01,25.1
2024-07-02,11.5
2024-07-03,28.2
2024-07-04,12.7
2024-07-05,25.5
2024-07-06,21.1
2024-07-07,14.6
2024-07-08,11.6
2024-07-09,19.6
2024-07-10,21.2
2024-07-11,24.3
2024-07-12,19.3
2024-07-13,25.0
2024-07-14,25.5
2024-07-15,17.1
2024-07-16,26.0
2024-07-17,12.5
2024-07-18,21.5
2024-07-19,16.0
2024-07-20,18.6
2024-07-21,21.6
2024-07-22,14.0
2024-07-23,18.5
2024-07-24,13.3
2024-07-25,27.2
2024-07-26,13.1
2024-07-27,19.4
2024-07-28,27.1
2024-07-29,20.5
2024-07-30,26.0
2024-07-31,18.5
2024-08-01,16.5
2024-08-02,12.4
2024-08-03,21.3
2024-08-04,20.6
2024-08-05,12.8
2024-08-06,13.9
2024-08-07,13.6
2024-08-08,27.3
2024-08-09,13.6
2024-08-10,22.4
2024-08-11,11.1
2024-08-12,10.5
2024-08-13,16.7
2024-08-14,20.3
2024-08-15,27.9
2024-08-16,16.6
2024-08-17,13.8
2024-08-18,14.8
2024-08-19,12.7
2024-08-20,12.2
2024-08-21,16.0
2024-08-22,18.8
2024-08-23,27.0
2024-08-24,21.5
2024-08-25,21.2
2024-08-26,15.7
2024-08-27,26.2
2024-08-28,10.4
2024-08-29,11.3
2024-08-30,11.5
2024-08-31,29.8
2024-09-01,28.1
2024-09-02,22.1
2024-09-03,15.1
2024-09-04,29.7
2024-09-05,12.1
2024-09-06,23.8
2024-09-07,14.6
2024-09-08,13.4
2024-09-09,15.1
2024-09-10,18.3
2024-09-11,22.8
2024-09-12,29.1
2024-09-13,12.9
2024-09-14,23.4
2024-09-15,23.8
2024-09-16,17.0
2024-09-17,22.7
2024-09-18,20.7
2024-09-19,16.2
2024-09-20,20.6
2024-09-21,13.9
2024-09-22,13.6
2024-09-23,16.7
2024-09-24,16.9
2024-09-25,25.7
2024-09-26,13.8
2024-09-27,20.5
2024-09-28,17.4
2024-09-29,28.8
2024-09-30,29.4
2024-10-01,15.2
2024-10-02,23.1
2024-10-03,12.5
2024-10-04,26.9
2024-10-05,25.6
2024-10-06,13.3
2024-10-07,10.1
2024-10-08,26.9
2024-10-09,29.2
2024-10-10,20.3
2024-10-11,27.3
2024-10-12,22.1
2024-10-13,15.2
2024-10-14,12.7
2024-10-15,12.7
2024-10-16,26.0
2024-10-17,18.6
2024-10-18,14.6
2024-10-19,24.1
2024-10-20,18.2
2024-10-21,22.9
2024-10-22,12.9
2024-10-23,15.2
2024-10-24,10.7
2024-10-25,22.4
2024-10-26,24.6
2024-10-27,14.2
2024-10-28,14.3
2024-10-29,14.8
2024-10-30,26.2
2024-10-31,28.8
2024-11-01,14.0
2024-11-02,14.0
2024-11-03,18.4
2024-11-04,16.6
2024-11-05,21.2
2024-11-06,17.2
2024-11-07,12.7
2024-11-08,15.3
2024-11-09,12.6
2024-11-10,18.4
2024-11-11,29.1
2024-11-12,20.0
2024-11-13,12.5
2024-11-14,12.9
2024-11-15,15.9
2024-11-16,16.6
2024-11-17,14.1
2024-11-18,20.6
2024-11-19,17.7
2024-11-20,17.6
2024-11-21,20.6
2024-11-22,21.4
2024-11-23,16.7
2024-11-24,14.3
2024-11-25,27.8
2024-11-26,10.2
2024-11-27,23.9
2024-11-28,11.1
2024-11-29,23.8
2024-11-30,28.0
2024-12-01,29.9
2024-12-02,12.2
2024-12-03,28.8
2024-12-04,29.6
2024-12-05,18.5
2024-12-06,12.7
2024-12-07,26.6
2024-12-08,18.9
2024-12-09,13.4
2024-12-10,18.3
2024-12-11,28.6
2024-12-12,12.8
2024-12-13,18.3
2024-12-14,21.6
2024-12-15,20.7
2024-12-16,19.2
2024-12-17,11.1
2024-12-18,28.8
2024-12-19,12.7
2024-12-20,29.3
2024-12-21,22.5
2024-12-22,10.4
2024-12-23,12.8
2024-12-24,18.1
2024-12-25,18.1
2024-12-26,12.7
2024-12-27,16.8
2024-12-28,16.3
2024-12-29,16.5
2024-12-30,14.2
2024-12-31,24.7
2025-01-01,10.1
2025-01-02,23.3
2025-01-03,28.5
2025-01-04,17.5
2025-01-05,10.3
2025-01-06,25.6
2025-01-07,26.2
2025-01-08,14.8
2025-01-09,14.1
2025-01-10,22.3
2025-01-11,17.8
2025-01-12,24.6
2025-01-13,18.0
2025-01-14,15.5
2025-01-15,27.2
2025-01-16,18.6
2025-01-17,28.0
2025-01-18,20.0
2025-01-19,24.5
2025-01-20,29.9
2025-01-21,24.5
2025-01-22,29.7
2025-01-23,18.3
2025-01-24,11.2
2025-01-25,26.9
2025-01-26,24.7
2025-01-27,12.4
2025-01-28,19.4
2025-01-29,23.3
2025-01-30,21.3
2025-01-31,17.8
2025-02-01,11.6
2025-02-02,23.5
2025-02-03,26.3
2025-02-04,24.7
2025-02-05,15.4
2025-02-06,27.6
2025-02-07,20.6
2025-02-08,20.5
2025-02-09,15.2
2025-02-10,21.2
2025-02-11,22.0
2025-02-12,20.1
2025-02-13,17.5
2025-02-14,23.3
2025-02-15,27.5
2025-02-16,21.4
2025-02-17,18.7
2025-02-18,18.5
2025-02-19,29.2
2025-02-20,27.8
2025-02-21,19.8
2025-02-22,18.2
2025-02-23,17.4
2025-02-24,17.4
2025-02-25,27.3
2025-02-26,16.1
2025-02-27,18.3
2025-02-28,22.8
2025-03-01,24.7
2025-03-02,24.5
2025-03-03,12.1
2025-03-04,12.5
2025-03-05,14.1
2025-03-06,23.4
2025-03-07,13.4
2025-03-08,14.8
2025-03-09,14.8
2025-03-10,23.6
2025-03-11,29.7
2025-03-12,10.6
2025-03-13,20.3
2025-03-14,17.5
2025-03-15,12.6
2025-03-16,10.6
2025-03-17,17.0
2025-03-18,29.2
2025-03-19,21.4
2025-03-20,29.1
2025-03-21,19.9
2025-03-22,26.8
2025-03-23,23.4
2025-03-24,22.3
2025-03-25,20.1
2025-03-26,19.2
2025-03-27,20.0
2025-03-28,19.6
2025-03-29,18.2
2025-03-30,12.6
2025-03-31,13.3
2025-04-01,20.2
2025-04-02,21.3
2025-04-03,24.8
2025-04-04,21.6
2025-04-05,23.4
2025-04-06,17.0
2025-04-07,15.2
2025-04-08,26.4
2025-04-09,20.8
2025-04-10,28.4
2025-04-11,14.4
2025-04-12,28.0
2025-04-13,15.2
2025-04-14,25.1
2025-04-15,25.3
2025-04-16,29.4
2025-04-17,16.8
2025-04-18,27.2
2025-04-19,28.3
2025-04-20,28.5
2025-04-21,25.6
2025-04-22,27.2
2025-04-23,11.5
2025-04-24,16.0
2025-04-25,15.7
2025-04-26,11.2
2025-04-27,12.4
2025-04-28,26.6
2025-04-29,11.9
2025-04-30,27.6
2025-05-01,27.4
2025-05-02,28.2
2025-05-03,26.4
2025-05-04,29.3
2025-05-05,22.1
2025-05-06,30.0
2025-05-07,23.2
2025-05-08,29.9
2025-05-09,27.7
2025-05-10,14.1
2025-05-11,23.5
2025-05-12,16.4
2025-05-13,29.2
2025-05-14,15.4
2025-05-15,15.4
2025-05-16,17.4
2025-05-17,15.8
2025-05-18,12.5
2025-05-19,26.3
2025-05-20,12.1
2025-05-21,20.0
2025-05-22,20.4
2025-05-23,18.1
2025-05-24,20.1
2025-05-25,18.4
2025-05-26,23.9
2025-05-27,19.2
2025-05-28,15.6
2025-05-29,11.8
2025-05-30,18.8
2025-05-31,21.5
2025-06-01,17.4
2025-06-02,10.6
2025-06-03,22.3
2025-06-04,23.6
2025-06-05,24.7
2025-06-06,10.4
2025-06-07,21.4
2025-06-08,20.4
