date,temperature
2023-06-10,16.8
2023-06-11,29.6
2023-06-12,18.1
2023-06-13,32.7
2023-06-14,30.7
2023-06-15,34.6
2023-06-16,25.8
2023-06-17,34.5
2023-06-18,32.8
2023-06-19,33.2
2023-06-20,18.6
2023-06-21,34.9
2023-06-22,16.3
2023-06-23,23.2
2023-06-24,26.9
2023-06-25,16.8
2023-06-26,22.2
2023-06-27,32.0
2023-06-28,24.6
2023-06-29,19.8
2023-06-30,19.6
2023-07-01,34.6
2023-07-02,23.0
2023-07-03,25.6
2023-07-04,32.3
2023-07-05,21.0
2023-07-06,34.8
2023-07-07,19.0
2023-07-08,24.0
2023-07-09,21.8
2023-07-10,19.8
2023-07-11,25.6
2023-07-12,19.6
2023-07-13,18.0
2023-07-14,29.5
2023-07-15,23.6
2023-07-16,19.1
2023-07-17,15.3
2023-07-18,24.2
2023-07-19,22.7
2023-07-20,23.2
2023-07-21,34.1
2023-07-22,33.2
2023-07-23,31.2
2023-07-24,29.9
2023-07-25,24.4
2023-07-26,21.5
2023-07-27,30.6
2023-07-28,34.6
2023-07-29,30.4
2023-07-30,15.0
2023-07-31,16.5
2023-08-01,18.7
2023-08-02,35.0
2023-08-03,21.5
2023-08-04,30.9
2023-08-05,24.4
2023-08-06,33.7
2023-08-07,25.0
2023-08-08,29.3
2023-08-09,15.2
2023-08-10,16.7
2023-08-11,29.3
2023-08-12,21.5
2023-08-13,26.0
2023-08-14,22.3
2023-08-15,32.5
2023-08-16,15.9
2023-08-17,29.5
2023-08-18,27.9
2023-08-19,21.9
2023-08-20,21.5
2023-08-21,34.9
2023-08-22,16.1
2023-08-23,25.7
2023-08-24,27.6
2023-08-25,30.5
2023-08-26,17.7
2023-08-27,16.9
2023-08-28,20.1
2023-08-29,27.4
2023-08-30,31.4
2023-08-31,25.4
2023-09-01,18.5
2023-09-02,17.2
2023-09-03,33.9
2023-09-04,29.9
2023-09-05,19.9
2023-09-06,15.1
2023-09-07,17.3
2023-09-08,29.4
2023-09-09,17.6
2023-09-10,32.9
2023-09-11,15.4
2023-09-12,30.8
2023-09-13,34.3
2023-09-14,15.0
2023-09-15,20.0
2023-09-16,28.7
2023-09-17,27.9
