date,temperature
2023-06-10,23.7
2023-06-11,17.2
2023-06-12,29.0
2023-06-13,18.4
2023-06-14,17.1
2023-06-15,30.3
2023-06-16,24.3
2023-06-17,18.1
2023-06-18,22.2
2023-06-19,28.7
2023-06-20,19.9
2023-06-21,28.6
2023-06-22,16.4
2023-06-23,20.5
2023-06-24,22.9
2023-06-25,32.2
2023-06-26,29.2
2023-06-27,26.2
2023-06-28,17.9
2023-06-29,27.6
2023-06-30,18.0
2023-07-01,25.5
2023-07-02,30.2
2023-07-03,30.6
2023-07-04,28.9
2023-07-05,23.5
2023-07-06,23.8
2023-07-07,30.9
2023-07-08,22.3
2023-07-09,33.9
2023-07-10,22.8
2023-07-11,27.2
2023-07-12,18.9
2023-07-13,31.7
2023-07-14,17.4
2023-07-15,16.6
2023-07-16,30.4
2023-07-17,16.5
2023-07-18,17.2
2023-07-19,22.0
2023-07-20,23.9
2023-07-21,18.4
2023-07-22,26.6
2023-07-23,23.4
2023-07-24,29.3
2023-07-25,16.4
2023-07-26,27.7
2023-07-27,24.6
2023-07-28,22.7
2023-07-29,28.2
2023-07-30,25.7
2023-07-31,20.5
2023-08-01,15.6
2023-08-02,27.7
2023-08-03,30.1
2023-08-04,24.8
2023-08-05,18.6
2023-08-06,30.0
2023-08-07,35.0
2023-08-08,16.4
2023-08-09,30.6
2023-08-10,19.1
2023-08-11,31.6
2023-08-12,16.6
2023-08-13,17.5
2023-08-14,20.5
2023-08-15,28.7
2023-08-16,25.8
2023-08-17,17.3
2023-08-18,31.3
2023-08-19,19.3
2023-08-20,24.9
2023-08-21,16.2
2023-08-22,30.4
2023-08-23,30.5
2023-08-24,18.2
2023-08-25,30.5
2023-08-26,34.4
2023-08-27,15.2
2023-08-28,22.0
2023-08-29,16.9
2023-08-30,18.4
2023-08-31,18.7
2023-09-01,25.1
2023-09-02,24.2
2023-09-03,25.2
2023-09-04,19.1
2023-09-05,27.5
2023-09-06,21.1
2023-09-07,22.0
2023-09-08,22.2
2023-09-09,32.6
2023-09-10,16.5
2023-09-11,23.8
2023-09-12,23.8
2023-09-13,18.8
2023-09-14,30.1
2023-09-15,29.1
2023-09-16,17.5
2023-09-17,32.4
2023-09-18,27.9
2023-09-19,18.2
2023-09-20,20.3
2023-09-21,32.9
2023-09-22,20.1
2023-09-23,21.2
2023-09-24,20.7
2023-09-25,18.8
2023-09-26,19.6
2023-09-27,27.5
2023-09-28,31.3
2023-09-29,24.3
2023-09-30,33.7
2023-10-01,15.6
2023-10-02,24.3
2023-10-03,33.0
2023-10-04,17.9
2023-10-05,33.5
2023-10-06,15.4
2023-10-07,18.6
2023-10-08,33.9
2023-10-09,29.7
2023-10-10,16.4
2023-10-11,25.8
2023-10-12,30.5
2023-10-13,27.8
2023-10-14,30.5
2023-10-15,17.2
2023-10-16,34.8
2023-10-17,30.2
2023-10-18,27.2
2023-10-19,34.9
2023-10-20,33.0
2023-10-21,32.7
2023-10-22,17.5
2023-10-23,26.9
2023-10-24,31.9
2023-10-25,34.1
2023-10-26,29.7
2023-10-27,27.0
