date,temperature
2023-06-10,30.1
2023-06-11,37.1
2023-06-12,19.3
2023-06-13,38.7
2023-06-14,16.9
2023-06-15,36.6
2023-06-16,34.9
2023-06-17,21.4
2023-06-18,30.5
2023-06-19,17.2
2023-06-20,39.4
2023-06-21,22.6
2023-06-22,22.4
2023-06-23,18.8
2023-06-24,28.8
2023-06-25,12.4
2023-06-26,20.3
2023-06-27,28.0
2023-06-28,32.1
2023-06-29,32.4
2023-06-30,31.9
2023-07-01,16.2
2023-07-02,26.4
2023-07-03,16.8
2023-07-04,32.8
2023-07-05,36.4
2023-07-06,22.2
2023-07-07,39.3
2023-07-08,20.3
2023-07-09,21.0
2023-07-10,24.3
2023-07-11,28.2
2023-07-12,32.2
2023-07-13,27.6
2023-07-14,39.4
2023-07-15,27.7
2023-07-16,33.9
2023-07-17,28.9
2023-07-18,36.6
2023-07-19,23.7
2023-07-20,10.1
2023-07-21,23.2
2023-07-22,19.8
2023-07-23,34.0
2023-07-24,37.5
2023-07-25,15.1
2023-07-26,24.0
2023-07-27,24.1
2023-07-28,25.4
2023-07-29,13.4
2023-07-30,32.5
2023-07-31,21.5
2023-08-01,38.1
2023-08-02,33.9
2023-08-03,32.5
2023-08-04,12.7
2023-08-05,11.5
2023-08-06,19.9
2023-08-07,37.0
2023-08-08,32.0
2023-08-09,31.6
2023-08-10,20.6
2023-08-11,11.4
2023-08-12,28.2
2023-08-13,34.2
2023-08-14,23.1
2023-08-15,37.4
2023-08-16,13.9
2023-08-17,38.8
2023-08-18,18.3
2023-08-19,12.3
2023-08-20,12.8
2023-08-21,18.7
2023-08-22,26.8
2023-08-23,23.4
2023-08-24,38.4
2023-08-25,39.0
2023-08-26,39.5
2023-08-27,20.9
2023-08-28,33.6
2023-08-29,24.4
2023-08-30,21.3
2023-08-31,21.2
2023-09-01,20.8
2023-09-02,25.8
2023-09-03,17.6
2023-09-04,18.8
2023-09-05,22.8
2023-09-06,18.9
2023-09-07,34.2
2023-09-08,16.1
2023-09-09,12.6
2023-09-10,25.8
2023-09-11,39.0
2023-09-12,22.2
2023-09-13,34.5
2023-09-14,17.6
2023-09-15,21.1
2023-09-16,18.0
2023-09-17,23.5
2023-09-18,11.8
2023-09-19,18.0
2023-09-20,39.7
2023-09-21,22.5
2023-09-22,32.0
2023-09-23,19.6
2023-09-24,24.3
2023-09-25,34.6
2023-09-26,38.6
2023-09-27,29.9
2023-09-28,35.3
2023-09-29,36.5
2023-09-30,15.5
2023-10-01,11.0
2023-10-02,13.8
2023-10-03,32.9
2023-10-04,27.6
2023-10-05,28.9
2023-10-06,39.7
2023-10-07,10.2
2023-10-08,12.8
2023-10-09,25.7
2023-10-10,31.9
2023-10-11,27.2
2023-10-12,19.4
2023-10-13,17.9
2023-10-14,38.0
2023-10-15,38.2
2023-10-16,14.3
2023-10-17,22.5
2023-10-18,20.4
2023-10-19,26.4
2023-10-20,12.5
2023-10-21,16.6
2023-10-22,15.7
2023-10-23,28.0
2023-10-24,17.6
2023-10-25,20.1
2023-10-26,11.4
2023-10-27,37.8
2023-10-28,11.1
2023-10-29,36.3
2023-10-30,39.8
2023-10-31,32.0
2023-11-01,13.4
2023-11-02,25.0
2023-11-03,25.7
2023-11-04,12.1
2023-11-05,26.9
2023-11-06,10.8
2023-11-07,26.6
2023-11-08,13.0
2023-11-09,34.7
2023-11-10,15.3
2023-11-11,34.2
2023-11-12,14.2
2023-11-13,12.5
2023-11-14,14.3
2023-11-15,31.7
2023-11-16,24.4
2023-11-17,27.8
2023-11-18,21.9
2023-11-19,20.9
2023-11-20,25.2
2023-11-21,38.4
2023-11-22,33.4
2023-11-23,22.7
2023-11-24,20.8
