date,temperature
2023-06-10,14.1
2023-06-11,21.4
2023-06-12,23.2
2023-06-13,19.5
2023-06-14,17.4
2023-06-15,25.1
2023-06-16,29.5
2023-06-17,26.8
2023-06-18,27.1
2023-06-19,12.0
2023-06-20,23.3
2023-06-21,16.7
2023-06-22,15.4
2023-06-23,21.2
2023-06-24,27.1
2023-06-25,16.7
2023-06-26,14.4
2023-06-27,23.5
2023-06-28,12.5
2023-06-29,23.2
2023-06-30,28.5
2023-07-01,13.2
2023-07-02,24.0
2023-07-03,21.1
2023-07-04,15.6
2023-07-05,23.1
2023-07-06,22.5
2023-07-07,18.2
2023-07-08,22.6
2023-07-09,10.0
2023-07-10,23.4
2023-07-11,20.2
2023-07-12,12.3
2023-07-13,11.4
2023-07-14,28.1
2023-07-15,26.5
2023-07-16,15.5
2023-07-17,26.5
2023-07-18,22.3
2023-07-19,16.5
2023-07-20,23.3
2023-07-21,23.1
2023-07-22,14.1
2023-07-23,15.3
2023-07-24,24.6
2023-07-25,12.4
2023-07-26,25.9
2023-07-27,24.7
2023-07-28,24.0
2023-07-29,10.5
2023-07-30,25.8
2023-07-31,10.6
2023-08-01,26.6
2023-08-02,19.5
2023-08-03,14.1
2023-08-04,13.0
2023-08-05,24.5
2023-08-06,23.2
2023-08-07,12.3
2023-08-08,27.2
2023-08-09,12.6
2023-08-10,19.6
2023-08-11,14.9
2023-08-12,17.0
2023-08-13,25.4
2023-08-14,15.9
2023-08-15,12.0
2023-08-16,20.3
2023-08-17,26.9
2023-08-18,28.9
2023-08-19,20.8
2023-08-20,22.3
2023-08-21,14.4
2023-08-22,12.0
2023-08-23,26.5
2023-08-24,22.9
2023-08-25,20.4
2023-08-26,11.2
2023-08-27,24.8
2023-08-28,16.7
2023-08-29,12.8
2023-08-30,13.8
2023-08-31,11.3
2023-09-01,22.3
2023-09-02,15.7
2023-09-03,15.8
2023-09-04,24.7
2023-09-05,14.2
2023-09-06,11.0
2023-09-07,24.3
2023-09-08,17.3
2023-09-09,25.1
2023-09-10,23.3
2023-09-11,15.8
2023-09-12,19.1
2023-09-13,17.6
2023-09-14,26.1
2023-09-15,15.1
2023-09-16,18.4
2023-09-17,22.1
2023-09-18,12.7
2023-09-19,13.4
2023-09-20,14.9
2023-09-21,28.5
2023-09-22,26.7
2023-09-23,14.0
2023-09-24,26.4
2023-09-25,14.7
2023-09-26,24.9
2023-09-27,13.5
2023-09-28,23.1
2023-09-29,27.6
2023-09-30,15.0
2023-10-01,23.3
2023-10-02,18.7
2023-10-03,29.1
2023-10-04,23.6
2023-10-05,14.1
2023-10-06,10.7
2023-10-07,13.8
2023-10-08,12.2
2023-10-09,28.9
2023-10-10,19.4
2023-10-11,10.5
2023-10-12,20.6
2023-10-13,10.5
2023-10-14,27.5
2023-10-15,21.2
2023-10-16,13.0
2023-10-17,17.4
2023-10-18,16.5
2023-10-19,26.1
2023-10-20,28.8
2023-10-21,22.7
2023-10-22,13.9
2023-10-23,23.3
2023-10-24,26.0
2023-10-25,10.0
2023-10-26,13.7
2023-10-27,13.8
2023-10-28,15.0
2023-10-29,16.1
2023-10-30,28.3
2023-10-31,23.1
2023-11-01,26.7
2023-11-02,28.5
2023-11-03,22.8
2023-11-04,22.2
2023-11-05,26.6
2023-11-06,22.2
2023-11-07,25.5
2023-11-08,18.7
2023-11-09,21.0
2023-11-10,10.1
2023-11-11,25.1
2023-11-12,23.5
2023-11-13,21.1
2023-11-14,29.9
2023-11-15,12.2
2023-11-16,25.1
2023-11-17,14.3
2023-11-18,29.6
2023-11-19,30.0
2023-11-20,12.8
2023-11-21,16.0
2023-11-22,25.9
2023-11-23,15.9
2023-11-24,18.6
2023-11-25,27.7
2023-11-26,21.0
2023-11-27,23.5
2023-11-28,13.3
2023-11-29,21.2
2023-11-30,26.0
2023-12-01,25.8
2023-12-02,24.0
2023-12-03,17.6
2023-12-04,17.3
2023-12-05,12.3
2023-12-06,13.2
2023-12-07,22.1
2023-12-08,27.1
2023-12-09,22.9
2023-12-10,12.4
2023-12-11,12.3
2023-12-12,23.3
2023-12-13,10.9
2023-12-14,19.1
2023-12-15,27.3
2023-12-16,28.0
2023-12-17,25.7
2023-12-18,11.3
2023-12-19,23.5
2023-12-20,23.3
2023-12-21,17.5
2023-12-22,26.6
2023-12-23,19.8
2023-12-24,21.9
2023-12-25,19.6
2023-12-26,10.7
2023-12-27,26.9
2023-12-28,26.1
2023-12-29,28.5
2023-12-30,17.5
2023-12-31,27.0
2024-01-01,13.9
2024-01-02,26.6
2024-01-03,19.5
2024-01-04,28.5
2024-01-05,20.9
2024-01-06,16.8
2024-01-07,11.3
2024-01-08,27.9
2024-01-09,25.3
2024-01-10,10.3
2024-01-11,17.0
2024-01-12,17.3
2024-01-13,18.2
2024-01-14,21.0
2024-01-15,27.7
2024-01-16,17.5
2024-01-17,23.1
2024-01-18,17.1
2024-01-19,29.6
2024-01-20,25.2
2024-01-21,18.2
2024-01-22,29.8
2024-01-23,24.7
2024-01-24,10.8
2024-01-25,13.4
2024-01-26,11.7
2024-01-27,13.8
2024-01-28,19.1
2024-01-29,16.2
2024-01-30,20.7
2024-01-31,15.1
2024-02-01,13.9
2024-02-02,24.9
2024-02-03,14.2
2024-02-04,15.4
2024-02-05,24.5
2024-02-06,17.7
2024-02-07,16.9
2024-02-08,26.3
2024-02-09,25.3
2024-02-10,13.1
2024-02-11,16.2
2024-02-12,16.6
2024-02-13,26.5
2024-02-14,13.1
2024-02-15,22.6
2024-02-16,11.9
2024-02-17,28.0
2024-02-18,10.1
2024-02-19,13.3
2024-02-20,11.1
2024-02-21,11.6
2024-02-22,14.0
2024-02-23,29.9
2024-02-24,23.4
2024-02-25,15.0
2024-02-26,27.0
2024-02-27,17.2
2024-02-28,10.4
2024-02-29,26.9
2024-03-01,21.1
2024-03-02,10.8
2024-03-03,26.8
2024-03-04,20.7
2024-03-05,24.7
2024-03-06,23.6
2024-03-07,12.1
2024-03-08,14.0
2024-03-09,29.7
2024-03-10,16.7
2024-03-11,26.9
2024-03-12,21.8
2024-03-13,13.7
2024-03-14,20.0
2024-03-15,13.1
2024-03-16,19.0
2024-03-17,19.9
2024-03-18,22.7
2024-03-19,20.1
2024-03-20,27.1
2024-03-21,24.0
2024-03-22,22.7
2024-03-23,29.7
2024-03-24,21.1
2024-03-25,19.5
2024-03-26,25.4
2024-03-27,11.9
2024-03-28,27.8
2024-03-29,24.8
2024-03-30,26.2
2024-03-31,17.3
2024-04-01,20.1
2024-04-02,19.8
2024-04-03,20.0
2024-04-04,12.4
