date,temperature
2023-06-10,15.4
2023-06-11,29.5
2023-06-12,13.7
2023-06-13,21.8
2023-06-14,22.0
2023-06-15,5.9
2023-06-16,17.2
2023-06-17,24.0
2023-06-18,10.7
2023-06-19,34.3
2023-06-20,19.0
2023-06-21,17.1
2023-06-22,29.4
2023-06-23,23.6
2023-06-24,15.5
2023-06-25,22.2
2023-06-26,22.2
2023-06-27,18.3
2023-06-28,13.4
2023-06-29,15.7
2023-06-30,5.7
2023-07-01,10.2
2023-07-02,34.6
2023-07-03,28.3
2023-07-04,28.1
2023-07-05,20.4
2023-07-06,17.3
2023-07-07,15.3
2023-07-08,17.9
2023-07-09,31.2
2023-07-10,30.0
2023-07-11,22.5
2023-07-12,16.6
2023-07-13,23.5
2023-07-14,30.6
2023-07-15,19.6
2023-07-16,18.0
2023-07-17,18.5
2023-07-18,28.9
2023-07-19,25.7
2023-07-20,15.5
2023-07-21,21.1
2023-07-22,29.7
2023-07-23,27.5
2023-07-24,10.4
2023-07-25,16.2
2023-07-26,33.0
2023-07-27,28.4
2023-07-28,26.3
2023-07-29,31.6
2023-07-30,16.8
2023-07-31,20.1
2023-08-01,21.8
2023-08-02,5.1
2023-08-03,14.5
2023-08-04,15.7
2023-08-05,31.0
2023-08-06,26.3
2023-08-07,9.9
2023-08-08,11.5
2023-08-09,7.8
2023-08-10,16.4
2023-08-11,6.3
2023-08-12,26.9
2023-08-13,29.5
2023-08-14,13.4
2023-08-15,31.7
2023-08-16,6.1
2023-08-17,16.1
2023-08-18,30.2
2023-08-19,6.3
2023-08-20,20.8
2023-08-21,14.1
2023-08-22,34.1
2023-08-23,31.3
2023-08-24,21.6
2023-08-25,17.6
2023-08-26,32.7
2023-08-27,6.2
2023-08-28,13.7
2023-08-29,33.1
2023-08-30,24.4
2023-08-31,27.0
2023-09-01,30.1
2023-09-02,10.6
2023-09-03,7.1
2023-09-04,31.0
2023-09-05,16.4
2023-09-06,7.1
2023-09-07,32.0
2023-09-08,33.0
2023-09-09,9.1
2023-09-10,20.6
2023-09-11,11.0
2023-09-12,26.1
2023-09-13,34.6
2023-09-14,24.0
2023-09-15,26.5
2023-09-16,27.2
2023-09-17,27.0
2023-09-18,8.9
2023-09-19,29.2
2023-09-20,8.3
2023-09-21,11.3
2023-09-22,21.3
2023-09-23,13.8
2023-09-24,18.6
2023-09-25,19.2
2023-09-26,11.7
2023-09-27,25.9
2023-09-28,31.6
2023-09-29,15.0
2023-09-30,28.9
2023-10-01,15.9
2023-10-02,6.6
2023-10-03,27.8
2023-10-04,16.8
2023-10-05,33.1
2023-10-06,27.5
2023-10-07,19.4
2023-10-08,31.5
2023-10-09,19.4
2023-10-10,32.4
2023-10-11,20.8
2023-10-12,8.5
