date,temperature
2023-06-10,19.3
2023-06-11,33.4
2023-06-12,23.4
2023-06-13,29.3
2023-06-14,30.4
2023-06-15,27.2
2023-06-16,37.1
2023-06-17,27.8
2023-06-18,39.9
2023-06-19,20.1
2023-06-20,17.4
2023-06-21,35.0
2023-06-22,34.5
2023-06-23,19.3
2023-06-24,21.6
2023-06-25,16.2
2023-06-26,13.3
2023-06-27,38.6
2023-06-28,22.5
2023-06-29,25.7
2023-06-30,28.3
2023-07-01,15.8
2023-07-02,17.7
2023-07-03,38.5
2023-07-04,13.0
2023-07-05,15.2
2023-07-06,22.5
2023-07-07,37.3
2023-07-08,15.2
2023-07-09,25.6
2023-07-10,29.0
2023-07-11,18.2
2023-07-12,11.8
2023-07-13,24.6
2023-07-14,13.1
2023-07-15,14.8
2023-07-16,22.8
2023-07-17,21.0
2023-07-18,29.0
2023-07-19,30.7
2023-07-20,14.7
2023-07-21,38.0
2023-07-22,15.8
2023-07-23,22.4
2023-07-24,17.9
2023-07-25,22.7
2023-07-26,31.8
2023-07-27,30.1
2023-07-28,33.2
2023-07-29,28.1
2023-07-30,34.0
2023-07-31,37.4
2023-08-01,33.7
2023-08-02,18.2
2023-08-03,22.4
2023-08-04,16.0
2023-08-05,25.5
2023-08-06,12.8
2023-08-07,38.7
2023-08-08,21.6
2023-08-09,27.3
2023-08-10,23.7
2023-08-11,33.0
2023-08-12,33.1
2023-08-13,11.5
2023-08-14,23.2
2023-08-15,17.5
2023-08-16,32.3
2023-08-17,39.4
2023-08-18,16.1
2023-08-19,35.6
2023-08-20,13.3
2023-08-21,17.6
2023-08-22,26.2
2023-08-23,31.3
2023-08-24,23.7
2023-08-25,29.9
2023-08-26,23.8
2023-08-27,39.2
2023-08-28,15.4
2023-08-29,32.6
2023-08-30,11.2
2023-08-31,15.9
2023-09-01,16.3
2023-09-02,31.6
2023-09-03,29.2
2023-09-04,32.3
2023-09-05,29.8
2023-09-06,14.4
2023-09-07,31.7
2023-09-08,35.1
2023-09-09,23.6
2023-09-10,27.3
2023-09-11,27.1
2023-09-12,13.8
2023-09-13,35.7
2023-09-14,21.3
2023-09-15,18.5
2023-09-16,10.2
2023-09-17,28.4
2023-09-18,16.7
2023-09-19,36.5
2023-09-20,25.2
2023-09-21,32.5
2023-09-22,34.6
2023-09-23,31.1
2023-09-24,29.3
2023-09-25,22.7
2023-09-26,20.5
2023-09-27,29.6
2023-09-28,31.2
2023-09-29,19.0
2023-09-30,38.1
2023-10-01,28.2
2023-10-02,25.3
2023-10-03,33.2
2023-10-04,19.9
2023-10-05,29.6
2023-10-06,37.3
2023-10-07,14.9
2023-10-08,22.7
2023-10-09,12.4
2023-10-10,36.5
2023-10-11,22.5
2023-10-12,37.7
2023-10-13,24.1
2023-10-14,30.4
2023-10-15,15.5
2023-10-16,10.1
2023-10-17,19.9
2023-10-18,28.2
2023-10-19,26.9
2023-10-20,32.5
2023-10-21,38.8
2023-10-22,25.3
2023-10-23,17.9
2023-10-24,30.3
2023-10-25,26.1
2023-10-26,12.2
2023-10-27,32.2
2023-10-28,25.4
2023-10-29,17.7
2023-10-30,16.9
2023-10-31,38.6
2023-11-01,30.2
2023-11-02,35.0
2023-11-03,39.6
2023-11-04,27.5
2023-11-05,39.0
2023-11-06,26.2
2023-11-07,15.9
2023-11-08,13.5
2023-11-09,32.2
2023-11-10,36.7
2023-11-11,20.1
2023-11-12,16.5
2023-11-13,14.8
2023-11-14,29.2
2023-11-15,35.4
2023-11-16,24.0
2023-11-17,18.9
2023-11-18,35.1
2023-11-19,14.5
2023-11-20,19.5
2023-11-21,39.4
2023-11-22,28.5
2023-11-23,15.0
2023-11-24,28.4
2023-11-25,10.9
2023-11-26,20.2
2023-11-27,34.6
2023-11-28,30.2
2023-11-29,36.3
2023-11-30,12.6
2023-12-01,25.5
2023-12-02,23.0
2023-12-03,13.6
2023-12-04,39.3
2023-12-05,34.5
2023-12-06,19.0
2023-12-07,24.8
2023-12-08,28.1
2023-12-09,37.9
2023-12-10,28.9
2023-12-11,24.8
2023-12-12,35.0
2023-12-13,10.2
2023-12-14,23.0
2023-12-15,15.7
2023-12-16,36.6
2023-12-17,36.5
2023-12-18,18.8
2023-12-19,15.3
2023-12-20,10.7
2023-12-21,10.7
2023-12-22,10.1
2023-12-23,22.4
2023-12-24,28.2
2023-12-25,10.7
2023-12-26,30.1
2023-12-27,34.9
2023-12-28,21.4
2023-12-29,39.8
2023-12-30,26.6
2023-12-31,27.3
2024-01-01,26.4
2024-01-02,22.7
2024-01-03,24.8
2024-01-04,29.1
2024-01-05,25.8
2024-01-06,13.4
2024-01-07,14.4
2024-01-08,11.4
2024-01-09,18.9
2024-01-10,36.3
2024-01-11,20.7
2024-01-12,37.2
2024-01-13,26.3
2024-01-14,28.6
2024-01-15,17.4
2024-01-16,19.1
2024-01-17,14.3
2024-01-18,39.0
2024-01-19,38.6
2024-01-20,27.5
2024-01-21,20.6
2024-01-22,33.0
2024-01-23,32.9
2024-01-24,14.6
2024-01-25,17.6
2024-01-26,20.8
2024-01-27,31.9
2024-01-28,19.7
2024-01-29,34.1
2024-01-30,37.0
2024-01-31,11.5
2024-02-01,25.9
2024-02-02,25.6
2024-02-03,29.7
2024-02-04,23.4
2024-02-05,38.4
2024-02-06,17.4
2024-02-07,27.1
2024-02-08,11.4
2024-02-09,19.4
2024-02-10,28.0
2024-02-11,31.4
2024-02-12,34.3
2024-02-13,27.5
2024-02-14,11.4
2024-02-15,31.3
2024-02-16,38.2
2024-02-17,28.7
2024-02-18,30.4
2024-02-19,12.1
2024-02-20,12.1
2024-02-21,14.4
2024-02-22,31.4
2024-02-23,28.1
2024-02-24,20.0
2024-02-25,19.5
2024-02-26,35.5
2024-02-27,20.1
2024-02-28,24.8
2024-02-29,24.0
2024-03-01,32.5
2024-03-02,27.5
2024-03-03,35.9
2024-03-04,23.4
2024-03-05,22.9
2024-03-06,21.1
2024-03-07,26.8
2024-03-08,29.4
2024-03-09,31.2
2024-03-10,32.1
2024-03-11,33.0
2024-03-12,19.0
2024-03-13,29.7
2024-03-14,29.5
2024-03-15,29.4
