date,temperature
2023-06-10,9.0
2023-06-11,-12.9
2023-06-12,14.1
2023-06-13,-12.8
2023-06-14,-12.4
2023-06-15,16.2
2023-06-16,-12.6
2023-06-17,22.9
2023-06-18,-1.6
2023-06-19,13.2
2023-06-20,25.0
2023-06-21,7.0
2023-06-22,23.8
2023-06-23,0.3
2023-06-24,6.8
2023-06-25,21.1
2023-06-26,21.7
2023-06-27,17.6
2023-06-28,18.3
2023-06-29,-6.2
2023-06-30,-13.2
2023-07-01,-4.3
2023-07-02,9.0
2023-07-03,-11.6
2023-07-04,16.3
2023-07-05,10.2
2023-07-06,-11.1
2023-07-07,1.9
2023-07-08,9.3
2023-07-09,15.0
2023-07-10,-6.3
2023-07-11,-12.0
2023-07-12,16.4
2023-07-13,23.4
2023-07-14,-6.4
2023-07-15,3.7
2023-07-16,9.9
2023-07-17,-4.3
2023-07-18,-5.8
2023-07-19,-13.9
2023-07-20,2.1
2023-07-21,-8.4
2023-07-22,18.2
2023-07-23,-6.1
2023-07-24,-4.2
2023-07-25,5.5
2023-07-26,-8.4
2023-07-27,-5.0
2023-07-28,20.2
2023-07-29,16.0
2023-07-30,14.0
2023-07-31,8.6
2023-08-01,-3.7
2023-08-02,23.0
2023-08-03,8.0
2023-08-04,-1.0
2023-08-05,-7.1
2023-08-06,21.8
2023-08-07,-9.5
2023-08-08,-2.6
2023-08-09,23.9
2023-08-10,12.8
2023-08-11,4.4
2023-08-12,25.0
2023-08-13,-0.8
2023-08-14,-5.4
2023-08-15,24.9
2023-08-16,24.5
2023-08-17,3.0
2023-08-18,-13.5
2023-08-19,20.8
2023-08-20,-11.9
2023-08-21,12.6
2023-08-22,-5.2
2023-08-23,4.8
2023-08-24,10.5
2023-08-25,-5.0
2023-08-26,4.3
2023-08-27,-0.3
2023-08-28,9.2
2023-08-29,14.7
2023-08-30,7.4
2023-08-31,20.1
2023-09-01,20.9
2023-09-02,20.5
2023-09-03,-5.2
2023-09-04,4.5
2023-09-05,8.5
2023-09-06,1.2
2023-09-07,7.3
2023-09-08,9.3
2023-09-09,2.4
2023-09-10,-9.4
2023-09-11,0.0
2023-09-12,-4.1
2023-09-13,-0.9
2023-09-14,-2.3
2023-09-15,15.6
2023-09-16,24.6
2023-09-17,-6.4
2023-09-18,0.6
2023-09-19,-12.0
2023-09-20,-13.3
2023-09-21,9.8
2023-09-22,-1.8
2023-09-23,5.8
2023-09-24,15.2
2023-09-25,2.7
2023-09-26,3.9
2023-09-27,7.6
2023-09-28,-8.9
