date,temperature
2023-06-10,22.2
2023-06-11,23.1
2023-06-12,15.0
2023-06-13,20.2
2023-06-14,23.9
2023-06-15,29.2
2023-06-16,12.8
2023-06-17,23.2
2023-06-18,11.1
2023-06-19,13.3
2023-06-20,19.6
2023-06-21,27.9
2023-06-22,23.2
2023-06-23,14.5
2023-06-24,20.3
2023-06-25,20.8
2023-06-26,16.7
2023-06-27,14.3
2023-06-28,23.9
2023-06-29,26.0
2023-06-30,25.0
2023-07-01,19.1
2023-07-02,23.7
2023-07-03,15.9
2023-07-04,26.3
2023-07-05,15.0
2023-07-06,22.0
2023-07-07,21.0
2023-07-08,24.9
2023-07-09,15.8
2023-07-10,25.6
2023-07-11,29.7
2023-07-12,28.5
2023-07-13,10.3
2023-07-14,16.3
2023-07-15,25.8
2023-07-16,16.6
2023-07-17,19.0
2023-07-18,27.2
2023-07-19,14.3
2023-07-20,14.3
2023-07-21,11.5
2023-07-22,29.4
2023-07-23,16.1
2023-07-24,28.9
2023-07-25,15.8
2023-07-26,18.6
2023-07-27,20.2
2023-07-28,19.2
2023-07-29,23.1
2023-07-30,25.6
2023-07-31,20.2
2023-08-01,16.5
2023-08-02,25.4
2023-08-03,14.8
2023-08-04,29.6
2023-08-05,18.4
2023-08-06,15.1
2023-08-07,12.9
2023-08-08,27.2
2023-08-09,16.8
2023-08-10,18.6
2023-08-11,13.0
2023-08-12,28.1
2023-08-13,27.6
2023-08-14,20.8
2023-08-15,14.0
2023-08-16,11.3
2023-08-17,22.9
2023-08-18,15.4
2023-08-19,19.9
2023-08-20,13.1
2023-08-21,29.8
2023-08-22,18.9
2023-08-23,18.0
2023-08-24,15.4
2023-08-25,12.2
2023-08-26,13.0
2023-08-27,13.7
2023-08-28,23.0
2023-08-29,27.7
2023-08-30,20.7
2023-08-31,17.0
2023-09-01,28.9
2023-09-02,23.0
2023-09-03,20.6
2023-09-04,20.1
2023-09-05,18.0
2023-09-06,21.7
2023-09-07,13.4
2023-09-08,17.4
2023-09-09,10.3
2023-09-10,12.9
2023-09-11,18.0
2023-09-12,11.8
2023-09-13,27.1
2023-09-14,13.9
2023-09-15,24.8
2023-09-16,11.5
2023-09-17,21.0
2023-09-18,29.4
2023-09-19,17.5
2023-09-20,20.5
2023-09-21,14.8
2023-09-22,18.2
2023-09-23,12.6
2023-09-24,22.4
2023-09-25,23.1
2023-09-26,16.6
2023-09-27,14.4
2023-09-28,13.0
2023-09-29,22.0
2023-09-30,22.3
2023-10-01,14.2
2023-10-02,21.9
2023-10-03,28.6
2023-10-04,24.5
2023-10-05,27.8
2023-10-06,10.2
2023-10-07,14.6
2023-10-08,15.1
2023-10-09,26.9
2023-10-10,13.9
2023-10-11,11.7
2023-10-12,29.9
2023-10-13,12.8
2023-10-14,15.0
2023-10-15,19.5
2023-10-16,25.3
2023-10-17,12.9
2023-10-18,16.8
2023-10-19,13.8
2023-10-20,24.8
2023-10-21,29.1
2023-10-22,16.6
2023-10-23,20.7
2023-10-24,12.5
2023-10-25,12.2
2023-10-26,18.3
2023-10-27,17.4
2023-10-28,13.3
2023-10-29,25.6
2023-10-30,16.9
2023-10-31,29.4
2023-11-01,19.2
2023-11-02,26.8
2023-11-03,22.0
2023-11-04,22.6
2023-11-05,19.7
2023-11-06,23.5
2023-11-07,14.7
2023-11-08,16.3
2023-11-09,25.3
2023-11-10,29.1
2023-11-11,16.3
2023-11-12,14.6
2023-11-13,27.6
2023-11-14,29.9
2023-11-15,21.0
2023-11-16,10.9
2023-11-17,16.3
2023-11-18,17.4
2023-11-19,20.2
2023-11-20,10.7
