date,temperature
2023-06-10,13.7
2023-06-11,19.0
2023-06-12,19.8
2023-06-13,3.9
2023-06-14,19.5
2023-06-15,16.1
2023-06-16,6.6
2023-06-17,19.2
2023-06-18,18.1
2023-06-19,4.9
2023-06-20,21.0
2023-06-21,25.0
2023-06-22,6.1
2023-06-23,13.7
2023-06-24,23.5
2023-06-25,27.8
2023-06-26,19.2
2023-06-27,0.7
2023-06-28,-3.8
2023-06-29,20.8
2023-06-30,12.1
2023-07-01,-4.6
2023-07-02,24.5
2023-07-03,9.2
2023-07-04,-1.5
2023-07-05,14.5
2023-07-06,15.5
2023-07-07,0.7
2023-07-08,28.1
2023-07-09,-0.8
2023-07-10,9.3
2023-07-11,20.7
2023-07-12,28.4
2023-07-13,-0.1
2023-07-14,24.8
2023-07-15,28.3
2023-07-16,-0.9
2023-07-17,7.1
2023-07-18,2.2
2023-07-19,4.7
2023-07-20,12.0
2023-07-21,26.4
2023-07-22,-1.1
2023-07-23,7.1
2023-07-24,14.6
2023-07-25,4.8
2023-07-26,-1.2
2023-07-27,3.7
2023-07-28,16.4
2023-07-29,-0.9
2023-07-30,4.5
2023-07-31,-2.2
2023-08-01,18.1
2023-08-02,23.3
2023-08-03,-1.7
2023-08-04,14.0
2023-08-05,8.7
2023-08-06,11.5
2023-08-07,2.0
2023-08-08,-0.4
2023-08-09,19.8
2023-08-10,23.9
2023-08-11,-3.7
2023-08-12,21.7
2023-08-13,21.3
2023-08-14,24.3
2023-08-15,2.1
2023-08-16,-4.2
2023-08-17,17.2
2023-08-18,0.4
2023-08-19,28.2
2023-08-20,-4.9
2023-08-21,5.0
2023-08-22,17.1
2023-08-23,16.0
2023-08-24,18.5
2023-08-25,18.8
2023-08-26,-2.6
2023-08-27,6.9
2023-08-28,25.4
2023-08-29,24.3
2023-08-30,16.1
2023-08-31,9.3
2023-09-01,29.6
2023-09-02,-1.7
2023-09-03,21.0
2023-09-04,4.6
2023-09-05,-2.8
2023-09-06,-3.6
2023-09-07,28.0
2023-09-08,11.1
2023-09-09,24.8
2023-09-10,-2.6
2023-09-11,18.8
2023-09-12,6.7
2023-09-13,24.3
2023-09-14,15.1
2023-09-15,10.6
2023-09-16,8.2
2023-09-17,22.7
2023-09-18,27.5
2023-09-19,21.5
2023-09-20,17.8
2023-09-21,16.3
2023-09-22,18.1
2023-09-23,11.4
2023-09-24,27.0
2023-09-25,4.5
2023-09-26,8.0
2023-09-27,8.8
2023-09-28,20.1
2023-09-29,13.3
2023-09-30,7.3
2023-10-01,11.5
2023-10-02,2.8
2023-10-03,13.6
2023-10-04,7.7
2023-10-05,21.3
2023-10-06,17.7
2023-10-07,-1.9
2023-10-08,16.6
2023-10-09,18.7
2023-10-10,9.1
2023-10-11,29.1
2023-10-12,27.7
2023-10-13,10.6
2023-10-14,22.0
2023-10-15,21.7
2023-10-16,1.3
2023-10-17,-0.6
2023-10-18,23.7
2023-10-19,0.2
2023-10-20,10.0
2023-10-21,19.4
2023-10-22,29.5
2023-10-23,14.1
2023-10-24,25.3
2023-10-25,1.5
2023-10-26,16.9
2023-10-27,1.9
2023-10-28,0.5
2023-10-29,5.2
2023-10-30,3.0
2023-10-31,2.6
2023-11-01,22.3
2023-11-02,24.0
2023-11-03,9.7
2023-11-04,11.3
2023-11-05,8.8
2023-11-06,26.6
2023-11-07,20.4
2023-11-08,11.1
2023-11-09,-1.2
2023-11-10,13.4
2023-11-11,6.5
2023-11-12,2.1
2023-11-13,23.2
2023-11-14,2.6
2023-11-15,21.3
2023-11-16,29.0
2023-11-17,28.9
2023-11-18,-1.3
2023-11-19,9.8
2023-11-20,17.0
2023-11-21,23.5
2023-11-22,17.3
2023-11-23,14.5
2023-11-24,20.8
2023-11-25,22.0
2023-11-26,20.4
2023-11-27,29.7
2023-11-28,-1.5
2023-11-29,17.1
2023-11-30,8.5
2023-12-01,15.4
2023-12-02,1.5
2023-12-03,6.7
2023-12-04,22.0
2023-12-05,-2.7
2023-12-06,-3.3
2023-12-07,-3.3
2023-12-08,29.3
2023-12-09,-1.5
2023-12-10,27.8
2023-12-11,2.2
2023-12-12,6.7
2023-12-13,23.7
2023-12-14,22.9
2023-12-15,6.7
2023-12-16,17.0
2023-12-17,11.4
2023-12-18,29.2
2023-12-19,10.4
2023-12-20,1.7
2023-12-21,10.3
2023-12-22,5.8
2023-12-23,18.9
2023-12-24,-4.3
2023-12-25,15.5
2023-12-26,12.9
2023-12-27,26.1
2023-12-28,-2.5
2023-12-29,8.1
2023-12-30,11.9
2023-12-31,-3.0
2024-01-01,19.9
2024-01-02,27.8
2024-01-03,25.2
2024-01-04,12.6
2024-01-05,16.3
2024-01-06,10.1
2024-01-07,6.0
2024-01-08,28.1
2024-01-09,19.5
2024-01-10,19.3
2024-01-11,-0.8
2024-01-12,11.1
2024-01-13,10.1
2024-01-14,14.1
2024-01-15,19.7
2024-01-16,14.1
2024-01-17,0.2
2024-01-18,-2.0
2024-01-19,5.9
2024-01-20,19.8
2024-01-21,23.6
2024-01-22,4.0
2024-01-23,9.3
2024-01-24,25.6
2024-01-25,26.6
2024-01-26,14.8
2024-01-27,25.0
2024-01-28,23.1
2024-01-29,12.5
2024-01-30,12.7
2024-01-31,5.8
2024-02-01,25.3
2024-02-02,19.2
2024-02-03,14.4
2024-02-04,26.2
2024-02-05,7.6
2024-02-06,20.1
2024-02-07,25.0
2024-02-08,27.0
2024-02-09,0.9
2024-02-10,-3.0
2024-02-11,-3.9
2024-02-12,9.5
2024-02-13,-3.7
2024-02-14,13.9
2024-02-15,19.3
2024-02-16,1.9
2024-02-17,24.3
2024-02-18,19.6
2024-02-19,7.9
2024-02-20,28.3
2024-02-21,-3.6
2024-02-22,17.6
2024-02-23,18.0
2024-02-24,24.6
2024-02-25,4.6
2024-02-26,1.8
2024-02-27,26.8
2024-02-28,7.5
2024-02-29,8.9
2024-03-01,-1.3
2024-03-02,-0.8
2024-03-03,24.7
2024-03-04,-0.1
2024-03-05,-2.8
2024-03-06,15.7
2024-03-07,4.9
2024-03-08,24.7
2024-03-09,23.7
2024-03-10,7.8
2024-03-11,22.4
2024-03-12,11.0
2024-03-13,10.7
2024-03-14,27.0
2024-03-15,28.0
2024-03-16,11.4
2024-03-17,2.3
2024-03-18,1.3
2024-03-19,18.8
2024-03-20,23.2
2024-03-21,3.6
2024-03-22,-0.9
2024-03-23,25.6
2024-03-24,19.6
2024-03-25,18.7
2024-03-26,23.7
2024-03-27,-3.4
2024-03-28,28.1
