date,temperature
2023-06-10,5.7
2023-06-11,21.5
2023-06-12,10.7
2023-06-13,23.6
2023-06-14,7.9
2023-06-15,30.2
2023-06-16,12.6
2023-06-17,9.5
2023-06-18,5.5
2023-06-19,29.6
2023-06-20,28.5
2023-06-21,20.9
2023-06-22,28.4
2023-06-23,19.4
2023-06-24,32.0
2023-06-25,8.3
2023-06-26,20.6
2023-06-27,27.9
2023-06-28,24.6
2023-06-29,6.1
2023-06-30,17.4
2023-07-01,13.1
2023-07-02,9.0
2023-07-03,29.7
2023-07-04,24.1
2023-07-05,26.1
2023-07-06,20.7
2023-07-07,29.1
2023-07-08,7.2
2023-07-09,20.0
2023-07-10,14.2
2023-07-11,29.8
2023-07-12,24.4
2023-07-13,17.5
2023-07-14,17.1
2023-07-15,28.5
2023-07-16,6.3
2023-07-17,14.1
2023-07-18,12.5
2023-07-19,28.7
2023-07-20,15.2
2023-07-21,26.6
2023-07-22,28.7
2023-07-23,10.6
2023-07-24,12.7
2023-07-25,10.4
2023-07-26,17.5
2023-07-27,17.4
2023-07-28,33.1
2023-07-29,9.7
2023-07-30,16.5
2023-07-31,13.7
2023-08-01,23.2
2023-08-02,13.1
2023-08-03,9.9
2023-08-04,13.3
2023-08-05,15.7
2023-08-06,6.8
2023-08-07,33.0
2023-08-08,6.2
2023-08-09,23.3
2023-08-10,13.1
2023-08-11,9.4
2023-08-12,29.5
2023-08-13,28.0
2023-08-14,19.2
2023-08-15,15.7
2023-08-16,28.8
2023-08-17,7.2
2023-08-18,12.5
2023-08-19,21.3
2023-08-20,12.4
2023-08-21,11.4
2023-08-22,10.1
2023-08-23,5.1
2023-08-24,29.4
2023-08-25,12.3
2023-08-26,25.6
2023-08-27,26.8
2023-08-28,24.5
2023-08-29,18.8
2023-08-30,29.4
2023-08-31,28.2
2023-09-01,7.4
2023-09-02,34.1
2023-09-03,32.3
2023-09-04,27.8
2023-09-05,31.8
2023-09-06,21.7
2023-09-07,15.9
2023-09-08,6.2
2023-09-09,14.3
2023-09-10,6.8
2023-09-11,18.5
2023-09-12,12.2
2023-09-13,27.9
2023-09-14,27.8
2023-09-15,19.1
2023-09-16,20.7
2023-09-17,25.3
2023-09-18,18.0
2023-09-19,16.3
2023-09-20,12.1
2023-09-21,6.8
2023-09-22,5.7
2023-09-23,12.3
2023-09-24,22.6
2023-09-25,8.4
2023-09-26,13.1
2023-09-27,24.7
2023-09-28,26.3
2023-09-29,8.3
2023-09-30,11.1
2023-10-01,18.0
2023-10-02,26.1
2023-10-03,6.7
2023-10-04,15.5
2023-10-05,14.6
2023-10-06,21.1
2023-10-07,9.1
2023-10-08,33.3
2023-10-09,16.5
2023-10-10,19.4
2023-10-11,15.7
2023-10-12,10.4
2023-10-13,29.9
2023-10-14,33.5
2023-10-15,32.8
2023-10-16,7.8
2023-10-17,23.6
2023-10-18,22.0
2023-10-19,14.4
2023-10-20,32.2
2023-10-21,15.4
2023-10-22,5.5
2023-10-23,32.1
2023-10-24,11.3
2023-10-25,16.6
2023-10-26,15.1
2023-10-27,13.9
2023-10-28,21.3
2023-10-29,14.6
2023-10-30,29.0
2023-10-31,31.3
2023-11-01,10.2
2023-11-02,17.8
2023-11-03,17.8
2023-11-04,16.3
2023-11-05,14.7
2023-11-06,24.2
2023-11-07,8.5
2023-11-08,11.5
2023-11-09,32.2
2023-11-10,16.8
2023-11-11,10.8
2023-11-12,17.5
2023-11-13,6.1
2023-11-14,17.1
2023-11-15,18.8
2023-11-16,20.8
2023-11-17,27.4
2023-11-18,25.6
2023-11-19,29.2
2023-11-20,24.3
2023-11-21,14.4
2023-11-22,10.4
2023-11-23,33.1
2023-11-24,20.3
2023-11-25,33.8
