date,temperature
2023-06-10,20.4
2023-06-11,23.3
2023-06-12,28.7
2023-06-13,24.7
2023-06-14,31.2
2023-06-15,23.7
2023-06-16,33.4
2023-06-17,17.4
2023-06-18,22.6
2023-06-19,16.7
2023-06-20,26.9
2023-06-21,34.3
2023-06-22,18.8
2023-06-23,26.1
2023-06-24,28.8
2023-06-25,31.5
2023-06-26,23.0
2023-06-27,29.7
2023-06-28,32.5
2023-06-29,32.6
2023-06-30,22.3
2023-07-01,22.7
2023-07-02,20.2
2023-07-03,25.4
2023-07-04,29.5
2023-07-05,23.5
2023-07-06,22.2
2023-07-07,16.7
2023-07-08,16.5
2023-07-09,32.8
2023-07-10,18.6
2023-07-11,27.5
2023-07-12,34.9
2023-07-13,24.1
2023-07-14,28.8
2023-07-15,30.6
2023-07-16,34.9
2023-07-17,15.8
2023-07-18,18.6
2023-07-19,17.2
2023-07-20,28.4
2023-07-21,25.4
2023-07-22,25.1
2023-07-23,26.3
2023-07-24,33.8
2023-07-25,15.1
2023-07-26,33.4
2023-07-27,18.4
2023-07-28,19.8
2023-07-29,28.1
2023-07-30,30.8
2023-07-31,20.4
2023-08-01,31.2
2023-08-02,28.0
2023-08-03,27.6
2023-08-04,16.1
2023-08-05,22.7
2023-08-06,32.6
2023-08-07,15.9
2023-08-08,17.3
2023-08-09,15.7
2023-08-10,26.4
2023-08-11,28.9
2023-08-12,31.2
2023-08-13,33.7
2023-08-14,28.3
2023-08-15,20.4
2023-08-16,34.4
2023-08-17,31.3
2023-08-18,22.5
2023-08-19,25.6
2023-08-20,24.6
2023-08-21,17.9
2023-08-22,17.7
2023-08-23,22.8
2023-08-24,27.8
2023-08-25,30.4
2023-08-26,27.2
2023-08-27,27.7
2023-08-28,23.0
2023-08-29,34.5
2023-08-30,31.4
2023-08-31,34.5
2023-09-01,32.9
2023-09-02,27.0
2023-09-03,17.2
2023-09-04,19.6
2023-09-05,19.6
2023-09-06,17.6
2023-09-07,30.5
2023-09-08,29.7
2023-09-09,22.8
2023-09-10,34.4
2023-09-11,33.5
2023-09-12,20.5
2023-09-13,16.6
2023-09-14,34.5
2023-09-15,29.0
2023-09-16,24.4
2023-09-17,28.8
2023-09-18,28.8
2023-09-19,15.6
2023-09-20,16.0
2023-09-21,20.2
2023-09-22,23.9
2023-09-23,26.0
2023-09-24,30.9
2023-09-25,24.7
2023-09-26,26.4
2023-09-27,32.1
2023-09-28,28.9
2023-09-29,27.3
2023-09-30,31.7
2023-10-01,18.9
2023-10-02,32.5
2023-10-03,19.3
2023-10-04,15.5
2023-10-05,19.5
2023-10-06,34.1
2023-10-07,34.0
2023-10-08,17.1
2023-10-09,17.2
2023-10-10,29.5
2023-10-11,24.6
2023-10-12,34.9
2023-10-13,33.5
2023-10-14,27.1
2023-10-15,23.8
2023-10-16,33.9
2023-10-17,21.8
2023-10-18,34.6
2023-10-19,33.8
2023-10-20,34.7
2023-10-21,21.6
2023-10-22,30.4
2023-10-23,18.5
2023-10-24,34.2
2023-10-25,30.8
2023-10-26,15.3
2023-10-27,27.8
2023-10-28,31.0
2023-10-29,27.3
2023-10-30,27.0
2023-10-31,28.0
2023-11-01,31.8
2023-11-02,15.9
2023-11-03,19.7
2023-11-04,29.2
2023-11-05,33.2
2023-11-06,33.4
2023-11-07,17.9
2023-11-08,30.8
2023-11-09,31.6
2023-11-10,32.7
2023-11-11,33.1
2023-11-12,22.2
2023-11-13,24.5
2023-11-14,29.4
2023-11-15,31.8
2023-11-16,30.9
2023-11-17,28.9
2023-11-18,18.4
2023-11-19,25.0
2023-11-20,18.5
2023-11-21,24.4
2023-11-22,31.8
2023-11-23,16.2
2023-11-24,28.0
2023-11-25,19.7
2023-11-26,31.8
2023-11-27,25.5
2023-11-28,15.1
2023-11-29,30.2
2023-11-30,32.0
2023-12-01,24.1
2023-12-02,20.1
2023-12-03,27.9
2023-12-04,17.0
2023-12-05,22.9
2023-12-06,26.9
2023-12-07,33.7
2023-12-08,18.0
2023-12-09,15.0
2023-12-10,19.2
2023-12-11,27.5
2023-12-12,33.9
2023-12-13,26.0
2023-12-14,21.1
2023-12-15,16.4
2023-12-16,33.2
2023-12-17,18.9
2023-12-18,17.2
2023-12-19,21.5
2023-12-20,26.5
2023-12-21,32.5
2023-12-22,21.7
2023-12-23,33.0
2023-12-24,23.8
2023-12-25,30.5
2023-12-26,15.8
2023-12-27,25.1
2023-12-28,31.1
2023-12-29,24.6
2023-12-30,34.9
2023-12-31,16.7
2024-01-01,25.3
2024-01-02,21.9
2024-01-03,27.3
2024-01-04,26.8
2024-01-05,23.2
2024-01-06,25.0
2024-01-07,26.1
2024-01-08,15.4
2024-01-09,27.4
2024-01-10,32.1
2024-01-11,29.2
2024-01-12,27.3
2024-01-13,15.6
2024-01-14,17.0
2024-01-15,18.2
2024-01-16,29.8
2024-01-17,31.2
2024-01-18,15.6
2024-01-19,35.0
2024-01-20,19.5
2024-01-21,23.3
2024-01-22,31.2
2024-01-23,29.9
2024-01-24,16.5
2024-01-25,18.7
2024-01-26,19.4
2024-01-27,32.6
2024-01-28,16.8
2024-01-29,28.3
2024-01-30,19.0
2024-01-31,18.6
2024-02-01,31.7
2024-02-02,34.8
2024-02-03,29.0
2024-02-04,20.9
2024-02-05,23.8
2024-02-06,25.0
2024-02-07,26.4
2024-02-08,19.3
2024-02-09,27.1
2024-02-10,21.7
2024-02-11,33.5
2024-02-12,25.3
2024-02-13,26.0
2024-02-14,27.1
2024-02-15,23.9
2024-02-16,32.7
2024-02-17,31.1
2024-02-18,25.1
2024-02-19,32.5
2024-02-20,18.2
2024-02-21,25.8
2024-02-22,19.5
2024-02-23,34.0
2024-02-24,34.5
2024-02-25,23.1
2024-02-26,24.0
2024-02-27,34.4
2024-02-28,32.6
2024-02-29,21.4
2024-03-01,30.7
2024-03-02,30.7
2024-03-03,23.6
2024-03-04,27.6
2024-03-05,27.2
2024-03-06,18.1
2024-03-07,24.0
2024-03-08,33.4
2024-03-09,25.5
2024-03-10,29.6
2024-03-11,20.1
2024-03-12,16.4
2024-03-13,22.3
2024-03-14,31.4
2024-03-15,28.8
2024-03-16,18.2
2024-03-17,28.2
2024-03-18,33.1
2024-03-19,27.9
2024-03-20,31.7
2024-03-21,23.8
2024-03-22,16.9
2024-03-23,18.5
2024-03-24,25.1
2024-03-25,18.4
2024-03-26,25.9
2024-03-27,32.8
2024-03-28,33.5
2024-03-29,27.7
2024-03-30,23.7
2024-03-31,33.6
2024-04-01,32.2
2024-04-02,31.0
2024-04-03,19.4
2024-04-04,31.2
2024-04-05,25.4
2024-04-06,21.7
2024-04-07,32.0
2024-04-08,26.8
2024-04-09,18.0
2024-04-10,27.5
2024-04-11,18.2
2024-04-12,24.1
2024-04-13,21.6
2024-04-14,31.9
2024-04-15,20.2
2024-04-16,33.0
2024-04-17,19.6
2024-04-18,26.3
2024-04-19,22.6
2024-04-20,24.7
2024-04-21,30.5
2024-04-22,25.4
2024-04-23,26.4
2024-04-24,20.1
2024-04-25,27.2
2024-04-26,28.4
2024-04-27,30.9
2024-04-28,15.9
2024-04-29,22.7
2024-04-30,26.6
2024-05-01,15.7
2024-05-02,26.2
2024-05-03,31.8
2024-05-04,34.8
2024-05-05,23.5
2024-05-06,25.8
2024-05-07,26.6
2024-05-08,24.0
2024-05-09,24.8
2024-05-10,34.0
2024-05-11,34.4
2024-05-12,27.2
2024-05-13,19.6
2024-05-14,18.7
2024-05-15,15.6
2024-05-16,33.0
2024-05-17,34.2
2024-05-18,31.0
2024-05-19,26.9
2024-05-20,33.8
2024-05-21,28.6
2024-05-22,31.7
2024-05-23,29.9
2024-05-24,26.7
2024-05-25,32.6
2024-05-26,15.3
2024-05-27,29.0
2024-05-28,18.3
2024-05-29,34.9
2024-05-30,21.6
2024-05-31,21.4
2024-06-01,34.3
2024-06-02,33.0
2024-06-03,28.3
2024-06-04,32.4
2024-06-05,22.1
2024-06-06,24.1
2024-06-07,28.9
2024-06-08,18.0
2024-06-09,33.6
2024-06-10,19.1
2024-06-11,28.4
2024-06-12,31.7
2024-06-13,24.7
2024-06-14,17.8
2024-06-15,30.0
2024-06-16,21.8
2024-06-17,21.0
2024-06-18,27.2
2024-06-19,34.2
2024-06-20,25.5
2024-06-21,32.7
2024-06-22,34.3
2024-06-23,32.0
2024-06-24,18.7
2024-06-25,28.2
2024-06-26,32.8
2024-06-27,18.5
2024-06-28,17.0
2024-06-29,24.3
2024-06-30,16.6
2024-07-01,17.5
2024-07-02,16.1
2024-07-03,26.7
2024-07-04,26.4
2024-07-05,34.3
2024-07-06,18.1
2024-07-07,24.1
2024-07-08,19.6
2024-07-09,26.0
2024-07-10,15.4
2024-07-11,23.4
2024-07-12,30.2
2024-07-13,26.8
2024-07-14,22.4
2024-07-15,23.1
2024-07-16,19.6
2024-07-17,24.0
2024-07-18,20.1
2024-07-19,30.2
2024-07-20,22.3
2024-07-21,31.2
2024-07-22,32.3
2024-07-23,27.8
2024-07-24,23.3
2024-07-25,24.0
2024-07-26,33.7
2024-07-27,26.2
2024-07-28,34.8
2024-07-29,16.7
2024-07-30,16.5
2024-07-31,17.4
2024-08-01,26.4
2024-08-02,25.9
2024-08-03,17.8
2024-08-04,31.6
2024-08-05,29.7
2024-08-06,33.5
2024-08-07,28.4
2024-08-08,28.8
2024-08-09,16.2
2024-08-10,17.9
2024-08-11,19.1
2024-08-12,29.7
2024-08-13,19.1
2024-08-14,28.9
2024-08-15,22.4
2024-08-16,28.8
