date,temperature
2023-06-10,30.8
2023-06-11,17.6
2023-06-12,26.8
2023-06-13,10.3
2023-06-14,22.9
2023-06-15,9.0
2023-06-16,21.9
2023-06-17,21.4
2023-06-18,9.2
2023-06-19,20.9
2023-06-20,19.5
2023-06-21,27.2
2023-06-22,22.5
2023-06-23,17.0
2023-06-24,19.6
2023-06-25,34.6
2023-06-26,31.5
2023-06-27,12.2
2023-06-28,32.3
2023-06-29,6.7
2023-06-30,6.7
2023-07-01,18.3
2023-07-02,24.3
2023-07-03,14.7
2023-07-04,15.9
2023-07-05,12.1
2023-07-06,13.9
2023-07-07,12.1
2023-07-08,7.8
2023-07-09,20.8
2023-07-10,28.8
2023-07-11,13.6
2023-07-12,17.4
2023-07-13,30.3
2023-07-14,34.5
2023-07-15,26.6
2023-07-16,13.4
2023-07-17,20.5
2023-07-18,22.8
2023-07-19,33.1
2023-07-20,25.3
2023-07-21,22.2
2023-07-22,18.8
2023-07-23,27.4
2023-07-24,23.9
2023-07-25,24.5
2023-07-26,18.3
2023-07-27,31.0
2023-07-28,26.1
2023-07-29,5.9
2023-07-30,15.5
2023-07-31,24.1
2023-08-01,35.0
2023-08-02,12.2
2023-08-03,31.1
2023-08-04,8.7
2023-08-05,27.8
2023-08-06,9.7
2023-08-07,32.9
2023-08-08,19.2
2023-08-09,29.7
2023-08-10,7.1
2023-08-11,19.3
2023-08-12,20.6
2023-08-13,22.7
2023-08-14,5.1
2023-08-15,33.6
2023-08-16,24.5
2023-08-17,8.0
2023-08-18,25.2
2023-08-19,18.5
2023-08-20,23.6
2023-08-21,22.0
2023-08-22,7.9
2023-08-23,23.1
2023-08-24,30.4
2023-08-25,30.3
2023-08-26,19.9
2023-08-27,13.4
2023-08-28,31.2
2023-08-29,28.5
2023-08-30,17.5
2023-08-31,21.3
2023-09-01,20.1
2023-09-02,7.1
2023-09-03,22.8
2023-09-04,26.7
2023-09-05,10.9
2023-09-06,12.3
2023-09-07,5.3
2023-09-08,16.4
2023-09-09,14.0
2023-09-10,9.3
2023-09-11,6.0
2023-09-12,18.3
2023-09-13,22.3
2023-09-14,27.8
2023-09-15,17.3
2023-09-16,19.0
2023-09-17,34.4
2023-09-18,11.6
2023-09-19,15.8
2023-09-20,29.4
2023-09-21,30.9
2023-09-22,17.0
2023-09-23,14.5
2023-09-24,11.4
2023-09-25,27.9
2023-09-26,31.0
2023-09-27,8.0
2023-09-28,5.9
2023-09-29,7.0
2023-09-30,25.4
2023-10-01,18.5
2023-10-02,17.1
2023-10-03,12.9
2023-10-04,6.3
2023-10-05,10.4
2023-10-06,12.8
2023-10-07,30.3
2023-10-08,15.6
2023-10-09,33.6
2023-10-10,30.3
2023-10-11,10.5
2023-10-12,15.6
2023-10-13,19.7
2023-10-14,7.1
2023-10-15,20.8
2023-10-16,29.9
2023-10-17,20.7
2023-10-18,9.1
2023-10-19,24.2
2023-10-20,16.6
2023-10-21,21.5
2023-10-22,21.8
2023-10-23,12.1
2023-10-24,31.6
2023-10-25,32.1
2023-10-26,7.6
2023-10-27,28.1
2023-10-28,27.5
2023-10-29,21.0
2023-10-30,14.1
2023-10-31,9.2
2023-11-01,7.8
2023-11-02,34.8
2023-11-03,12.7
2023-11-04,8.9
2023-11-05,13.5
2023-11-06,7.4
2023-11-07,18.0
2023-11-08,12.2
2023-11-09,9.5
2023-11-10,23.6
2023-11-11,6.3
2023-11-12,24.3
