date,temperature
2023-06-10,12.8
2023-06-11,-3.4
2023-06-12,27.4
2023-06-13,19.6
2023-06-14,14.7
2023-06-15,-3.5
2023-06-16,9.5
2023-06-17,26.3
2023-06-18,11.7
2023-06-19,-5.5
2023-06-20,18.0
2023-06-21,16.3
2023-06-22,-1.4
2023-06-23,-9.9
2023-06-24,-9.6
2023-06-25,-2.7
2023-06-26,22.4
2023-06-27,28.3
2023-06-28,28.4
2023-06-29,26.2
2023-06-30,-7.1
2023-07-01,23.8
2023-07-02,-9.9
2023-07-03,2.2
2023-07-04,21.0
2023-07-05,29.1
2023-07-06,16.3
2023-07-07,-7.0
2023-07-08,19.3
2023-07-09,9.5
2023-07-10,2.5
2023-07-11,2.6
2023-07-12,-8.7
2023-07-13,11.9
2023-07-14,0.5
2023-07-15,26.2
2023-07-16,9.3
2023-07-17,-3.1
2023-07-18,8.8
2023-07-19,3.9
2023-07-20,14.2
2023-07-21,0.0
2023-07-22,14.9
2023-07-23,22.9
2023-07-24,11.2
2023-07-25,16.3
2023-07-26,-2.3
2023-07-27,-0.4
2023-07-28,15.1
2023-07-29,12.0
2023-07-30,-4.2
2023-07-31,10.7
2023-08-01,5.2
2023-08-02,12.6
2023-08-03,26.6
2023-08-04,16.9
2023-08-05,28.3
2023-08-06,15.3
2023-08-07,2.0
2023-08-08,-6.6
2023-08-09,11.7
2023-08-10,15.8
2023-08-11,19.1
2023-08-12,-3.4
2023-08-13,2.6
2023-08-14,8.3
2023-08-15,28.2
2023-08-16,0.9
2023-08-17,20.1
2023-08-18,-2.2
2023-08-19,-4.7
2023-08-20,22.5
2023-08-21,24.6
2023-08-22,0.3
2023-08-23,3.4
2023-08-24,16.3
2023-08-25,12.6
2023-08-26,18.1
2023-08-27,17.4
2023-08-28,19.7
2023-08-29,14.3
2023-08-30,-0.5
2023-08-31,16.2
2023-09-01,-5.6
2023-09-02,14.7
2023-09-03,-8.4
2023-09-04,25.4
2023-09-05,17.7
2023-09-06,1.8
2023-09-07,26.7
2023-09-08,29.5
2023-09-09,2.7
2023-09-10,-5.4
2023-09-11,-2.5
2023-09-12,6.5
2023-09-13,-8.1
2023-09-14,-2.4
2023-09-15,0.4
2023-09-16,-9.6
2023-09-17,4.6
2023-09-18,4.3
2023-09-19,11.4
2023-09-20,13.1
2023-09-21,24.0
2023-09-22,-4.8
2023-09-23,-1.1
2023-09-24,14.9
2023-09-25,25.0
2023-09-26,13.4
2023-09-27,-7.6
2023-09-28,-6.2
2023-09-29,-6.3
2023-09-30,5.3
2023-10-01,11.7
2023-10-02,16.4
2023-10-03,21.9
2023-10-04,4.8
2023-10-05,0.9
2023-10-06,19.4
2023-10-07,7.2
2023-10-08,-1.5
2023-10-09,4.0
2023-10-10,26.5
2023-10-11,6.4
2023-10-12,7.5
2023-10-13,23.8
2023-10-14,27.3
2023-10-15,-1.3
2023-10-16,4.0
2023-10-17,15.6
2023-10-18,-0.4
2023-10-19,26.0
2023-10-20,7.2
2023-10-21,28.4
2023-10-22,29.0
2023-10-23,-1.7
2023-10-24,21.6
2023-10-25,-2.9
2023-10-26,3.0
2023-10-27,11.1
2023-10-28,-2.5
2023-10-29,15.8
2023-10-30,26.1
2023-10-31,3.5
2023-11-01,23.4
2023-11-02,-3.4
2023-11-03,5.0
2023-11-04,-0.9
2023-11-05,5.5
2023-11-06,-7.0
2023-11-07,11.7
2023-11-08,26.5
2023-11-09,20.3
2023-11-10,23.4
2023-11-11,2.8
2023-11-12,26.5
2023-11-13,15.6
2023-11-14,27.1
2023-11-15,27.3
2023-11-16,0.4
2023-11-17,17.5
2023-11-18,-5.2
2023-11-19,-3.8
2023-11-20,28.5
2023-11-21,18.2
2023-11-22,27.3
2023-11-23,2.5
2023-11-24,-1.0
2023-11-25,-7.4
2023-11-26,-9.8
2023-11-27,0.8
2023-11-28,-4.8
2023-11-29,22.3
2023-11-30,-3.0
2023-12-01,2.2
2023-12-02,14.6
2023-12-03,-0.6
2023-12-04,-9.2
2023-12-05,27.4
2023-12-06,-7.4
2023-12-07,-3.7
2023-12-08,25.7
2023-12-09,0.0
2023-12-10,-0.2
2023-12-11,28.7
2023-12-12,-0.6
2023-12-13,5.5
2023-12-14,6.0
2023-12-15,13.7
2023-12-16,-9.6
2023-12-17,16.3
2023-12-18,-3.5
2023-12-19,-1.2
2023-12-20,15.5
2023-12-21,7.6
2023-12-22,28.2
2023-12-23,2.2
2023-12-24,29.2
2023-12-25,16.7
2023-12-26,8.7
2023-12-27,4.3
2023-12-28,16.4
2023-12-29,-4.2
2023-12-30,18.3
2023-12-31,23.6
2024-01-01,16.4
2024-01-02,29.0
2024-01-03,8.2
2024-01-04,12.0
2024-01-05,20.8
2024-01-06,13.4
2024-01-07,20.9
2024-01-08,0.2
2024-01-09,8.4
2024-01-10,-8.9
2024-01-11,21.5
2024-01-12,-6.8
2024-01-13,6.4
2024-01-14,-2.5
2024-01-15,5.4
2024-01-16,0.2
2024-01-17,-6.4
2024-01-18,-6.8
2024-01-19,16.0
2024-01-20,0.4
2024-01-21,17.2
2024-01-22,8.1
2024-01-23,-9.6
2024-01-24,14.4
2024-01-25,21.8
2024-01-26,10.2
2024-01-27,10.7
2024-01-28,10.3
2024-01-29,21.7
2024-01-30,24.6
2024-01-31,11.7
2024-02-01,23.3
2024-02-02,15.7
2024-02-03,24.0
2024-02-04,19.9
2024-02-05,-7.7
2024-02-06,-3.1
2024-02-07,0.0
2024-02-08,5.6
2024-02-09,-8.2
2024-02-10,23.2
2024-02-11,-0.8
2024-02-12,24.6
2024-02-13,-8.8
2024-02-14,12.6
2024-02-15,-3.7
2024-02-16,-8.1
2024-02-17,-5.9
2024-02-18,11.0
2024-02-19,26.2
2024-02-20,8.8
2024-02-21,28.3
2024-02-22,4.0
2024-02-23,21.4
2024-02-24,-7.3
2024-02-25,27.7
2024-02-26,29.6
2024-02-27,4.0
2024-02-28,9.2
2024-02-29,26.9
2024-03-01,-1.8
2024-03-02,-9.2
2024-03-03,-7.1
2024-03-04,12.6
2024-03-05,2.4
2024-03-06,20.5
2024-03-07,10.4
2024-03-08,24.1
2024-03-09,19.4
2024-03-10,-7.0
2024-03-11,-8.0
2024-03-12,3.7
2024-03-13,25.3
2024-03-14,14.9
2024-03-15,-2.1
2024-03-16,2.8
2024-03-17,12.9
2024-03-18,16.1
2024-03-19,-6.1
2024-03-20,15.1
2024-03-21,23.9
2024-03-22,-8.3
2024-03-23,16.2
2024-03-24,13.6
2024-03-25,7.1
2024-03-26,-5.1
2024-03-27,18.3
2024-03-28,21.1
2024-03-29,12.3
2024-03-30,18.9
2024-03-31,26.4
2024-04-01,3.1
2024-04-02,7.9
2024-04-03,1.4
2024-04-04,11.9
2024-04-05,26.3
2024-04-06,14.0
2024-04-07,13.9
2024-04-08,-8.9
2024-04-09,12.5
