date,temperature
2023-06-10,18.9
2023-06-11,24.7
2023-06-12,25.5
2023-06-13,13.4
2023-06-14,10.8
2023-06-15,6.7
2023-06-16,17.6
2023-06-17,19.6
2023-06-18,26.7
2023-06-19,18.5
2023-06-20,24.5
2023-06-21,-0.8
2023-06-22,-3.3
2023-06-23,25.0
2023-06-24,10.9
2023-06-25,20.7
2023-06-26,14.5
2023-06-27,14.1
2023-06-28,-4.8
2023-06-29,4.4
2023-06-30,27.4
2023-07-01,3.0
2023-07-02,22.9
2023-07-03,20.5
2023-07-04,-3.0
2023-07-05,8.6
2023-07-06,23.1
2023-07-07,9.6
2023-07-08,17.0
2023-07-09,8.7
2023-07-10,25.7
2023-07-11,1.5
2023-07-12,5.1
2023-07-13,-2.8
2023-07-14,8.3
2023-07-15,-0.2
2023-07-16,9.3
2023-07-17,13.4
2023-07-18,24.7
2023-07-19,4.3
2023-07-20,29.2
2023-07-21,19.1
2023-07-22,21.8
2023-07-23,5.8
2023-07-24,23.7
2023-07-25,27.2
2023-07-26,1.0
2023-07-27,18.4
2023-07-28,29.1
2023-07-29,19.5
2023-07-30,26.5
2023-07-31,14.4
2023-08-01,-4.3
2023-08-02,9.9
2023-08-03,20.9
2023-08-04,20.3
2023-08-05,18.0
2023-08-06,7.4
2023-08-07,1.3
2023-08-08,25.1
2023-08-09,15.1
2023-08-10,-1.4
2023-08-11,29.7
2023-08-12,14.4
2023-08-13,8.4
2023-08-14,18.3
2023-08-15,23.5
2023-08-16,20.7
2023-08-17,12.4
2023-08-18,23.8
2023-08-19,2.2
2023-08-20,-0.3
2023-08-21,28.9
2023-08-22,29.2
2023-08-23,-5.0
2023-08-24,10.4
2023-08-25,8.3
2023-08-26,18.6
2023-08-27,9.6
2023-08-28,10.4
2023-08-29,26.3
2023-08-30,27.7
2023-08-31,9.7
2023-09-01,29.6
2023-09-02,19.8
2023-09-03,-4.7
2023-09-04,22.8
2023-09-05,25.9
2023-09-06,28.7
2023-09-07,11.7
2023-09-08,16.8
2023-09-09,-4.8
2023-09-10,18.4
2023-09-11,17.0
2023-09-12,9.5
2023-09-13,15.7
2023-09-14,26.8
2023-09-15,12.2
2023-09-16,2.0
2023-09-17,27.7
2023-09-18,28.7
2023-09-19,6.0
2023-09-20,4.1
2023-09-21,10.8
2023-09-22,6.5
2023-09-23,-3.1
2023-09-24,11.0
2023-09-25,2.9
2023-09-26,25.8
2023-09-27,8.4
2023-09-28,22.4
2023-09-29,20.5
2023-09-30,3.2
2023-10-01,18.3
2023-10-02,21.6
2023-10-03,29.3
2023-10-04,3.7
2023-10-05,9.5
2023-10-06,15.4
2023-10-07,21.8
2023-10-08,25.5
2023-10-09,10.9
2023-10-10,8.0
2023-10-11,27.8
2023-10-12,15.4
2023-10-13,23.7
2023-10-14,9.3
2023-10-15,29.5
2023-10-16,18.2
2023-10-17,22.8
2023-10-18,20.3
2023-10-19,-2.5
2023-10-20,-4.6
2023-10-21,9.7
2023-10-22,27.2
2023-10-23,15.6
2023-10-24,2.6
2023-10-25,20.8
2023-10-26,4.1
2023-10-27,2.7
2023-10-28,17.3
2023-10-29,8.6
2023-10-30,-2.2
2023-10-31,25.1
2023-11-01,19.0
2023-11-02,4.5
2023-11-03,5.7
2023-11-04,6.1
2023-11-05,2.1
2023-11-06,14.7
2023-11-07,29.9
2023-11-08,18.0
2023-11-09,8.4
2023-11-10,4.0
2023-11-11,20.0
2023-11-12,9.1
2023-11-13,6.8
2023-11-14,4.2
2023-11-15,12.4
2023-11-16,14.7
2023-11-17,5.5
2023-11-18,-4.0
2023-11-19,5.8
2023-11-20,28.5
2023-11-21,19.2
2023-11-22,-2.6
2023-11-23,-5.0
2023-11-24,22.8
2023-11-25,29.9
2023-11-26,11.8
2023-11-27,-1.5
2023-11-28,7.5
2023-11-29,21.0
2023-11-30,10.1
2023-12-01,12.8
2023-12-02,17.4
2023-12-03,22.4
2023-12-04,3.1
2023-12-05,-4.8
2023-12-06,23.4
2023-12-07,25.1
2023-12-08,-2.6
2023-12-09,26.0
2023-12-10,-2.1
2023-12-11,4.1
2023-12-12,16.6
2023-12-13,26.9
2023-12-14,18.5
2023-12-15,17.2
2023-12-16,-3.8
2023-12-17,-2.4
2023-12-18,7.0
2023-12-19,17.7
2023-12-20,21.8
2023-12-21,-1.9
2023-12-22,29.3
2023-12-23,12.1
2023-12-24,18.0
2023-12-25,8.6
2023-12-26,-2.5
2023-12-27,2.4
2023-12-28,13.5
2023-12-29,9.7
2023-12-30,11.8
2023-12-31,-1.3
2024-01-01,12.4
2024-01-02,4.0
2024-01-03,25.0
2024-01-04,-0.5
2024-01-05,16.4
2024-01-06,22.9
2024-01-07,22.2
2024-01-08,14.8
2024-01-09,7.3
2024-01-10,20.1
2024-01-11,24.4
2024-01-12,25.5
2024-01-13,0.2
2024-01-14,-4.3
2024-01-15,4.0
2024-01-16,25.6
2024-01-17,25.6
2024-01-18,-3.2
2024-01-19,24.7
2024-01-20,14.1
2024-01-21,-4.1
2024-01-22,19.8
2024-01-23,17.7
2024-01-24,8.1
2024-01-25,4.1
2024-01-26,11.3
2024-01-27,24.0
2024-01-28,29.9
2024-01-29,29.5
2024-01-30,18.8
2024-01-31,11.6
2024-02-01,-0.0
2024-02-02,10.4
2024-02-03,15.4
2024-02-04,-4.8
2024-02-05,10.0
2024-02-06,3.3
2024-02-07,20.2
2024-02-08,26.4
2024-02-09,14.2
2024-02-10,22.0
2024-02-11,15.5
2024-02-12,0.0
2024-02-13,23.2
2024-02-14,1.7
2024-02-15,28.0
2024-02-16,-1.3
2024-02-17,27.3
2024-02-18,6.9
2024-02-19,-4.9
2024-02-20,20.9
2024-02-21,20.3
2024-02-22,4.6
2024-02-23,-1.7
2024-02-24,14.2
2024-02-25,27.1
2024-02-26,25.0
2024-02-27,5.3
2024-02-28,22.5
2024-02-29,20.7
2024-03-01,13.8
2024-03-02,19.4
2024-03-03,18.6
2024-03-04,17.8
2024-03-05,0.1
2024-03-06,-3.6
2024-03-07,12.1
2024-03-08,11.2
2024-03-09,23.5
2024-03-10,27.5
2024-03-11,11.2
2024-03-12,8.3
2024-03-13,2.1
2024-03-14,4.6
2024-03-15,10.0
2024-03-16,-0.3
2024-03-17,2.4
2024-03-18,5.5
2024-03-19,1.7
2024-03-20,10.2
2024-03-21,-0.7
2024-03-22,18.5
2024-03-23,1.6
2024-03-24,1.9
2024-03-25,-2.8
2024-03-26,4.1
2024-03-27,18.1
2024-03-28,25.5
2024-03-29,28.2
2024-03-30,-0.6
2024-03-31,3.1
2024-04-01,24.9
2024-04-02,-0.4
2024-04-03,1.9
2024-04-04,7.0
