date,temperature
2023-06-10,0.4
2023-06-11,12.3
2023-06-12,-0.7
2023-06-13,8.0
2023-06-14,18.3
2023-06-15,-4.7
2023-06-16,12.2
2023-06-17,7.3
2023-06-18,17.3
2023-06-19,20.1
2023-06-20,11.5
2023-06-21,22.9
2023-06-22,0.0
2023-06-23,23.6
2023-06-24,11.6
2023-06-25,24.5
2023-06-26,-0.3
2023-06-27,-4.3
2023-06-28,10.8
2023-06-29,18.3
2023-06-30,28.7
2023-07-01,0.6
2023-07-02,23.9
2023-07-03,15.2
2023-07-04,4.2
2023-07-05,8.8
2023-07-06,21.3
2023-07-07,21.8
2023-07-08,6.8
2023-07-09,20.7
2023-07-10,-1.2
2023-07-11,12.8
2023-07-12,20.5
2023-07-13,-1.3
2023-07-14,13.2
2023-07-15,18.4
2023-07-16,18.4
2023-07-17,11.4
2023-07-18,17.5
2023-07-19,22.4
2023-07-20,23.1
2023-07-21,25.3
2023-07-22,5.3
2023-07-23,-2.5
2023-07-24,10.1
2023-07-25,22.6
2023-07-26,2.2
2023-07-27,28.7
2023-07-28,2.8
2023-07-29,2.9
2023-07-30,29.4
2023-07-31,4.7
2023-08-01,23.0
2023-08-02,8.3
2023-08-03,7.7
2023-08-04,16.1
2023-08-05,-0.3
2023-08-06,-3.9
2023-08-07,25.9
2023-08-08,-4.0
2023-08-09,19.3
2023-08-10,0.6
2023-08-11,25.8
2023-08-12,7.0
2023-08-13,5.2
2023-08-14,16.0
2023-08-15,7.5
2023-08-16,7.1
2023-08-17,24.5
2023-08-18,14.4
2023-08-19,12.0
2023-08-20,9.9
2023-08-21,6.4
2023-08-22,-0.7
2023-08-23,9.7
2023-08-24,13.3
2023-08-25,20.2
2023-08-26,-3.8
2023-08-27,24.6
2023-08-28,2.0
2023-08-29,11.2
2023-08-30,24.7
2023-08-31,4.0
2023-09-01,0.7
2023-09-02,26.7
2023-09-03,5.3
2023-09-04,2.7
2023-09-05,-0.2
2023-09-06,12.3
2023-09-07,28.7
2023-09-08,-1.8
2023-09-09,-3.7
2023-09-10,6.9
2023-09-11,29.6
2023-09-12,9.0
2023-09-13,14.5
2023-09-14,4.5
2023-09-15,4.7
2023-09-16,25.2
2023-09-17,24.4
2023-09-18,0.3
2023-09-19,9.2
2023-09-20,17.8
2023-09-21,18.5
2023-09-22,15.3
2023-09-23,28.7
2023-09-24,26.6
2023-09-25,4.6
2023-09-26,18.7
2023-09-27,5.5
2023-09-28,25.1
2023-09-29,1.6
2023-09-30,17.8
2023-10-01,17.1
2023-10-02,9.5
2023-10-03,29.1
2023-10-04,-4.0
2023-10-05,14.5
2023-10-06,24.9
2023-10-07,20.5
2023-10-08,8.2
2023-10-09,11.7
2023-10-10,10.6
2023-10-11,26.1
2023-10-12,5.8
2023-10-13,27.6
2023-10-14,23.6
2023-10-15,-3.8
2023-10-16,11.9
2023-10-17,29.5
2023-10-18,10.8
2023-10-19,25.7
2023-10-20,9.5
2023-10-21,-0.7
2023-10-22,3.5
2023-10-23,21.9
2023-10-24,29.0
2023-10-25,11.4
2023-10-26,-1.8
2023-10-27,-2.5
2023-10-28,14.0
2023-10-29,12.9
2023-10-30,16.2
2023-10-31,3.9
2023-11-01,23.3
2023-11-02,27.9
2023-11-03,28.8
2023-11-04,5.2
2023-11-05,20.6
2023-11-06,14.3
2023-11-07,1.3
2023-11-08,25.9
2023-11-09,9.9
2023-11-10,12.0
2023-11-11,13.6
2023-11-12,0.5
2023-11-13,-3.8
2023-11-14,26.3
2023-11-15,5.8
2023-11-16,20.7
2023-11-17,18.0
2023-11-18,21.4
2023-11-19,22.7
2023-11-20,29.1
2023-11-21,7.2
2023-11-22,4.4
2023-11-23,6.4
2023-11-24,11.5
2023-11-25,-2.7
2023-11-26,1.8
2023-11-27,18.9
2023-11-28,7.0
2023-11-29,15.1
2023-11-30,27.1
2023-12-01,24.4
2023-12-02,28.9
2023-12-03,5.8
2023-12-04,3.9
2023-12-05,-4.3
2023-12-06,16.3
2023-12-07,28.7
2023-12-08,-3.7
2023-12-09,16.2
2023-12-10,-2.1
2023-12-11,-1.4
2023-12-12,5.6
2023-12-13,18.9
2023-12-14,23.9
2023-12-15,27.8
2023-12-16,28.4
2023-12-17,21.3
2023-12-18,2.5
2023-12-19,-3.2
2023-12-20,7.6
2023-12-21,12.6
2023-12-22,6.8
2023-12-23,-3.3
2023-12-24,27.9
2023-12-25,14.5
2023-12-26,29.3
2023-12-27,2.0
2023-12-28,-0.0
2023-12-29,25.7
2023-12-30,22.9
2023-12-31,16.7
2024-01-01,12.2
2024-01-02,18.8
2024-01-03,27.3
2024-01-04,-1.5
2024-01-05,28.2
2024-01-06,3.3
2024-01-07,0.1
2024-01-08,10.5
2024-01-09,26.7
2024-01-10,7.4
2024-01-11,16.8
2024-01-12,15.3
2024-01-13,2.1
2024-01-14,18.7
2024-01-15,-3.6
2024-01-16,26.4
2024-01-17,11.8
2024-01-18,9.4
2024-01-19,21.0
2024-01-20,24.4
2024-01-21,18.6
2024-01-22,14.4
2024-01-23,4.4
2024-01-24,-1.0
2024-01-25,-1.9
2024-01-26,28.3
2024-01-27,6.7
2024-01-28,18.6
2024-01-29,17.6
2024-01-30,8.7
2024-01-31,20.7
2024-02-01,10.8
2024-02-02,12.6
2024-02-03,3.3
2024-02-04,10.8
2024-02-05,7.0
2024-02-06,8.4
2024-02-07,2.8
2024-02-08,9.9
2024-02-09,13.3
2024-02-10,9.8
2024-02-11,-3.4
2024-02-12,28.9
2024-02-13,20.2
2024-02-14,1.5
2024-02-15,20.3
2024-02-16,-3.1
2024-02-17,11.5
2024-02-18,18.3
2024-02-19,28.4
2024-02-20,29.9
2024-02-21,18.1
2024-02-22,22.5
2024-02-23,-1.6
2024-02-24,-4.4
2024-02-25,1.8
2024-02-26,11.3
2024-02-27,11.9
2024-02-28,18.4
2024-02-29,0.7
2024-03-01,24.0
2024-03-02,19.9
2024-03-03,-2.1
