date,temperature
2023-06-10,27.3
2023-06-11,28.0
2023-06-12,28.1
2023-06-13,26.9
2023-06-14,14.9
2023-06-15,26.3
2023-06-16,5.3
2023-06-17,3.6
2023-06-18,3.8
2023-06-19,-1.7
2023-06-20,6.5
2023-06-21,21.8
2023-06-22,23.1
2023-06-23,21.0
2023-06-24,24.6
2023-06-25,19.6
2023-06-26,19.2
2023-06-27,-0.5
2023-06-28,28.3
2023-06-29,0.5
2023-06-30,8.8
2023-07-01,10.6
2023-07-02,21.3
2023-07-03,17.8
2023-07-04,-3.6
2023-07-05,-2.5
2023-07-06,12.3
2023-07-07,-4.1
2023-07-08,2.5
2023-07-09,5.4
2023-07-10,21.7
2023-07-11,-4.9
2023-07-12,24.9
2023-07-13,-2.9
2023-07-14,-3.1
2023-07-15,11.7
2023-07-16,21.3
2023-07-17,1.8
2023-07-18,6.1
2023-07-19,5.3
2023-07-20,6.6
2023-07-21,22.1
2023-07-22,18.0
2023-07-23,-2.4
2023-07-24,21.7
2023-07-25,9.3
2023-07-26,20.8
2023-07-27,-1.6
2023-07-28,5.7
2023-07-29,24.1
2023-07-30,27.9
2023-07-31,11.6
2023-08-01,5.9
2023-08-02,19.2
2023-08-03,13.2
2023-08-04,11.5
2023-08-05,25.0
2023-08-06,29.5
2023-08-07,9.9
2023-08-08,-2.9
2023-08-09,-0.2
2023-08-10,24.4
2023-08-11,3.0
2023-08-12,16.9
2023-08-13,8.4
2023-08-14,-3.9
2023-08-15,-4.0
2023-08-16,18.6
2023-08-17,12.1
2023-08-18,10.4
2023-08-19,26.0
2023-08-20,19.4
2023-08-21,19.4
2023-08-22,-2.1
2023-08-23,9.1
2023-08-24,-2.0
2023-08-25,6.5
2023-08-26,6.2
2023-08-27,26.8
2023-08-28,2.1
2023-08-29,4.1
2023-08-30,23.4
2023-08-31,25.0
2023-09-01,-1.8
2023-09-02,6.0
2023-09-03,14.7
2023-09-04,22.6
2023-09-05,13.9
2023-09-06,18.0
2023-09-07,4.1
2023-09-08,20.4
2023-09-09,24.7
2023-09-10,10.6
2023-09-11,20.2
2023-09-12,10.5
2023-09-13,-0.2
2023-09-14,5.7
2023-09-15,27.0
2023-09-16,4.2
2023-09-17,29.6
2023-09-18,23.2
2023-09-19,26.4
2023-09-20,12.6
2023-09-21,2.0
2023-09-22,20.4
2023-09-23,18.7
2023-09-24,7.9
2023-09-25,5.9
2023-09-26,9.5
2023-09-27,2.4
2023-09-28,11.3
2023-09-29,26.1
2023-09-30,7.7
2023-10-01,-2.2
2023-10-02,15.1
2023-10-03,18.4
