date,temperature
2023-06-10,16.8
2023-06-11,5.4
2023-06-12,14.1
2023-06-13,13.5
2023-06-14,21.1
2023-06-15,24.3
2023-06-16,19.6
2023-06-17,6.0
2023-06-18,1.0
2023-06-19,12.8
2023-06-20,23.6
2023-06-21,23.8
2023-06-22,2.8
2023-06-23,7.7
2023-06-24,24.4
2023-06-25,8.0
2023-06-26,10.8
2023-06-27,2.1
2023-06-28,3.6
2023-06-29,18.8
2023-06-30,4.8
2023-07-01,14.8
2023-07-02,12.8
2023-07-03,6.7
2023-07-04,18.4
2023-07-05,14.6
2023-07-06,23.9
2023-07-07,14.5
2023-07-08,24.4
2023-07-09,3.2
2023-07-10,3.0
2023-07-11,24.0
2023-07-12,12.8
2023-07-13,7.0
2023-07-14,15.3
2023-07-15,3.1
2023-07-16,10.5
2023-07-17,21.6
2023-07-18,4.0
2023-07-19,17.9
2023-07-20,4.4
2023-07-21,9.8
2023-07-22,21.9
2023-07-23,2.2
2023-07-24,12.1
2023-07-25,4.4
2023-07-26,18.7
2023-07-27,0.0
2023-07-28,1.4
2023-07-29,3.5
2023-07-30,4.0
2023-07-31,23.6
2023-08-01,11.1
2023-08-02,8.0
2023-08-03,9.7
2023-08-04,2.5
2023-08-05,24.7
2023-08-06,22.2
2023-08-07,21.3
2023-08-08,19.5
2023-08-09,13.2
2023-08-10,20.5
2023-08-11,8.2
2023-08-12,19.3
2023-08-13,24.8
2023-08-14,16.0
2023-08-15,15.9
2023-08-16,22.7
2023-08-17,14.7
2023-08-18,6.8
2023-08-19,11.7
2023-08-20,14.3
2023-08-21,16.0
2023-08-22,18.7
2023-08-23,5.0
2023-08-24,19.3
2023-08-25,23.5
2023-08-26,5.4
2023-08-27,15.5
2023-08-28,18.3
2023-08-29,9.5
2023-08-30,13.1
2023-08-31,0.3
2023-09-01,17.7
2023-09-02,6.3
2023-09-03,18.8
2023-09-04,1.9
2023-09-05,9.7
2023-09-06,9.0
2023-09-07,10.6
2023-09-08,13.2
2023-09-09,3.2
2023-09-10,10.0
2023-09-11,9.9
2023-09-12,7.6
2023-09-13,13.9
2023-09-14,24.6
2023-09-15,3.4
2023-09-16,14.1
2023-09-17,10.2
2023-09-18,17.2
2023-09-19,15.6
2023-09-20,5.7
2023-09-21,7.4
2023-09-22,8.1
2023-09-23,24.2
2023-09-24,17.5
2023-09-25,19.9
2023-09-26,15.8
2023-09-27,1.6
2023-09-28,7.3
2023-09-29,23.6
2023-09-30,14.6
2023-10-01,0.9
2023-10-02,9.8
2023-10-03,5.4
2023-10-04,10.3
2023-10-05,18.5
2023-10-06,23.8
2023-10-07,0.8
2023-10-08,10.0
2023-10-09,9.6
2023-10-10,15.2
2023-10-11,22.1
2023-10-12,0.9
2023-10-13,21.1
2023-10-14,1.0
2023-10-15,14.7
2023-10-16,24.7
2023-10-17,21.5
2023-10-18,18.4
2023-10-19,17.5
2023-10-20,14.8
2023-10-21,17.3
2023-10-22,11.8
2023-10-23,22.8
2023-10-24,10.9
2023-10-25,4.4
2023-10-26,9.3
2023-10-27,19.3
2023-10-28,5.0
2023-10-29,10.7
2023-10-30,23.6
2023-10-31,24.9
2023-11-01,23.3
