date,temperature
2023-06-10,3.2
2023-06-11,26.6
2023-06-12,-0.5
2023-06-13,-0.9
2023-06-14,-1.7
2023-06-15,9.8
2023-06-16,17.0
2023-06-17,1.9
2023-06-18,5.1
2023-06-19,26.8
2023-06-20,17.0
2023-06-21,7.5
2023-06-22,21.2
2023-06-23,15.1
2023-06-24,8.1
2023-06-25,0.1
2023-06-26,26.9
2023-06-27,9.9
2023-06-28,0.8
2023-06-29,-0.9
2023-06-30,28.6
2023-07-01,20.2
2023-07-02,13.8
2023-07-03,2.6
2023-07-04,15.8
2023-07-05,12.5
2023-07-06,17.8
2023-07-07,6.2
2023-07-08,26.1
2023-07-09,27.8
2023-07-10,14.0
2023-07-11,23.6
2023-07-12,7.2
2023-07-13,25.8
2023-07-14,26.4
2023-07-15,8.7
2023-07-16,25.1
2023-07-17,27.7
2023-07-18,6.1
2023-07-19,23.9
2023-07-20,-4.1
2023-07-21,24.5
2023-07-22,8.0
2023-07-23,13.6
2023-07-24,10.6
2023-07-25,9.2
2023-07-26,-0.1
2023-07-27,-0.5
2023-07-28,3.2
2023-07-29,4.0
2023-07-30,28.9
2023-07-31,14.0
2023-08-01,10.9
2023-08-02,21.8
2023-08-03,13.5
2023-08-04,16.8
2023-08-05,-4.9
2023-08-06,29.8
2023-08-07,17.3
2023-08-08,-0.6
2023-08-09,10.7
2023-08-10,7.6
2023-08-11,16.8
2023-08-12,27.1
2023-08-13,26.7
2023-08-14,18.2
2023-08-15,12.6
2023-08-16,-4.5
2023-08-17,15.0
2023-08-18,25.3
2023-08-19,21.9
2023-08-20,27.3
2023-08-21,2.5
2023-08-22,10.2
2023-08-23,12.8
2023-08-24,10.7
2023-08-25,-1.6
2023-08-26,13.8
2023-08-27,14.0
2023-08-28,0.1
2023-08-29,-1.7
2023-08-30,15.5
2023-08-31,26.5
2023-09-01,9.6
2023-09-02,-4.7
2023-09-03,22.3
2023-09-04,17.0
2023-09-05,17.9
2023-09-06,14.5
2023-09-07,6.2
2023-09-08,11.2
2023-09-09,29.3
2023-09-10,21.5
2023-09-11,7.4
2023-09-12,10.4
2023-09-13,23.4
2023-09-14,5.5
2023-09-15,6.2
2023-09-16,26.6
2023-09-17,19.2
2023-09-18,-4.8
2023-09-19,9.3
2023-09-20,13.2
2023-09-21,15.7
2023-09-22,8.0
2023-09-23,13.2
2023-09-24,2.6
2023-09-25,14.2
2023-09-26,-2.7
2023-09-27,10.8
2023-09-28,16.5
2023-09-29,23.7
2023-09-30,21.2
2023-10-01,7.3
2023-10-02,26.7
2023-10-03,-1.7
2023-10-04,28.4
2023-10-05,16.8
2023-10-06,0.4
2023-10-07,25.0
2023-10-08,6.5
2023-10-09,22.0
2023-10-10,7.3
2023-10-11,11.4
2023-10-12,7.8
2023-10-13,13.2
2023-10-14,2.1
2023-10-15,14.0
2023-10-16,-4.7
2023-10-17,16.7
2023-10-18,3.4
2023-10-19,20.4
2023-10-20,18.7
2023-10-21,-1.7
2023-10-22,8.3
2023-10-23,15.5
2023-10-24,26.1
2023-10-25,16.4
2023-10-26,23.5
2023-10-27,20.6
2023-10-28,7.0
2023-10-29,28.7
2023-10-30,23.1
2023-10-31,16.3
2023-11-01,4.6
2023-11-02,-1.2
2023-11-03,4.4
2023-11-04,4.2
2023-11-05,25.9
2023-11-06,-0.4
2023-11-07,4.3
2023-11-08,-4.5
2023-11-09,3.7
2023-11-10,6.6
2023-11-11,-3.2
2023-11-12,9.5
2023-11-13,3.7
2023-11-14,22.6
2023-11-15,21.2
2023-11-16,4.5
2023-11-17,25.4
2023-11-18,14.0
2023-11-19,-4.4
2023-11-20,22.9
2023-11-21,5.9
2023-11-22,16.2
2023-11-23,16.6
2023-11-24,-1.8
2023-11-25,23.2
2023-11-26,12.1
2023-11-27,9.7
2023-11-28,22.0
2023-11-29,18.9
2023-11-30,13.4
2023-12-01,25.1
2023-12-02,14.8
2023-12-03,7.4
2023-12-04,-2.8
2023-12-05,-4.5
2023-12-06,13.3
2023-12-07,15.0
2023-12-08,17.0
2023-12-09,20.1
2023-12-10,10.5
2023-12-11,25.1
2023-12-12,18.3
2023-12-13,8.7
2023-12-14,20.6
2023-12-15,24.0
2023-12-16,-0.9
2023-12-17,25.3
2023-12-18,2.2
2023-12-19,27.6
2023-12-20,8.6
2023-12-21,6.4
2023-12-22,-1.4
2023-12-23,17.4
2023-12-24,7.3
2023-12-25,5.1
2023-12-26,14.3
2023-12-27,26.2
2023-12-28,15.4
2023-12-29,29.3
2023-12-30,15.3
2023-12-31,25.6
2024-01-01,-3.5
2024-01-02,25.5
2024-01-03,-1.4
2024-01-04,12.8
2024-01-05,-2.1
2024-01-06,16.5
2024-01-07,17.7
2024-01-08,18.8
2024-01-09,-0.2
2024-01-10,16.0
2024-01-11,25.3
2024-01-12,-4.5
2024-01-13,-4.1
2024-01-14,14.4
2024-01-15,26.1
2024-01-16,23.6
2024-01-17,4.4
2024-01-18,28.8
2024-01-19,13.3
2024-01-20,8.9
2024-01-21,9.8
2024-01-22,-0.6
2024-01-23,28.2
2024-01-24,26.6
2024-01-25,-0.1
2024-01-26,2.7
2024-01-27,27.6
2024-01-28,22.1
2024-01-29,8.9
2024-01-30,12.7
2024-01-31,12.0
2024-02-01,27.4
2024-02-02,7.1
2024-02-03,23.9
2024-02-04,28.9
2024-02-05,10.8
2024-02-06,17.9
2024-02-07,13.3
2024-02-08,-4.1
2024-02-09,23.2
2024-02-10,8.1
2024-02-11,3.9
2024-02-12,-1.1
2024-02-13,13.9
2024-02-14,27.5
2024-02-15,20.5
2024-02-16,24.8
2024-02-17,11.1
2024-02-18,15.3
2024-02-19,8.3
2024-02-20,24.7
2024-02-21,25.5
2024-02-22,9.9
2024-02-23,-3.3
2024-02-24,8.0
2024-02-25,-0.2
2024-02-26,-2.4
2024-02-27,11.6
2024-02-28,9.3
2024-02-29,23.6
2024-03-01,28.3
2024-03-02,9.3
2024-03-03,4.1
2024-03-04,11.3
2024-03-05,18.0
2024-03-06,-1.1
2024-03-07,21.6
2024-03-08,18.0
2024-03-09,4.3
2024-03-10,1.6
2024-03-11,7.5
2024-03-12,29.0
2024-03-13,10.8
2024-03-14,23.6
2024-03-15,-5.0
2024-03-16,12.6
2024-03-17,16.1
2024-03-18,17.4
2024-03-19,23.6
2024-03-20,19.0
2024-03-21,7.5
2024-03-22,19.5
2024-03-23,0.2
2024-03-24,7.0
2024-03-25,0.0
2024-03-26,19.8
2024-03-27,12.7
2024-03-28,3.7
2024-03-29,15.7
2024-03-30,-3.1
2024-03-31,19.5
2024-04-01,2.5
2024-04-02,14.7
2024-04-03,11.3
2024-04-04,27.6
2024-04-05,-0.1
2024-04-06,7.1
2024-04-07,-3.0
2024-04-08,6.2
2024-04-09,12.2
2024-04-10,18.6
2024-04-11,0.7
2024-04-12,17.0
2024-04-13,12.2
2024-04-14,-1.5
2024-04-15,28.3
2024-04-16,9.8
2024-04-17,19.2
2024-04-18,23.4
2024-04-19,16.5
2024-04-20,3.7
2024-04-21,27.1
2024-04-22,-3.6
2024-04-23,-1.2
2024-04-24,4.0
2024-04-25,18.8
2024-04-26,17.7
2024-04-27,7.1
2024-04-28,10.2
2024-04-29,22.6
2024-04-30,-2.6
2024-05-01,3.8
2024-05-02,-4.0
2024-05-03,9.6
2024-05-04,21.2
2024-05-05,25.3
2024-05-06,10.6
2024-05-07,18.1
2024-05-08,5.1
2024-05-09,3.5
2024-05-10,5.5
2024-05-11,8.6
2024-05-12,-4.6
2024-05-13,11.3
2024-05-14,17.3
2024-05-15,22.4
2024-05-16,8.4
2024-05-17,21.1
2024-05-18,22.7
2024-05-19,-3.9
2024-05-20,14.3
2024-05-21,22.4
2024-05-22,29.0
2024-05-23,25.4
2024-05-24,7.4
2024-05-25,-1.7
2024-05-26,1.9
2024-05-27,14.4
2024-05-28,14.1
2024-05-29,23.6
