date,temperature
2023-06-10,-14.5
2023-06-11,20.7
2023-06-12,17.5
2023-06-13,11.3
2023-06-14,-3.8
2023-06-15,21.0
2023-06-16,12.8
2023-06-17,-5.1
2023-06-18,9.8
2023-06-19,0.0
2023-06-20,13.8
2023-06-21,10.3
2023-06-22,-7.6
2023-06-23,-2.5
2023-06-24,-9.2
2023-06-25,-10.8
2023-06-26,12.8
2023-06-27,-12.0
2023-06-28,-4.8
2023-06-29,9.7
2023-06-30,8.9
2023-07-01,-8.8
2023-07-02,-2.0
2023-07-03,-10.2
2023-07-04,7.2
2023-07-05,23.6
2023-07-06,-13.3
2023-07-07,22.4
2023-07-08,14.3
2023-07-09,18.9
2023-07-10,10.7
2023-07-11,19.8
2023-07-12,-1.5
2023-07-13,2.6
2023-07-14,-1.2
2023-07-15,-13.9
2023-07-16,23.8
2023-07-17,-10.9
2023-07-18,-11.7
2023-07-19,5.1
2023-07-20,14.9
2023-07-21,4.1
2023-07-22,17.0
2023-07-23,9.5
2023-07-24,-11.8
2023-07-25,25.0
2023-07-26,12.5
2023-07-27,16.0
2023-07-28,13.5
2023-07-29,-4.8
2023-07-30,-4.5
2023-07-31,24.6
2023-08-01,3.7
2023-08-02,5.2
2023-08-03,15.2
2023-08-04,13.3
2023-08-05,2.2
2023-08-06,-12.7
2023-08-07,-4.4
2023-08-08,-9.0
2023-08-09,-13.0
2023-08-10,6.8
2023-08-11,6.9
2023-08-12,-6.1
2023-08-13,-7.4
2023-08-14,-12.3
2023-08-15,14.7
2023-08-16,-7.3
2023-08-17,8.2
2023-08-18,5.5
2023-08-19,24.8
2023-08-20,10.5
2023-08-21,7.0
2023-08-22,-8.9
2023-08-23,-7.8
2023-08-24,9.0
2023-08-25,-3.6
2023-08-26,17.4
2023-08-27,19.6
2023-08-28,2.9
2023-08-29,1.1
2023-08-30,6.4
2023-08-31,-5.7
2023-09-01,4.9
2023-09-02,-9.5
2023-09-03,-0.5
2023-09-04,6.4
2023-09-05,-13.8
2023-09-06,10.8
2023-09-07,-13.8
2023-09-08,-6.6
2023-09-09,8.9
2023-09-10,9.9
2023-09-11,20.7
2023-09-12,3.8
2023-09-13,7.5
2023-09-14,6.3
2023-09-15,-10.5
2023-09-16,-12.6
2023-09-17,14.9
2023-09-18,-11.7
2023-09-19,-6.2
2023-09-20,5.3
2023-09-21,22.8
2023-09-22,-8.3
2023-09-23,-14.7
2023-09-24,-14.2
2023-09-25,3.3
2023-09-26,-4.5
2023-09-27,-3.2
2023-09-28,9.5
2023-09-29,20.2
2023-09-30,3.6
2023-10-01,6.4
2023-10-02,21.6
2023-10-03,13.4
2023-10-04,23.0
2023-10-05,8.0
2023-10-06,-9.8
2023-10-07,-1.4
2023-10-08,-13.9
2023-10-09,-7.1
2023-10-10,24.7
2023-10-11,-7.1
2023-10-12,14.3
2023-10-13,-4.4
2023-10-14,18.2
2023-10-15,-9.0
2023-10-16,2.7
2023-10-17,18.9
2023-10-18,-6.0
2023-10-19,3.3
2023-10-20,21.6
2023-10-21,21.1
2023-10-22,-8.9
2023-10-23,1.2
2023-10-24,4.4
2023-10-25,21.7
2023-10-26,11.5
2023-10-27,12.5
2023-10-28,24.5
2023-10-29,16.8
2023-10-30,0.5
2023-10-31,-1.4
2023-11-01,6.4
2023-11-02,16.8
2023-11-03,-8.2
2023-11-04,3.6
2023-11-05,18.9
2023-11-06,20.2
2023-11-07,7.1
2023-11-08,-13.7
2023-11-09,-5.5
2023-11-10,13.9
2023-11-11,-10.6
2023-11-12,24.4
2023-11-13,-10.1
2023-11-14,13.0
2023-11-15,13.6
2023-11-16,18.2
2023-11-17,24.4
2023-11-18,16.3
2023-11-19,17.6
2023-11-20,17.8
2023-11-21,8.0
2023-11-22,-6.4
2023-11-23,18.2
2023-11-24,17.7
2023-11-25,-6.2
2023-11-26,-2.0
2023-11-27,-8.7
2023-11-28,24.4
2023-11-29,10.3
2023-11-30,21.6
2023-12-01,22.1
2023-12-02,23.0
2023-12-03,9.1
2023-12-04,-6.3
2023-12-05,-3.6
2023-12-06,15.6
2023-12-07,3.7
2023-12-08,-10.6
2023-12-09,19.2
2023-12-10,-14.6
2023-12-11,-6.9
2023-12-12,17.3
2023-12-13,18.0
2023-12-14,0.5
2023-12-15,-10.2
2023-12-16,11.2
2023-12-17,22.8
2023-12-18,7.3
2023-12-19,23.0
2023-12-20,13.3
2023-12-21,-1.6
2023-12-22,3.9
2023-12-23,-9.7
2023-12-24,-12.8
2023-12-25,4.4
2023-12-26,-0.2
2023-12-27,-10.1
2023-12-28,-4.1
2023-12-29,-3.0
2023-12-30,-8.4
2023-12-31,17.9
2024-01-01,21.0
2024-01-02,3.3
2024-01-03,14.1
2024-01-04,21.2
2024-01-05,-1.4
2024-01-06,-6.7
2024-01-07,-13.4
2024-01-08,-12.2
2024-01-09,19.1
2024-01-10,-5.5
2024-01-11,12.5
2024-01-12,-9.8
2024-01-13,21.6
2024-01-14,0.1
2024-01-15,-12.7
2024-01-16,21.6
2024-01-17,9.8
2024-01-18,23.1
2024-01-19,11.8
2024-01-20,-14.0
2024-01-21,21.9
2024-01-22,11.1
2024-01-23,-3.0
2024-01-24,0.1
2024-01-25,24.0
2024-01-26,7.8
2024-01-27,-3.7
2024-01-28,5.5
2024-01-29,-7.0
2024-01-30,-8.3
2024-01-31,-5.4
2024-02-01,5.1
2024-02-02,5.7
2024-02-03,-8.6
2024-02-04,14.1
2024-02-05,0.6
2024-02-06,9.2
2024-02-07,15.9
2024-02-08,-13.8
2024-02-09,-5.3
2024-02-10,6.3
2024-02-11,12.6
2024-02-12,-14.0
2024-02-13,10.9
2024-02-14,21.8
2024-02-15,-13.6
2024-02-16,-5.4
2024-02-17,-2.6
2024-02-18,-9.7
2024-02-19,24.8
2024-02-20,4.6
2024-02-21,-13.9
2024-02-22,13.4
2024-02-23,3.4
2024-02-24,5.1
2024-02-25,-5.9
2024-02-26,-6.8
2024-02-27,-13.6
2024-02-28,13.2
2024-02-29,-9.9
2024-03-01,18.7
2024-03-02,-15.0
2024-03-03,-4.7
2024-03-04,22.5
2024-03-05,-4.9
2024-03-06,21.8
2024-03-07,5.4
2024-03-08,-4.4
2024-03-09,-0.1
2024-03-10,22.4
2024-03-11,-12.0
2024-03-12,19.0
2024-03-13,16.7
2024-03-14,-4.6
2024-03-15,10.3
2024-03-16,23.1
2024-03-17,-9.3
2024-03-18,-3.9
2024-03-19,18.8
2024-03-20,-5.6
2024-03-21,0.9
2024-03-22,12.1
2024-03-23,22.7
2024-03-24,4.1
2024-03-25,-9.1
2024-03-26,4.6
2024-03-27,19.1
2024-03-28,9.4
2024-03-29,24.3
2024-03-30,4.2
2024-03-31,-4.8
2024-04-01,-0.1
2024-04-02,18.7
2024-04-03,6.9
2024-04-04,13.4
2024-04-05,1.5
2024-04-06,7.7
2024-04-07,17.8
2024-04-08,4.7
2024-04-09,-8.8
2024-04-10,16.1
2024-04-11,9.9
2024-04-12,-6.5
2024-04-13,-5.7
2024-04-14,-2.4
2024-04-15,-5.1
2024-04-16,-8.9
2024-04-17,-3.2
2024-04-18,-0.1
2024-04-19,22.1
2024-04-20,-14.7
2024-04-21,22.8
2024-04-22,16.9
2024-04-23,6.6
2024-04-24,-12.8
2024-04-25,3.8
2024-04-26,8.2
2024-04-27,0.3
2024-04-28,19.7
2024-04-29,-3.2
2024-04-30,-11.2
2024-05-01,-0.8
2024-05-02,-5.7
2024-05-03,-12.8
2024-05-04,22.2
2024-05-05,10.6
2024-05-06,17.3
2024-05-07,14.0
2024-05-08,-14.2
2024-05-09,15.3
2024-05-10,24.4
2024-05-11,8.3
2024-05-12,-5.0
2024-05-13,1.5
2024-05-14,3.8
2024-05-15,16.2
2024-05-16,-13.7
2024-05-17,13.7
2024-05-18,14.3
2024-05-19,20.6
2024-05-20,0.1
2024-05-21,-2.0
2024-05-22,19.4
2024-05-23,21.6
2024-05-24,8.7
2024-05-25,4.5
2024-05-26,21.8
2024-05-27,-1.6
2024-05-28,4.9
2024-05-29,4.5
2024-05-30,-12.8
2024-05-31,9.2
2024-06-01,-7.8
2024-06-02,-13.2
2024-06-03,21.3
2024-06-04,-15.0
2024-06-05,-5.7
2024-06-06,22.8
2024-06-07,2.6
2024-06-08,0.5
2024-06-09,17.9
2024-06-10,1.0
2024-06-11,16.6
2024-06-12,0.5
2024-06-13,13.8
2024-06-14,10.9
2024-06-15,22.8
2024-06-16,-6.8
2024-06-17,-8.2
2024-06-18,13.2
2024-06-19,-10.8
2024-06-20,1.6
2024-06-21,-0.8
2024-06-22,1.8
2024-06-23,-8.5
2024-06-24,-3.0
2024-06-25,13.1
2024-06-26,-6.8
2024-06-27,22.0
2024-06-28,-5.6
2024-06-29,2.3
2024-06-30,-6.6
2024-07-01,11.9
2024-07-02,7.8
2024-07-03,14.4
2024-07-04,-4.0
2024-07-05,-6.8
2024-07-06,-10.9
2024-07-07,-13.3
